,prediction,real
0,130911.937304,122607.607757
1,134967.079991,131473.429732
2,139405.665312,140148.72876
3,144214.331093,147090.432563
4,149213.060358,154059.967298
5,154636.938344,161273.88708
6,160327.252908,168791.941021
7,166293.963062,176576.111769
8,172544.99388,184521.840485
9,179288.943369,193092.444092
10,189210.980715,204281.090104
11,197095.932264,213777.493565
12,198067.040383,214344.151298
13,199144.42513,215072.954768
14,199773.200023,215345.189946
15,200840.670805,216049.222609
16,201423.175119,216297.95934
17,202138.542699,216840.785942
18,199252.43132,214018.350396
19,200020.020598,214574.135929
20,200279.688335,214668.660989
21,200655.691319,214683.58321
22,201199.427098,214890.031658
23,201147.665116,214593.843346
24,200308.692068,213740.364009
25,198887.044512,212329.20284
26,197725.923045,211066.622412
27,196357.054376,209693.360737
28,195126.812048,208429.918403
29,193901.087175,207161.53395
30,192638.648098,205875.476909
31,191240.390567,204463.952173
32,190151.031311,203366.571285
33,188700.972089,201883.407648
34,187513.791961,200693.838232
35,186408.307018,199540.990043
36,188265.524823,201162.450153
37,190430.842823,203022.967715
38,192450.873423,204733.040364
39,194658.060913,206601.518236
40,196696.582778,208355.736181
41,198664.947917,210037.560983
42,200890.476491,211910.08903
43,203078.007872,213714.969011
44,205254.702988,215540.705037
45,207236.961512,217265.552624
46,209328.851947,218980.850451
47,211374.71918,220696.216452
48,211753.753517,220838.667763
49,211763.299754,220688.291116
50,211961.892111,220678.848151
51,212095.9647,220640.09795
52,212144.898277,220501.037133
53,212247.256498,220443.749107
54,212144.223531,220131.271095
55,212624.648984,220460.964863
56,212532.477493,220214.634267
57,212690.406832,220147.997213
58,212835.163395,220142.205119
59,212772.719998,219903.077544
60,213255.617828,220313.628235
61,213813.860554,220823.767841
62,213872.058259,220842.205759
63,214338.409846,221176.340869
64,214708.442739,221508.546639
65,214993.748686,221711.793113
66,215374.500606,222020.34123
67,215782.351829,222330.655281
68,216130.459443,222623.110245
69,216405.055569,222834.767256
70,216846.182251,223227.445012
71,217126.584426,223450.926301
72,206897.660459,215251.893713
73,208333.681818,216496.966739
74,209778.019656,217713.186237
75,211592.723102,219260.395115
76,213234.292392,220715.644574
77,214880.38424,222125.764414
78,216669.293253,223673.75117
79,219358.158277,226035.227304
80,220878.273973,227315.901911
81,222744.587461,228932.716617
82,224403.815079,230318.191831
83,226253.759981,231902.588556
84,224701.006249,230379.707933
85,223152.04192,228842.177196
86,221390.959055,227119.140389
87,220214.005531,225966.103963
88,218759.844252,224513.2433
89,206153.061928,213322.948
90,193355.666803,202086.653111
91,178405.252659,188970.469947
92,165941.022509,177991.638899
93,153543.216119,167097.355013
94,141709.389177,156707.596323
95,130602.635667,146839.05691
96,122921.726901,139960.934635
97,113490.895949,131115.113125
98,106188.187808,123879.556095
99,99673.9089841,118891.778505
100,94308.1625024,115888.684352
101,92200.4160297,112806.52547
102,90645.438579,110096.457678
103,88982.4352641,107906.280378
104,87579.5761196,105355.520853
105,85936.8414933,103094.249395
106,84672.4077504,100778.195045
107,83687.6727875,98794.1928101
108,84519.5828006,99258.9780579
109,85799.1275475,98403.6890281
110,86812.4164348,97963.9220008
111,87696.0177836,97391.7134214
112,88581.7243972,97201.1783796
113,89571.3131618,96827.6075107
114,90767.7097062,96803.759948
115,91881.9446093,97259.2641587
116,92882.7478099,97644.1736096
117,93974.9861433,98139.8954674
118,94999.7972256,98553.9020127
119,96091.1989344,99048.6079027
120,94299.5961004,96237.4580085
121,92325.1962844,93204.7593332
122,90860.8798806,90790.244049
123,89034.0788115,87936.4064707
124,87384.7660454,85297.6666532
125,85816.558343,82757.2209539
126,83788.7734018,79659.7790258
127,81847.5355807,76667.2305946
128,79960.1048329,73739.886975
129,77975.9613934,70695.3330787
130,76209.1972435,67914.2316776
131,74343.7380173,65013.5130833
132,72495.6142537,62133.8000376
133,70859.0215274,59510.4541743
134,70461.6364377,58388.9480386
135,69244.3775527,56273.8365259
136,67924.5355043,54034.3822461
137,66630.5235971,51826.2359057
138,66163.3664175,50620.1887726
139,65397.3575551,49051.9731971
140,64812.7429953,47703.5558582
141,64325.0173911,46472.5835553
142,64314.5457243,45820.0168945
143,64124.0248873,44949.247229
144,63597.2833905,43896.8394275
145,63029.0344102,42794.0898567
146,62528.6872825,41773.6557705
147,62035.5698714,40761.9901983
148,61800.5902453,40063.1628414
149,61395.6861913,39158.4056284
150,61097.12589,38382.5409638
151,60919.5525155,37753.2884676
152,60775.6172152,37164.7726658
153,60553.8611087,36481.9691265
154,60347.3006855,35817.5936015
155,60088.8428529,35090.3124174
156,59879.4692224,34422.5432843
157,59370.0973119,33391.1491049
158,58952.8129779,32471.3989949
159,58440.2829952,31436.2140181
160,58008.6365986,30499.0560217
161,57530.5274352,29505.5761812
162,57448.0091357,28991.5285185
163,57426.7559604,28551.7438907
164,57381.8533965,28083.2773071
165,57358.1029564,27640.4493819
166,57436.7353272,27321.7015497
167,58872.5738977,28647.7811067
168,59011.7294363,28816.3950241
169,59136.3051508,28967.3282474
170,59074.2137885,28892.0482524
171,59245.7315478,29099.8862217
172,59469.1058412,29370.5498552
173,59672.0979002,29616.5195423
174,59807.8616408,29781.0079295
175,59983.362531,29993.6761942
176,60165.0392726,30213.8093479
177,60332.3488902,30416.5249888
178,60557.2092796,30688.9918683
179,60751.1519645,30924.0038411
180,59520.7948796,29432.8962334
181,59402.9138737,29289.9980798
182,59278.6481683,29139.3632953
183,59341.9889104,29216.0769067
184,59271.2272074,29130.2910927
185,59163.0160892,28999.1156752
186,58947.1725086,28737.4704912
187,58771.1124185,28524.1078949
188,58506.9939672,28203.9914412
189,58318.6328823,27975.6789726
190,58070.7051891,27675.1786359
191,57897.2336135,27464.9028584
192,57837.7471126,27392.7978956
193,57958.3295672,27538.8878048
194,57796.9987076,27343.3037264
195,57697.5116139,27222.7298777
196,58598.2780572,28314.2924042
197,58236.7349067,27876.1172281
198,58247.5515409,27889.1870234
199,57697.2112424,27222.2179238
200,57096.672363,26494.4161593
201,56512.5686124,25786.5457311
202,55819.1991921,24946.2402695
203,54702.204304,23592.5811007
204,54901.6356088,24060.0480213
205,55040.9966074,24454.7096968
206,55184.1695657,24853.9983013
207,55298.4658407,25218.2890663
208,55360.9340519,25519.762042
209,55509.9678109,25926.151926
210,55585.1641696,26243.040324
211,55730.3456103,26644.7835582
212,55876.0789548,27047.2073112
213,56011.1693349,27436.7123853
214,56201.9369348,27893.708626
