,Unnamed: 0,tout,m,gas,q,dt
0,0,-2.575,0.475865042735,122607.607757,78930.8300936,39.4924045611
1,1,-3.45,0.509997322275,131473.429732,84638.373307,39.513920494
2,2,-4.325,0.545951662911,140148.72876,90645.0563813,39.5312584382
3,3,-5.2,0.583688549165,147090.432563,96940.4549179,39.5434529729
4,4,-6.075,0.622392058379,154059.967298,103384.13004,39.5494587789
5,5,-6.95,0.663201184541,161273.88708,110159.481711,39.5482526838
6,6,-7.825,0.705411560392,168791.941021,117142.691856,39.5387865392
7,7,-8.7,0.749118495553,176576.111769,124341.529924,39.5199509131
8,8,-9.575,0.794413295267,184521.840485,131762.1786,39.4907127973
9,9,-10.45,0.842353253287,193092.444092,139567.374038,39.4493961082
10,10,-11.325,0.905756774726,204281.090104,149851.930603,39.3914040629
11,11,-12.2,0.960189754099,213777.493565,158547.27014,39.3144686998
12,12,-12.1583333333,0.966135222606,214344.151298,159183.732084,39.229382911
13,13,-12.1166666667,0.972614564061,215072.954768,159903.104933,39.1441473817
14,14,-12.075,0.976988049344,215345.189946,160272.498208,39.0589410451
15,15,-12.0333333333,0.983464850002,216049.222609,160984.136753,38.9739972605
16,16,-11.9916666667,0.987641295848,216297.95934,161317.432387,38.8895367523
17,17,-11.95,0.992459634902,216840.785942,161754.38029,38.8055557462
18,18,-11.9083333333,0.979892013082,214018.350396,159381.66171,38.7267312993
19,19,-11.8666666667,0.984707643415,214574.135929,159859.349975,38.652843053
20,20,-11.825,0.987084082273,214668.660989,159940.787103,38.579428511
21,21,-11.7833333333,0.989996182357,214683.58321,160112.982292,38.5073592408
22,22,-11.7416666667,0.993702540234,214890.031658,160416.032948,38.4363448945
23,23,-11.7,0.994515414458,214593.843346,160254.510544,38.3662588725
24,24,-11.65,0.991301596924,213740.364009,159454.623263,38.298522477
25,25,-11.6,0.985160037628,212329.20284,158200.166885,38.2340989915
26,26,-11.55,0.980177004633,211066.622412,157148.957959,38.1731242263
27,27,-11.5,0.974084266292,209693.360737,155935.67663,38.1153287652
28,28,-11.45,0.968567972129,208429.918403,154830.543589,38.0607414255
29,29,-11.4,0.962977820685,207161.53395,153728.934806,38.0093150107
30,30,-11.35,0.957119031923,205875.476909,152598.683715,37.9608164923
31,31,-11.3,0.950504794417,204463.952173,151362.474888,37.9153105895
32,32,-11.25,0.945318428135,203366.571285,150367.250707,37.8726631084
33,33,-11.2,0.938279567199,201883.407648,149090.629184,37.8328273303
34,34,-11.15,0.932451764118,200693.838232,148019.090791,37.7956716056
35,35,-11.1,0.926949411663,199540.990043,147011.286277,37.7611623336
36,36,-11.1,0.93694533923,201162.450153,148460.180656,37.7264932979
37,37,-11.1,0.948524794901,203022.967715,150149.437064,37.6899646271
38,38,-11.1,0.959474642755,204733.040364,151725.348609,37.6508991403
39,39,-11.1,0.971430789853,206601.518236,153447.269182,37.6095389117
40,40,-11.1,0.982638668687,208355.736181,155037.606547,37.565910055
41,41,-11.1,0.99358542164,210037.560983,156573.211675,37.5200111648
42,42,-11.1,1.00588992616,211910.08903,158309.440905,37.472016614
43,43,-11.1,1.01808791896,213714.969011,160016.026914,37.4221649404
44,44,-11.1,1.03031949435,215540.705037,161714.159092,37.3703219472
45,45,-11.1,1.04167539229,217265.552624,163260.603039,37.3163966816
46,46,-11.1,1.05366362029,218980.850451,164892.575489,37.260598416
47,47,-11.1,1.06551613155,220696.216452,166488.643288,37.2027714926
48,48,-11.0583333333,1.06830311246,220838.667763,166663.203363,37.1446218059
49,49,-11.0166666667,1.06921446049,220688.291116,166549.510101,37.0876439924
50,50,-10.975,1.07103930162,220678.848151,166583.299735,37.03196545
51,51,-10.9333333333,1.07251955308,220640.09795,166566.754762,36.9771823926
52,52,-10.8916666667,1.07353271891,220501.037133,166483.789234,36.9238838636
53,53,-10.85,1.07477698287,220443.749107,166442.502537,36.8719910291
54,54,-10.8083333333,1.07494464331,220131.271095,166240.981463,36.8216040788
55,55,-10.7666666667,1.07803731183,220460.964863,166494.641049,36.7719936657
56,56,-10.725,1.07820837625,220214.634267,166301.593473,36.7235298538
57,57,-10.6833333333,1.07961003309,220147.997213,166303.660162,36.676307508
58,58,-10.6416666667,1.08091742033,220142.205119,166295.45021,36.6301384983
59,59,-10.6,1.08114287232,219903.077544,166125.594781,36.5850934745
60,60,-10.6,1.08490592851,220313.628235,166502.323859,36.5408736377
61,61,-10.6,1.08905647517,220823.767841,166937.832686,36.4968244775
62,62,-10.6,1.09065353533,220842.205759,166983.235184,36.4532932331
63,63,-10.6,1.09432221748,221176.340869,167347.055836,36.41024231
64,64,-10.6,1.09749518759,221508.546639,167635.73419,36.3676037005
65,65,-10.6,1.10023032038,221711.793113,167858.31346,36.3253623986
66,66,-10.6,1.10344877105,222020.34123,168155.354181,36.2835050809
67,67,-10.6,1.10680058297,222330.655281,168473.536218,36.2420722719
68,68,-10.6,1.1098437382,222623.110245,168745.109732,36.2009584738
