,prediction,real
0,9241.386042744762,9212.01764
1,9438.870510580713,9412.034818
2,9436.809612936191,9406.834984000001
3,9633.577810235804,9597.605554
4,9588.327004673423,9570.093429999999
5,9912.5990491887,9881.738544
6,9795.741614450262,9766.9962
7,9906.271168720425,9870.129621
8,9959.724980938805,9918.575553
9,9998.807147332062,9966.847718
10,10080.240284435315,10058.40969
11,10189.742922550886,10161.004490000001
12,10440.751326382191,10407.7659
13,10591.753976915406,10552.03263
14,10614.76950817989,10577.77462
15,10651.823615070592,10610.5065
16,10745.186686163885,10703.01223
17,10781.7101603011,10741.95945
18,10818.010609889754,10775.5658
19,10910.62814771044,10879.568640000001
20,10932.41542775959,10891.51468
21,10982.155263535831,10938.98859
22,11031.67804448838,10984.39826
23,11095.051414622867,11057.748459999999
24,11186.454578463643,11139.37323
25,11136.754386923729,11092.44439
26,11269.842422372838,11225.10924
27,11318.279743195228,11270.05878
28,11296.072942063352,11246.52597
29,11273.942126654028,11234.34391
30,11377.944222543289,11323.001409999999
31,11341.553611161307,11291.9049
32,11053.573435654827,11003.62007
33,11409.538291317613,11349.82712
34,11498.737989664405,11452.6086
35,11503.78137430908,11452.63863
36,11550.313216891976,11495.11469
37,11527.239596443525,11481.883090000001
38,11601.618153663685,11551.74648
39,11564.541999170762,11516.703309999999
40,11680.28958381658,11629.20822
41,11698.382844367878,11649.73414
42,11635.460559173982,11588.007529999999
43,11671.039245402526,11632.78722
44,11748.535770895947,11698.79059
45,11796.260977275771,11742.446240000001
46,11774.093012327225,11731.96275
47,11806.575839660472,11752.65661
48,11312.120781558666,11257.88689
49,11262.020568129574,11219.839820000001
50,11267.262767644981,11214.51411
51,11203.670410977891,11162.47248
52,11126.66815309808,11077.229870000001
53,11063.70796889414,11016.13
54,11042.437606827301,10985.28714
55,11021.074673185645,10963.955909999999
56,10890.086130347987,10842.94298
57,10855.521471815699,10805.37398
58,10807.188062886698,10759.36571
59,10731.877035553754,10678.1385
60,12711.890223263985,12661.73587
61,12554.641958762282,12496.515940000001
62,12507.666181102113,12449.14955
63,12337.569298633161,12282.41056
64,12305.227424072218,12249.256140000001
65,12177.668087830169,12124.811259999999
66,12105.356250758361,12040.51209
67,11815.053861637394,11750.29794
68,11730.426274505659,11674.911470000001
69,11496.082596270848,11438.36102
70,11371.581034290917,11309.399640000001
71,11111.28457889418,11049.185809999999
72,16435.007052604364,16360.808469999998
73,16492.081494332233,16414.66726
74,16128.507551838307,16063.28682
75,15903.062094800833,15823.31677
76,15733.226342969228,15656.40854
77,15403.017316616138,15335.37827
78,15304.448151397142,15224.5853
79,15031.459636603688,14974.978009999999
80,14867.777039811126,14796.1506
81,14624.342008724863,14550.601530000002
82,14437.176995868163,14370.213109999999
83,14196.341543164373,14122.33619
84,14843.421846706895,14771.358040000001
85,14439.53594284554,14375.0708
86,14333.599258072862,14264.56754
87,14200.887234943948,14138.970280000001
88,14136.568618378667,14079.94315
89,13965.500490576085,13906.06685
90,13915.420299009847,13855.234069999999
91,13705.717042360653,13654.086000000001
92,13550.202990500946,13493.437569999998
93,13449.154802261453,13397.98302
94,13215.121968006983,13163.14752
95,13115.468905081563,13056.2669
96,19502.204214852834,19414.48929
97,19528.98276025587,19452.78366
98,20411.108724112135,20336.4748
99,20472.76345094329,20396.69858
100,20616.97171819164,20533.25874
101,20519.834654141378,20439.215119999997
102,20455.890120983073,20373.13638
103,20365.346631935347,20285.68378
104,19947.75099064988,19874.20425
105,19967.001214663425,19900.190730000002
106,19797.562814345853,19722.8876
107,19499.714421693538,19432.00183
108,20372.517607478432,20306.56509
109,20250.435732038142,20186.417840000002
110,20249.805219780672,20171.35735
111,20002.61615004407,19936.909209999998
112,20187.88326823146,20110.166409999998
113,20597.629285908934,20525.5707
114,20639.38538854968,20577.65382
115,20383.19173782594,20316.45837
116,20487.241042454978,20409.7623
117,20435.44913115568,20357.78876
118,20040.57070154466,19973.70177
119,20144.17743259034,20076.76956
120,19904.851353538397,19837.844090000002
121,19814.43597782905,19769.629230000002
122,20119.13282250823,20050.19003
123,19514.817836194656,19469.07937
124,19504.03773233776,19427.37955
125,19507.8802348912,19438.74372
126,19126.79013291236,19079.683419999998
127,19553.847366860897,19506.30308
128,19650.179198696344,19585.99027
129,19707.270766099176,19640.27392
130,20004.474114552744,19956.89275
131,19955.317525272156,19897.97457
132,20174.465290465676,20120.490980000002
133,19872.662514111664,19823.32688
134,19945.063819806055,19882.08059
135,20043.616907328735,19974.86137
136,19834.7589051777,19770.0356
137,19919.58889870439,19861.247669999997
138,19724.36479003786,19673.87293
139,19675.14020102796,19620.40814
140,19680.50394647837,19626.64676
141,19511.487092987347,19450.33192
142,19396.948477302016,19349.5398
143,19644.42258709292,19573.66355
144,19433.80158490525,19382.82101
145,19492.31919331653,19431.31175
146,19591.25101568006,19533.13106
147,19758.721633749363,19700.63437
148,19643.898224147288,19587.19116
149,19500.439386030543,19447.216480000006
150,19816.609616996182,19755.751490000002
151,20023.96427975209,19957.97294
152,20433.179038706334,20371.73246
153,20680.861588687985,20615.05353
154,20928.421715014123,20876.27643
155,21364.48506693116,21305.56849
156,21001.78201168905,20958.25266
157,20883.004624965964,20826.53714
158,20599.955545713696,20535.13236
159,20833.185214897298,20795.99324
160,20589.38126164026,20539.15775
161,20302.968352345604,20237.35479
162,20508.101744603544,20451.47733
163,20208.030918717548,20148.31397
164,20016.01901888928,19964.26205
165,20232.616039271958,20172.73919
166,19628.53546327961,19560.17167
167,19927.598599071694,19857.14683
168,10229.316527318915,10216.3793
169,10184.123897609285,10169.99373
170,10208.29601473972,10188.27639
171,10306.78783512434,10284.81475
172,10222.451280877294,10203.1932
173,10263.406596356546,10232.58742
174,10769.388690070886,10744.99203
175,11027.126177373091,11007.90895
176,11696.418105161414,11669.87203
177,12785.356903913618,12745.65618
178,12741.792481920944,12711.29405
179,13737.943519026567,13712.834319999998
180,7729.126772588663,7711.149429999998
181,7882.125203899429,7865.632351
182,8130.623726290239,8117.495099
183,8280.329779757401,8260.699272
184,8626.610234144015,8595.666396999999
185,8858.479354278039,8827.356763
186,9051.882118133886,9016.873943999999
187,9108.767661787546,9073.986165
188,9162.729429463016,9129.720734
189,9246.505942862848,9208.056054
190,9329.71003658309,9300.09862
191,9384.669913975966,9349.359899
192,9579.608800171185,9535.908381000001
193,9703.735289766815,9666.204579000001
194,9771.537424569184,9730.025242
195,9909.71035078864,9863.619745999997
196,10090.210344729445,10045.35224
197,10087.746468985455,10028.56112
198,10296.895956100845,10242.6356
199,10295.789092860668,10239.97101
200,10420.823892294256,10365.26115
201,10461.595870083562,10406.33574
202,10558.855519762372,10501.141020000001
203,10656.186448664566,10592.98775
204,9325.898206284757,9277.974162999999
205,9340.810625730972,9299.137563
206,9218.490782811568,9170.578855
207,9288.514653009961,9242.604970999999
208,9248.526391672247,9204.166517
209,9290.909472466878,9239.858531999998
210,9429.19822494437,9372.399034999999
211,9512.633656917871,9454.165495000001
212,9582.149177225016,9535.750257
213,9431.422927192158,9397.480095
214,9569.465699935927,9512.796191
215,9597.73020990802,9557.694595
216,5489.253243016519,5465.239674
217,5369.710667292546,5350.239174
