,Unnamed: 0,tout,m,gas,q,dt
0,0,17.18333333,0.065,9212.01764,-5854.17787773,-21.44387501
1,1,17.16666667,0.0664,9412.034818,-5978.928508123199,-21.43907239
2,2,17.15,0.0664,9406.834984,-5977.473312283199,-21.43385439
3,3,17.13333333,0.0678,9597.605554,-6101.770925224801,-21.42776698
4,4,17.11666667,0.0675,9570.09343,-6072.999545025,-21.42151515
5,5,17.1,0.0698,9881.738544,-6277.939112919599,-21.41471931
6,6,17.08333333,0.069,9766.9962,-6203.878914366001,-21.40744967
7,7,17.06666667,0.0698,9870.129621,-6273.6334456152,-21.40003222
8,8,17.05,0.0702,9918.575553,-6307.2894627288015,-21.39224482
9,9,17.03333333,0.07050000000000001,9966.847718,-6331.855890465,-21.38418065
10,10,17.01666667,0.0711,10058.40969,-6383.2079027807995,-21.37568784
11,11,17.0,0.0719,10161.00449,-6452.3129435268,-21.36668966
12,12,16.975,0.0737,10407.7659,-6610.8398151642,-21.35698073
13,13,16.95,0.0748,10552.03263,-6706.116364332002,-21.346181450000003
14,14,16.925,0.075,10577.77462,-6720.445304999998,-21.334747
15,15,16.9,0.0753,10610.5065,-6743.653179190202,-21.32313027
16,16,16.875,0.076,10703.01223,-6802.474605864,-21.31101067
17,17,16.85,0.0763,10741.95945,-6825.346872435,-21.29859225
18,18,16.825,0.0766,10775.5658,-6848.078083375201,-21.28583266
19,19,16.8,0.07730000000000001,10879.56864,-6906.427984978201,-21.27280227
20,20,16.775,0.0775,10891.51468,-6919.980097485,-21.25953947
21,21,16.75,0.0779,10938.98859,-6951.211274498399,-21.24583188
22,22,16.725,0.07830000000000001,10984.39826,-6982.305171534002,-21.231846899999997
23,23,16.7,0.07880000000000001,11057.74846,-7022.1591069000015,-21.21754625
24,24,16.675,0.0795,11139.37323,-7079.740957233001,-21.20317747
25,25,16.65,0.07919999999999999,11092.44439,-7048.079614699201,-21.188310530000006
26,26,16.625,0.0802,11225.10924,-7132.025763928801,-21.173333820000003
27,27,16.6,0.08059999999999999,11270.05878,-7162.433143429201,-21.158079710000006
28,28,16.575,0.0805,11246.52597,-7148.160458565001,-21.142148650000006
29,29,16.55,0.0804,11234.34391,-7133.9358321504005,-21.12632028
30,30,16.525,0.0812,11323.00141,-7199.486089185601,-21.110386140000006
31,31,16.5,0.08099999999999999,11291.9049,-7176.2426147159995,-21.094187580000003
32,32,16.475,0.07899999999999999,11003.62007,-6993.877084403999,-21.07859278
33,33,16.45,0.08160160999999999,11349.82712,-7218.785431153318,-21.06280055
34,34,16.425,0.08230161,11452.6086,-7274.973662634912,-21.046205370000006
35,35,16.4,0.08240161,11452.63863,-7277.935816576292,-21.02922335
36,36,16.375,0.0828,11495.11469,-7307.138044281599,-21.01201416
37,37,16.35,0.08270000000000001,11481.88309,-7292.317124946,-20.9947519
38,38,16.325,0.0833,11551.74648,-7339.131476178599,-20.97733801
39,39,16.3,0.0831,11516.70331,-7315.4544184259985,-20.9599863
40,40,16.275,0.084,11629.20822,-7388.433307584,-20.94227128
41,41,16.25,0.0842,11649.73414,-7399.649075263201,-20.924242380000006
42,42,16.225,0.0838164,11588.00753,-7359.625196977636,-20.90631086
43,43,16.2,0.08414250000000001,11632.78722,-7381.899916528409,-20.88831706
44,44,16.175,0.08477200000000001,11698.79059,-7430.686279292643,-20.870228600000004
45,45,16.15,0.08518830000000001,11742.44624,-7460.643270023976,-20.851967180000006
46,46,16.125,0.08510100000000001,11731.96275,-7446.395147757807,-20.833494620000003
47,47,16.1,0.085409,11752.65661,-7466.711839225295,-20.81500232
48,48,16.1,0.0819,11257.88689,-7153.985412592199,-20.79767839
49,49,16.1,0.08159999999999999,11219.83982,-7122.298689071999,-20.78168385
50,50,16.1,0.0817,11214.51411,-7125.614206418399,-20.76590956
51,51,16.1,0.0813,11162.47248,-7085.3941497402,-20.75029037
52,52,16.1,0.0808,11077.22987,-7036.6927752575975,-20.73518616
53,53,16.1,0.0804,11016.13,-6996.872546697601,-20.72042332
54,54,16.1,0.08030157,10985.28714,-6983.419748079481,-20.70593374
55,55,16.1,0.08020157,10963.95591,-6969.90840101024,-20.69163983
56,56,16.1,0.07930157,10842.94298,-6887.062491639316,-20.67773417
57,57,16.1,0.07910157000000001,10805.37398,-6865.201491385638,-20.66421417
58,58,16.1,0.0788,10759.36571,-6834.6322131192,-20.65093127
59,59,16.1,0.0783,10678.1385,-6787.0004858712,-20.63796292
60,60,16.1,0.09280192,12661.73587,-8039.293163907747,-20.62583856
61,61,16.1,0.09170192,12496.51594,-7939.838851435635,-20.61502989
62,62,16.1,0.09140192,12449.14955,-7910.128229923596,-20.60529871
63,63,16.1,0.0902,12282.41056,-7802.547592686,-20.59589165
64,64,16.1,0.09,12249.25614,-7782.092429579999,-20.58754611
65,65,16.1,0.0891,12124.81126,-7701.415379657998,-20.579913899999994
66,66,16.1,0.0886,12040.51209,-7655.680540788,-20.573149900000004
67,67,16.1,0.0865,11750.29794,-7472.073906969,-20.56722793
68,68,16.1,0.0859,11674.91147,-7418.549764613398,-20.56253053
69,69,16.1,0.0842,11438.36102,-7270.3351596708,-20.55857697
70,70,16.1,0.0833,11309.39964,-7191.5920505646,-20.55562811
71,71,16.1,0.0814,11049.18581,-7026.9631747392,-20.55388784
72,72,16.1,0.1205,16360.808469999998,-10394.041088718,-20.53752438
73,73,16.1,0.1211,16414.66726,-10430.138780350799,-20.50674134
74,74,16.1,0.1186,16063.28682,-10200.1903189284,-20.47737557
75,75,16.1,0.1171021,15823.31677,-10057.60354380135,-20.449398520000006
76,76,16.1,0.116,15656.40854,-9950.188063032,-20.42321031
77,77,16.1,0.1137017,15335.37827,-9741.34180458775,-20.39870201
78,78,16.1,0.1131,15224.5853,-9679.0000764366,-20.37598433
79,79,16.1,0.11120153,14974.97801,-9506.343893949625,-20.354173299999992
80,80,16.1,0.11010153,14796.1506,-9402.820079685347,-20.33365645
81,81,16.1,0.1084,14550.601530000002,-9248.8554955608,-20.31465361
82,82,16.1,0.10710171,14370.21311,-9130.479831883471,-20.29775033
83,83,16.1,0.1054,14122.33619,-8978.159394876002,-20.281375700000005
84,84,16.15,0.11030214,14771.35804,-9387.871466923503,-20.264407310000006
85,85,16.2,0.1074,14375.0708,-9132.8822659872,-20.24670184
86,86,16.25,0.1067,14264.56754,-9066.336065232601,-20.23103509
87,87,16.3,0.1058,14138.97028,-8982.855350918402,-20.215265440000003
88,88,16.35,0.10540191,14079.94315,-8942.631198124716,-20.20075257
89,89,16.4,0.10420190999999998,13906.06685,-8834.891519608169,-20.1872077
90,90,16.45,0.1039,13855.23407,-8803.672698437398,-20.17432673
91,91,16.5,0.1024,13654.086,-8671.497582182397,-20.16252228
92,92,16.55,0.1013,13493.437569999998,-8573.5953408798,-20.15135463
93,93,16.6,0.1006,13397.98302,-8510.140952065198,-20.14139201
94,94,16.65,0.0989,13163.14752,-8362.5781848168,-20.132356360000006
95,95,16.7,0.0982,13056.2669,-8300.0061664968,-20.12415422
96,96,16.74166667,0.146199692,19414.48929,-12339.783812600646,-20.09610092
97,97,16.78333333,0.14673163,19452.78366,-12357.099720437922,-20.05134544
98,98,16.825,0.153659692,20336.4748,-12915.394504645938,-20.01236557
99,99,16.86666667,0.15438744399999998,20396.69858,-12954.768440728516,-19.97875343
100,100,16.90833333,0.15571325800000002,20533.25874,-13046.354753310326,-19.94868633
101,101,16.95,0.1552,20439.21512,-12985.2981476736,-19.92099004
102,102,16.99166667,0.15492,20373.13638,-12945.234717061921,-19.89542178
103,103,17.03333333,0.15442,20285.68378,-12888.348328860478,-19.87213032
104,104,17.075,0.15142,19874.20425,-12624.61230049236,-19.85114299
105,105,17.11666667,0.15172000000000002,19900.19073,-12637.166794803601,-19.83159265
106,106,17.15833333,0.15056999999999998,19722.8876,-12530.381991616436,-19.81420126
107,107,17.2,0.14843,19432.00183,-12342.38212683,-19.798305
108,108,17.25,0.1552,20306.56509,-12894.856436246399,-19.78224171
109,109,17.3,0.15439999999999998,20186.41784,-12818.098937817598,-19.76637512
110,110,17.35,0.15451800000000002,20171.35735,-12818.155398909585,-19.75136723
111,111,17.4,0.15274500000000002,19936.90921,-12662.27174901906,-19.73764514
112,112,17.45,0.15425799999999998,20110.16641,-12779.9022964431,-19.72561475
113,113,17.5,0.157432,20525.5707,-13039.50830339942,-19.72054496
114,114,17.55,0.157775,20577.65382,-13066.372892746947,-19.71821369
115,115,17.6,0.155818,20316.45837,-12904.794144001035,-19.718967220000003
116,116,17.65,0.156596,20409.7623,-12971.057117776294,-19.72174853
117,117,17.7,0.156172,20357.78876,-12938.755690640137,-19.72604639
118,118,17.75,0.153112,19973.70177,-12689.463418452242,-19.73261935
119,119,17.8,0.15385,20076.76956,-12755.446479113098,-19.74007843
120,120,17.84166667,0.15196199999999999,19837.84409,-12604.460036903032,-19.748765570000003
121,121,17.88333333,0.151203,19769.62923,-12547.654676139493,-19.75844942
122,122,17.925,0.15344399999999994,20050.19003,-12740.74469175362,-19.76949663
123,123,17.96666667,0.14875899999999995,19469.07937,-12358.91486983007,-19.78097983
124,124,18.00833333,0.14858500000000002,19427.37955,-12352.47617756817,-19.79382681
125,125,18.05,0.148524,19438.74372,-12355.285799022264,-19.80646033
126,126,18.09166667,0.145526,19079.68342,-12114.638313632146,-19.82077219
127,127,18.13333333,0.14866300000000002,19506.30308,-12385.117217529712,-19.83571859
128,128,18.175,0.149283,19585.99027,-12446.42327253045,-19.85111575
129,129,18.21666667,0.14959899999999998,19640.27392,-12482.9111616027,-19.867256500000003
130,130,18.25833333,0.15173199999999998,19956.89275,-12671.261789269942,-19.88352551
131,131,18.3,0.15124,19897.97457,-12640.551242748239,-19.899861530000006
132,132,18.3,0.15277000000000002,20120.49098,-12779.154936634382,-19.91658007
133,133,18.3,0.150362,19823.32688,-12588.274689277898,-19.933282740000006
134,134,18.3,0.150781,19882.08059,-12634.06611408463,-19.95019916
135,135,18.3,0.151394,19974.86137,-12696.397673626045,-19.96744803
136,136,18.3,0.14969100000000002,19770.0356,-12564.301913624793,-19.984504450000006
137,137,18.3,0.1502,19861.24767,-12617.9540713128,-20.00182942
138,138,18.3,0.1486,19673.87293,-12494.4812967996,-20.01935733
139,139,18.3,0.1481,19620.40814,-12463.348376686203,-20.036893310000004
140,140,18.3,0.14801,19626.64676,-12466.740767805662,-20.05453423
141,141,18.3,0.14661000000000002,19450.33192,-12359.843213079599,-20.072435799999994
142,142,18.3,0.14562,19349.5398,-12287.40133710348,-20.09045287
143,143,18.3,0.14734,19573.66355,-12443.92050456072,-20.10885174
144,144,18.35,0.14564000000000002,19382.82101,-12311.164944687836,-20.12654318
145,145,18.4,0.14595,19431.31175,-12348.630630573301,-20.14491367
146,146,18.45,0.14656000000000002,19533.13106,-12411.656966526723,-20.16345811
147,147,18.5,0.14768,19700.63437,-12518.031817811521,-20.18204067
148,148,18.55,0.14669000000000001,19587.19116,-12445.865058312842,-20.20111258
149,149,18.6,0.14548999999999998,19447.216480000006,-12355.587339915537,-20.21999113
