,prediction,real
0,62706.38974718732,71011.20773
1,71608.63476125745,73120.23416
2,51163.52788576929,49707.49562
3,60581.837944632716,65961.45864
4,59870.96428331536,64020.745
5,53433.548275644745,52271.98414
6,67232.77870491878,67585.92057
7,56827.13891023255,57266.29755
8,61587.982601886135,62012.63993
9,49251.63227686527,41423.40265
10,48723.726098832834,39583.40643
11,50529.03149462474,44093.77195
12,53648.486503349166,52695.50745
13,48925.221538543155,40680.37936
14,56229.3203559995,56374.9073
15,58735.02093465913,58031.14614
16,48456.63867923018,39518.63209
17,50167.75537745425,43793.5155
18,60845.120755626616,60209.52778
19,48743.083372712594,39210.22962
20,47394.5223484782,36619.37575
21,65612.12953121634,68325.96301
22,45963.34658687439,31403.292
23,45620.31104322412,31487.85008
24,48845.23475612535,44831.09452
25,46263.05793703412,32435.344489999996
26,45551.47145818342,31582.29761
27,50545.01000154467,46693.474369999996
28,47545.99186338605,36396.09261
29,49650.682762759076,45375.82464
30,45293.21903586185,31000.72066000001
31,45435.89543404509,31674.281610000002
32,46511.95498994098,33866.95491
33,43398.37595975086,27864.4118
34,44034.98599607451,29385.54938
35,48482.81571137362,44128.62651
36,56165.89479264507,56072.64799
37,48358.87375521439,41968.55935
38,60552.62830759096,60168.6594
39,42946.729763705516,25752.05919
40,48322.83505391728,44000.04277
41,52520.89969245827,47782.849819999996
42,49226.436922107954,39116.46924
43,49336.47616285601,42183.17729
44,41067.85692568578,23390.52401
45,43810.6185671543,35151.12594
46,42143.71454848609,27213.690319999998
47,50859.35320033565,48742.29181
48,42024.50138829306,27900.297810000004
49,48341.86520090424,42166.74205
50,41717.167704177715,27377.88188
51,41280.56386175688,26897.08593
52,43343.86701445353,36091.60285
53,48400.07262902159,45942.02928
54,41857.12663881394,28135.62964
55,41813.69779457062,28451.91892
56,47839.00032567195,44687.65762
57,40910.551729367595,27709.52303
58,54586.26768916872,55667.68468
59,41233.42864370743,25830.30373
60,43391.46457018416,31521.47299
61,43101.35004680768,32582.19381
62,45577.50470828108,38617.81683
63,42821.332158040634,36492.08814
64,44364.39007281217,41371.925039999995
65,42028.242315882206,31287.036
66,47769.532732676904,48617.50947
67,44276.524276167765,37450.744080000004
68,45742.69725855593,46811.66631
69,42204.466734692825,32687.9547
70,47851.13328271662,48473.27127
71,49947.83450087225,53677.63489
72,42275.47419199868,38781.26806
73,50193.10752949948,53122.51516
74,49425.10381618255,52398.157439999995
75,42062.298972211735,33687.42072
76,43072.55760467202,36798.5936
77,51444.403311859605,54653.1115
78,44751.84108706371,41611.67317
79,45631.95689062024,47016.58947
80,45524.18287514725,42837.00272
81,45051.26676981439,46120.60789
82,45679.746311497,43542.17597
83,45418.09909674361,46118.926419999996
84,49629.97465542225,53056.48654
85,48346.992412577136,54240.67324
86,45736.87013525317,40827.1148
87,50722.18986560825,55258.40279
