,Unnamed: 0,tout,q,qt,c,PLRs,PLR,hourindex
0,0,17.18333333,110988.2029289962,-249312.78684823785,71011.20773,0.11770092065901175,-0.2643915638752558,0
1,1,17.16666667,139810.38344861474,-263580.19881430827,73120.23416,0.1482663059254945,-0.2795218883557973,0
2,2,17.15,73968.07577355899,-144231.24506086274,49707.49562,0.07844176577481031,-0.1529545472712937,0
3,3,17.13333333,104454.90513216976,-220478.45351320558,65961.45864,0.11077248011008324,-0.23381329077452545,0
4,4,17.11666667,102268.46302036056,-205845.8880834749,64020.745,0.10845379900041416,-0.218295727851335,0
5,5,17.1,81610.16011265921,-152100.33639943122,52271.98414,0.08654605378676547,-0.16129957197533268,0
6,6,17.08333333,126228.33551323715,-229013.24910994395,67585.92057,0.13386279722600256,-0.2428642824372631,0
7,7,17.06666667,92769.90408340725,-175899.1963682007,57266.29755,0.09838075427755734,-0.186537819419983,0
8,8,17.05,108233.34489599492,-193206.9489730412,62012.63993,0.1147794450587936,-0.20489236848346656,0
9,9,17.03333333,68547.10377687644,-120456.23100189,41423.40265,0.0726929260059166,-0.1277415879695537,0
10,10,17.01666667,66950.85199086963,-115140.68159993707,39583.40643,0.07100013073706457,-0.12210454689755285,0
11,11,17.0,72880.74029216322,-128305.23572872537,44093.77195,0.07728866676204978,-0.1360653111962148,0
12,12,16.975,83102.92057739622,-165187.37860722534,52695.50745,0.08812909843823465,-0.17517813632641194,1
13,13,16.95,68027.17702800386,-118482.44504890453,40680.37936,0.07214155337889337,-0.12564842475292934,1
14,14,16.925,91747.58250878497,-176025.14235240742,56374.9073,0.09729660130123073,-0.18667138278891074,1
15,15,16.9,99990.0015788596,-186365.13332571497,58031.14614,0.10603753310662108,-0.19763675050409715,1
16,16,16.875,66995.35558428302,-115261.4564302808,39518.63209,0.07104732596844195,-0.1222326263541865,1
17,17,16.85,72674.71967402905,-127793.60905788065,43793.5155,0.07707018573623622,-0.13552274064724698,1
18,18,16.825,107276.12572794016,-189813.2147335859,60209.52778,0.11376433197128305,-0.20129337657338545,1
19,19,16.8,68398.99397951181,-114523.2480207769,39210.22962,0.07253585832621386,-0.12144977009429715,1
20,20,16.775,64208.887497505384,-107004.37568983533,36619.37575,0.06809232849532762,-0.11347614612062536,1
21,21,16.75,123132.52659178532,-235432.24383083894,68325.96301,0.13057974956306875,-0.24967150670449464,1
22,22,16.725,59912.18291475889,-91845.34763139556,31403.292,0.06353575336533303,-0.09740027939165778,1
23,23,16.7,58965.55664209898,-92135.70854190324,31487.85008,0.0625318738459632,-0.0977082017256378,1
24,24,16.675,69527.94278119468,-131252.17335988485,44831.09452,0.07373308748956889,-0.13919048363038833,2
25,25,16.65,61358.61499270183,-94997.24840683426,32435.34449,0.06506966762605428,-0.10074281142033042,2
26,26,16.625,59223.169851161154,-92541.26349926669,31582.29761,0.06280506785289687,-0.09813828519937456,2
27,27,16.6,75490.5006299704,-138997.8111271089,46693.47437,0.08005626896077885,-0.14740458812288754,2
28,28,16.575,65976.58576244343,-106748.93764120463,36396.09261,0.06996693955974544,-0.11320525883078965,2
29,29,16.55,72925.48519165638,-134141.32237844815,45375.82464,0.07733611789402736,-0.14225437231794125,2
30,30,16.525,59029.69093108997,-91005.11543241334,31000.720660000006,0.06259988706413272,-0.09650922880449923,2
31,31,16.5,59649.80473732388,-93025.61553028975,31674.28161,0.06325750619824726,-0.09865193150114364,2
32,32,16.475,63280.692371009405,-99512.60073123954,33866.95491,0.06710799486295341,-0.10553125840529788,2
33,33,16.45,53397.243371086886,-81909.40389199756,27864.4118,0.0566267814017221,-0.08686339623758557,2
34,34,16.425,55610.61762767587,-86421.43942940043,29385.54938,0.058974023548981125,-0.09164832583175377,2
35,35,16.4,70117.67895726442,-132026.05476642968,44128.62651,0.07435849171305868,-0.1400111704387826,2
36,36,16.375,95060.544742784,-168361.32645869206,56072.64799,0.10080993600491707,-0.178544048868309,3
37,37,16.35,70037.66212517055,-124966.50920920374,41968.55935,0.0742736353539401,-0.13252465394791466,3
