,prediction,real
0,12228.163978011937,12200.87989
1,14948.261976014084,15210.889819999999
2,13616.00600469457,13613.39152
3,18568.056951429793,18862.15875
4,15125.226161566865,15111.195619999999
5,14925.754921634882,15074.020830000001
6,13588.347824527085,13563.00509
7,14855.599862599749,14875.147659999999
8,13995.12096309559,13968.52913
9,12502.215845124505,12484.847890000001
10,12093.02343508878,12059.7085
11,14350.62775038095,14497.129840000001
12,13038.490929126616,13021.163559999999
13,12994.659678616543,12972.369190000001
14,14287.35125596436,14265.450490000001
15,12444.998454394481,12436.75228
16,13264.711656744152,13318.751690000001
17,15854.673182861134,15884.07694
18,13704.29051143587,13679.39935
19,14551.355415046626,14524.233369999998
20,13113.253952097977,13124.8746
21,14428.182360627154,14458.2139
22,11902.747480203256,11870.70824
23,11737.397616351474,11699.80726
24,12803.896381791794,12782.077490000001
25,11748.099851760631,11710.18825
26,12380.396542245067,12375.52563
27,14462.772760072734,14446.576119999998
28,15881.72747897638,16091.99627
29,13565.497865196852,13612.145819999998
30,13316.292650491017,13430.8441
31,13909.266260406486,13885.856280000002
32,16544.507321276647,16496.75314
33,11753.6409883569,11716.29971
34,12836.812624595921,12907.483479999999
35,14129.150017946293,14176.154830000001
36,17441.983796789038,17485.02552
37,14823.34250500512,14797.06476
38,13012.307685085936,13008.22672
39,12787.910601586536,12760.513659999999
40,13785.240473795628,13949.03705
41,16209.631995092608,16216.413719999999
42,13657.691054446,13649.948059999999
43,11757.394457167211,11722.36695
44,11829.263836228729,11791.255220000001
45,13830.219703499908,13878.80535
46,13108.656373253507,13213.08183
47,16983.704752922775,17002.84945
48,13584.424674729791,13576.01779
49,14413.30611162492,14514.81152
50,13874.264565409347,13867.30432
51,13226.962164347315,13204.81613
52,14227.820981200155,14313.679059999999
53,15466.552656360294,15469.22239
54,14050.253036691796,14033.57106
55,13936.605071437018,13950.445919999998
56,13310.919674431021,13306.17309
57,11918.741449632453,11889.164270000001
58,13716.50194412161,13742.28666
59,13091.641911300252,13129.31718
60,16653.278122319327,16685.8611
61,15979.935381088766,15985.28416
62,20587.911212697978,20772.327409999998
63,14631.134588179757,14631.408930000001
64,14347.863152747628,14323.076980000002
65,14365.37370316828,14342.10005
66,18198.922784656545,18143.10106
67,18316.57517317722,18250.840180000007
68,16991.053825036997,16943.26085
69,14669.504027408624,14710.87171
70,21303.004061163472,21454.13896
71,20945.083209211156,20890.15855
72,13435.8943156112,13465.109209999999
73,18582.626184997924,18517.96051
74,21551.560632155913,21514.87516
75,14456.423204645918,14431.93583
76,16103.122567780865,16091.18239
77,17065.04488754769,17021.92957
78,18829.69188043432,18789.54074
79,18273.736256712993,18208.9985
80,20536.30647297295,20456.26366
81,16214.260185104951,16178.02205
82,20796.180373246836,20750.36742
83,14507.106812056092,14558.03142
84,15729.41022850262,15764.42699
85,20039.83472787488,20069.58801
86,18254.706950824515,18206.85545
87,15316.144613180517,15297.675430000001
88,21393.07374077941,21370.52352
89,13566.700114397107,13591.095
90,15514.04682573029,15488.11489
91,18734.885948608728,18731.03296
92,16144.503142761718,16115.924509999999
93,21365.60496064145,21411.69722
94,19652.60787824204,19586.268030000007
95,14654.00524875522,14661.74175
96,17588.464325537567,17530.47962
97,13653.58227297261,13641.375380000001
98,13778.201940303265,13754.7299
99,16898.481095925217,16859.01856
100,17978.746422161643,17996.64162
101,14854.875994377671,14852.81405
102,13222.950811802413,13217.85484
103,23756.69874558764,23808.50806
104,18595.338479414113,18538.62814
105,15374.382801121883,15389.930219999998
106,16022.397768625433,16011.522009999999
107,15929.177145121987,15910.6472
108,13699.237516848105,13674.23379
109,14251.468658125948,14225.55739
110,19220.655189978545,19255.89639
111,14651.29934335969,14622.29386
112,17377.19942015051,17320.89894
113,13532.954632694255,13557.817930000001
