,t1,w1,t2
0,22.38281041,27.55188401,25.05251565
1,22.27047884,27.61362323,23.57867644
2,22.26767514,27.49873695,24.87852636
3,22.21657564,27.51758908,22.94144821
4,22.26702432,27.36929959,23.55355086
5,22.20781659,27.28316212,22.60678979
6,22.23875105,27.16996203,23.04193886
7,22.14275796,27.10552676,22.97702382
8,22.18093264,27.06836956,22.96030738
9,22.25312462,27.01572543,23.54481951
10,22.26915071,27.02708811,24.6939034
11,22.32285446,27.1429181,22.70521647
12,22.27854009,26.99470677,22.39094386
13,22.27908867,26.83426849,23.39694358
14,22.31911208,26.87473507,23.97561484
15,22.21824943,26.94119014,24.88267655
16,22.22729665,27.05927638,22.60702403
17,22.20272143,26.89517914,24.4215491
18,22.1975799,26.96615666,25.41943067
19,22.21430728,27.13509577,24.40625038
20,22.10895082,27.08795408,25.21513968
21,22.1320049,27.13214065,22.44539665
22,22.1794066,26.91556339,23.84120667
23,22.20362654,26.91881055,24.5406141
24,22.19554934,27.0346255,24.12998196
25,22.21028483,27.00197118,24.8890462
26,22.19750591,27.04753931,25.50772419
27,22.22718805,27.15445014,25.50796759
28,22.20426678,27.19185195,23.8338665
29,22.17638331,27.06631174,22.28144413
30,22.05369252,26.83361752,24.27662538
31,22.18612375,26.96816156,25.69238717
32,22.16471723,27.13921144,25.7239633
33,22.1428385,27.17883573,25.82184149
34,22.16704686,27.21169667,23.48382508
35,22.19966353,27.04356105,22.12026581
36,22.17211608,26.78972462,22.14426467
37,22.10199769,26.66656483,24.46697231
38,22.12221228,26.89971836,22.96707563
39,22.19295718,26.82078185,23.21543311
40,22.08139462,26.70459967,24.56440821
41,22.19175019,26.82781885,22.71422605
42,22.15663982,26.70500189,22.21624699
43,22.18387662,26.5360197,24.21618309
44,22.21237178,26.69410811,25.49482277
45,22.2232635,26.87057713,22.76407066
46,22.10725571,26.6685402,24.58198757
47,22.12207226,26.77492593,23.18377646
48,22.1944444,26.80617411,22.72184534
49,22.14249935,26.71452821,24.4124077
50,22.22857211,26.87765114,23.36743498
51,22.28058124,26.87280469,23.3877314
52,22.12761731,26.8289556,24.89223796
53,22.16077336,26.99931589,22.84459767
54,22.18062792,26.89151192,24.4428315
55,22.26103385,26.95095668,23.26649052
56,22.29149552,26.93567556,24.12509018
57,22.31563516,26.95609594,25.12357836
58,22.28483873,27.10735998,25.69749452
59,22.31146026,27.22584086,23.78982941
60,22.39321633,27.48806251,25.28002511
61,22.37300203,27.83325684,23.84808767
62,22.3163036,27.91103223,23.19613115
63,22.3481307,27.88566956,23.73571263
64,22.35564113,27.98668573,25.17012754
65,22.34965306,28.22996786,25.94505376
66,22.34547557,28.46078196,25.22846551
67,22.31374093,28.5353655,24.82504892
68,22.24391255,28.56147067,24.42771807
69,22.34638076,28.57832161,25.17750252
70,22.26626937,28.68769674,23.65046407
71,22.16887396,28.62750179,23.68180342
72,22.23637896,28.78025131,24.88751964
73,22.24042268,29.05770395,23.89068473
74,22.1054532,29.09830546,22.81016858
75,22.07186362,28.99480489,24.8371769
76,21.89100917,29.2219148,25.4057383
77,21.93964098,29.45080095,24.59811656
78,21.96346019,29.45789518,23.23646933
79,22.0960185,29.33023325,22.40260424
80,22.21013485,29.18563922,22.30057598
81,22.14381935,29.11826857,22.98231922
82,21.88779047,29.16691299,22.65647842
83,21.98127971,29.15637462,25.01069216
84,22.04161744,29.56562933,24.84070098
85,21.86563409,29.78386366,22.6911516
86,21.80307422,29.59018623,23.14548686
87,21.82896251,29.58561959,24.77445694
88,21.99244824,29.83720548,22.53249422
89,21.97573737,29.69789124,24.48706735
90,21.87023703,29.84559995,24.95753154
91,21.82993305,30.05134908,23.06207962
92,21.92546976,29.90814278,23.40441259
93,21.74004167,29.87959753,22.50249808
94,21.77342803,29.81286972,24.26078629
95,21.85238118,29.96279332,24.53933331
96,21.76526517,29.96584539,25.32524361
97,21.76703625,29.99762094,25.50725402
98,21.79724229,30.06342193,24.59359946
99,21.82830067,29.99314848,22.59531453
100,21.77636848,29.71267662,22.34169082
101,21.71020238,29.54082834,24.23415154
102,21.75076765,29.69534086,24.74714761
103,21.66906977,29.8212279,22.38068117
104,21.63476291,29.56709379,22.14169915
105,21.72989703,29.39866369,22.88071494
106,21.54869556,29.42937437,24.73587885
107,21.73113939,29.66719924,24.9201039
108,21.64233038,30.04482768,24.69432174
109,21.6257934,30.2378531,23.77796619
110,21.58499448,30.24646244,24.15761955
111,21.44151146,30.32826789,24.81333162
112,21.53518811,30.49733515,24.38871823
113,21.51098698,30.56598506,24.95734454
114,21.49714859,30.6777633,23.26996586
115,21.53687902,30.58695968,25.06482796
116,21.57488464,30.75664709,22.73384098
117,21.56838417,30.60682593,22.6723268
118,21.57348085,30.48388076,24.98155904
119,21.56509941,30.78427911,25.47447709
120,21.57901943,30.99673262,25.06635946
121,21.58602084,31.03059107,25.72079789
122,21.55553967,31.15029787,25.36302377
123,21.55065356,31.20470988,23.24292033
124,21.61847915,30.98537508,25.37553803
125,21.45695686,31.16948028,23.36833821
126,21.48217058,31.05365137,22.60852593
127,21.59253398,30.81408227,23.19203957
128,21.52567173,30.82197908,23.00302901
129,21.54404833,30.80868931,24.68432297
130,21.63546823,30.96807099,22.56244488
131,21.5510655,30.78907913,23.31728626
132,21.57266671,30.75334284,23.10390308
133,21.54212932,30.7701209,24.92746942
134,21.54955771,30.96764873,25.48212758
135,21.57603825,31.16036051,22.86023094
136,21.51100331,30.9033387,25.28654686
137,21.53788937,31.10491461,23.31471068
138,21.53454586,31.01093277,22.85266966
139,21.53488381,30.83550037,25.20026233
140,21.43465328,31.108336,25.30206072
141,21.49909305,31.25762177,23.91749756
142,21.57800701,31.13727426,25.18276749
143,21.57631152,31.23744789,25.53575394
144,21.42589024,31.24323449,25.34690667
145,21.44198354,31.19054039,24.91657205
146,21.51542129,31.13452429,23.7368138
147,21.5602333,30.96821322,23.32961599
148,21.51249194,30.8121177,23.42152231
149,21.42175974,30.75004508,23.74794229
150,21.47977632,30.74116174,22.87970978
151,21.51214591,30.62232922,24.47812723
152,21.51240516,30.72301685,22.80246886
153,21.52987006,30.58915516,23.94098716
154,21.52952643,30.58436389,24.20959307
155,21.48315502,30.66872894,25.16834869
156,21.43463715,30.66482194,25.20337842
157,21.42662574,30.6515342,22.98497758
158,21.54078556,30.36575107,23.62570643
159,21.50166927,30.26982268,24.33255664
160,21.49018495,30.33268162,22.39253414
