,prediction,real
0,296416.42775060947,295176.7589
1,311477.44474670105,307615.998
2,348606.5376743848,348085.6484
3,369667.7699002292,363900.5515
4,377931.12787831516,367201.8159
5,406341.51536725427,401499.6674
6,415161.61261014466,407740.2899
7,434941.6835125864,429600.2768
8,426034.6573888456,418510.8956
9,446826.0132183841,440338.4853
10,457466.19746559474,451097.5991
11,471771.09443995974,466614.7436
12,474735.6133182162,470191.161
13,481404.6093337891,478269.2135
14,478011.4565028949,474352.0825
15,481923.7680172309,479111.8576
16,483069.61605207296,480541.3515
17,478901.9054330195,475713.5392
18,484243.3927942178,482150.18200000003
19,475085.90165930067,471227.8329
20,477567.03940863465,474422.6814
21,480038.03826243547,477362.1842
22,481764.3619277674,479634.5412
23,470114.94401862763,465580.5678
24,481369.81964946433,479306.0126
25,483296.539893626,481818.8872
26,486478.17503330717,485725.7124
27,485290.2003730389,484545.3304
28,481776.65438368986,480350.2271
29,482516.68972810777,481433.7544
30,485622.2310510597,485147.1228
31,485113.47592307604,484747.1907
32,479344.7506571739,477780.2899
33,482020.2692210622,481280.9817
34,479714.0641370334,478767.2272
35,478994.1832859586,477747.7020000001
36,477736.03740460647,476205.5599
37,475885.4703337344,473873.0191
38,483362.1827460199,482955.4094
39,477164.87341584195,475648.1956
40,480412.7035392248,479521.359
41,480717.7148056199,479876.1445
42,482775.91279219824,482388.9931
43,476152.9034418955,474330.2667
44,481330.1895032455,480898.4294
45,485059.23849802406,484974.3792
46,485498.04385987343,485598.0697
47,482560.50561720354,482240.2288
48,476472.36746229534,474734.2636
49,482681.0542073769,482392.1967
50,480581.23263697,480121.7606
51,477830.39799164294,476727.0281
52,484151.436615036,484406.4511
53,475734.8538465622,474335.2973
54,481580.67997496435,481522.4124
55,477348.5407805295,476866.7675
56,476703.49711043027,475846.2171
57,478258.8850573271,477949.9518
58,473137.81643855537,471707.2703
59,479068.1089777794,478920.5569
60,471880.9134930131,470207.425
61,479505.75306601054,479425.4707
62,481141.06736500503,481416.7905
63,477110.9750650674,476626.1403
64,464596.38954086904,466407.6557
65,480434.2276758236,480474.1888
66,479811.33492556284,479858.2729
67,478538.07169745315,478405.42100000003
68,480378.8316224576,480600.1336
69,460077.7621275934,464575.482
70,478578.52457426966,478327.4115
71,475840.3643806975,474999.2963
72,467123.3588387546,464775.8527
73,467431.6704412411,464732.6653
74,467010.17290655815,464363.6928
75,456968.1550004479,453308.2426
76,463650.1227241899,460216.436
77,466412.1883543754,463452.5411
78,462588.094333212,458860.0205
79,465394.90272958344,462238.9962
80,463680.14693208365,460235.9996
81,460959.12601337,456884.5901
82,464979.99872899626,461718.16299999994
83,460650.51962023415,456487.4083
84,458817.4403666585,454652.6363
85,453666.09380168386,448587.3505
86,450177.5180503959,444338.4031
87,451918.9138550977,446769.9534
88,446006.8849142352,439526.0024
89,444948.4489558644,438510.6091
90,446197.4941080619,440284.1921
91,432723.53978613287,423815.8934
92,440360.9855658588,433445.5367
93,432372.49959940766,423783.2793
94,429820.8585379942,420847.2356
95,426658.0277385829,417894.7547
96,393114.57754454005,377134.0655
97,422838.97286777454,413829.773
98,386989.20614845294,370178.5899
99,417624.493109799,408531.5791
100,371340.2855607937,352810.9165
101,409559.7392785266,401435.4776
102,385839.9214514501,372888.8734
103,398569.79029627726,389064.2472
104,370207.83359850396,353347.659
105,394114.6040891734,384596.9803
106,357733.27676456305,341634.0169
107,352975.17383587745,333035.8501
108,285851.75546301354,258451.4882
109,341548.2369617459,327874.601
110,321077.4766261642,299709.9947
111,338244.6524542166,322849.0379
112,330812.8908747685,313782.5122
113,340223.93170126795,327148.5601
114,333090.09908767336,318113.9032
115,296141.79039934167,274021.0625
116,292768.65712156595,267375.9749
117,287951.3546435606,261128.7055
118,318992.34669253055,301331.1583
119,309642.3826990159,289585.2322
120,290602.6309978059,268854.2998
121,309819.5722495739,288372.4479
122,324125.1093729943,307355.1478
123,289635.09478571266,265627.9754
124,287386.1302788726,265560.839
125,291086.11088118004,266229.5831
126,312177.99568602897,293295.6114
127,276817.67031958955,256991.4691
128,281682.9789418689,261232.6531
129,268163.25273916544,259023.2277
130,269513.8193843672,253533.242
131,300989.23268271575,281554.5595
132,286777.9899191494,263082.336
133,256512.94135997674,247686.3246
134,274795.72976509714,261198.1362
135,292617.2523564084,272089.2409
136,289973.7841491454,268588.8138
137,264226.99269879656,259692.1858
138,273706.622724182,262296.3877
139,286432.89659210213,266700.8542
140,243674.6323836938,233791.5553
141,283051.75668295776,270012.9585
142,261533.61895912586,255788.2981
143,259337.88543000605,252872.6816
144,273783.0148888874,257129.5501
145,286233.2461850266,268733.3459
146,249777.3263711767,250153.4262
147,261450.19520588088,261390.1481
148,250926.77636271145,254694.7457
149,247010.49171821575,249799.7731
150,246756.1443392163,236719.1985
151,256971.33942479038,263327.1037
152,267712.83041912963,259571.0661
153,269853.8563901795,259968.6472
154,259572.69797514935,264475.1593
155,244124.72365668972,240790.8931
156,252912.14528191902,265307.5235
157,237001.711334819,227651.6399
158,277648.4682278321,275024.2527
159,271836.50036357983,280585.0108
160,247645.12377929167,240082.7081
161,264259.7124329726,246628.3836
162,268225.0216593031,263355.0312
163,282639.52316476917,286799.6035
164,252900.56412488362,252269.5131
165,244413.92036369193,238798.4083
166,257104.30208934654,246997.6748
167,268991.18114040536,257549.8636
168,282670.0884096845,282589.5206
169,264598.33576323977,261974.4308
170,264152.01250773575,252770.3243
171,260344.97439852727,269584.6351
172,258046.9169392643,245061.7626
173,283865.815720177,268828.3767
174,297231.643127328,285241.7735
175,277389.086633788,296524.4685
176,256126.07668995182,252147.318
177,279518.54950566974,278316.6322
178,266489.1839807278,288792.7112
179,277287.2394442592,262328.2117
180,253078.4420765382,243632.21399999998
181,293064.9437128393,286902.4059
182,270397.3610785604,271463.3959
183,276164.9087627904,282033.3911
184,286912.01171811053,273132.36600000004
185,259831.4274513866,261147.4001
186,270538.27203733317,260423.9516
187,296258.5589085527,298188.003
188,272044.0945463605,267571.13800000004
189,281888.92117778247,294332.3775
190,287002.10102272313,284351.9008
191,270684.9453172443,268504.7405
192,354860.18203011504,367464.045
193,317001.9518769347,315037.3004
194,358360.88147908903,360528.2754
195,314639.83545878506,312048.4872
196,344587.9161081151,361226.61799999996
197,331935.3507354602,348914.8609
198,312052.85103869025,309924.5238
199,326090.912779141,319892.6466
200,335117.75003433845,360586.849
201,327630.34084695904,348826.2427
202,329557.54637150024,344639.4828
203,315888.59542377165,308135.5239
204,314457.76577652525,315252.0573
205,332349.89490081044,346408.3156
206,324863.0333578816,339748.279
207,298443.5311572108,296510.5812
208,332678.4737974056,338041.3775
209,300556.42645207874,297678.5217
210,311228.09598253993,309264.5583
211,330071.7258155943,345092.5382
212,317196.98197493877,329945.0264
213,315828.02636683604,336872.8143
214,308619.5168502141,328359.5075
215,289434.5777168202,283535.3814
216,273913.70752844086,291022.6202
217,313742.7587424136,311968.6158
218,280312.60212810745,318662.4827
219,256307.37964031965,265374.3352
220,292253.18581841147,283112.8099
221,292948.876313437,282769.7843
222,288260.03960476455,288755.5549
223,304105.39097622666,311904.8696
224,266560.3994672884,276073.1271
225,266639.6672856603,274645.8942
226,287455.36843447044,285196.0246
227,287605.05115092674,281010.4273
228,273713.1683409783,269415.7142
229,273845.549334452,269703.2817
230,278326.94696680096,276215.7044
231,245457.6273841222,253535.9503
232,259292.0719557342,257299.712
233,250102.84323986917,255145.1944
234,261646.16534978963,259417.6554
235,251411.8819638585,252996.8923
236,262645.03582140536,261696.5797
237,236463.84086149884,246007.5734
238,229387.21267894123,236719.0835
239,238258.82460451114,247167.3603
240,230835.32718413763,238571.6993
241,225331.43673185457,239202.1655
242,236621.0101507893,238846.2718
243,233096.4344662455,234251.1817
244,215740.35190606787,211388.4374
245,231845.31961613044,214148.9835
246,230066.4271418386,232287.1046
247,224702.22651156544,214125.5948
248,237101.12097923024,246027.9854
249,224686.35468594576,212641.5302
250,230619.6284227505,245315.53699999998
