,tout,m,gas,q,dt
0,-2.575,6.773507329,295176.7589,-232100.486400666,-8.158553300000001
1,-3.45,6.885667102999999,307615.998,-245692.57025434574,-8.495651930000001
2,-4.325,7.938682091000001,348085.6484,-281532.72959656094,-8.443668799999998
3,-5.2,8.544379081999999,363900.5515,-301173.96978778485,-8.392428209999999
4,-6.075,8.650129432,367201.8159,-307912.949118591,-8.475319069999998
5,-6.95,9.511357094,401499.6674,-334963.28838927887,-8.385045700000006
6,-7.825,9.747476483,407740.2899,-342263.54806138866,-8.36024802
7,-8.7,10.383964891,429600.2768,-360613.1770616593,-8.268544929999997
8,-9.575,9.962401741,418510.8956,-350041.7210446462,-8.365780569999998
9,-10.45,10.429350965,440338.4853,-369410.8835768937,-8.433408040000003
10,-11.325,10.583874182999999,451097.5991,-378546.07589983084,-8.515786990000002
11,-12.2,10.766714367,466614.7436,-391375.8723944354,-8.654890279999996
12,-12.15833333,10.764747135999999,470191.161,-394440.37056111585,-8.724252669999998
13,-12.11666667,10.923417332999998,478269.2135,-401239.5616321801,-8.745727279999997
14,-12.075,10.831911530999998,474352.0825,-397894.5313671581,-8.746082620000003
15,-12.03333333,10.936924293999997,479111.8576,-401914.55289619893,-8.749620880000002
16,-11.99166667,10.96776416,480541.3515,-403145.5461057658,-8.75174132
17,-11.95,10.860074671,475713.5392,-399019.64032651146,-8.748068420000003
18,-11.90833333,11.004805914999999,482150.18200000003,-404480.49485911586,-8.751165669999999
19,-11.86666667,10.776182938999998,471227.8329,-395324.1091080807,-8.734520230000001
20,-11.825,10.838315245,474422.6814,-397901.28341928177,-8.741063410000002
21,-11.78333333,10.904019474,477362.1842,-400468.2361364527,-8.744443299999993
22,-11.74166667,10.94829751,479634.5412,-402284.43966006895,-8.748575690000003
23,-11.7,10.646702417000002,465580.5678,-390615.8016059691,-8.73545241
24,-11.65,10.950887785999997,479306.0126,-402053.4371027586,-8.741483860000002
25,-11.6,10.992054758,481818.8872,-404086.8315658096,-8.752790310000002
26,-11.55,11.078298403999998,485725.7124,-407385.37671140104,-8.755543019999998
27,-11.5,11.043816277,484545.3304,-406278.6710781716,-8.759020839999998
28,-11.45,10.954832570999999,480350.2271,-402827.4254567826,-8.75515816
