,tout,q,qt,c,PLRs,PLR,hourindex
0,-2.575,0.0,0.0,0.0,0.0,0.0,0
1,-3.45,0.0,0.0,0.0,0.0,0.0,0
2,-4.325,0.0,0.0,0.0,0.0,0.0,0
3,-5.2,0.0,0.0,0.0,0.0,0.0,0
4,-6.075,0.0,0.0,0.0,0.0,0.0,0
5,-6.95,0.0,0.0,0.0,0.0,0.0,0
6,-7.825,0.0,0.0,0.0,0.0,0.0,0
7,-8.7,0.0,0.0,0.0,0.0,0.0,0
8,-9.575,0.0,0.0,0.0,0.0,0.0,0
9,-10.45,0.0,0.0,0.0,0.0,0.0,0
10,-11.325,0.0,0.0,0.0,0.0,0.0,0
11,-12.2,0.0,0.0,0.0,0.0,0.0,0
12,-12.15833333,0.0,0.0,0.0,0.0,0.0,1
13,-12.11666667,0.0,0.0,0.0,0.0,0.0,1
14,-12.075,0.0,0.0,0.0,0.0,0.0,1
15,-12.03333333,0.0,0.0,0.0,0.0,0.0,1
16,-11.99166667,0.0,0.0,0.0,0.0,0.0,1
17,-11.95,0.0,0.0,0.0,0.0,0.0,1
18,-11.90833333,0.0,0.0,0.0,0.0,0.0,1
19,-11.86666667,0.0,0.0,0.0,0.0,0.0,1
20,-11.825,0.0,0.0,0.0,0.0,0.0,1
21,-11.78333333,0.0,0.0,0.0,0.0,0.0,1
22,-11.74166667,0.0,0.0,0.0,0.0,0.0,1
23,-11.7,0.0,0.0,0.0,0.0,0.0,1
24,-11.65,0.0,0.0,0.0,0.0,0.0,2
25,-11.6,0.0,0.0,0.0,0.0,0.0,2
26,-11.55,0.0,0.0,0.0,0.0,0.0,2
27,-11.5,0.0,0.0,0.0,0.0,0.0,2
28,-11.45,0.0,0.0,0.0,0.0,0.0,2
29,-11.4,0.0,0.0,0.0,0.0,0.0,2
30,-11.35,0.0,0.0,0.0,0.0,0.0,2
31,-11.3,0.0,0.0,0.0,0.0,0.0,2
32,-11.25,0.0,0.0,0.0,0.0,0.0,2
33,-11.2,0.0,0.0,0.0,0.0,0.0,2
34,-11.15,0.0,0.0,0.0,0.0,0.0,2
35,-11.1,0.0,0.0,0.0,0.0,0.0,2
36,-11.1,0.0,0.0,0.0,0.0,0.0,3
37,-11.1,0.0,0.0,0.0,0.0,0.0,3
38,-11.1,0.0,0.0,0.0,0.0,0.0,3
39,-11.1,0.0,0.0,0.0,0.0,0.0,3
40,-11.1,0.0,0.0,0.0,0.0,0.0,3
41,-11.1,0.0,0.0,0.0,0.0,0.0,3
42,-11.1,0.0,0.0,0.0,0.0,0.0,3
43,-11.1,0.0,0.0,0.0,0.0,0.0,3
44,-11.1,0.0,0.0,0.0,0.0,0.0,3
45,-11.1,0.0,0.0,0.0,0.0,0.0,3
46,-11.1,0.0,0.0,0.0,0.0,0.0,3
47,-11.1,0.0,0.0,0.0,0.0,0.0,3
48,-11.05833333,0.0,0.0,0.0,0.0,0.0,4
49,-11.01666667,0.0,0.0,0.0,0.0,0.0,4
50,-10.975,0.0,0.0,0.0,0.0,0.0,4
51,-10.93333333,0.0,0.0,0.0,0.0,0.0,4
52,-10.89166667,0.0,0.0,0.0,0.0,0.0,4
53,-10.85,0.0,0.0,0.0,0.0,0.0,4
54,-10.80833333,0.0,0.0,0.0,0.0,0.0,4
55,-10.76666667,0.0,0.0,0.0,0.0,0.0,4
56,-10.725,0.0,0.0,0.0,0.0,0.0,4
57,-10.68333333,0.0,0.0,0.0,0.0,0.0,4
58,-10.64166667,0.0,0.0,0.0,0.0,0.0,4
59,-10.6,0.0,0.0,0.0,0.0,0.0,4
60,-10.6,0.0,0.0,0.0,0.0,0.0,5
61,-10.6,0.0,0.0,0.0,0.0,0.0,5
62,-10.6,0.0,0.0,0.0,0.0,0.0,5
63,-10.6,0.0,0.0,0.0,0.0,0.0,5
64,-10.6,0.0,0.0,0.0,0.0,0.0,5
65,-10.6,0.0,0.0,0.0,0.0,0.0,5
66,-10.6,0.0,0.0,0.0,0.0,0.0,5
67,-10.6,0.0,0.0,0.0,0.0,0.0,5
68,-10.6,0.0,0.0,0.0,0.0,0.0,5
69,-10.6,0.0,0.0,0.0,0.0,0.0,5
70,-10.6,0.0,0.0,0.0,0.0,0.0,5
71,-10.6,0.0,0.0,0.0,0.0,0.0,5
72,-10.6,0.0,0.0,0.0,0.0,0.0,6
73,-10.6,0.0,0.0,0.0,0.0,0.0,6
74,-10.6,0.0,0.0,0.0,0.0,0.0,6
75,-10.6,0.0,0.0,0.0,0.0,0.0,6
76,-10.6,0.0,0.0,0.0,0.0,0.0,6
77,-10.6,0.0,0.0,0.0,0.0,0.0,6
78,-10.6,0.0,0.0,0.0,0.0,0.0,6
79,-10.6,0.0,0.0,0.0,0.0,0.0,6
80,-10.6,0.0,0.0,0.0,0.0,0.0,6
81,-10.6,0.0,0.0,0.0,0.0,0.0,6
82,-10.6,0.0,0.0,0.0,0.0,0.0,6
83,-10.6,0.0,0.0,0.0,0.0,0.0,6
84,-10.55,0.0,0.0,0.0,0.0,0.0,7
85,-10.5,0.0,0.0,0.0,0.0,0.0,7
86,-10.45,0.0,0.0,0.0,0.0,0.0,7
87,-10.4,0.0,0.0,0.0,0.0,0.0,7
88,-10.35,0.0,0.0,0.0,0.0,0.0,7
89,-10.3,0.0,0.0,0.0,0.0,0.0,7
90,-10.25,0.0,0.0,0.0,0.0,0.0,7
