,Unnamed: 0,tout,q,qt,c,PLRs,PLR,hourindex
0,0,-2.575,0.0,0.0,0.0,0.0,0.0,0
1,1,-3.45,0.0,0.0,0.0,0.0,0.0,0
2,2,-4.325,0.0,0.0,0.0,0.0,0.0,0
3,3,-5.2,0.0,0.0,0.0,0.0,0.0,0
4,4,-6.075,0.0,0.0,0.0,0.0,0.0,0
5,5,-6.95,0.0,0.0,0.0,0.0,0.0,0
6,6,-7.825,0.0,0.0,0.0,0.0,0.0,0
7,7,-8.7,0.0,0.0,0.0,0.0,0.0,0
8,8,-9.575,0.0,0.0,0.0,0.0,0.0,0
9,9,-10.45,0.0,0.0,0.0,0.0,0.0,0
10,10,-11.325,0.0,0.0,0.0,0.0,0.0,0
11,11,-12.2,0.0,0.0,0.0,0.0,0.0,0
12,12,-12.15833333,0.0,0.0,0.0,0.0,0.0,1
13,13,-12.11666667,0.0,0.0,0.0,0.0,0.0,1
14,14,-12.075,0.0,0.0,0.0,0.0,0.0,1
15,15,-12.03333333,0.0,0.0,0.0,0.0,0.0,1
16,16,-11.99166667,0.0,0.0,0.0,0.0,0.0,1
17,17,-11.95,0.0,0.0,0.0,0.0,0.0,1
18,18,-11.90833333,0.0,0.0,0.0,0.0,0.0,1
19,19,-11.86666667,0.0,0.0,0.0,0.0,0.0,1
20,20,-11.825,0.0,0.0,0.0,0.0,0.0,1
21,21,-11.78333333,0.0,0.0,0.0,0.0,0.0,1
22,22,-11.74166667,0.0,0.0,0.0,0.0,0.0,1
23,23,-11.7,0.0,0.0,0.0,0.0,0.0,1
24,24,-11.65,0.0,0.0,0.0,0.0,0.0,2
25,25,-11.6,0.0,0.0,0.0,0.0,0.0,2
26,26,-11.55,0.0,0.0,0.0,0.0,0.0,2
27,27,-11.5,0.0,0.0,0.0,0.0,0.0,2
28,28,-11.45,0.0,0.0,0.0,0.0,0.0,2
29,29,-11.4,0.0,0.0,0.0,0.0,0.0,2
30,30,-11.35,0.0,0.0,0.0,0.0,0.0,2
31,31,-11.3,0.0,0.0,0.0,0.0,0.0,2
32,32,-11.25,0.0,0.0,0.0,0.0,0.0,2
33,33,-11.2,0.0,0.0,0.0,0.0,0.0,2
34,34,-11.15,0.0,0.0,0.0,0.0,0.0,2
35,35,-11.1,0.0,0.0,0.0,0.0,0.0,2
36,36,-11.1,0.0,0.0,0.0,0.0,0.0,3
37,37,-11.1,0.0,0.0,0.0,0.0,0.0,3
38,38,-11.1,0.0,0.0,0.0,0.0,0.0,3
39,39,-11.1,0.0,0.0,0.0,0.0,0.0,3
40,40,-11.1,0.0,0.0,0.0,0.0,0.0,3
41,41,-11.1,0.0,0.0,0.0,0.0,0.0,3
42,42,-11.1,0.0,0.0,0.0,0.0,0.0,3
43,43,-11.1,0.0,0.0,0.0,0.0,0.0,3
44,44,-11.1,0.0,0.0,0.0,0.0,0.0,3
45,45,-11.1,0.0,0.0,0.0,0.0,0.0,3
46,46,-11.1,0.0,0.0,0.0,0.0,0.0,3
47,47,-11.1,0.0,0.0,0.0,0.0,0.0,3
48,48,-11.05833333,0.0,0.0,0.0,0.0,0.0,4
49,49,-11.01666667,0.0,0.0,0.0,0.0,0.0,4
50,50,-10.975,0.0,0.0,0.0,0.0,0.0,4
51,51,-10.93333333,0.0,0.0,0.0,0.0,0.0,4
52,52,-10.89166667,0.0,0.0,0.0,0.0,0.0,4
53,53,-10.85,0.0,0.0,0.0,0.0,0.0,4
