,prediction,real
0,14740.821200495078,14712.72252
1,17050.36381855821,17049.36941
2,14048.797478300809,14070.339419999998
3,13222.949747846733,13231.136540000001
4,14806.897740793205,14783.712969999999
5,13081.063365007552,13103.2593
6,13913.984482048634,13888.00714
7,12428.619719833167,12412.85722
8,15773.96806997173,15922.76051
9,13162.670949168214,13141.79469
10,14156.60634546056,14202.142930000002
11,13737.344705120506,13712.677590000001
12,13967.819164352533,13943.20885
13,12508.632187208374,12501.5812
14,13520.58543075342,13511.507630000002
15,12492.68165206129,12491.97214
16,12176.318401146566,12167.11168
17,13274.81670131553,13270.716129999999
18,11876.14945095407,11863.17063
19,14538.649841173008,14589.17075
20,13637.316229106773,13627.884719999998
21,12895.550106822006,12916.772190000005
22,12354.96769472796,12339.684309999999
23,16233.220720410603,16355.00374
24,12685.59782959999,12676.82213
25,12277.014203009056,12259.159459999999
26,11612.643774750215,11592.84723
27,11853.44979196241,11835.166940000001
28,12600.69830649646,12598.62717
29,12350.443535484568,12334.0003
30,11627.802411283481,11608.09382
31,11669.432704295838,11650.005290000001
32,12949.776785481894,12988.8916
33,12090.834759116524,12075.888079999999
34,12612.849732437446,12594.266370000001
35,12602.8552763161,12596.08525
36,13036.733221587763,13049.978509999999
37,13711.039390474672,13814.82677
38,11730.374573105719,11711.61165
39,13420.574726165572,13410.4125
40,12639.938140304,12629.1503
41,12591.287581114006,12576.337870000001
42,12214.95423107967,12197.330559999999
43,14234.140898138996,14300.33686
44,12605.215101560769,12586.65172
45,11851.917587176935,11834.569590000001
46,11873.360787464027,11855.91503
47,12582.960524582808,12567.06195
48,14364.10033166604,14428.43675
49,12250.22946759343,12232.49815
50,12771.801778099716,12754.512009999999
51,13452.847250145549,13494.90738
52,11708.387952274721,11689.10467
53,13926.572796561662,13993.67184
54,12031.035180393317,12014.7821
55,13108.57276705716,13087.98886
56,13096.136630496041,13096.16426
57,12578.408617256062,12562.33872
58,14117.594007152687,14151.4652
59,12124.369351881154,12109.55832
60,14542.102629478437,14699.544869999998
61,11994.958125757586,11981.63235
62,11734.134482854954,11715.05295
63,12785.175143576276,12784.037059999999
64,15564.122044518323,15777.79517
65,11805.482367532457,11787.84291
66,12180.390186312821,12166.31676
67,12552.914936104387,12543.14303
68,12135.776015499921,12125.95803
69,16387.719779386345,16726.6918
70,12361.776543809594,12345.88115
71,13461.509752974647,13520.05154
72,14835.625317630931,14801.58868
73,13506.531368053782,13520.33799
74,13470.230503238758,13482.15595
75,16634.964048355265,16772.411519999998
76,14764.72810036869,14731.79957
77,13071.581215410633,13068.468359999999
78,14911.9478909452,14914.4478
79,13270.227282663649,13260.02831
80,14083.221524864772,14056.321219999998
81,15824.23780735132,15805.150459999999
82,13306.17043248976,13310.6588
83,15808.705904264412,15817.3841
84,13165.458995460505,13144.56732
85,13865.590443795672,13849.00542
86,15246.56935008542,15254.708540000001
87,13286.062067158155,13294.57776
88,16752.06385507519,16713.43755
89,14779.039379593027,14814.48234
90,13082.701523256454,13069.41949
91,18411.3447787783,18386.01676
92,14728.49903022585,14732.68979
93,16384.888425585683,16338.752269999999
94,15523.493810675916,15485.6749
95,14070.916439784434,14060.826669999999
96,21101.61572504246,21106.37108
97,15626.23250832702,15657.09525
98,20704.197047243615,20760.46815
99,14169.132363213701,14223.248930000002
100,21543.54681550315,21577.93228
101,14568.399912587129,14621.592030000002
102,17437.843422508835,17382.8704
103,14468.459272798698,14464.16415
104,17839.996303100204,17822.56294
105,12900.190151207002,12939.76456
106,18119.628599933334,18314.744440000002
107,19261.988629301974,19207.702419999998
108,21830.798949622258,21835.85181
109,15421.649912699026,15387.8237
110,16796.861974742074,16747.251790000002
111,14750.779723215966,14743.269980000001
112,14750.881322481988,14726.32034
113,12943.601060574261,12940.2071
114,12955.596896148245,12936.19417
115,16857.80824442637,16954.93413
116,18312.747873673317,18305.582609999998
117,19544.663967336928,19494.45995
118,14933.889711220008,14922.740380000001
119,15090.0565623551,15107.150119999998
120,18783.09552933361,18757.34057
121,16602.074735728092,16577.86621
122,13949.835723798979,13925.06266
123,17764.28535582053,17724.70183
124,18249.85346212545,18230.14784
125,17677.92527013924,17621.6734
126,14283.100824424439,14264.4653
127,18438.174787260556,18408.12243
128,17939.22240835234,17903.383680000006
129,19528.97660238886,19469.04388
130,18701.21712550732,18641.46858
131,13778.555196849253,13807.15895
132,15353.474841484336,15314.69684
133,20120.063900239657,20186.94466
134,17282.378878821888,17229.701530000002
135,14309.623783705372,14316.03713
136,14392.25560097307,14370.6983
137,17408.09183057608,17480.12253
138,15560.018761467445,15578.614480000002
139,13555.04185893446,13592.714890000001
140,20089.37818273557,20084.2283
141,13835.690477648497,13865.2394
142,16147.59183028721,16142.24444
143,16379.934393986057,16361.98385
144,14396.086704869142,14404.09836
145,12774.730046995048,12781.15821
146,17627.526140807757,17718.67845
147,15369.839938421379,15332.27916
148,16685.212906066714,16635.73668
149,16945.509374035057,16902.03689
150,17517.318497157583,17470.90905
151,15666.538005226686,15627.87145
152,13728.416147626174,13750.232030000001
153,13358.746994707433,13360.90694
154,14180.544340259761,14152.31739
155,16526.297950658773,16488.8611
156,15987.961512049378,15964.390980000002
157,20202.72740265812,20190.73271
158,13598.362776950382,13619.91607
159,13388.20190905149,13367.49513
160,17496.034643854437,17681.503630000007
161,15802.174853900478,15759.37146
162,15191.284072182878,15167.99316
163,12812.100553761617,12809.59391
164,16388.477256405415,16460.8514
165,18690.232915834124,18672.34425
166,16729.24671439759,16682.8428
167,14679.025412975769,14709.64689
168,12734.410171022728,12725.2553
169,14307.717581525814,14368.3912
170,15064.326909743848,15054.108390000001
171,15039.512964273063,15007.80601
172,16240.404762709064,16196.77761
173,12988.70370322856,12974.00786
174,11472.716276857964,11451.983709999999
175,12607.771434677305,12590.344809999999
176,15614.224240370155,15586.56216
177,12518.1776225187,12503.74503
178,13234.749197805553,13213.60278
179,12219.509416704446,12203.70959
180,17515.853498013268,17640.82594
181,12026.084415614938,12018.349540000001
182,15056.498000819449,15040.689080000002
183,13903.964329787885,13879.08999
184,12313.617250523776,12296.275309999999
185,17358.049452284984,17600.8607
186,16091.29571783099,16066.9942
187,12418.988471423492,12413.4163
188,15564.525717213934,15537.350390000001
189,13437.109897003184,13463.926769999998
190,12653.571011850732,12636.27348
191,15346.98987887386,15440.63891
192,12822.67664050239,12813.31313
193,18936.713398236578,19062.46459
194,11939.53607495226,11927.38019
