,t1,w1,t2
0,21.11098065,19.74020761,24.77023174
1,21.11098834,19.69644937,24.45702496
2,21.11098644,19.68048658,25.37688798
3,21.11101398,19.6623379,24.31139547
4,21.11096584,19.64449276,23.77316697
5,21.11098436,19.6268022,24.39874966
6,21.11097526,19.60909413,24.30357568
7,21.1109919,19.59142309,25.10850148
8,21.11100414,19.57372142,22.76292386
9,21.11096883,19.55599489,22.7560338
10,21.11038012,19.53864285,24.03414008
11,21.10069843,19.52121969,24.08268257
12,21.09462346,19.51054809,23.68646333
13,21.08812495,19.5061561,23.17680352
14,21.08367083,19.50080433,23.92924567
15,21.07609344,19.49595906,24.3060805
16,21.07400389,19.4916218,23.61156242
17,21.07182632,19.48758707,23.62654711
18,21.06935895,19.48388303,23.99377396
19,21.06743202,19.48034338,24.36408446
20,21.06608005,19.47731453,23.73140912
21,21.06448082,19.47476618,22.64608177
22,21.06338955,19.47239726,23.5779092
23,21.06217284,19.47025535,22.84878288
24,21.05928819,19.45790622,22.45024507
25,21.05710391,19.44523289,23.34131839
26,21.05349976,19.44257049,23.99634841
27,21.05287778,19.43981019,23.73666142
28,21.05183859,19.43760038,23.6309754
29,21.05112001,19.43588067,22.93723487
30,21.05059748,19.43432948,23.55415562
31,21.05031123,19.43311935,23.79135764
32,21.05006134,19.43217733,22.31153883
33,21.04997724,19.43141655,23.25332383
34,21.04995198,19.43075846,23.29031539
35,21.05013564,19.43025899,23.71301747
36,21.04979436,19.42914845,22.28617366
37,21.04906168,19.42693414,23.35969756
38,21.0481065,19.42425978,23.50412842
39,21.04701326,19.42145771,22.78262859
40,21.04480159,19.41860314,22.71592631
41,21.04390773,19.41549025,23.3467469
42,21.04288038,19.41226912,23.56926339
43,21.04148266,19.40926425,22.65332283
44,21.0394386,19.40606883,22.91976292
45,21.03809943,19.40282846,23.3313276
46,21.03681221,19.39936254,23.50036613
47,21.03561004,19.39584371,22.76048302
48,21.03458686,19.39329154,23.41558063
49,21.03511799,19.39126287,23.19674181
50,21.03544832,19.38978298,23.0725611
51,21.03572128,19.38872678,23.93371869
52,21.03617002,19.3875184,24.14567688
53,21.03659679,19.38645064,24.53564547
54,21.03702199,19.38550825,24.102227
55,21.03760491,19.38463339,24.2772211
56,21.03811089,19.38381059,22.95825656
57,21.03865079,19.38312829,23.89556925
58,21.03931911,19.3825197,22.93717733
59,21.04043053,19.38196177,23.75815287
60,21.04084373,19.38125049,23.11815267
61,21.04191326,19.38004171,24.10224439
62,21.0424166,19.3788363,24.45980111
63,21.04258715,19.37758234,24.82111119
64,21.04257736,19.37602304,22.58670775
65,21.04254571,19.37436694,23.69886402
66,21.04233951,19.37263558,23.86007332
67,21.0418387,19.37094125,23.18490662
68,21.04139007,19.36912087,24.14120251
69,21.04115851,19.36719648,22.33613889
70,21.04076681,19.36534903,23.06281466
71,21.04029053,19.36351346,24.10001326
72,21.05023137,19.40707298,23.87412414
73,21.06202521,19.45210789,24.40854803
74,21.06904361,19.45850887,25.1330875
75,21.07683326,19.46569489,24.01898334
76,21.08178886,19.46859515,23.91818477
77,21.08732587,19.47085046,24.4822382
78,21.09167861,19.47210379,25.41777199
79,21.09574424,19.47342009,24.71143489
80,21.09919377,19.47440363,25.71170705
81,21.10254896,19.47475302,23.07383863
82,21.10795031,19.47491392,24.52695556
83,21.10958866,19.47490342,23.78608891
