,t1,t18
0,22.9080949212,22.0072972797
1,22.9087311013,22.0031535882
2,22.9106171849,22.0010221704
3,22.9119063813,21.9998822258
4,22.9128586667,21.9993545081
5,22.9141934743,21.9992747419
6,22.9161880991,21.9995004034
7,22.9182089875,21.9999906824
8,22.7283573432,21.9824309164
9,22.655659641,21.9562926539
10,22.6508163104,21.9321944566
11,22.6433335306,21.9146922802
12,22.6450663706,21.9032170941
13,22.6520051792,21.8956659416
14,22.6605367288,21.8903324306
15,22.6700369516,21.8862562673
16,22.6805947929,21.8829788924
17,22.6941700896,21.880284668
18,22.7092803769,21.8780470178
19,22.7248786378,21.876164498
20,22.6372050416,21.8455657296
21,22.5408099317,21.8046872
22,22.4898964035,21.7696025865
23,22.4708403394,21.7452846108
24,22.4705835648,21.7296979239
25,22.478425593,21.7194195561
26,22.4878326794,21.7119889851
27,22.496803431,21.7061318268
28,22.5055717336,21.7012971044
29,22.5145884957,21.6972239924
30,22.5240305032,21.6937447894
31,22.5337916366,21.690725277
32,22.4345940188,21.6627549292
33,22.4426766918,21.6204322874
34,22.4131135405,21.5806325962
35,22.4123522106,21.550987469
36,22.414269637,21.5308927862
37,22.4184752835,21.5170777942
38,22.4196561859,21.5067253243
39,22.4152879844,21.4982348319
40,22.4019517777,21.4908849285
41,22.3834530724,21.4843733015
42,22.3648551795,21.4785372696
43,22.3458759161,21.4732384242
44,22.3132603462,21.4684270852
45,22.2555654547,21.4639719878
46,22.2246985351,21.4595990265
47,22.191581562,21.45546327
48,22.1570920959,21.4515666998
49,22.1222199153,21.4478618675
50,22.0916575504,21.4443150377
51,22.0668711737,21.4408908066
52,22.0463832339,21.4375689012
53,22.0284657849,21.4343338372
54,22.0120855275,21.4311813798
55,21.99658648,21.4281047412
56,22.004428181,21.4251833381
57,22.0082551199,21.4221362702
58,21.9982787817,21.4192555403
59,21.9904288694,21.4164265597
60,21.9823514185,21.4136574122
61,21.9743419947,21.4109386968
62,21.966490049,21.4082598411
63,21.9605536381,21.4056124864
64,21.9553064504,21.402996775
65,21.9497127541,21.4004115491
66,21.9447326888,21.3978569049
67,21.939708559,21.395329338
68,21.9307813565,21.3927986762
69,21.9238951403,21.3903349453
70,21.920577468,21.3878788386
71,21.9164889041,21.3854503859
72,21.9133837896,21.3830616094
73,21.9102094605,21.3807085801
74,21.9066087164,21.3783545126
75,21.902729234,21.3759971985
76,21.8984406008,21.3736513634
77,21.8938840971,21.371325835
78,21.8887675938,21.3690183427
79,21.8841638449,21.3667327729
80,21.9914444773,21.3658159564
81,22.0403707596,21.3637976133
82,22.0096108395,21.3609735751
83,22.0096340131,21.3583116072
84,22.0053829637,21.3558171078
85,22.0004053109,21.3534821846
86,21.9960682734,21.3512400511
87,21.9922944907,21.3490455045
88,21.987915029,21.3468672318
89,21.9839519956,21.3447080978
90,21.9797073571,21.3425641772
91,21.9757358599,21.3404362888
92,21.9213796413,21.3535635117
93,21.8532555112,21.3712409292
94,21.8902529936,21.3852375331
95,21.8939025778,21.393646924
96,21.8946093424,21.3979450377
97,21.8938207749,21.3999129925
98,21.8926009358,21.4007215545
99,21.8908956778,21.4009280038
100,21.8882585496,21.4007513376
101,21.8856130336,21.400285423
102,21.8829311793,21.3995951273
103,21.8798972952,21.3987334242
104,21.9588887477,21.4272126961
105,22.0524952518,21.465911999
106,22.1107291656,21.4992781061
107,22.1423688267,21.5222975426
108,22.1557999811,21.5366683459
109,22.161390789,21.5456001281
110,22.1645896348,21.5515051883
111,22.1672524712,21.5557116852
112,22.1694668097,21.5588030543
113,22.1711300157,21.5610728352
114,22.1721465733,21.5627105163
115,22.1713427418,21.5638720926
116,22.2664087104,21.5639474046
117,22.3231558363,21.564142602
118,22.2929421417,21.5643542702
119,22.2979942942,21.5648051867
120,22.2989682317,21.5651568968
121,22.2996170182,21.5653138955
122,22.3004764203,21.5653029008
123,22.3015729919,21.5651761774
124,22.3021501562,21.5649694731
125,22.302987553,21.5647035136
126,22.3037183453,21.5643870163
127,22.3044240702,21.5640341939
128,22.623080441,21.6268359758
129,22.6336788842,21.7210227681
130,22.6785260177,21.8081084809
131,22.7046765423,21.8734365154
132,22.7239368513,21.9191608629
133,22.7388263415,21.9518729545
134,22.7510357695,21.9769055644
135,22.7617631777,21.9973882638
136,22.7711297061,22.0145271171
137,22.7793658517,22.0288740694
138,22.786742705,22.0408931672
139,22.7932611823,22.0510530722
140,22.8950648399,22.116468191
141,22.9567676885,22.2155822685
142,23.0312798571,22.3084152703
143,23.0695086992,22.375634125
144,23.0877367789,22.4186334188
145,23.0974228082,22.4456938989
146,23.1049704841,22.4640954428
147,23.1121392422,22.4780853106
148,23.1189257244,22.4896219121
149,23.1250449974,22.4995282556
150,23.130533319,22.5082194324
151,23.135495916,22.5159869577
152,23.1691529684,22.5294023734
153,23.1855500001,22.5452040333
154,23.1964872502,22.5602800398
155,23.2050915564,22.5730671337
156,23.2119347291,22.5835229484
157,23.2171530753,22.5922462528
158,23.2213323727,22.5998516654
159,23.2248247628,22.6067561269
160,23.2278670533,22.6131735827
161,23.2307843955,22.6192382388
162,23.2334917349,22.6250458571
163,23.2361545469,22.6306589243
164,23.3046896722,22.6483304055
165,23.3673878012,22.6694925981
166,23.4115680196,22.6881619794
167,23.4359707445,22.7024487139
168,23.4485094217,22.71305076
169,23.4559514566,22.7213062838
170,23.461777408,22.7282469585
171,23.4669980804,22.7344432247
172,23.4716750466,22.7401620511
173,23.4757800218,22.7455319789
174,23.4793962897,22.7506329272
175,23.4826567175,22.7555259183
176,23.5051525402,22.7430399916
177,23.553616092,22.7222057769
178,23.5819271061,22.7040308209
179,23.5946259647,22.6919010324
180,23.5995140273,22.6850385217
181,23.6015371466,22.6815065153
182,23.6031354738,22.6797909355
183,23.6048805373,22.6790847369
184,23.6066810152,22.6790342453
185,23.6084219364,22.6794762873
186,23.6101391546,22.6803166948
187,23.6118623413,22.681461374
188,23.553289186,22.6284360057
189,23.5206009648,22.5508170244
190,23.4707773955,22.481047537
191,23.44387155,22.4304358019
192,23.426147347,22.39655367
193,23.4138529668,22.3735915524
194,23.4040924452,22.3569520829
195,23.3955076602,22.3440750688
196,23.3879679221,22.3337380304
197,23.381497586,22.3253196476
198,23.3759233415,22.3184187435
199,23.3711627092,22.3127198694
200,23.2129601162,22.2940024879
201,23.1612994413,22.2583256055
202,23.1368762906,22.2259696829
203,23.1196302874,22.2018607005
204,23.1089398133,22.1850284135
205,23.1005871596,22.1729731788
206,23.0933033133,22.1637603188
207,23.0866192386,22.1563092058
208,23.0805191249,22.1500836436
209,23.0749053167,22.1447950553
210,23.069993054,22.140250877
211,23.0655434924,22.1362921418
212,22.9851754668,22.1232341855
213,22.9457290616,22.1063669808
214,22.9341512807,22.0908173289
215,22.9240010725,22.078755398
216,22.9168678103,22.0698673345
217,22.9112119023,22.0631409564
218,22.9063704453,22.0577313905
219,22.9018872296,22.0531418624
220,22.8978675885,22.0491180829
221,22.8941367494,22.0455281932
222,22.8906926552,22.0422799005
223,22.8874499365,22.0393126626
224,22.8294194108,22.0269347128
225,22.8050868316,22.010590405
226,22.7952866164,21.9956367807
227,22.7872033584,21.9841247016
228,22.7815887517,21.9756631051
229,22.777140364,21.9692291682
230,22.7734322591,21.963999294
231,22.7699781051,21.95951144
232,22.7668463491,21.9555267514
233,22.7641433296,21.951919364
234,22.7615711889,21.9486054955
235,22.7592621371,21.945521251
236,22.7261168805,21.9427243107
237,22.7006210512,21.9400323812
238,22.6995818574,21.937310408
239,22.6958547487,21.9347030546
240,22.6931528918,21.9322306397
241,22.6907597003,21.9298637115
242,22.6886790073,21.9275716389
243,22.6866582347,21.9253363898
244,22.6847229331,21.9231494183
245,22.6827787278,21.9210066399
246,22.6809448622,21.9189049784
247,22.6791378593,21.9168415908
248,22.6976665533,21.9149207713
