,prediction,real
0,22.891970423,22.9087311013
1,22.8767369316,22.9106171849
2,22.8628703642,22.9119063813
3,22.8497590954,22.9128586667
4,22.8379431091,22.9141934743
5,22.8267663984,22.9161880991
6,22.8165227343,22.9182089875
7,22.8071099108,22.7283573432
8,22.7852835262,22.655659641
9,22.7657492283,22.6508163104
10,22.7493948885,22.6433335306
11,22.7356675687,22.6450663706
12,22.7239928791,22.6520051792
13,22.7140445136,22.6605367288
14,22.7057816791,22.6700369516
15,22.6990490076,22.6805947929
16,22.6937662293,22.6941700896
17,22.689885196,22.7092803769
18,22.6873139834,22.7248786378
19,22.6859976322,22.6372050416
20,22.660011793,22.5408099317
21,22.6380445197,22.4898964035
22,22.6202086377,22.4708403394
23,22.6055195379,22.4705835648
24,22.5933021612,22.478425593
25,22.5830840764,22.4878326794
26,22.5738681883,22.496803431
27,22.5655202034,22.5055717336
28,22.5579470401,22.5145884957
29,22.5510767032,22.5240305032
30,22.5448504444,22.5337916366
31,22.5392203762,22.4345940188
32,22.5180650167,22.4426766918
33,22.5010455842,22.4131135405
34,22.4875238137,22.4123522106
35,22.4762729541,22.414269637
36,22.4672632726,22.4184752835
37,22.4596620213,22.4196561859
38,22.4518305278,22.4152879844
39,22.443644135,22.4019517777
40,22.4350424331,22.3834530724
41,22.4259099803,22.3648551795
42,22.4161065507,22.3458759161
43,22.4057466155,22.3132603462
44,22.393517777,22.2555654547
45,22.3808917732,22.2246985351
46,22.3673013587,22.191581562
47,22.3530350557,22.1570920959
48,22.3380677685,22.1222199153
49,22.3223785232,22.0916575504
50,22.3070303182,22.0668711737
51,22.292020511,22.0463832339
52,22.2773468665,22.0284657849
53,22.2629795116,22.0120855275
54,22.2488842002,21.99658648
55,22.2351122861,22.004428181
56,22.2201165403,22.0082551199
57,22.2071869556,21.9982787817
58,22.1937146505,21.9904288694
59,22.1803086372,21.9823514185
60,22.167156975,21.9743419947
61,22.1541094293,21.966490049
62,22.1415555838,21.9605536381
63,22.1295202105,21.9553064504
64,22.1179846444,21.9497127541
65,22.1069512946,21.9447326888
66,22.0963413366,21.939708559
67,22.0862226148,21.9307813565
68,22.0769680023,21.9238951403
69,22.0676183005,21.920577468
70,22.0589587436,21.9164889041
71,22.0507884126,21.9133837896
72,22.0429905762,21.9102094605
73,22.0356937281,21.9066087164
74,22.0283588718,21.902729234
75,22.0209798354,21.8984406008
76,22.0135536466,21.8938840971
77,22.0060731785,21.8887675938
78,21.9985759764,21.8841638449
79,21.9909552838,21.9914444773
80,21.9799825804,22.0403707596
81,21.9742881212,22.0096108395
82,21.966294571,22.0096340131
83,21.9578976148,22.0053829637
84,21.9498255201,22.0004053109
85,21.9417847834,21.9960682734
86,21.9338883956,21.9922944907
87,21.926184972,21.987915029
88,21.9187373299,21.9839519956
89,21.9114312462,21.9797073571
90,21.9043543811,21.9757358599
91,21.8974386296,21.9213796413
92,21.9064474352,21.8532555112
93,21.9129278294,21.8902529936
94,21.9166108587,21.8939025778
95,21.9206903384,21.8946093424
96,21.9238916811,21.8938207749
97,21.9266586778,21.8926009358
98,21.9290239888,21.8908956778
99,21.9309889444,21.8882585496
100,21.9326359319,21.8856130336
101,21.9341102318,21.8829311793
102,21.9354123638,21.8798972952
103,21.9364167609,21.9588887477
104,21.9625230175,22.0524952518
105,21.9868550001,22.1107291656
106,22.0076567996,22.1423688267
107,22.0261088437,22.1557999811
108,22.0430238185,22.161390789
109,22.0586490937,22.1645896348
110,22.073347518,22.1672524712
111,22.0872557678,22.1694668097
112,22.1006356158,22.1711300157
113,22.1135223553,22.1721465733
114,22.1258248204,22.1713427418
115,22.1375975585,22.2664087104
116,22.1450302334,22.3231558363
117,22.1574846135,22.2929421417
118,22.1686675764,22.2979942942
119,22.1781496313,22.2989682317
120,22.1880148479,22.2996170182
121,22.1976349703,22.3004764203
122,22.2070157575,22.3015729919
123,22.2161904162,22.3021501562
124,22.2251900656,22.302987553
125,22.2339755119,22.3037183453
126,22.2425889575,22.3044240702
127,22.251029534,22.623080441
128,22.3042576596,22.6336788842
129,22.3480713878,22.6785260177
130,22.3846978121,22.7046765423
131,22.4158748003,22.7239368513
132,22.4429443704,22.7388263415
133,22.4669945828,22.7510357695
134,22.4886577051,22.7617631777
135,22.5082852345,22.7711297061
136,22.5262148236,22.7793658517
137,22.5426663473,22.786742705
138,22.5578326409,22.7932611823
139,22.5719025365,22.8950648399
140,22.6330305976,22.9567676885
141,22.6855715192,23.0312798571
142,22.7296949097,23.0695086992
143,22.7684152681,23.0877367789
144,22.803141441,23.0974228082
145,22.835139532,23.1049704841
146,22.8650942033,23.1121392422
147,22.8933694615,23.1189257244
148,22.9201679876,23.1250449974
149,22.945646296,23.130533319
150,22.9699122113,23.135495916
151,22.9930666801,23.1691529684
152,23.0247363416,23.1855500001
153,23.0550703745,23.1964872502
154,23.0834190414,23.2050915564
155,23.1102465009,23.2119347291
156,23.1357226996,23.2171530753
157,23.1600076716,23.2213323727
158,23.1831770484,23.2248247628
159,23.2053286177,23.2278670533
160,23.226520267,23.2307843955
161,23.2467763899,23.2334917349
162,23.2661672035,23.2361545469
163,23.2846962539,23.3046896722
164,23.3056874331,23.3673878012
165,23.3251101593,23.4115680196
166,23.3425971067,23.4359707445
167,23.3587247444,23.4485094217
168,23.3737262138,23.4559514566
169,23.3878075972,23.461777408
170,23.4010743725,23.4669980804
171,23.4135975496,23.4716750466
172,23.4254279207,23.4757800218
173,23.4366060817,23.4793962897
174,23.4471660986,23.4826567175
175,23.4571369802,23.5051525402
176,23.453756247,23.553616092
177,23.4529606781,23.5819271061
178,23.4532118139,23.5946259647
179,23.454482289,23.5995140273
180,23.4562660115,23.6015371466
181,23.4583041937,23.6031354738
182,23.4604532025,23.6048805373
183,23.4626314783,23.6066810152
184,23.464786535,23.6084219364
185,23.4668801574,23.6101391546
186,23.4688817358,23.6118623413
187,23.4707691266,23.553289186
188,23.4355527826,23.5206009648
189,23.4087668602,23.4707773955
190,23.3868650587,23.44387155
191,23.3692373552,23.426147347
192,23.3544657274,23.4138529668
193,23.34168214,23.4040924452
194,23.3303750324,23.3955076602
195,23.3202716593,23.3879679221
196,23.3111364517,23.381497586
197,23.3028061844,23.3759233415
198,23.2951611127,23.3711627092
199,23.2880878505,23.2129601162
200,23.2667095088,23.1612994413
201,23.247568016,23.1368762906
202,23.2313524345,23.1196302874
203,23.2173933862,23.1089398133
204,23.2049602882,23.1005871596
205,23.1937324109,23.0933033133
206,23.1834622995,23.0866192386
207,23.1740101404,23.0805191249
208,23.1652661482,23.0749053167
209,23.1571557576,23.069993054
210,23.1495851017,23.0655434924
211,23.1425210786,22.9851754668
212,23.1284252373,22.9457290616
213,23.1150315147,22.9341512807
214,23.1034711128,22.9240010725
215,23.0929603625,22.9168678103
216,23.0833504809,22.9112119023
217,23.074462262,22.9063704453
218,23.0661697641,22.9018872296
219,23.0584227834,22.8978675885
220,23.0511413263,22.8941367494
221,23.0443061543,22.8906926552
222,23.0378687016,22.8874499365
223,23.0318102193,22.8294194108
224,23.0193331951,22.8050868316
225,23.0080160689,22.7952866164
226,22.9982283884,22.7872033584
227,22.9894873945,22.7815887517
228,22.9815877147,22.777140364
229,22.9743750924,22.7734322591
230,22.9677210762,22.7699781051
231,22.9615948543,22.7668463491
232,22.9559220675,22.7641433296
233,22.9506637834,22.7615711889
234,22.9458127961,22.7592621371
235,22.941317552,22.7261168805
236,22.9359939041,22.7006210512
237,22.9301668713,22.6995818574
238,22.9250534291,22.6958547487
239,22.9201765385,22.6931528918
240,22.9155849154,22.6907597003
241,22.9112872767,22.6886790073
242,22.9072423694,22.6866582347
243,22.9034657898,22.6847229331
244,22.8999333483,22.6827787278
245,22.8966486718,22.6809448622
246,22.8935889408,22.6791378593
247,22.8907588279,22.6976665533
248,22.8888446245,22.7115491496
249,22.8876710058,22.7103096005
250,22.8864685026,22.7119547836
251,22.8855135451,22.7133112605
252,22.884752928,22.7146992212
