,prediction,real
0,22.949216003,
1,22.9292142936,22.955427146
2,22.9004774384,22.9243969283
3,22.870758532,22.892222931
4,22.8468529215,22.8662562587
5,22.8293616051,22.8472481732
6,22.81595667,22.832772207
7,22.8044632134,22.8205029636
8,22.7937800612,22.8092242671
9,22.7836298286,22.7985926878
10,22.7740392945,22.788599849
11,22.7650754636,22.7792940402
12,22.7582607786,22.7718018889
13,22.7500809971,22.7634575721
14,22.7420890796,22.7552606359
15,22.7352971941,22.748330635
16,22.7289608679,22.7418631814
17,22.7229822095,22.7357748253
18,22.7172933928,22.729992303
19,22.7118493464,22.7244536003
20,22.706638052,22.7191608287
21,22.7016189264,22.7140775307
22,22.6967590537,22.7091484824
23,22.6920682791,22.7043949474
24,22.6446586491,22.674262159
25,22.6094453268,22.6352441694
26,22.5813726551,22.6037549305
27,22.5624987672,22.5823995497
28,22.5495522898,22.5677947468
29,22.5390617165,22.5561732616
30,22.529268189,22.5455452831
31,22.5196793362,22.5353032253
32,22.5103487483,22.5254136114
33,22.5013502893,22.5159403413
34,22.492700889,22.5068787611
35,22.4843672544,22.498177541
36,22.4768954295,22.4901672778
37,22.4694177375,22.4823877777
38,22.4625944458,22.4752727462
39,22.4561263539,22.4685216427
40,22.4499281218,22.4620606858
41,22.4439672611,22.4558446701
42,22.4382117019,22.4498477236
43,22.4326459776,22.4440572962
44,22.4272526594,22.4384394632
45,22.4220137211,22.4329839895
46,22.4169359435,22.4276902425
47,22.4119829874,22.4225307165
48,22.4070990853,22.417300401
49,22.4015577946,22.4115633383
50,22.3959999193,22.4058182625
51,22.3904421769,22.4000712325
52,22.3849331786,22.394378452
53,22.37951256,22.3887710009
54,22.3741734572,22.3832512074
55,22.3689059851,22.3778004366
56,22.3636919461,22.3724092067
57,22.3585449511,22.3670832801
58,22.3534354725,22.3618133869
59,22.3483952907,22.3566003345
60,22.3436550184,22.3518462843
61,22.3400558979,22.3480621372
62,22.3367901828,22.3446390486
63,22.3338049435,22.3414942609
64,22.3309586011,22.3384783494
65,22.3281735462,22.3355312779
66,22.3254533301,22.3326517857
67,22.3228004701,22.3298370358
68,22.3202088092,22.3270932337
69,22.3176785761,22.3244114493
70,22.3152169003,22.321793707
71,22.3128144681,22.3192308684
72,22.353995343,22.3422632619
73,22.3804295716,22.3723389013
74,22.4003207304,22.3954291215
75,22.4112218521,22.4086083234
76,22.416290844,22.4151716196
77,22.4188881872,22.4187577942
78,22.4207950756,22.4213482229
79,22.4224982129,22.4235717288
80,22.4239702214,22.4254546711
81,22.4251503988,22.4269481621
82,22.4259897839,22.4280422839
83,22.4265487023,22.428810283
84,22.4699693274,22.4532200697
85,22.5002813305,22.487337445
86,22.525773294,22.5163973552
87,22.5428327455,22.5362021529
88,22.5538596679,22.5491748451
89,22.5620491934,22.5587602184
90,22.5725126757,22.5670430363
91,22.5813539693,22.5752852928
92,22.5911453109,22.5843203073
93,22.6024109486,22.5946980149
94,22.6153085927,22.6066124869
95,22.6297189783,22.6199655261
96,22.5612888284,22.5797967069
97,22.5219820349,22.5335561339
98,22.4999888595,22.5055941498
99,22.4959516367,22.4972749901
100,22.5017931893,22.5001956129
101,22.510760428,22.5070756695
102,22.5189640276,22.5146846797
103,22.5271207209,22.522451737
104,22.5355464091,22.5306192672
105,22.5444490805,22.5393590582
106,22.5538179553,22.5486338475
107,22.5635378302,22.5583079669
108,22.5304927447,22.5429405847
109,22.5118286546,22.5204169444
110,22.500344698,22.5055512311
111,22.4978898564,22.5006940612
112,22.5009916391,22.5022149156
113,22.5063068323,22.5064629799
114,22.5127216731,22.5116733726
115,22.5195562006,22.5175048666
116,22.5270671741,22.5241499802
117,22.5354999838,22.5318158927
118,22.5449730021,22.5405888658
119,22.5554848648,22.5504587631
120,22.5672315263,22.5616001703
121,22.5805572913,22.5743770654
122,22.5954817487,22.5888113147
123,22.6115387926,22.6044087945
124,22.628606057,22.6210172713
125,22.6466539434,22.6386201858
126,22.6649895683,22.6571282693
127,22.684194758,22.6764673372
128,22.704090978,22.6964705161
129,22.7245434153,22.7170231664
130,22.7453283148,22.7379060424
131,22.7663570334,22.7590337631
132,22.712584902,22.7323319797
133,22.6817991921,22.6962754526
134,22.6659693688,22.6758529681
135,22.6674871076,22.6741147954
136,22.6785469,22.6830225625
137,22.6923416726,22.6953494213
138,22.7059277838,22.707765318
139,22.7187751182,22.7196460432
140,22.7312256475,22.7312583451
141,22.7435770936,22.7428672731
142,22.7558996259,22.7545215249
143,22.7681758786,22.7661875983
144,22.7122057122,22.7072462058
145,22.7133231212,22.7065165157
146,22.7519776197,22.7454841321
147,22.7897305281,22.7839906758
148,22.8145286589,22.8093035424
149,22.8291007757,22.824025033
150,22.8390179582,22.8341177524
151,22.8481539678,22.8433061759
152,22.8575252575,22.8526833623
153,22.8669363062,22.8620846717
154,22.8760275376,22.8711595588
155,22.8846279343,22.8797397133
156,22.8118815313,22.8378645941
157,22.7636756407,22.7833791677
158,22.7298554876,22.7441090553
159,22.7130206932,22.7235445487
160,22.7056771401,22.713883903
161,22.701193423,22.7079227427
162,22.6966879244,22.7023540055
163,22.6917250445,22.6965462919
164,22.6866395271,22.6907524861
165,22.6816812661,22.6851903188
166,22.6768814003,22.6798713483
167,22.6721686089,22.6747071946
168,22.5880241714,22.5866596425
169,22.5709380747,22.5677429976
170,22.5969897084,22.594735485
171,22.6230224708,22.62223649
172,22.6340583123,22.6342826191
173,22.6331961599,22.6338693454
174,22.6270716546,22.6281246038
175,22.6201719091,22.6214656135
176,22.6136659025,22.6151648307
177,22.6073212575,22.6090219769
178,22.6007333841,22.6026360457
179,22.5937234945,22.5958270017
180,22.591769091,22.5923340031
181,22.5818520571,22.5834063293
182,22.5712373585,22.572970443
183,22.5615411947,22.5634622279
184,22.5529664572,22.5551031683
185,22.5452075426,22.547540548
186,22.5372721661,22.5403669385
187,22.5295857356,22.5333045866
188,22.5219200096,22.526191519
189,22.5139147381,22.5187162848
190,22.5051730746,22.5104968822
191,22.4954182242,22.5012576822
192,22.5215565141,22.5155491613
193,22.5370906417,22.534170851
194,22.5431128826,22.542763021
195,22.5393960169,22.5409001359
196,22.5298947533,22.5327083125
197,22.517807652,22.5216089352
198,22.5048461652,22.5091188067
199,22.4908317264,22.4955046585
200,22.4756378037,22.4806705834
201,22.4612981357,22.4727047496
202,22.440546155,22.4511354789
203,22.4198233076,22.429812395
204,22.4380876223,22.433014844
205,22.4408843535,22.4378169823
206,22.4366698731,22.4352793311
207,22.4238634286,22.4234812397
208,22.4065019623,22.406613602
209,22.3879506706,22.3882545793
210,22.3697319849,22.3700706829
211,22.3521563256,22.3524445249
212,22.3351466669,22.3353321086
213,22.3186099186,22.3186560851
214,22.3025090654,22.3023881925
215,22.2868727319,22.2865654157
216,22.4030395067,22.3519365032
217,22.4780366924,22.4379926222
218,22.5328930427,22.5030293015
219,22.5610674614,22.5386289112
220,22.5740046047,22.5565647437
221,22.5817066498,22.5676834218
222,22.5887041831,22.5771809444
223,22.5958474296,22.586281342
224,22.6027588518,22.5947887492
225,22.6090951229,22.6024527921
226,22.6147978406,22.6092749424
227,22.6199597018,22.6153940153
228,22.7879982483,22.7208135209
229,22.9022882539,22.8487197906
230,22.9889349766,22.9477002652
231,23.0406890826,23.0089270506
232,23.0708500483,23.0457850282
233,23.0922803342,23.0718944358
234,23.1114732125,23.0944931452
235,23.1301198241,23.1157723707
236,23.1480215323,23.1358154994
237,23.1647964326,23.1543931946
238,23.1803491088,23.1715002817
239,23.1947765184,23.1872941242
240,23.2446511518,23.2168158651
241,23.2849357505,23.2616135842
242,23.3229009343,23.3040426077
243,23.3557246949,23.3406888229
244,23.3802760094,23.3680969639
245,23.3997598157,23.3897325079
246,23.4168448816,23.4085435448
247,23.4328442309,23.4260260641
248,23.4473523322,23.4418133629
249,23.4599598143,23.4555044838
250,23.4709551545,23.4674255435
251,23.4808934087,23.4781705762
252,23.4736186638,23.4827491837
253,23.4791152884,23.4865934555
254,23.4848681077,23.4910751494
255,23.4882634928,23.4936914082
256,23.4905762471,23.4956734214
257,23.4925502985,23.4976128955
258,23.4943620952,23.4995197617
259,23.4961668793,23.5014935195
260,23.4979149984,23.5034559491
261,23.4995824147,23.5053720472
262,23.5011628907,23.5072292133
263,23.5026595809,23.509025011
264,23.4621938159,23.4858489514
265,23.4330584737,23.4531637184
266,23.4113894908,23.4284998566
267,23.3986959055,23.4137916669
268,23.3917816865,23.4056759576
269,23.387227719,23.4004236453
270,23.3832364606,23.3960092867
271,23.3793381642,23.3918440716
272,23.3756110977,23.3879543367
273,23.3721679579,23.3844265385
274,23.3690156043,23.3812496256
275,23.3661096091,23.3783652701
276,23.2834101389,23.3293677348
277,23.2222584417,23.2608368735
278,23.1690630261,23.2007474432
279,23.1349884231,23.1616003481
280,23.1132694018,23.1363227132
281,23.0972603266,23.1177317581
282,23.0828476014,23.1014598585
283,23.0687813072,23.0859873531
284,23.0550707286,23.0711875751
285,23.0419365942,23.0572035013
286,23.0294774288,23.044079592
287,23.0176866088,23.0317504082
288,23.0082251272,23.0262235351
289,22.9928088334,23.009063529
290,22.9770485976,22.9916845298
291,22.9639265647,22.977341718
292,22.9532646546,22.9657836913
293,22.9440059049,22.9558534827
294,22.9353643013,22.9466513103
295,22.9271937218,22.9380062917
296,22.9194508255,22.9298456227
297,22.9121382839,22.9221638748
298,22.9052717999,22.9149581368
299,22.8987707989,22.9081655063
300,22.8709835314,22.8889830051
301,22.8497026979,22.8655972018
302,22.8318453514,22.8457984166
303,22.8186239152,22.8310912289
304,22.8085144354,22.8199093715
305,22.7998325476,22.8104342798
306,22.7917058974,22.801687006
307,22.7838129615,22.7932788065
308,22.7761976854,22.7852235653
309,22.7688541673,22.7775082616
310,22.7618276599,22.7701430358
311,22.7550748131,22.7630786893
312,22.7243688518,22.7418013784
313,22.7052591925,22.7203897869
314,22.6881494914,22.7013566166
315,22.6745692075,22.686268594
316,22.6647817354,22.6754306565
317,22.6562474942,22.6661355357
318,22.6480213778,22.6572896388
319,22.6398850444,22.6486429204
320,22.631967855,22.640269538
321,22.6242814422,22.6321781532
322,22.6168636624,22.6244079211
323,22.6096920995,22.6168978805
324,22.6044582933,22.6137660546
325,22.5999363047,22.6082381251
326,22.5921848775,22.5998990471
327,22.582818136,22.5901397001
328,22.574464904,22.5814702323
329,22.5669590392,22.5736836611
330,22.5598165385,22.566284726
331,22.5527674431,22.5590026249
332,22.5457431088,22.5517653585
333,22.5387770226,22.544585669
334,22.5319015753,22.5375054885
335,22.5251535214,22.5305531094
336,22.5169708139,22.5230691339
337,22.5120567544,22.5175883783
