,prediction,real
0,22.0974031003,22.1062008023
1,22.0868242389,22.1042283533
2,22.0769931703,22.1023051836
3,22.0677671248,22.1007982116
4,22.0590680578,22.0999337194
5,22.0508350917,22.0996215502
6,22.0430295538,22.0998481101
7,22.0356228398,22.07711209
8,22.0091376074,22.0459646301
9,21.9871267709,22.0200544684
10,21.9688606724,22.003794486
11,21.9534604304,21.9945145301
12,21.940143677,21.9885750684
13,21.9283733305,21.9839521064
14,21.9179279345,21.9800385566
15,21.9086325299,21.9768135041
16,21.9003798683,21.9743547432
17,21.8931049531,21.9726918803
18,21.8867540638,21.9718030407
19,21.8812797902,21.9223134854
20,21.8489495892,21.8614063204
21,21.8224363792,21.8164564439
22,21.8009332385,21.7917557786
23,21.7831370052,21.779695944
24,21.767978852,21.7728492185
25,21.754735905,21.7675355338
26,21.7425626432,21.7628301912
27,21.7311915654,21.7588432523
28,21.7204623667,21.7557260488
29,21.7102704221,21.7534660467
30,21.7005398165,21.7519616661
31,21.6912129995,21.7164454346
32,21.6570991599,21.6675845398
33,21.6287857564,21.6280849693
34,21.6061668282,21.6037512182
35,21.587780531,21.5898551499
36,21.5722584887,21.5808710538
37,21.558688992,21.5736882639
38,21.5458410977,21.5672470173
39,21.533510923,21.5613235901
40,21.521619953,21.5557012399
41,21.5100624991,21.5500779667
42,21.4985943063,21.5441707802
43,21.4871356788,21.5381829545
44,21.4743063831,21.5320019818
45,21.4618108128,21.524992964
46,21.4493534602,21.5173825085
47,21.4366904031,21.5090690035
48,21.4237484194,21.4999036771
49,21.4104871715,21.4898592433
50,21.3974394612,21.4790437786
51,21.3846171636,21.4677022317
52,21.3720358537,21.456095294
53,21.359688327,21.4444476603
54,21.3475661091,21.4329011515
55,21.3356740664,21.4213812654
56,21.3242432267,21.4092517739
57,21.3129985636,21.397367777
58,21.3019549897,21.3856382378
59,21.2911093988,21.3741871212
60,21.2804583823,21.3630199971
61,21.2700031175,21.3521047999
62,21.2599032981,21.3414219457
63,21.2501526495,21.3310018189
64,21.240774234,21.3208847224
65,21.2317616718,21.3111022784
66,21.223102284,21.3016582501
