,z0,z1,z2,z3,z4,z5,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp5,sp,m,rh
0,19.9999539948,19.9999472918,23.2999207341,19.9999798963,19.9998509745,19.9997925308,-2.29166666667,0.0,1554.06725825,19.9999350516,19.9997559404,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.33586380161,15739.4811566
1,19.9999288389,19.9999226359,23.2963178298,19.9999674148,19.9999522008,19.9996968319,-1.78333333333,0.0,1554.06725825,19.9999201451,19.9997221999,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.31720505099,15391.4817794
2,19.9998622967,19.9998565129,23.2884947631,19.9999315936,19.9999094336,19.9999125768,-1.275,0.0,1554.06725825,19.9999091854,19.9995117412,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.29235036169,14930.0865505
3,19.9998467602,19.9998418006,23.2811816899,19.9999180259,19.9998980837,19.9999163575,-0.766666666667,0.0,1554.06725825,19.9998976189,20.0000783105,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.2653030866,14433.7617056
4,19.9998312061,19.9998275795,23.2782950283,19.9999018259,19.9998862606,19.9999085206,-0.258333333333,0.0,1554.06725825,19.9998831722,19.9998340977,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.23604418265,13904.4890043
5,19.9998130516,19.999811179,23.2802445427,19.99988137,19.9998721794,19.999898546,0.25,0.0,1554.06725825,19.9998654625,19.9995100597,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.20472932006,13346.5471486
6,19.9997916614,19.9997921091,23.2859204309,19.9999592491,19.9998549609,19.9998868403,0.758333333333,0.0,1554.06725825,19.9998958874,19.998862256,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.17161911392,12766.4989857
7,19.9997664844,19.9997699975,23.2943414254,19.9999508074,19.9998451993,19.9998796068,1.26666666667,0.0,1554.06725825,19.9998827929,19.9989611338,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.13843121488,12199.6996727
8,19.9997368417,19.9997443944,23.3050821617,19.9999361234,19.9998268304,19.9998653166,1.775,0.0,1554.06725825,19.9998635519,19.9992091563,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.10133459971,11575.3514248
9,19.9997019066,19.9997147639,23.3180712503,19.9999158548,19.9998033172,19.9998479811,2.28333333333,0.0,1554.06725825,19.9998391608,19.9993879011,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.06182693936,10925.8796453
10,19.9998928461,19.9996643344,23.3333369754,19.9999622759,19.9997751601,19.9998276758,2.79166666667,0.0,1554.06725825,19.9998681971,19.9987704471,20.0,20.0,20.0,20.0,20.0,20.0,20.0,1.01743994886,10213.7222639
11,19.9998837444,19.9996209688,23.3508935031,19.9999483755,19.9997415086,19.999803903,3.3,0.0,1554.06725825,19.9998444882,19.9994506222,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.972918279225,9523.13154725
12,20.1422438663,20.141811467,23.3579499439,20.1444069503,20.1422128637,20.1416828238,3.20833333333,0.0,1554.06725825,20.1433277916,20.0766658722,20.15,20.15,20.15,20.15,20.15,20.15,20.15,1.50435164641,19054.1169522
13,20.1495361796,20.1495467783,23.3520369707,20.1498135762,20.1496088332,20.1494204827,3.11666666667,0.0,1554.06725825,20.149634717,20.1476967111,20.15,20.15,20.15,20.15,20.15,20.15,20.15,0.833778993867,7607.45655842
14,20.1497772335,20.1497817524,23.3376692667,20.1498744041,20.149868236,20.1498761626,3.025,0.0,1554.06725825,20.1498507393,20.1492306084,20.15,20.15,20.15,20.15,20.15,20.15,20.15,1.20033281071,13226.2932491
15,20.1497609853,20.1497701298,23.3197244815,20.1499503132,20.1498635391,20.1498857342,2.93333333333,0.0,1554.06725825,20.1498853223,20.1490749558,20.15,20.15,20.15,20.15,20.15,20.15,20.15,1.14742729395,12313.2833851
16,20.1497679852,20.1497727806,23.300819082,20.1499551955,20.1498680334,20.1498878322,2.84166666667,0.0,1554.06725825,20.1498898683,20.1487912842,20.15,20.15,20.15,20.15,20.15,20.15,20.15,1.15541022709,12448.852736
17,20.1497779599,20.1497781772,23.2816968877,20.1499586706,20.1498741049,20.1498905415,2.75,0.0,1554.06725825,20.1498947648,20.1484506109,20.15,20.15,20.15,20.15,20.15,20.15,20.15,1.16681912311,12644.0236449
18,20.1497880492,20.1497840468,23.2623292576,20.1499617451,20.1498801992,20.1498934824,2.65833333333,0.0,1554.06725825,20.149899542,20.1494856328,20.15,20.15,20.15,20.15,20.15,20.15,20.15,1.1782284149,12840.7013932
19,20.1497979532,20.1497901185,23.2425988617,20.1498653207,20.149886156,20.1498965358,2.56666666667,0.0,1554.06725825,20.149854093,20.1491820458,20.15,20.15,20.15,20.15,20.15,20.15,20.15,1.1893920407,13034.5313076
20,20.1498076171,20.1497963122,23.2224901849,20.1498718919,20.1498919435,20.1498996585,2.475,0.0,1554.06725825,20.1498604266,20.1485589585,20.15,20.15,20.15,20.15,20.15,20.15,20.15,1.2013829042,13243.9824724
21,20.1498170055,20.1498025698,23.2020535003,20.1498805896,20.1498975422,20.149902819,2.38333333333,0.0,1554.06725825,20.1498678028,20.149192846,20.15,20.15,20.15,20.15,20.15,20.15,20.15,1.21299671784,13448.2508623
22,20.1498260927,20.1498088445,23.1813428616,20.1498888312,20.149902939,20.1499059923,2.29166666667,0.0,1554.06725825,20.1498749086,20.1492638399,20.15,20.15,20.15,20.15,20.15,20.15,20.15,1.22491058609,13659.0820991
23,20.1498445765,20.1498242554,23.1604433779,20.1498964117,20.1499080966,20.1499091445,2.2,0.0,1554.06725825,20.14988381,20.1498230387,20.15,20.15,20.15,20.15,20.15,20.15,20.15,1.2397048397,13921.8504223
24,20.301086112,20.3004549388,23.1277687153,20.30340738,20.3014297073,20.3008080839,2.10833333333,0.0,1247.21197579,20.3023450839,20.1713169996,20.31,20.31,20.31,20.31,20.31,20.31,20.31,1.78693737098,24936.8407355
25,20.3094601261,20.3093765815,23.0896559462,20.3097685648,20.3095401858,20.3094719328,2.01666666667,0.0,1247.21197579,20.3096102299,20.1934670321,20.31,20.31,20.31,20.31,20.31,20.31,20.31,1.20770762066,13328.3898619
26,20.309686896,20.3094478238,23.0537779393,20.3099023509,20.3098011489,20.3096804791,1.925,0.0,1247.21197579,20.3097857154,20.2052124826,20.31,20.31,20.31,20.31,20.31,20.31,20.31,1.52874823591,19378.8425594
