,t61,t62,t63,t64
0,21.4075903093,20.8428595548,21.7195253476,21.8044580956
1,21.4089715688,20.8600275696,21.7192593887,21.8715974158
2,21.3979393411,20.879906533,21.7073081926,21.9242336504
3,21.3840275218,20.9002655506,21.6936070857,21.9712632586
4,21.373513244,20.919971011,21.6837138438,22.0173006606
5,21.3697633851,20.9397098646,21.6804973134,22.0631825759
6,21.366260326,20.9392229528,21.6772543257,22.1059065767
7,21.3623754565,20.9396227754,21.6735579498,22.1444992265
8,21.3563287731,20.5406827719,21.6675839805,22.2546541781
9,21.348186745,20.4606955059,21.6598233246,22.3733896314
10,21.3380395554,20.4609040878,21.6504371947,22.4531937759
11,21.3324158927,20.4598271976,21.645973971,22.5126826691
12,21.3319252027,20.4597344094,21.6468121989,22.5752922221
13,21.3322877166,20.4603091729,21.6484391902,22.6363236472
14,21.3329976299,20.45967796,21.650322406,22.6929800644
15,21.3348781264,20.4602994582,21.6532955376,22.7469659984
16,21.3381945518,20.4602778333,21.6575857917,22.7994318723
17,21.3427695496,20.4600343099,21.6629675017,22.851988889
18,21.3483573438,20.459812284,21.6691683105,22.902298425
19,21.3547469084,20.4600297519,21.6759907025,22.9500558577
20,21.0977711382,20.2637411855,21.4277517137,22.8726123287
21,20.8261043774,20.2610813243,21.1692989657,22.8057527015
22,20.6758946705,20.2596807477,21.0297904954,22.7958178371
23,20.6272395155,20.2604025461,20.9863217926,22.8125357268
24,20.6169764768,20.2602166418,20.9766397249,22.8286401527
25,20.6091508934,20.2597650939,20.9673973728,22.841184765
26,20.5972709369,20.2605581081,20.9539287953,22.8508547296
27,20.5836507748,20.2603938443,20.9390354383,22.8595618058
28,20.5725717833,20.2600085401,20.9268522647,22.8685383124
29,20.5652806127,20.260088135,20.9184115723,22.877692421
30,20.560805879,20.2606892282,20.9126741554,22.886778688
31,20.5579662097,20.2602926129,20.9085057988,22.8957414608
32,20.6415775852,20.5369887902,20.8990566354,23.0672130749
33,20.6422027855,20.6396123408,20.8850101153,23.2365787709
34,20.640608643,20.6405435485,20.876629526,23.3365611285
35,20.6432344301,20.6401662499,20.8746571259,23.3971525816
36,20.6411773798,20.6405412695,20.8753615982,23.4504035149
37,20.6393734887,20.640601186,20.8771197063,23.5030212799
38,20.6401110281,20.6406436147,20.8788486292,23.5464402266
39,20.6425492271,20.6396959544,20.8802212754,23.5806316114
40,20.6416958283,20.640195877,20.8810798619,23.6046955
41,20.6401934822,20.6399062652,20.8815516258,23.6259622365
42,20.6431518072,20.6408136524,20.8817688485,23.6472245958
43,20.6401328814,20.6396171313,20.881634213,23.6672032551
44,20.6065557749,20.3950427231,20.8818630468,23.6868469286
45,20.573889036,20.390159428,20.8817187748,23.7009734394
46,20.5554540178,20.3900232309,20.8797175605,23.7108603202
47,20.5489376875,20.389563798,20.8778792998,23.7243378508
48,20.5466475544,20.3903564486,20.8764570911,23.7361332832
49,20.5439800179,20.3900718873,20.8748868384,23.7475848836
50,20.5397800654,20.390256535,20.8725344329,23.7613681038
51,20.5345258134,20.3898586037,20.8692883862,23.7765579131
52,20.5289273881,20.3900755318,20.8654730801,23.7918969247
53,20.5265932926,20.3901936227,20.8647066549,23.8081654656
54,20.5245330417,20.390380406,20.8640226185,23.8240206583
55,20.5210631495,20.3898526645,20.8618088088,23.8392983262
56,20.5161411596,20.4869968466,20.8580997599,23.8537693939
57,20.5082735611,20.489477384,20.8513823203,23.8640228915
58,20.4977688294,20.4904145017,20.8419826723,23.8759009635
59,20.4908418659,20.4901318184,20.832003118,23.8870955321
60,20.489056994,20.490416254,20.8231236188,23.8983609663
61,20.4901003289,20.4904578921,20.8150762875,23.909556805
62,20.4923571602,20.4902034287,20.8077688315,23.9215671611
63,20.4915722817,20.4901903001,20.8010541832,23.935500457
64,20.4912145106,20.4904925914,20.794790271,23.9493344869
65,20.4930928724,20.4899989877,20.7888690394,23.9626772082
66,20.4932847671,20.4897814242,20.7832610037,23.9759850707
67,20.4907790695,20.4903742117,20.7779371241,23.9894061709
68,20.4723545881,20.4704999619,20.7731024395,23.9201509888
69,20.4686628743,20.4703249556,20.7692056762,23.8479553242
70,20.4726462837,20.4695344683,20.7654144538,23.8173775709
71,20.4720241659,20.4700823478,20.7618222198,23.8076166645
72,20.4715923493,20.4702669233,20.7584191186,23.8000070634
73,20.4712273778,20.4705634465,20.7552576796,23.7926170702
74,20.4695811343,20.4707293698,20.7515266013,23.7861542747
75,20.4699259956,20.4704701613,20.7469182749,23.7809861749
76,20.4728075982,20.4697015408,20.7416131279,23.77696064
77,20.4735067881,20.4706693329,20.7358287453,23.7737618456
78,20.4707569421,20.4701245274,20.7296309828,23.7711388281
79,20.472669164,20.470282988,20.7230784985,23.7690809034
80,20.881578747,20.7046977577,20.8814191795,23.6805779968
81,20.8905505156,20.8769163543,20.8820343435,23.5922448514
82,20.8824264874,20.880064144,20.8801461418,23.5453597229
83,20.8812307035,20.8802013915,20.8789676358,23.523608697
84,20.8797565032,20.880213676,20.8822791804,23.501202015
85,20.8779622034,20.8807446804,20.8809513102,23.4783580063
86,20.8818598619,20.8792715301,20.8790327656,23.4592485593
87,20.8812761289,20.8809249001,20.8824589062,23.443948182
88,20.883190488,20.8806481744,20.8787024792,23.4307335173
89,20.8803187012,20.8803667458,20.8803101593,23.4190535069
90,20.8808799124,20.8793107403,20.8793581027,23.4086664562
91,20.8825641029,20.8790877487,20.8814177908,23.3995117723
92,20.8274683602,20.5071715567,20.9264011998,23.5002241964
93,20.776095231,20.3892047706,20.9751531268,23.589550642
94,20.7500163434,20.3905295737,21.0020041163,23.6265358149
95,20.7432932229,20.390519445,21.0101897062,23.6428008363
96,20.7435034515,20.3896820031,21.0117885049,23.6607327167
97,20.7429996594,20.389571634,21.0128802623,23.6791313218
98,20.7402361734,20.3896655747,21.0142308105,23.6943288973
99,20.7361403578,20.389805378,21.0149769428,23.7065284159
100,20.7317142852,20.3902018721,21.0146711323,23.7170617008
101,20.7282615738,20.3899191176,21.0145027662,23.726515866
102,20.7250281117,20.3900715939,21.0139929926,23.7349982311
103,20.7211060801,20.3899973121,21.0125250701,23.7425355352
104,20.9881582769,20.4766739931,21.2743610486,23.9543113671
105,21.2695017632,20.4794495476,21.5445999778,24.1553951439
106,21.4242911419,20.4796203677,21.688684853,24.2544163422
107,21.4713732177,20.4795823988,21.7307982519,24.3073631056
108,21.4763071457,20.4794692027,21.737014021,24.3580258506
109,21.4791241106,20.4790217684,21.7443254877,24.4087199628
110,21.4896253776,20.4794105389,21.759637372,24.4539749572
111,21.5028181651,20.4787532139,21.7768217043,24.467274022
112,21.5134943129,20.4786743641,21.7908387472,24.4709623061
113,21.5207222047,20.4797478936,21.8012383863,24.4719883971
114,21.5256815615,20.4794938908,21.8094136494,24.4722849034
115,21.5295675616,20.4786064678,21.8165065058,24.4723826478
116,21.5317129835,20.6619700282,21.8203438473,24.5904282836
117,21.535539882,20.8748574828,21.8270328642,24.6635936561
118,21.5378414726,20.9171037832,21.832710558,24.6871821393
119,21.5419193422,20.9198889523,21.8397977082,24.7069947812
120,21.545989916,20.9188586815,21.8462365729,24.7311277405
121,21.5496950639,20.9190632084,21.8518892644,24.7559746212
122,21.5532155638,20.9189870319,21.8571723752,24.7792473739
123,21.5567286457,20.9189042882,21.862384861,24.8013058339
124,21.560261236,20.918714931,21.8675040318,24.822744712
125,21.5637973847,20.9199486758,21.8725405393,24.8437210511
126,21.5673329372,20.9187436338,21.8774313488,24.8641785635
127,21.5708735743,20.9198452277,21.8822922248,24.8842397343
128,21.5949048319,20.5374594477,21.9075793666,24.4814780523
129,21.6301832693,20.4201420765,21.9442984586,24.4200399645
130,21.6554222038,20.4198378449,21.9706343816,24.4146122888
131,21.6682625081,20.4192866441,21.9844589087,24.4130953975
132,21.6755829987,20.4199388968,21.9930240671,24.4126727251
133,21.6815787165,20.420212922,22.0005155359,24.4125436735
134,21.6875506294,20.4199706911,22.0080576298,24.4125039401
135,21.693276009,20.4198812944,22.0153061122,24.4124947129
136,21.6984032949,20.419304452,22.0218923783,24.4124955975
137,21.7029050986,20.4193859646,22.0278166143,24.4124987232
138,21.7069010994,20.4194222261,22.0332161811,24.4125018247
139,21.7105482742,20.4191405936,22.0382470395,24.4125048196
140,21.9861556995,20.1016847443,22.30647975,24.0416278828
141,22.2797003332,19.9796386419,22.5833472801,23.982088073
142,22.4414134554,19.979834498,22.7283476988,23.9767143234
143,22.4792745878,19.9794982442,22.7576101204,23.9752133614
144,22.4681486778,19.9796618694,22.7467264959,23.9747313549
145,22.4568044306,19.9792611728,22.7398358609,23.9745182961
146,22.4567537253,19.9793036977,22.7442176341,23.9744037928
147,22.4623670182,19.97904131,22.7528481577,23.9743347989
148,22.4676683204,19.9792529891,22.7602584324,23.9742850809
149,22.4709947868,19.9797047492,22.7655850429,23.9742430152
150,22.4731602835,19.9794758522,22.7699795275,23.9742055197
151,22.4751371237,19.9793523056,22.7743665089,23.9741722843
152,22.4400166159,20.1063653895,22.7418460581,24.0677760741
153,22.4016412979,20.1097050411,22.7070600678,24.0937995106
154,22.386225596,20.1097448684,22.6953999031,24.1010720884
155,22.3873278454,20.1093105411,22.6992235781,24.1030526668
156,22.3918830473,20.1094970298,22.7053747924,24.1035845372
157,22.3938153285,20.109940848,22.7084165561,24.1037239266
158,22.3932977046,20.1093072845,22.7090396417,24.1037546072
159,22.392191862,20.1100379532,22.7092098874,24.1037536476
160,22.3915435481,20.1093819564,22.7098508246,24.1037437163
161,22.3914502803,20.1095978779,22.7109543045,24.1037320786
162,22.3916753607,20.1096648064,22.7122633835,24.1037209022
163,22.3920448433,20.1094872802,22.7136263785,24.1037106006
164,22.5877199496,20.2071677851,22.9061477796,24.1761414558
165,22.7926277904,20.209668693,23.1016294244,24.190842453
166,22.906360621,20.2090844973,23.2045116599,24.1730867552
167,22.94155718,20.2090045019,23.2337708839,24.1536396808
168,22.9464832474,20.2090024083,23.2384393782,24.1392806845
169,22.9510971407,20.2094447297,23.2454779136,24.1265120416
170,22.9613710189,20.2091031134,23.25812325,24.1137197194
171,22.9733184303,20.2099614227,23.2715585774,24.1013963631
172,22.983505725,20.2090021931,23.2827431627,24.0899335096
173,22.9914244008,20.2099470816,23.2916797678,24.0792466074
174,22.9979669732,20.2094182485,23.2994270216,24.0691683068
175,23.0039228026,20.2094069155,23.3066913646,24.0596153039
176,23.1694628207,20.4127027827,23.4680765411,24.0579052302
177,23.3390168515,20.419020779,23.6285017925,24.0170321922
178,23.4292587578,20.418979137,23.7102331216,23.9790032659
179,23.4524202214,20.4196583121,23.729653409,23.9487181975
180,23.4527813889,20.418766538,23.7307818833,23.9242295166
181,23.4562662134,20.419300992,23.7367287095,23.9023550613
182,23.4665768106,20.4197368951,23.7490204629,23.8823171057
183,23.4790822324,20.419051299,23.7625747839,23.8642241303
184,23.4903104286,20.4195464613,23.7744190892,23.8478481642
185,23.4997164505,20.4194779644,23.7844889846,23.8327834201
186,23.5081575538,20.4191591646,23.7937663919,23.8188905847
187,23.5162160494,20.4189331676,23.8027291044,23.8061330147
188,23.5011914624,20.6601455448,23.7876565204,23.6943479072
189,23.4817334006,20.7971600717,23.7686750291,23.5821891947
190,23.4729297981,20.7986169484,23.7607947394,23.5218438259
191,23.4746824209,20.7999189743,23.7630406241,23.4891435473
192,23.478948682,20.7987340306,23.7670142925,23.4560885938
193,23.482630761,20.7985451951,23.7699799773,23.4228185497
194,23.485559924,20.7999958225,23.7721711062,23.3929099922
195,23.4884873505,20.8000131554,23.7744819107,23.3664974599
196,23.4918610388,20.7996379906,23.7773185879,23.3424207579
197,23.4956106461,20.7995669625,23.7805454489,23.3199300201
198,23.4995405278,20.799662018,23.7839519027,23.298856769
199,23.5035383507,20.799599157,23.7874444325,23.2791207928
200,23.2702007652,20.4671268574,23.5562637509,22.670823538
201,22.9923551284,20.3805245013,23.2903652773,22.2396775795
202,22.8577956806,20.3790004582,23.1668353766,22.0813988822
203,22.8308245285,20.3800564442,23.1431687178,22.0058377065
204,22.8347467674,20.3792405303,23.1433815153,21.9192626579
205,22.8301071376,20.3790075936,23.1325017641,21.8274324456
206,22.8145324935,20.3789920253,23.111537184,21.7467816351
207,22.79711818,20.3791680773,23.090257641,21.6773133738
208,22.7832914583,20.3798749644,23.0732552582,21.6140158653
209,22.7731886677,20.3792252753,23.0599384584,21.5546928225
210,22.7650607852,20.3794243428,23.0484766608,21.4991689029
211,22.757662974,20.3792991403,23.0378282555,21.4471888205
212,22.7464346055,20.1049645998,23.0234875955,21.3940726964
213,22.7367148502,20.1002858864,23.0109813135,21.3478693884
214,22.7279578836,20.0995004665,22.9997008176,21.3024217372
215,22.7217071104,20.0998481784,22.9911518081,21.2609949969
216,22.7167943236,20.0990825282,22.9840902767,21.2216003103
217,22.7122140011,20.0988667702,22.9775057676,21.183423054
218,22.707689477,20.0991896056,22.9711503656,21.146577474
219,22.7033666051,20.0999908906,22.9651491119,21.1111950491
220,22.6993875493,20.0991128412,22.9596105154,21.077150409
221,22.6957954445,20.0988978155,22.95455054,21.0443123438
222,22.692500701,20.0992793362,22.9498644152,21.0124833779
223,22.6894656234,20.0998993449,22.9455138393,20.9817221925
224,22.6822241134,19.9821986945,22.9369213866,20.9473236365
225,22.6762803603,19.9788300502,22.9297314141,20.9181794943
226,22.6719532312,19.9795416203,22.9243098104,20.8899131099
227,22.6696043941,19.9797278679,22.9208902739,20.8631973782
228,22.6679033466,19.9792816035,22.9181487323,20.8367691936
229,22.6662020277,19.9793123726,22.9154601807,20.8107388974
230,22.6644873966,19.9791674953,22.9128284543,20.7853547666
231,22.6629493544,19.9799058589,22.9104409867,20.7607235442
232,22.6616562774,19.9795566045,22.9083462978,20.7366367983
233,22.6606118557,19.9789756654,22.9065314065,20.7130316725
234,22.6597516912,19.9800307973,22.9049248877,20.6898573767
235,22.6590206509,19.9794159844,22.9034715408,20.6670843859
236,22.6588358833,19.7048999017,22.9025961999,20.6455277951
237,22.6578900199,19.7002019055,22.9009721298,20.6225340514
238,22.6557258621,19.6991078019,22.8982051333,20.5983358285
239,22.6539802761,19.6992969641,22.8960048973,20.5761939957
240,22.652732771,19.6994805274,22.8944080227,20.5548198374
241,22.6516074711,19.6998953039,22.892981445,20.533344435
242,22.6503952416,19.6997952229,22.8914911808,20.511895764
243,22.6491049124,19.6992467965,22.8899415617,20.4907070567
244,22.64781379,19.7000375047,22.8884060879,20.4698069721
245,22.6465695229,19.6995725048,22.8869247357,20.4491477241
246,22.6453795291,19.6994492854,22.8854974734,20.4287057466
247,22.6442348524,19.7001564095,22.8841112079,20.4084793344
248,22.6452165474,19.8649973089,22.8848347654,20.3916841067
249,22.6457926747,19.8696444831,22.885066263,20.3726703825
250,22.648056851,19.8696140882,22.8869515437,20.3569911321
251,22.6507205903,19.8698420422,22.8891506038,20.3412056853
252,22.653570844,19.8690479877,22.8914674707,20.3255456007
253,22.6565151081,19.8697265264,22.8938430876,20.3101816232
254,22.6595255855,19.8699009341,22.8962760897,20.2950840788
255,22.6626760108,19.8697803802,22.8988532991,20.2803324441
256,22.666001719,19.8697029034,22.9016119669,20.2659201551
257,22.6695395737,19.8697013623,22.904588932,20.2518878978
258,22.6733966868,19.8697086426,22.9078931904,20.23838652
259,22.6785409698,19.8700182189,22.9125063593,20.2267692982
260,22.6903852906,19.830541683,22.9240036177,20.2675805273
261,22.698115097,19.8301599023,22.9313375532,20.3017813934
262,22.7002673669,19.8292614073,22.9331940172,20.3085091308
263,22.6999515882,19.8300497663,22.9328326661,20.3043370087
264,22.6995486297,19.8298532051,22.9325724555,20.301303699
265,22.699628854,19.8298752697,22.9328383293,20.2981975512
266,22.6998986087,19.829821377,22.9332549493,20.2931192559
267,22.7000612707,19.8294431499,22.9335238666,20.2864015821
268,22.7000434508,19.8299476348,22.9335963702,20.2788986933
269,22.6999204746,19.8293807283,22.9335609931,20.270865723
270,22.6997943301,19.8297553401,22.933516599,20.2623378833
271,22.6996550645,19.8293689026,22.933444318,20.2532895413
272,22.6365473659,19.5833606527,22.8765192636,20.6939258149
273,22.5745312867,19.51021777,22.8244686141,21.023738852
274,22.5567215286,19.5094767958,22.8132679937,21.1418441067
275,22.567150884,19.509608578,22.8265204542,21.1879978624
276,22.5822327289,19.5103763153,22.8426837775,21.2400131541
277,22.5922976966,19.5099353693,22.8538944493,21.2971433221
278,22.5979637369,19.5100512598,22.8613454384,21.3460360989
279,22.6023397012,19.5099408685,22.8679096124,21.3848010737
280,22.607033465,19.5101888041,22.8748224783,21.4189783909
281,22.6120422159,19.5102313212,22.8818941631,21.4504911111
282,22.6172578759,19.5098953698,22.8890240497,21.479743155
283,22.6229216625,19.5096111442,22.8965162468,21.5072311209
284,22.314444939,19.6982139216,22.6004666748,21.6554243916
285,21.954974673,19.7000053738,22.2690502776,21.8084907989
286,21.7824379935,19.7001842191,22.1187927311,21.8930583582
287,21.7480241597,19.7005599738,22.0944393344,21.943541989
288,21.7547836587,19.6998305456,22.1027723073,21.9932349262
289,21.7535177498,19.6999971402,22.1005084194,22.0411101437
290,21.7404211647,19.7004393926,22.0871110243,22.0836642488
291,21.7252940557,19.7007035402,22.0727579385,22.1211354194
292,21.7139523056,19.7004534856,22.0624952567,22.1557118282
293,21.7066442556,19.6997923055,22.0559884162,22.1882161406
294,21.703378293,19.7002472738,22.0532362727,22.2192398072
295,21.7014098435,19.7002595354,22.0516111101,22.2481201486
296,21.6929570664,19.9791539293,22.0431900898,22.3478366463
297,21.6803242453,20.0497580742,22.0309630272,22.4551354142
298,21.6709242372,20.0503936967,22.0223653801,22.528190687
299,21.6663151366,20.0503974403,22.0186033422,22.5773547951
300,21.6646044752,20.0496270867,22.0175507519,22.6211052839
301,21.6643214748,20.0500533738,22.0177502403,22.6664970616
302,21.6648294437,20.0504508108,22.0186630614,22.7089401544
303,21.6660562813,20.0498614845,22.0202829397,22.7473918792
304,21.6680089978,20.0505293901,22.0226306011,22.7832565231
305,21.6706029324,20.0505919428,22.0256138479,22.8174301808
306,21.6719489008,20.0503051293,22.0273045062,22.8495123403
307,21.671794379,20.0504453558,22.02749564,22.8804381929
308,21.4148350014,20.3584433636,21.7792591706,22.7776386988
309,21.1458693324,20.4904242111,21.5255949405,22.6993223341
310,20.9970675246,20.4900118102,21.3898084085,22.6864604813
311,20.9497636226,20.4897566314,21.3485716665,22.6958745738
312,20.9400779599,20.4904413368,21.3391914289,22.7002823379
313,20.9327817563,20.4906119421,21.3297534224,22.7032231145
314,20.9214913857,20.4900285135,21.3160919698,22.7090467766
315,20.9102721503,20.490645081,21.3028606579,22.7174709887
316,20.9021894447,20.490153254,21.2929321762,22.7271434475
317,20.8974334715,20.489796965,21.2862622304,22.7377494415
318,20.8950638515,20.490076041,21.2818826944,22.7486615565
319,20.8932821285,20.4898760855,21.2780814266,22.7619192856
320,20.8821537529,20.2022703529,21.2657535306,22.9323428113
321,20.866598296,20.1006387788,21.2485754262,23.1035783213
322,20.8540278466,20.0998618827,21.2346167237,23.2014137873
323,20.8452975669,20.1000634349,21.2251957283,23.2580747433
324,20.839153365,20.0997865128,21.2189679563,23.3100358922
325,20.8342222656,20.0995983758,21.2142891232,23.3622051041
326,20.8297001626,20.1003574848,21.2101674768,23.4098634849
327,20.8254004134,20.0997399234,21.2063439401,23.4522798276
328,20.8213860471,20.1001354192,21.2028598829,23.4906080027
329,20.817700212,20.099887103,21.1997431259,23.5266748639
330,20.8159089845,20.1005130945,21.1985670464,23.5614983366
331,20.8145790663,20.0996674537,21.1978394953,23.5942795996
332,20.814538145,19.9236092582,21.1983908697,23.628323235
333,20.8128419437,19.9196423928,21.1972273028,23.6597077705
334,20.8116844064,19.9198711073,21.1966509043,23.6910408081
335,20.8116694613,19.9198598551,21.1972901785,23.7223129654
336,20.8126472658,19.9198720757,21.1989718187,23.7527068276
337,20.8142772291,19.9199273266,21.2013259111,23.7822220888
338,20.8162801192,19.9196057056,21.2040577762,23.8109459767
339,20.8184341551,19.9202152303,21.2069399059,23.8388124107
340,20.8210146405,19.9200226615,21.2102522488,23.8664884292
341,20.8241121143,19.9195821117,21.2140791509,23.8939593323
342,20.827862243,19.9196764109,21.2185516412,23.9082759781
343,20.8327382171,19.9197010704,21.2241477468,23.9122943854
344,20.8350074649,20.0273994965,21.2270615274,23.9530379879
345,20.8352937207,20.0293200455,21.2279881337,23.9881994391
346,20.8346191776,20.0297506151,21.2279637279,24.0088708128
347,20.8340498894,20.0298788636,21.2280264853,24.0195681378
348,20.8336328363,20.0294671797,21.2281851311,24.0225540076
349,20.833104477,20.0292858069,21.2281692213,24.0233924802
350,20.8329553025,20.0301048751,21.2284874628,24.023630612
351,20.8334326423,20.0300859139,21.2293956346,24.0237032448
352,20.8344962323,20.029273095,21.2308534744,24.0237286082
