,prediction,real
0,22.3378539198,
1,22.0827253447,22.1990098885
2,21.8788928221,21.9837083919
3,21.7289083626,21.8252007368
4,21.6335167123,21.7241211128
5,21.5601909068,21.6461548391
6,21.4926070996,21.5741772099
7,21.4272467768,21.5045453733
8,21.3692262744,21.4426811108
9,21.3183677059,21.3883810719
10,21.2722948953,21.3391375703
11,21.22990348,21.293766532
12,21.1931537679,21.2548148706
13,21.145392483,21.204391888
14,21.1024900866,21.1591436961
15,21.0678548687,21.1226215043
16,21.0315721586,21.0843580033
17,20.9959153782,21.0467521854
18,20.9617761633,21.010755794
19,20.9287891581,20.9759719327
20,20.8968395921,20.9422926917
21,20.8656703215,20.9094364973
22,20.8351069502,20.8772237178
23,20.805505305,20.8460182968
24,20.7684790831,20.8078803645
25,20.7333808057,20.7708772532
26,20.7063124314,20.7423850334
27,20.6783310513,20.712922441
28,20.6497536664,20.6828124141
29,20.621669237,20.653228099
30,20.5944466711,20.6245611439
31,20.567744013,20.5964397204
32,20.5413322002,20.568627054
33,20.5152706463,20.5411824174
34,20.4895619107,20.5141081733
35,20.4641877425,20.4873868547
36,20.4412604626,20.4630647066
37,20.4169964364,20.4374043911
38,20.3953546256,20.4145239495
39,20.3800464577,20.3978329242
40,20.379996175,20.3963843999
41,20.3803293016,20.3958579286
42,20.3776587913,20.3921906033
43,20.3743287448,20.3878316883
44,20.3822219681,20.3945389245
45,20.3804410643,20.3922758607
46,20.381402884,20.3921114632
47,20.381566301,20.3915109552
48,20.4287861213,20.4368680918
49,20.4415157562,20.450285975
50,20.4462371395,20.4538210446
51,20.446549934,20.4534053359
52,20.4459012791,20.4519793487
53,20.4451074135,20.4504156048
54,20.4442490168,20.4487849018
55,20.4520671874,20.4556577305
56,20.4470819907,20.4503462648
57,20.4505982411,20.45269634
58,20.4535183062,20.4550963731
59,20.4536638777,20.4545607607
60,20.4301882484,20.4143540101
61,20.4155218908,20.3995511881
62,20.4092178404,20.3935992093
63,20.407956824,20.3922717954
64,20.4065104084,20.3907406797
65,20.412837305,20.3967250745
66,20.4138836308,20.397831246
67,20.4097630071,20.393474183
68,20.4134052377,20.3966177233
69,20.4128443072,20.3960260093
70,20.4076803508,20.3905578418
71,20.4102404161,20.3925668671
72,20.7507565254,20.6629936318
73,20.9834354763,20.9081814874
74,21.0861134849,21.0162753885
75,21.1319076819,21.0645258355
76,21.1766734254,21.1118076582
77,21.2234275247,21.1611776632
78,21.2638667673,21.2038466756
79,21.2971767634,21.2389658609
80,21.3258139441,21.2691592837
81,21.3515045161,21.2962306477
82,21.3745669594,21.3205354106
83,21.3952898529,21.3423708263
84,21.6620133361,21.5662856544
85,21.8423975392,21.7556145562
86,21.9306424691,21.8479268883
87,21.9795078669,21.8992235395
88,22.0268954976,21.9492805104
89,22.0745275226,21.999624411
90,22.1513930367,22.0782570445
91,22.2300394826,22.160316183
92,22.2995893449,22.2327406294
93,22.365504776,22.3013205653
94,22.4331327857,22.371718369
95,22.5021940596,22.44363609
96,22.6201355244,22.5376965012
97,22.7427136439,22.6682652706
98,22.8461455118,22.7772197211
99,22.9275394125,22.8623816198
100,23.0051341605,22.9433685729
101,23.0837971963,23.0255007698
102,23.1525968235,23.098105194
103,23.2137830796,23.1626613923
104,23.2735116925,23.225667834
105,23.3303087425,23.2855695109
106,23.3828383816,23.3409412257
107,23.430690841,23.3913571194
108,23.3526761677,23.3455908428
109,23.3108172673,23.3011229059
110,23.309473465,23.2995055948
111,23.3242579591,23.3149336568
112,23.3379466802,23.3292010687
113,23.3499633666,23.3416914082
114,23.3639387852,23.3558843547
115,23.3791764597,23.3714132767
116,23.3947939792,23.3873475116
117,23.4104394439,23.4033051234
118,23.425411719,23.4185438699
119,23.4403252539,23.4337136294
120,23.6797860723,23.6146604913
121,23.8609974005,23.8057411944
122,23.962764027,23.9127466756
123,24.0237112192,23.976560068
124,24.078725851,24.0340832025
125,24.1333382175,24.0911817053
126,24.1789987418,24.1393327727
127,24.2162515225,24.1785872831
128,24.2485349193,24.2125840252
129,24.2779772409,24.2435759343
130,24.3044186259,24.2713934935
131,24.3218810737,24.2897063156
132,24.2931340874,24.2655831503
133,24.2951174735,24.2688047967
134,24.3077040849,24.2826408117
135,24.3235982164,24.2995192436
136,24.3372328517,24.3138681384
137,24.3500014052,24.3273073132
138,24.3630611452,24.3410267841
139,24.3763798813,24.3550192755
140,24.3897115632,24.3690101265
141,24.4032714865,24.3832270757
142,24.4171558419,24.3977823645
143,24.4316979828,24.4130279278
144,24.0280513928,23.9942602409
145,23.9587665902,23.9400535922
146,23.9455580988,23.9352743404
147,23.9476143068,23.9339520561
148,23.9470989663,23.9336927846
149,23.9467806557,23.9336309185
150,23.9463008435,23.9336064563
151,23.9458129184,23.9336013357
152,23.9453174873,23.9336089496
153,23.9448084849,23.9336207142
154,23.9442835645,23.9336315661
155,23.943747129,23.9336405442
156,23.9767061033,23.9903757107
157,23.9930383681,24.0072124636
158,23.9997968134,24.0122886894
159,24.0017518184,24.0137963495
160,24.0026443353,24.0142210663
161,24.0030683701,24.0143359481
162,24.0032970893,24.0143716811
163,24.0034208893,24.0143884426
164,24.0034781626,24.0143988481
165,24.0034897004,24.0144058323
166,24.0034616124,24.0144111112
167,24.0033982745,24.0144158286
168,23.524348604,23.5359639392
169,23.4972055587,23.5264831379
170,23.486141887,23.5255380799
171,23.4928058674,23.525469971
172,23.4946299169,23.525546913
173,23.496054005,23.5255708025
174,23.4970457182,23.5255633963
175,23.4978642155,23.5255567651
176,23.4985518806,23.5255569357
177,23.4991241155,23.5255592588
178,23.4995936096,23.5255604419
179,23.4999779951,23.5255602983
180,23.8209232132,23.8103778017
181,23.9758884444,23.9750041938
182,23.9929617606,23.9963426934
183,23.9985430933,24.0022214579
184,23.9976181648,24.003818938
185,23.9965200963,24.0042805091
186,23.9949796776,24.004426394
187,23.9935396697,24.0044765499
188,23.9921576485,24.0044994601
189,23.9908994438,24.0045107999
190,23.9897519579,24.0045169911
191,23.9887259059,24.0045216887
192,23.9303141996,23.9001075408
193,23.8934073444,23.8678186048
194,23.8780887368,23.8576164584
195,23.8714781766,23.854402328
196,23.8677744779,23.8534256025
197,23.8651196357,23.8531394377
198,23.8631597692,23.8530502365
199,23.8614537411,23.8530134582
200,23.8599085361,23.8529940473
201,23.856862564,23.8549846504
202,23.8565621073,23.8552735322
203,23.8559091294,23.8553175494
204,24.0002349336,23.9922852564
205,24.0386039172,24.034090125
206,24.0516234761,24.0471009598
207,24.0550879566,24.051059658
208,24.0552538768,24.0522748259
209,24.0548462857,24.0526411508
210,24.0542703029,24.0527479008
211,24.053664491,24.0527759167
212,24.0530548146,24.0527806969
213,24.0524697175,24.0527788097
214,24.0519082501,24.0527754612
215,24.051365559,24.05277285
216,23.6725309308,23.6868492332
217,23.6170611393,23.6232044759
218,23.6034899029,23.616479758
219,23.6033503234,23.6142602025
220,23.6025897397,23.6135512804
221,23.6023029946,23.6133041784
222,23.6020845425,23.6132144962
223,23.6018617229,23.6131821356
224,23.6016083713,23.6131701248
225,23.6013260774,23.6131643915
226,23.6010224135,23.6131603331
227,23.6006937332,23.6131568123
228,23.7263322658,23.7776424908
229,23.7851153969,23.8300397093
230,23.8061963638,23.8469308468
231,23.8137314131,23.8522603375
232,23.8167230985,23.853889279
233,23.8184775483,23.8543503574
234,23.8197165922,23.8544677591
235,23.8207057914,23.8544910827
236,23.8215285935,23.8544887648
237,23.8222267639,23.8544789083
238,23.8228295191,23.854467388
239,23.8236744971,23.8544611436
240,24.1642921061,24.1811605585
241,24.2658351572,24.292506221
242,24.2768317836,24.3008133105
243,24.2771134136,24.3031455487
244,24.2775092193,24.3037123831
245,24.2768360014,24.3038835819
246,24.276399277,24.3039320324
247,24.2759670447,24.3039446693
248,24.2759998738,24.303941384
249,24.2761818661,24.3039312136
250,24.2763112674,24.3039174537
251,24.2764876876,24.3039030835
252,23.8715434575,23.937505239
253,23.831483626,23.8817524907
254,23.8225072039,23.8770587579
255,23.8254597473,23.8757662773
256,23.826847139,23.875424737
257,23.8282228787,23.8752952044
258,23.8295328866,23.8752201848
259,23.8306004769,23.8751809689
260,23.8315803751,23.875152517
261,23.8324371019,23.87513091
262,23.8331980268,23.8751126992
263,23.8338809496,23.8750969433
264,23.86202877,23.9258041548
265,23.8414423565,23.9041290528
266,23.8055022764,23.8661837902
267,23.7734492118,23.8323363312
268,23.7492456531,23.8067996191
269,23.7279888316,23.7843833105
270,23.7076288179,23.7629202544
271,23.6885564687,23.742818005
272,23.6718955947,23.7252590397
273,23.656232994,23.7087549892
274,23.641062226,23.6927799116
275,23.6265608636,23.6775162204
276,23.4853447885,23.5660961869
277,23.3825175052,23.4570807184
278,23.3156383642,23.3864434226
279,23.2866147096,23.3557911422
280,23.2517144268,23.3189164087
281,23.215044263,23.2801870189
282,23.182468415,23.2457998412
283,23.1536873006,23.2154212525
284,23.1269940179,23.1872423368
285,23.1016143118,23.1604490699
286,23.077521839,23.1350177773
287,23.0546832983,23.1109142823
288,22.3933630553,22.5219338572
289,21.996222114,22.1022850938
290,21.8486433131,21.9464239324
291,21.7777847802,21.871487721
292,21.6983965131,21.7874490988
293,21.6144135085,21.6985647618
294,21.5400183545,21.6198501416
295,21.4763824282,21.5525282394
296,21.41846025,21.4912355115
297,21.3641769868,21.4337872851
298,21.3134698199,21.380111269
299,21.2659872164,21.3298429242
300,21.2161301119,21.2776587403
301,21.1704010218,21.2293222816
302,21.1294198702,21.1860085376
303,21.0899256227,21.1442508107
304,21.051579334,21.1037095641
305,21.014754311,21.0647674659
306,20.9796689739,21.0276648296
307,20.9456591759,20.9917112645
308,20.9130136861,20.9571828815
309,20.8812979783,20.923654925
310,20.850648862,20.8912411265
