,Unnamed: 0,z0,z1,z2,z3,tout,s,i,t1,sp0,sp1,sp2,sp3,sp,m,rh
0,0,22.5286110722,20.0000075021,22.8179951924,22.4686207223,-2.29166666667,0.0,58284.7271256,22.5087312188,20.0,20.0,20.0,20.0,20.0,5.8083600104,3806.15687924
1,1,22.3394871243,19.9996574613,22.6385920782,22.1990098885,-1.78333333333,0.0,58284.7271256,22.3063372196,20.0,20.0,20.0,20.0,20.0,5.8083600104,3828.51563785
2,2,22.1405390242,19.9996584489,22.4530490907,21.9837083919,-1.275,0.0,58284.7271256,22.1148552395,20.0,20.0,20.0,20.0,20.0,5.8083600104,3865.10912265
3,3,21.9804622049,19.9999891799,22.304199126,21.8252007368,-0.766666666667,0.0,58284.7271256,21.9647470318,20.0,20.0,20.0,20.0,20.0,5.81009012639,3905.7992329
4,4,21.8949593673,19.9997301373,22.2237292851,21.7241211128,-0.258333333333,0.0,58284.7271256,21.879123192,20.0,20.0,20.0,20.0,20.0,5.81180390274,3931.90524777
5,5,21.8627670203,19.9992129334,22.190436763,21.6461548391,0.25,0.0,58284.7271256,21.8335712592,20.0,20.0,20.0,20.0,20.0,5.81380567992,3959.93039507
6,6,21.8506291061,19.9992326192,22.1737795328,21.5741772099,0.758333333333,0.0,58284.7271256,21.8021880195,20.0,20.0,20.0,20.0,20.0,5.81513990101,3983.46478945
7,7,21.8407272885,19.9991381425,22.1586696122,21.5045453733,1.26666666667,0.0,58284.7271256,21.7731484935,20.0,20.0,20.0,20.0,20.0,5.81520298862,3983.99765997
8,8,21.8299629531,19.9991088335,22.1433375094,21.4426811108,1.775,0.0,58284.7271256,21.74609459,20.0,20.0,20.0,20.0,20.0,5.81517251031,3983.93608408
9,9,21.8205904735,19.9997369417,22.1300124147,21.3883810719,2.28333333333,0.0,58284.7271256,21.7226778066,20.0,20.0,20.0,20.0,20.0,5.81435654122,3978.52359604
10,10,21.8141971526,19.9990480679,22.1199116702,21.3391375703,2.79166666667,0.0,58284.7271256,21.7031276105,20.0,20.0,20.0,20.0,20.0,5.81229081085,3935.89510017
11,11,21.8107914968,19.9995599403,22.1128414945,21.293766532,3.3,0.0,58284.7271256,21.6863625976,20.0,20.0,20.0,20.0,20.0,5.81158931017,3931.28485022
12,12,21.8112092984,20.1448525355,22.1096941289,21.2548148706,3.20833333333,0.0,58284.7271256,21.6433922903,20.15,20.15,20.15,20.15,20.15,5.95216092718,6311.70408023
13,13,21.8049974617,20.1494690413,22.0999832122,21.204391888,3.11666666667,0.0,58284.7271256,21.6603646479,20.15,20.15,20.15,20.15,20.15,5.8083600104,3602.84191603
14,14,21.7978253378,20.1494685908,22.0896660927,21.1591436961,3.025,0.0,58284.7271256,21.6265824143,20.15,20.15,20.15,20.15,20.15,5.86536259844,4845.90041486
15,15,21.7944742433,20.1497090938,22.0834356273,21.1226215043,2.93333333333,0.0,58284.7271256,21.6174512533,20.15,20.15,20.15,20.15,20.15,5.84623779164,4520.81085504
16,16,21.7915372975,20.1493143705,22.0776225081,21.0843580033,2.84166666667,0.0,58284.7271256,21.603811941,20.15,20.15,20.15,20.15,20.15,5.84384967679,4477.41838899
17,17,21.7886486533,20.1495844588,22.0718740545,21.0467521854,2.75,0.0,58284.7271256,21.5899090525,20.15,20.15,20.15,20.15,20.15,5.84354836091,4475.14157092
18,18,21.7856928101,20.1492941902,22.0661442374,21.010755794,2.65833333333,0.0,58284.7271256,21.5766137269,20.15,20.15,20.15,20.15,20.15,5.84253682288,4454.3107126
19,19,21.7826451735,20.150007432,22.0604480027,20.9759719327,2.56666666667,0.0,58284.7271256,21.5633328219,20.15,20.15,20.15,20.15,20.15,5.84303988415,4471.6466055
20,20,21.7796559275,20.1495311702,22.0549390394,20.9422926917,2.475,0.0,58284.7271256,21.5507128096,20.15,20.15,20.15,20.15,20.15,5.84227673255,4452.49310897
21,21,21.7766610769,20.1493778582,22.0495373499,20.9094364973,2.38333333333,0.0,58284.7271256,21.5378310054,20.15,20.15,20.15,20.15,20.15,5.84383107348,4477.08414175
22,22,21.7735250435,20.1489078178,22.0440970783,20.8772237178,2.29166666667,0.0,58284.7271256,21.5253059512,20.15,20.15,20.15,20.15,20.15,5.84439725032,4481.02767599
23,23,21.7703697978,20.1499490285,22.0387480195,20.8460182968,2.2,0.0,58284.7271256,21.5129594862,20.15,20.15,20.15,20.15,20.15,5.84588373053,4518.88549475
24,24,21.7589162339,20.3032286046,22.0250471323,20.8078803645,2.10833333333,0.0,57294.9282884,21.4686825434,20.31,20.31,20.31,20.31,20.31,6.00474364654,7207.72042832
25,25,21.7446640752,20.3098548167,22.0087565099,20.7708772532,2.01666666667,0.0,57294.9282884,21.4824353185,20.31,20.31,20.31,20.31,20.31,5.83194014461,4284.55025941
26,26,21.735777501,20.3100192044,21.9980938179,20.7423850334,1.925,0.0,57294.9282884,21.4507316528,20.31,20.31,20.31,20.31,20.31,5.91782407939,5740.57797778
27,27,21.7296377049,20.3087457783,21.9901322278,20.712922441,1.83333333333,0.0,57294.9282884,21.4406586194,20.31,20.31,20.31,20.31,20.31,5.90105844645,5441.3546677
28,28,21.7242752643,20.3095291442,21.9828299813,20.6828124141,1.74166666667,0.0,57294.9282884,21.427424028,20.31,20.31,20.31,20.31,20.31,5.90269989734,5478.83268576
29,29,21.7187567787,20.3098347243,21.9753383333,20.653228099,1.65,0.0,57294.9282884,21.4145834277,20.31,20.31,20.31,20.31,20.31,5.90235709718,5476.37500182
30,30,21.7131208526,20.3093615978,21.9677936875,20.6245611439,1.55833333333,0.0,57294.9282884,21.4014909528,20.31,20.31,20.31,20.31,20.31,5.90429158531,5503.05003272
31,31,21.7075577634,20.3094742762,21.9604081312,20.5964397204,1.46666666667,0.0,57294.9282884,21.3885752696,20.31,20.31,20.31,20.31,20.31,5.90677129337,5546.52023396
32,32,21.7021209596,20.3092871291,21.9532143659,20.568627054,1.375,0.0,57294.9282884,21.3760135569,20.31,20.31,20.31,20.31,20.31,5.90833464945,5570.53430138
33,33,21.6967975569,20.3093749378,21.9461818557,20.5411824174,1.28333333333,0.0,57294.9282884,21.363501495,20.31,20.31,20.31,20.31,20.31,5.9108492045,5614.17435933
34,34,21.6915310414,20.3098378927,21.9392495257,20.5141081733,1.19166666667,0.0,57294.9282884,21.3512637382,20.31,20.31,20.31,20.31,20.31,5.91289386434,5654.41052912
35,35,21.6862915191,20.3104143863,21.932389957,20.4873868547,1.1,0.0,57294.9282884,21.3392008985,20.31,20.31,20.31,20.31,20.31,5.91480160253,5693.59488983
36,36,21.6823440646,20.3869625513,21.926861909,20.4630647066,1.1,0.0,57294.9282884,21.3207680043,20.39,20.39,20.39,20.39,20.39,5.99437270461,7034.62537943
37,37,21.6780350606,20.3891484662,21.9209661522,20.4374043911,1.1,0.0,57294.9282884,21.3240450246,20.39,20.39,20.39,20.39,20.39,5.90579566792,5526.99827067
38,38,21.675088417,20.3894750622,21.9164671039,20.4145239495,1.1,0.0,57294.9282884,21.3081354662,20.39,20.39,20.39,20.39,20.39,5.94946041354,6269.87991729
39,39,21.6723379885,20.3895098034,21.912159286,20.3978329242,1.1,0.0,57294.9282884,21.3025732036,20.39,20.39,20.39,20.39,20.39,5.93916915967,6135.45812885
40,40,21.6696392948,20.3899358357,21.9079142002,20.3963843999,1.1,0.0,57294.9282884,21.2999989785,20.39,20.39,20.39,20.39,20.39,5.93864369721,6239.49122246
41,41,21.6670033247,20.3905213783,21.9037628701,20.3958579286,1.1,0.0,57294.9282884,21.2977844585,20.39,20.39,20.39,20.39,20.39,5.93791415028,6302.58925971
42,42,21.6644780061,20.3889486952,21.8997635223,20.3921906033,1.1,0.0,57294.9282884,21.2945786702,20.39,20.39,20.39,20.39,20.39,5.93738912294,6340.32592367
43,43,21.6621032077,20.3892486333,21.8959580797,20.3878316883,1.1,0.0,57294.9282884,21.2909926429,20.39,20.39,20.39,20.39,20.39,5.93951715812,6445.74540644
44,44,21.6598067965,20.39030142,21.8922728731,20.3945389245,1.1,0.0,57294.9282884,21.2912661699,20.39,20.39,20.39,20.39,20.39,5.93818085021,6562.56040541
45,45,21.657598083,20.3889072887,21.8887183543,20.3922758607,1.1,0.0,57294.9282884,21.2887593392,20.39,20.39,20.39,20.39,20.39,5.93744381173,6563.16721667
46,46,21.6555104923,20.3890377692,21.8853279973,20.3921114632,1.1,0.0,57294.9282884,21.2865811232,20.39,20.39,20.39,20.39,20.39,5.9397945775,6696.60529009
47,47,21.6534738322,20.3898259459,21.8820292837,20.3915109552,1.1,0.0,57294.9282884,21.2848696092,20.39,20.39,20.39,20.39,20.39,5.93879056259,6749.28096997
48,48,21.6513592288,20.4468025414,21.8787025656,20.4368680918,1.15,0.0,57294.9282884,21.290992382,20.45,20.45,20.45,20.45,20.45,6.00040406309,8126.55608486
49,49,21.6478854013,20.4499576194,21.8740647118,20.450285975,1.2,0.0,57294.9282884,21.301625688,20.45,20.45,20.45,20.45,20.45,5.93591420698,7048.15996664
50,50,21.6448728334,20.448685794,21.869974353,20.4538210446,1.25,0.0,57294.9282884,21.295656471,20.45,20.45,20.45,20.45,20.45,5.96824893811,7688.20069527
51,51,21.6419658708,20.4493663813,21.8660263199,20.4534053359,1.3,0.0,57294.9282884,21.2938573967,20.45,20.45,20.45,20.45,20.45,5.96476026639,7692.68895939
52,52,21.6391264396,20.4500494806,21.8621651635,20.4519793487,1.35,0.0,57294.9282884,21.2914401683,20.45,20.45,20.45,20.45,20.45,5.96390921453,7739.95111977
53,53,21.6363846482,20.4492350506,21.8584216881,20.4504156048,1.4,0.0,57294.9282884,21.2886826931,20.45,20.45,20.45,20.45,20.45,5.96499615782,7800.84564674
54,54,21.6337503766,20.449117261,21.8548086034,20.4487849018,1.45,0.0,57294.9282884,21.2858106704,20.45,20.45,20.45,20.45,20.45,5.9676362745,7896.95704586
55,55,21.6311827569,20.4503005085,21.8512851512,20.4556577305,1.5,0.0,57294.9282884,21.2857733481,20.45,20.45,20.45,20.45,20.45,5.96860838535,8031.91727006
56,56,21.6286761895,20.4502843636,21.8478455501,20.4503462648,1.55,0.0,57294.9282884,21.2823007666,20.45,20.45,20.45,20.45,20.45,5.96867864273,8032.43455371
57,57,21.6262684567,20.4505004591,21.8445270927,20.45269634,1.6,0.0,57294.9282884,21.2808338723,20.45,20.45,20.45,20.45,20.45,5.97090921065,8174.66297582
58,58,21.6239306894,20.4497283921,21.8412985969,20.4550963731,1.65,0.0,57294.9282884,21.2795383944,20.45,20.45,20.45,20.45,20.45,5.97192262427,8232.28117473
59,59,21.6216717694,20.4497068811,21.8381682035,20.4545607607,1.7,0.0,57294.9282884,21.2772930293,20.45,20.45,20.45,20.45,20.45,5.97442689923,8324.55207988
60,60,21.6200413308,20.3907344633,21.8356695818,20.4143540101,1.7,0.0,59544.5007065,21.2697175297,20.39,20.39,20.39,20.39,20.39,5.91126963718,6781.14604172
61,61,21.6204225527,20.3900032383,21.8352164212,20.3995511881,1.7,0.0,59544.5007065,21.2553819768,20.39,20.39,20.39,20.39,20.39,5.97914145555,7888.66327765
62,62,21.6206564676,20.3896265016,21.8346442939,20.3935992093,1.7,0.0,59544.5007065,21.2587946931,20.39,20.39,20.39,20.39,20.39,5.94287180723,7215.82048069
63,63,21.6210145789,20.3889423464,21.8342810538,20.3922717954,1.7,0.0,59544.5007065,21.2572985679,20.39,20.39,20.39,20.39,20.39,5.95014513032,7330.24806155
64,64,21.6213674258,20.3892312081,21.8339880663,20.3907406797,1.7,0.0,59544.5007065,21.2569484685,20.39,20.39,20.39,20.39,20.39,5.94972794266,7327.31551191
65,65,21.6217007873,20.3887404912,21.8337218778,20.3967250745,1.7,0.0,59544.5007065,21.2589561942,20.39,20.39,20.39,20.39,20.39,5.94781373991,7343.25889042
66,66,21.6220682569,20.3890651577,21.8335120621,20.397831246,1.7,0.0,59544.5007065,21.2594107783,20.39,20.39,20.39,20.39,20.39,5.94737134563,7340.06933043
67,67,21.6224569948,20.3886913546,21.8333327666,20.393474183,1.7,0.0,59544.5007065,21.2584880954,20.39,20.39,20.39,20.39,20.39,5.94530316318,7300.27577217
68,68,21.6228840369,20.3892050593,21.8331975683,20.3966177233,1.7,0.0,59544.5007065,21.2596254189,20.39,20.39,20.39,20.39,20.39,5.9446225614,7349.40354194
69,69,21.6233202597,20.389010458,21.833075541,20.3960260093,1.7,0.0,59544.5007065,21.2598764983,20.39,20.39,20.39,20.39,20.39,5.94232751729,7307.93310214
70,70,21.623785499,20.3896588428,21.8329858888,20.3905578418,1.7,0.0,59544.5007065,21.2585673492,20.39,20.39,20.39,20.39,20.39,5.94148037173,7301.82265749
71,71,21.6242574184,20.389560267,21.8329045339,20.3925668671,1.7,0.0,59544.5007065,21.2596238701,20.39,20.39,20.39,20.39,20.39,5.93906325534,7312.93671657
72,72,21.8083953462,20.4943774288,22.0138371467,20.6629936318,1.74166666667,0.0,78117.2366284,21.4456589718,20.5,20.5,20.5,20.5,20.5,6.04756323702,7915.44436731
73,73,22.0056872727,20.4995616966,22.202241644,20.9081814874,1.78333333333,0.0,78117.2366284,21.6628195745,20.5,20.5,20.5,20.5,20.5,5.9233181861,5831.77428151
74,74,22.1173190349,20.4988156951,22.3049890261,21.0162753885,1.825,0.0,78117.2366284,21.7518780062,20.5,20.5,20.5,20.5,20.5,5.98048586808,6789.11604329
75,75,22.1537225208,20.498660896,22.3375949221,21.0645258355,1.86666666667,0.0,78117.2366284,21.7907106649,20.5,20.5,20.5,20.5,20.5,5.9680202389,6577.38045581
76,76,22.1609108844,20.4986787654,22.3462615081,21.1118076582,1.90833333333,0.0,78117.2366284,21.8100950134,20.5,20.5,20.5,20.5,20.5,5.96547448475,6534.3849073
77,77,22.1676059883,20.4996845526,22.3567939977,21.1611776632,1.95,0.0,78117.2366284,21.8303456253,20.5,20.5,20.5,20.5,20.5,5.96415833113,6524.8245272
78,78,22.1796855724,20.4995062341,22.3725669627,21.2038466756,1.99166666667,0.0,78117.2366284,21.8522284343,20.5,20.5,20.5,20.5,20.5,5.96190124639,6483.97871182
79,79,22.1934570138,20.499601691,22.3891301695,21.2389658609,2.03333333333,0.0,78117.2366284,21.8722633515,20.5,20.5,20.5,20.5,20.5,5.96176482092,6482.99579488
80,80,22.2054973297,20.4985750246,22.4033924402,21.2691592837,2.075,0.0,78117.2366284,21.8897404282,20.5,20.5,20.5,20.5,20.5,5.96056984934,6449.81724774
81,81,22.2152211586,20.5000332518,22.4152341839,21.2962306477,2.11666666667,0.0,78117.2366284,21.9045267958,20.5,20.5,20.5,20.5,20.5,5.9611544701,6478.58102008
82,82,22.2233811456,20.5004346705,22.4255808748,21.3205354106,2.15833333333,0.0,78117.2366284,21.9183043696,20.5,20.5,20.5,20.5,20.5,5.95815859117,6432.31126659
83,83,22.2307948441,20.5004276624,22.4352021123,21.3423708263,2.2,0.0,78117.2366284,21.9301514399,20.5,20.5,20.5,20.5,20.5,5.95818420145,6432.48985001
84,84,22.2988692282,20.6524100461,22.5040620119,21.5662856544,2.2,0.0,87467.5394029,22.0124044679,21.0,21.0,21.0,21.0,21.0,6.11870755911,9134.05102614
85,85,22.3762147564,20.8302923238,22.5812870344,21.7556145562,2.2,0.0,87467.5394029,22.1302156551,21.0,21.0,21.0,21.0,21.0,6.11870755911,9145.52218986
