,prediction,real
0,20.9400671685,20.9399066583
1,20.9406318644,20.9398930151
2,20.9437023842,20.9398758509
3,20.9490863647,20.9398559089
4,20.9566108932,20.9398317701
5,20.9660873998,20.9398050229
6,20.9774032432,20.9397778515
7,20.9905049536,20.5112316429
8,20.958142197,20.4599704726
9,20.9481617612,20.4598070707
10,20.9362874481,20.459712156
11,20.9282695575,20.4596916102
12,20.9238188173,20.4596566787
13,20.9222880842,20.4597372688
14,20.9238232613,20.4598298339
15,20.9281253991,20.4598056894
16,20.934898645,20.4598191124
17,20.9432705499,20.4597857815
18,20.953596794,20.4597848603
19,20.965437362,20.2693137948
20,20.9532701447,20.2607378734
21,20.9558858253,20.2598267688
22,20.9581370932,20.2597527868
23,20.9587632149,20.2597355371
24,20.9629232235,20.2597130239
25,20.9703524549,20.2598733535
26,20.9780847976,20.2598721014
27,20.9860927034,20.2598622609
28,20.9943605792,20.2598510729
29,21.0028704116,20.2598392799
30,21.0115965313,20.2598259116
31,21.0205216014,20.6309763508
32,21.0464523606,20.6397742596
33,21.0688969736,20.6396962657
34,21.0929898848,20.6395431725
35,21.1157639617,20.6394831476
36,21.1377655782,20.6396018516
37,21.1590680001,20.6398833017
38,21.1743749051,20.6398925801
39,21.1841286772,20.6398913741
40,21.1887844312,20.6398879204
41,21.1886765316,20.639884628
42,21.1841410121,20.6398812462
43,21.1754903501,20.4001098965
44,21.1465696886,20.3903205855
45,21.1187315381,20.3897564548
46,21.0867677639,20.3897872303
47,21.0528389129,20.3897991808
48,21.0167847749,20.3898061948
49,20.9787222589,20.3898104164
50,20.9425043643,20.3898136203
51,20.9079932402,20.3896382847
52,20.8750635554,20.3896324787
53,20.8435795203,20.389638119
54,20.8134596108,20.3897600931
55,20.7859426514,20.4854747633
56,20.778629814,20.4895448758
57,20.7620129122,20.4898177101
58,20.751918788,20.489827392
59,20.7417877763,20.4898454113
60,20.732260033,20.4898623438
61,20.7233210406,20.4898324309
62,20.7158674611,20.4898286975
63,20.7091546338,20.4898390878
64,20.7036219016,20.4898474344
65,20.6991251963,20.4898540269
66,20.695547708,20.4898592481
67,20.6927871284,20.4706774707
68,20.6885314819,20.4699005407
69,20.6863770153,20.4698485494
70,20.6842185185,20.4698488403
71,20.6827879213,20.4698472263
72,20.681878279,20.4698447632
73,20.6814257944,20.4698476101
74,20.6800225511,20.469851897
75,20.677775256,20.4697879482
76,20.6747539645,20.4697949122
77,20.6710382308,20.4698042283
78,20.666677478,20.4698137423
79,20.6617291585,20.8781380389
80,20.6851733021,20.880168167
81,20.6928890329,20.8796484207
82,20.7118912806,20.87979559
83,20.7259875629,20.8798048476
84,20.7379544979,20.879810239
85,20.7480123301,20.8798131099
86,20.7571069718,20.8797060142
87,20.7653049684,20.8797031879
88,20.7726687724,20.8797058538
89,20.7792539466,20.8797090286
90,20.7851148825,20.879712134
91,20.7902996703,20.4421887651
92,20.7429131962,20.3902264157
93,20.722565989,20.3897253528
94,20.7010410236,20.3898091743
95,20.6794325478,20.389848299
96,20.660239922,20.3898564457
97,20.6423152402,20.3898644297
98,20.6250125616,20.3898721313
99,20.6082870512,20.3897619163
100,20.5920960768,20.3897720412
101,20.576426741,20.3897855122
102,20.5612298515,20.3897990347
103,20.5464842595,20.4752724488
104,20.5411959642,20.4796727778
105,20.531189417,20.4798565766
106,20.5235198097,20.4798614886
107,20.5153556904,20.4798694455
108,20.5071486368,20.4798779169
109,20.4989331478,20.4798847993
110,20.4909988327,20.4798909272
111,20.4833134172,20.4797945109
112,20.4758428594,20.4797970275
113,20.4685761079,20.4798040462
114,20.4614891919,20.4797090136
115,20.4548240011,20.9100350506
116,20.480142399,20.9197908103
117,20.4926187096,20.9198687216
118,20.5115899546,20.9198019517
119,20.5270819449,20.9197894991
120,20.5412990684,20.9197826044
121,20.554398392,20.9197766832
122,20.5664756369,20.9197711788
123,20.5776117784,20.9197659245
124,20.5878787005,20.9197608207
125,20.5973410852,20.9197558021
126,20.6060577092,20.9197508241
127,20.6140823367,20.4950766843
128,20.5767846833,20.4198715971
129,20.5630098553,20.4198377098
130,20.5464476953,20.4198329281
131,20.5301249265,20.4198607513
132,20.5159625155,20.4198662564
133,20.502933707,20.4198703164
134,20.4909472386,20.4198738767
135,20.4799193326,20.4198771132
136,20.4697762055,20.4198801025
137,20.4604510181,20.4197723968
138,20.4518755444,20.4197735648
139,20.4440101929,20.0434473364
140,20.3941861597,19.9814633598
141,20.3624318438,19.9799695937
142,20.337004245,19.9798873004
143,20.3089470862,19.979889004
144,20.2846039236,19.9798926392
145,20.262085185,19.9798952282
146,20.2412209138,19.9798972996
147,20.2218810453,19.9798990075
148,20.2039486414,19.9799004406
149,20.1873175764,19.9799016522
150,20.1718907351,19.9799026745
151,20.1575787893,20.1039645415
152,20.1594586086,20.1096318256
153,20.1514066146,20.1098985695
154,20.1490160589,20.109883912
155,20.1457308706,20.1098798164
156,20.1425505688,20.1098777817
157,20.1395331471,20.1098763931
158,20.1366883247,20.1099117989
159,20.1340224735,20.1099125846
160,20.1315228097,20.109912455
161,20.1291918466,20.1099123678
162,20.1270209858,20.1099123908
163,20.1250046592,20.2053658302
164,20.1328296507,20.2097163172
165,20.1329777627,20.2097608098
166,20.1369252091,20.2098177444
167,20.1398987045,20.2098196687
168,20.1426418112,20.209820228
169,20.1452124313,20.2098208936
170,20.1476276715,20.2098217208
171,20.1499024766,20.2098226735
172,20.1520497957,20.2098237262
173,20.1540811029,20.2098248595
174,20.156006655,20.209826059
175,20.1578356774,20.4086488719
176,20.17687499,20.4193391858
177,20.1843533279,20.4198119182
178,20.1970302372,20.4197978062
179,20.2078590035,20.4197969733
180,20.2179270505,20.4197986755
181,20.2273386083,20.4198004657
182,20.2361393247,20.4198021332
183,20.2443689571,20.4198036771
184,20.2520646159,20.419805101
185,20.2592608708,20.4198064121
186,20.2659900103,20.4198075872
187,20.2722814001,20.7917114409
188,20.3003796339,20.799849811
189,20.3178636311,20.7998586968
190,20.3428132565,20.7997999771
191,20.3641929149,20.7997942008
192,20.3839491241,20.7997933057
193,20.4022433761,20.7997930828
194,20.4191856916,20.7997931182
195,20.4348741996,20.7997933158
196,20.4493986193,20.7997936198
197,20.4628413643,20.7997939938
198,20.475278431,20.7997944129
199,20.4867800781,20.4223821233
200,20.4576928447,20.3805619938
201,20.4408101306,20.3798871787
202,20.4251389494,20.3799131832
203,20.4117188316,20.3797689126
204,20.399956206,20.3797765029
205,20.3893960223,20.3796855868
206,20.3798953644,20.3795991583
207,20.3713599246,20.3796073335
208,20.3636999919,20.3796187532
209,20.3568327893,20.3796290677
210,20.350688157,20.3796381108
211,20.3452015936,20.1104037961
212,20.3107643766,20.1002474263
213,20.2941173851,20.0998581663
214,20.2726013925,20.0998897533
215,20.2543354161,20.0998989486
216,20.2376675638,20.0999049739
217,20.2224117459,20.0999099426
218,20.2084408107,20.0997401673
219,20.1956359598,20.0997437928
220,20.1839196331,20.0997529937
221,20.1731872309,20.0997618954
222,20.1633647561,20.0997699376
223,20.1543769265,19.9849922666
224,20.1337769352,19.9799571037
225,20.1206129569,19.9798931055
226,20.1059744938,19.9799057535
227,20.0931478286,19.9799095828
228,20.0814518731,19.9797381968
229,20.070757055,19.979736871
230,20.06099162,19.9797414188
231,20.0520668053,19.9797456412
232,20.0439140863,19.9797494748
233,20.0364737231,19.9797525857
234,20.0296838063,19.9797554565
