,t11,t12,t13,t14,t15,t16,t17,t18
0,22.0072972797,20.9398887748,22.1086770284,20.9406369242,20.9399304202,22.2790797598,20.9431092876,22.1086770284
1,22.0031535882,20.9398448214,22.1062008023,20.9410728466,20.9400446602,22.2741532042,20.9408804601,22.1062008023
2,22.0010221704,20.9402255787,22.1042283533,20.9409604876,20.9402822917,22.2725561235,20.9413435066,22.1042283533
3,21.9998822258,20.9403712275,22.1023051836,20.9409316043,20.9398822157,22.2702852614,20.9423097422,22.1023051836
4,21.9993545081,20.9398723951,22.1007982116,20.9397145944,20.940074663,22.2685223525,20.9415664428,22.1007982116
5,21.9992747419,20.9397944061,22.0999337194,20.9394694276,20.939818195,22.2678808111,20.9415624447,22.0999337194
6,21.9995004034,20.9400169351,22.0996215502,20.9403199784,20.9399322782,22.2688804915,20.9428168477,22.0996215502
7,21.9999906824,20.9402463883,22.0998481101,20.9397795754,20.9401330725,22.2703932607,20.9425038581,22.0998481101
8,21.9824309164,20.868275879,22.07711209,20.5748691209,20.904679641,22.2536125665,20.8914492038,22.07711209
9,21.9562926539,20.7691360064,22.0459646301,20.4623329861,20.855253447,22.2312305983,20.8435983671,22.0459646301
10,21.9321944566,20.6848180125,22.0200544684,20.4611260025,20.8127195149,22.214119689,20.8270107523,22.0200544684
11,21.9146922802,20.6292770605,22.003794486,20.461359769,20.7841663645,22.2059982641,20.8404964928,22.003794486
12,21.9032170941,20.5968750598,21.9945145301,20.4591619284,20.7669221704,22.2068794936,20.8783471026,21.9945145301
13,21.8956659416,20.5776572202,21.9885750684,20.4607856156,20.7562060214,22.2127656817,20.9252066038,21.9885750684
14,21.8903324306,20.5646369607,21.9839521064,20.4599296138,20.7486915022,22.2207100927,20.9730374542,21.9839521064
15,21.8862562673,20.5545180838,21.9800385566,20.4601037843,20.7428104048,22.2297075971,21.0213817342,21.9800385566
16,21.8829788924,20.5461617345,21.9768135041,20.460388036,20.7380021472,22.2397280257,21.072082058,21.9768135041
17,21.880284668,20.5392329999,21.9743547432,20.4602997553,20.7340852133,22.2526249482,21.1335355587,21.9743547432
18,21.8780470178,20.533557562,21.9726918803,20.4599310761,20.7309603229,22.267293842,21.1989093178,21.9726918803
19,21.876164498,20.5289519064,21.9718030407,20.4599490468,20.7285260684,22.2828081176,21.2638499027,21.9718030407
20,21.8455657296,20.5248752506,21.9223134854,20.3066809941,20.7263182544,22.1995188121,21.1134817088,21.9223134854
21,21.8046872,20.5211430245,21.8614063204,20.2651000318,20.7242617126,22.0898374156,20.939394407,21.8614063204
22,21.7696025865,20.5173419469,21.8164564439,20.2607317164,20.7219315486,22.0099775628,20.8597910368,21.8164564439
23,21.7452846108,20.5136124639,21.7917557786,20.2608738244,20.7195702978,21.9703815486,20.8697812372,21.7917557786
24,21.7296979239,20.5099198914,21.779695944,20.260294926,20.7171731926,21.957770575,20.9210491181,21.779695944
25,21.7194195561,20.5062464227,21.7728492185,20.2718493205,20.7147343757,21.9579653866,20.9807664059,21.7728492185
26,21.7119889851,20.5026135117,21.7675355338,20.3014945764,20.7122757629,21.9619005064,21.0328075979,21.7675355338
27,21.7061318268,20.4990705306,21.7628301912,20.3429107718,20.7098427193,21.9662458843,21.0761310897,21.7628301912
28,21.7012971044,20.4956741455,21.7588432523,20.3885823393,20.7074900723,21.9707318649,21.1154933275,21.7588432523
29,21.6972239924,20.4924598525,21.7557260488,20.4344690406,20.7052520458,21.975756411,21.1543358652,21.7557260488
30,21.6937447894,20.489446301,21.7534660467,20.4795607214,20.703148176,21.9815034839,21.193616278,21.7534660467
31,21.690725277,20.4866408224,21.7519616661,20.5238564419,20.7011883067,21.9879004468,21.232890451,21.7519616661
32,21.6627549292,20.6586988725,21.7164454346,20.6572420403,20.6798947278,21.9631199398,21.2388020751,21.7164454346
33,21.6204322874,20.7000980814,21.6675845398,20.674800918,20.6477960464,21.9295702903,21.2579352898,21.6675845398
34,21.5806325962,20.641370136,21.6280849693,20.6446861663,20.6400143505,21.9051990303,21.2949108046,21.6280849693
35,21.550987469,20.6402796647,21.6037512182,20.6404509834,20.6401606381,21.8930093798,21.3380066863,21.6037512182
36,21.5308927862,20.6402593204,21.5898551499,20.6546426563,20.6402901494,21.888673215,21.379335443,21.5898551499
37,21.5170777942,20.6403040182,21.5808710538,20.6820456034,20.639816656,21.8881686299,21.418263131,21.5808710538
38,21.5067253243,20.6400888878,21.5736882639,20.7021252362,20.6398481304,21.8864473999,21.4408509299,21.5736882639
39,21.4982348319,20.6403143898,21.5672470173,20.7041851496,20.6402164719,21.8810408646,21.441996667,21.5672470173
40,21.4908849285,20.6399431843,21.5613235901,20.6778775272,20.6398684843,21.8684798087,21.4140560842,21.5613235901
41,21.4843733015,20.640398155,21.5557012399,20.6426785498,20.6400488828,21.8511264123,21.369317095,21.5557012399
42,21.4785372696,20.6403462826,21.5500779667,20.6407080485,20.6398681615,21.8319975746,21.3199067628,21.5500779667
43,21.4732384242,20.6402553726,21.5441707802,20.6391134493,20.6403301005,21.8122692034,21.26916735,21.5441707802
44,21.4684270852,20.5955577077,21.5381829545,20.5660701118,20.6172200787,21.7922648831,21.2163859843,21.5381829545
45,21.4639719878,20.5366086237,21.5320019818,20.4505639701,20.5861509056,21.7678324211,21.144555879,21.5320019818
46,21.4595990265,20.4884662709,21.524992964,20.3956303961,20.5600461878,21.7382388587,21.0532519505,21.524992964
47,21.45546327,20.4571414089,21.5173825085,20.3893294295,20.5422592599,21.7076091251,20.9605071365,21.5173825085
48,21.4515666998,20.438116786,21.5090690035,20.3889749524,20.5306279582,21.6742145681,20.8584980085,21.5090690035
49,21.4478618675,20.425445413,21.4999036771,20.3903967863,20.5221889126,21.6396354624,20.753484882,21.4999036771
50,21.4443150377,20.4153618787,21.4898592433,20.3910125331,20.5150551048,21.6082229102,20.6649882463,21.4898592433
51,21.4408908066,20.4062643296,21.4790437786,20.3909549148,20.5084157106,21.5816418721,20.5981926365,21.4790437786
52,21.4375689012,20.397716968,21.4677022317,20.388992001,20.5020573021,21.559101522,20.5463251641,21.4677022317
53,21.4343338372,20.39017329,21.456095294,20.3892145255,20.4959619482,21.5391964896,20.5017359289,21.456095294
54,21.4311813798,20.3901410376,21.4444476603,20.3907779079,20.4901418043,21.5209296934,20.4605154846,21.4444476603
55,21.4281047412,20.3898408617,21.4329011515,20.3900942661,20.4845875987,21.5037956242,20.4216449694,21.4329011515
56,21.4251833381,20.4879962412,21.4213812654,20.4817649598,20.4900863346,21.4873268642,20.4825075858,21.4213812654
57,21.4221362702,20.5092862403,21.4092517739,20.490808712,20.4904128724,21.4705395673,20.4901195784,21.4092517739
58,21.4192555403,20.4901821839,21.397367777,20.4915453833,20.4899829198,21.454339295,20.4909523398,21.397367777
59,21.4164265597,20.490045583,21.3856382378,20.4917531682,20.4901265401,21.4385196175,20.4919686388,21.3856382378
60,21.4136574122,20.490382917,21.3741871212,20.4913672863,20.4900318915,21.423180764,20.4911799753,21.3741871212
61,21.4109386968,20.4901212634,21.3630199971,20.4895713551,20.4900278549,21.4082913643,20.4911328338,21.3630199971
