,Unnamed: 0,tout,s,i,t1,t2,t3,t4,sp0,m,rh
0,0,-2.29166666667,0.0,1738.92367096,22.9770101234,20.0938294865,23.4218986895,22.1728226601,24.0,0.145483329227,0.0
1,1,-1.78333333333,0.0,1738.92367096,22.955427146,20.0764880626,23.3899761595,22.161492952,24.0,0.145483329227,0.0
2,2,-1.275,0.0,1738.92367096,22.9243969283,20.0532168792,23.3477831072,22.1448946468,24.0,0.145483329227,0.0
3,3,-0.766666666667,0.0,1738.92367096,22.892222931,20.0312848128,23.3067899171,22.1271490504,24.0,0.145483329227,0.0
4,4,-0.258333333333,0.0,1738.92367096,22.8662562587,20.0172617499,23.277206979,22.1123952421,24.0,0.145483329227,0.0
5,5,0.25,0.0,1738.92367096,22.8472481732,20.01110502,23.259462095,22.1017254681,24.0,0.145483329227,0.0
6,6,0.758333333333,0.0,1738.92367096,22.832772207,20.0098951737,23.249425609,22.0943765954,24.0,0.145483329227,0.0
7,7,1.26666666667,0.0,1738.92367096,22.8205029636,20.0113440954,23.2432701117,22.0892041632,24.0,0.145483329227,0.0
8,8,1.775,0.0,1738.92367096,22.8092242671,20.0145083515,23.238928464,22.0853385582,24.0,0.145483329227,0.0
9,9,2.28333333333,0.0,1738.92367096,22.7985926878,20.019290684,23.235698689,22.0822832099,24.0,0.145483329227,0.0
10,10,2.79166666667,0.0,1738.92367096,22.788599849,20.02576991,23.233433239,22.0797773735,24.0,0.145483329227,0.0
11,11,3.3,0.0,1738.92367096,22.7792940402,20.0339811281,23.2321058466,22.0776841001,24.0,0.145483329227,0.0
12,12,3.20833333333,0.0,1738.92367096,22.7718018889,20.139808193,23.2317551193,22.076429344,24.15,0.145483329227,0.0
13,13,3.11666666667,0.0,1738.92367096,22.7634575721,20.1496516314,23.2286971008,22.0747840347,24.15,0.145483329227,0.0
14,14,3.025,0.0,1738.92367096,22.7552606359,20.1497502815,23.2244384201,22.0730952186,24.15,0.145483329227,0.0
15,15,2.93333333333,0.0,1738.92367096,22.748330635,20.1514767139,23.2207833785,22.0718519398,24.15,0.145483329227,0.0
16,16,2.84166666667,0.0,1738.92367096,22.7418631814,20.15025931,23.217028379,22.0707407686,24.15,0.145483329227,0.0
17,17,2.75,0.0,1738.92367096,22.7357748253,20.1502736718,23.2132619666,22.0697429497,24.15,0.145483329227,0.0
18,18,2.65833333333,0.0,1738.92367096,22.729992303,20.1511176165,23.2094958163,22.0688326095,24.15,0.145483329227,0.0
19,19,2.56666666667,0.0,1738.92367096,22.7244536003,20.1496045048,23.2057056281,22.0679841468,24.15,0.145483329227,0.0
20,20,2.475,0.0,1738.92367096,22.7191608287,20.1490185024,23.2019268546,22.0672008776,24.15,0.145483329227,0.0
21,21,2.38333333333,0.0,1738.92367096,22.7140775307,20.1506948435,23.198143069,22.066471587,24.15,0.145483329227,0.0
22,22,2.29166666667,0.0,1738.92367096,22.7091484824,20.1499739141,23.1943130614,22.0657760754,24.15,0.145483329227,0.0
23,23,2.2,0.0,1738.92367096,22.7043949474,20.1492858867,23.1904846974,22.0651244134,24.15,0.145483329227,0.0
24,24,2.10833333333,0.0,1538.278632,22.674262159,20.2956066535,23.1658317467,22.0449763321,24.31,0.145483329227,0.0
25,25,2.01666666667,0.0,1538.278632,22.6352441694,20.3088467625,23.133170376,22.0161403365,24.31,0.145483329227,0.0
26,26,1.925,0.0,1538.278632,22.6037549305,20.3110937907,23.1063588233,21.9905991776,24.31,0.145483329227,0.0
27,27,1.83333333333,0.0,1538.278632,22.5823995497,20.3107448286,23.0876183726,21.9720963369,24.31,0.145483329227,0.0
28,28,1.74166666667,0.0,1538.278632,22.5677947468,20.3104946446,23.0744514657,21.9596735403,24.31,0.145483329227,0.0
29,29,1.65,0.0,1538.278632,22.5561732616,20.3102217637,23.0639045374,21.9511217643,24.31,0.145483329227,0.0
30,30,1.55833333333,0.0,1538.278632,22.5455452831,20.3094935688,23.054353236,21.944745783,24.31,0.145483329227,0.0
31,31,1.46666666667,0.0,1538.278632,22.5353032253,20.3115134638,23.0452330563,21.9396029382,24.31,0.145483329227,0.0
32,32,1.375,0.0,1538.278632,22.5254136114,20.3102252795,23.0364489859,21.9352477305,24.31,0.145483329227,0.0
33,33,1.28333333333,0.0,1538.278632,22.5159403413,20.3101389967,23.0280184882,21.9314719843,24.31,0.145483329227,0.0
34,34,1.19166666667,0.0,1538.278632,22.5068787611,20.3103285083,23.0199228949,21.9281479817,24.31,0.145483329227,0.0
35,35,1.1,0.0,1538.278632,22.498177541,20.3096870839,23.0121150031,21.9251782051,24.31,0.145483329227,0.0
36,36,1.1,0.0,1538.278632,22.4901672778,20.3828947667,23.0051395573,21.9225493546,24.39,0.145483329227,0.0
37,37,1.1,0.0,1538.278632,22.4823877777,20.3892274539,22.9984818731,21.9199862388,24.39,0.145483329227,0.0
38,38,1.1,0.0,1538.278632,22.4752727462,20.3905826581,22.9926423299,21.9176734609,24.39,0.145483329227,0.0
39,39,1.1,0.0,1538.278632,22.4685216427,20.3898396104,22.9872012168,21.9154999024,24.39,0.145483329227,0.0
40,40,1.1,0.0,1538.278632,22.4620606858,20.39036306,22.9820330851,21.9134422289,24.39,0.145483329227,0.0
41,41,1.1,0.0,1538.278632,22.4558446701,20.3897074804,22.9770723246,21.9114809881,24.39,0.145483329227,0.0
42,42,1.1,0.0,1538.278632,22.4498477236,20.3897752175,22.9722920303,21.9096021695,24.39,0.145483329227,0.0
43,43,1.1,0.0,1538.278632,22.4440572962,20.3914903729,22.9676863138,21.9077985719,24.39,0.145483329227,0.0
44,44,1.1,0.0,1538.278632,22.4384394632,20.3914258163,22.9632171872,21.9060543492,24.39,0.145483329227,0.0
