,prediction,real
0,20.0759241001,
1,20.0597019085,20.0764880626
2,20.0376540131,20.0532168792
3,20.0169090003,20.0312848128
4,20.0038916597,20.0172617499
5,19.9985507481,20.01110502
6,19.9980223128,20.0098951737
7,20.0000594509,20.0113440954
8,20.0037339851,20.0145083515
9,20.0089495323,20.019290684
10,20.0157858309,20.02576991
11,20.0242807311,20.0339811281
12,20.1373745106,20.139808193
13,20.1346418926,20.1496516314
14,20.1401469029,20.1497502815
15,20.1407615217,20.1514767139
16,20.1390593996,20.15025931
17,20.1392357967,20.1502736718
18,20.1399639735,20.1511176165
19,20.1382268591,20.1496045048
20,20.1378371425,20.1490185024
21,20.1395894276,20.1506948435
22,20.1386093054,20.1499739141
23,20.138121028,20.1492858867
24,20.2913473398,20.2956066535
25,20.286152219,20.3088467625
26,20.2964302671,20.3110937907
27,20.2945827409,20.3107448286
28,20.2944415398,20.3104946446
29,20.2942650771,20.3102217637
30,20.2936265643,20.3094935688
31,20.2959538545,20.3115134638
32,20.2943620935,20.3102252795
33,20.2946725314,20.3101389967
34,20.2948586198,20.3103285083
35,20.2942571008,20.3096870839
36,20.3730904311,20.3828947667
37,20.3703275607,20.3892274539
38,20.3758328017,20.3905826581
39,20.3742510904,20.3898396104
40,20.3749505969,20.39036306
41,20.3741796873,20.3897074804
42,20.3744567207,20.3897752175
43,20.376297831,20.3914903729
44,20.3761008005,20.3914258163
45,20.3764759724,20.391587051
46,20.3750633606,20.3902317235
47,20.3748953351,20.3898137548
48,20.4353468274,20.4459511538
49,20.4312192338,20.4488016019
50,20.4368306759,20.45079552
51,20.4364043388,20.4511280195
52,20.4374976723,20.4519930844
53,20.4368454318,20.4513713093
54,20.43718575,20.4514384682
55,20.4360420496,20.4502935854
56,20.4361243363,20.4500861777
57,20.4349068675,20.4488600543
58,20.4380473592,20.4515263193
59,20.4369025314,20.4507256275
60,20.3792780666,20.3968114074
61,20.3789048853,20.3899517337
62,20.3779390262,20.3915001093
63,20.3789626733,20.3922880735
64,20.3771427743,20.3904288033
65,20.3771515993,20.3901383177
66,20.3771455944,20.3901892965
67,20.3763442127,20.3893986177
68,20.3778023771,20.3906330281
69,20.3788690977,20.3918100346
70,20.3786717829,20.3916510968
71,20.377329476,20.390281912
72,20.4873100512,20.4886601615
73,20.4864614624,20.499804309
74,20.4924972551,20.5006498857
75,20.4908184102,20.4998991205
76,20.4913929293,20.5005363616
77,20.4927841687,20.5020274407
78,20.4909282555,20.5004150346
79,20.491459204,20.5005942196
80,20.4925710469,20.5017260951
81,20.4902213771,20.4995521219
82,20.4900332278,20.4989549024
83,20.4903958688,20.4992919144
84,20.9653586535,20.9893256954
85,20.966525406,21.0003944688
86,20.9979851108,21.0006166828
87,20.9903748376,21.0002355223
88,20.9891270233,20.9995178633
89,20.9909797622,21.0014692624
90,21.0132524525,21.0008083582
91,21.0207921608,20.9997779161
92,21.0314845444,21.001750253
93,21.0391110452,21.0016103782
94,21.0466288233,21.0011441822
95,21.0549150888,21.0016444386
96,20.8578461181,20.8188906162
97,20.7104062905,20.6524998196
98,20.6781920786,20.6067874886
99,20.7464354114,20.666272584
100,20.8658975148,20.7794066523
101,21.0045001745,20.9126377627
102,21.1295569611,21.0415501882
103,21.243639268,21.1589658062
104,21.3527458162,21.2711720701
105,21.4597258039,21.381149011
106,21.564818575,21.4891411467
107,21.6678884595,21.5950039488
108,21.7406640899,21.6761536901
109,21.8156738817,21.7526887288
110,21.8981536612,21.8369510363
111,21.9871768275,21.9279917174
112,22.077657734,22.020531814
113,22.1669204261,22.1118035408
114,22.2668770426,22.2102001735
115,22.3777563049,22.320093125
116,22.4979201069,22.4397402657
117,22.6243362077,22.5659404271
118,22.7522168505,22.6936571671
119,22.8828711087,22.8242664687
120,23.0195804882,22.96112152
121,23.163232884,23.1052329222
122,23.3127072357,23.2554208704
123,23.4660489979,23.4096424829
124,23.6156949005,23.5599560115
125,23.7655694945,23.7104889442
126,23.900006029,23.8506602639
127,24.0198989491,23.9755203222
128,24.1284510238,24.0884490732
129,24.2304672709,24.1945057335
130,24.3286055974,24.2964886966
131,24.423834999,24.3954150901
132,24.4405524931,24.426537259
133,24.4407173572,24.4293402948
134,24.4387993647,24.4295662984
135,24.4368370022,24.4295758106
136,24.435639436,24.4295650678
137,24.4346479628,24.4295605843
138,24.4342047566,24.4295607549
139,24.4337744229,24.4295645479
140,24.4334085694,24.4295704684
141,24.4331133471,24.4295778951
142,24.4329030651,24.4295857519
143,24.4327766908,24.4295939542
144,23.9716462363,23.9650984834
145,23.9595382081,23.9400555832
146,23.9387506151,23.9397016732
147,23.9451532141,23.939640633
148,23.9461792702,23.9396687955
149,23.9467754675,23.939693015
150,23.9455493191,23.9397149834
151,23.9445319213,23.9397339196
152,23.9436089081,23.9397495484
153,23.9427667773,23.9397624731
154,23.9419876635,23.9397733796
155,23.9412624903,23.9397827441
156,24.0070544318,24.0095177379
157,24.0072435813,24.0184117351
158,24.0100296255,24.0196041149
159,24.0088880534,24.0197576553
160,24.0083184031,24.0197770062
161,24.007841078,24.0197821696
162,24.0074467765,24.0197871332
163,24.0070613325,24.019792797
164,24.0067083548,24.0197987394
165,24.0063969988,24.0198046048
166,24.0061283679,24.0198102077
167,24.0059001636,24.0198154783
168,23.5481912706,23.5551757084
169,23.5311003319,23.5302481154
170,23.5093240462,23.5298818694
171,23.5158592003,23.5298132792
172,23.5170316124,23.5298156781
173,23.517586089,23.5298248855
174,23.516202271,23.5298347453
