,tout,s,i,t1,t2,t3,t4,sp0,m,rh
0,-2.29166666667,0.0,19522.5282766,23.9996525539,23.4218986895,22.4723130282,22.1728226601,24.0,2.01304910716,0.0
1,-1.78333333333,0.0,19522.5282766,23.9996539119,23.3899761595,22.422395114,22.161492952,24.0,2.00777643412,0.0
2,-1.275,0.0,19522.5282766,23.9996348937,23.3477831072,22.3666148192,22.1448946468,24.0,2.00324393211,0.0
3,-0.766666666667,0.0,19522.5282766,23.999733713,23.3067899171,22.3193042666,22.1271490504,24.0,1.99882266274,0.0
4,-0.258333333333,0.0,19522.5282766,23.9998348583,23.277206979,22.2938362109,22.1123952421,24.0,1.9947751074,0.0
5,0.25,0.0,19522.5282766,23.9999269335,23.259462095,22.2865647878,22.1017254681,24.0,1.9911082167,0.0
6,0.758333333333,0.0,19522.5282766,24.0000143687,23.249425609,22.2881025925,22.0943765954,24.0,1.98759046899,0.0
7,1.26666666667,0.0,19522.5282766,24.0001062521,23.2432701117,22.2922832002,22.0892041632,24.0,1.98434103031,0.0
8,1.775,0.0,19522.5282766,24.0001995037,23.238928464,22.2972309207,22.0853385582,24.0,1.98124310141,0.0
9,2.28333333333,0.0,19522.5282766,24.0002908658,23.235698689,22.30324548,22.0822832099,24.0,1.97839238629,0.0
10,2.79166666667,0.0,19522.5282766,24.0003784049,23.233433239,22.3108394119,22.0797773735,24.0,1.97568956212,0.0
11,3.3,0.0,19522.5282766,24.0004623796,23.2321058466,22.3201687565,22.0776841001,24.0,1.97321396298,0.0
12,3.20833333333,0.0,19522.5282766,24.0951392413,23.2317551193,22.328046852,22.076429344,24.15,1.91718978618,0.0
13,3.11666666667,0.0,19522.5282766,24.1297055054,23.2286971008,22.3268565985,22.0747840347,24.15,1.92527201909,0.0
14,3.025,0.0,19522.5282766,24.1424965821,23.2244384201,22.3219931462,22.0730952186,24.15,1.91326026863,0.0
15,2.93333333333,0.0,19522.5282766,24.1471800786,23.2207833785,22.3184670032,22.0718519398,24.15,1.91482387093,0.0
16,2.84166666667,0.0,19522.5282766,24.1488620318,23.217028379,22.3148370813,22.0707407686,24.15,1.91235679253,0.0
17,2.75,0.0,19522.5282766,24.1494673256,23.2132619666,22.3109506869,22.0697429497,24.15,1.9121169674,0.0
18,2.65833333333,0.0,19522.5282766,24.1496745467,23.2094958163,22.3066091138,22.0688326095,24.15,1.91138803652,0.0
