,prediction,real
0,22.0041525318,22.0031535882
1,22.0012812376,22.0010221704
2,21.9986632458,21.9998822258
3,21.9962602124,21.9993545081
4,21.9940396229,21.9992747419
5,21.9920081245,21.9995004034
6,21.9901645365,21.9999906824
7,21.9884989652,21.9824309164
8,21.9669099704,21.9562926539
9,21.9487090076,21.9321944566
10,21.9321863036,21.9146922802
11,21.9173318014,21.9032170941
12,21.9041844525,21.8956659416
13,21.8926523545,21.8903324306
14,21.8825912027,21.8862562673
15,21.8738363195,21.8829788924
16,21.8662412734,21.880284668
17,21.8597115365,21.8780470178
18,21.8541456294,21.876164498
19,21.8494352476,21.8455657296
20,21.8227293739,21.8046872
21,21.7983290501,21.7696025865
22,21.7758423407,21.7452846108
23,21.7555196242,21.7296979239
24,21.7374942273,21.7194195561
25,21.7216245461,21.7119889851
26,21.7076880097,21.7061318268
27,21.6953899553,21.7012971044
28,21.6845015447,21.6972239924
29,21.6748481886,21.6937447894
30,21.6662859138,21.690725277
31,21.6586885947,21.6627549292
32,21.6299633674,21.6204322874
33,21.6049530858,21.5806325962
34,21.582115971,21.550987469
35,21.5619836897,21.5308927862
36,21.5442664914,21.5170777942
37,21.5286663158,21.5067253243
38,21.5150543333,21.4982348319
39,21.5031959228,21.4908849285
40,21.4928737804,21.4843733015
41,21.4838463253,21.4785372696
42,21.475757138,21.4732384242
43,21.4684612323,21.4684270852
44,21.4596970768,21.4639719878
45,21.4527574296,21.4595990265
46,21.4465838915,21.45546327
47,21.4407633722,21.4515666998
48,21.4351913718,21.4478618675
49,21.4298276589,21.4443150377
50,21.4246170257,21.4408908066
51,21.4196347333,21.4375689012
52,21.414938161,21.4343338372
53,21.4105408517,21.4311813798
54,21.406537181,21.4281047412
55,21.4028994096,21.4251833381
56,21.401256469,21.4221362702
57,21.3995246781,21.4192555403
58,21.3973805862,21.4164265597
59,21.3952250991,21.4136574122
60,21.3931043743,21.4109386968
61,21.3910238139,21.4082598411
62,21.3889620391,21.4056124864
63,21.386966178,21.402996775
64,21.38507043,21.4004115491
65,21.3832620084,21.3978569049
66,21.3815344114,21.395329338
67,21.3798771407,21.3927986762
68,21.378221636,21.3903349453
69,21.3767695526,21.3878788386
70,21.3753966228,21.3854503859
71,21.3740978533,21.3830616094
72,21.3728535041,21.3807085801
73,21.3716734744,21.3783545126
74,21.3705680191,21.3759971985
75,21.369516963,21.3736513634
76,21.3684769195,21.371325835
77,21.3674416658,21.3690183427
78,21.3664221492,21.3667327729
79,21.3653902928,21.3658159564
80,21.3634727968,21.3637976133
81,21.3608746521,21.3609735751
82,21.3583925747,21.3583116072
83,21.3560460466,21.3558171078
84,21.3538162256,21.3534821846
85,21.3517192923,21.3512400511
86,21.3497271161,21.3490455045
87,21.347832292,21.3468672318
88,21.3460329701,21.3447080978
89,21.3443323984,21.3425641772
90,21.3427166915,21.3404362888
91,21.3412063307,21.3535635117
92,21.3493684305,21.3712409292
93,21.3591690013,21.3852375331
94,21.3685989022,21.393646924
95,21.377249685,21.3979450377
96,21.3851312898,21.3999129925
97,21.3924920056,21.4007215545
98,21.3992429649,21.4009280038
99,21.4053534576,21.4007513376
100,21.4108532444,21.400285423
101,21.4157794127,21.3995951273
102,21.4201756132,21.3987334242
103,21.4240039629,21.4272126961
104,21.4489864961,21.465911999
105,21.4723386193,21.4992781061
106,21.4946879753,21.5222975426
107,21.5151763598,21.5366683459
108,21.5335377515,21.5456001281
109,21.5497926405,21.5515051883
110,21.5641211766,21.5557116852
111,21.5767132084,21.5588030543
112,21.5877907574,21.5610728352
113,21.5975346488,21.5627105163
114,21.6060779842,21.5638720926
115,21.6135458607,21.5639474046
116,21.619283284,21.564142602
117,21.6233039054,21.5643542702
118,21.6268287516,21.5648051867
119,21.6298669721,21.5651568968
120,21.6324652357,21.5653138955
121,21.634721909,21.5653029008
122,21.636668841,21.5651761774
123,21.6383930038,21.5649694731
124,21.63990463,21.5647035136
125,21.6412142853,21.5643870163
126,21.6423569026,21.5640341939
127,21.6433526764,21.6268359758
128,21.7044732821,21.7210227681
129,21.7601711508,21.8081084809
130,21.8093579892,21.8734365154
131,21.8525514868,21.9191608629
