,t2,t27
0,20.9398042025,19.3899210515
1,20.9397769177,19.3927103435
2,20.9398654346,19.3953254498
3,20.9398470607,19.3975369226
4,20.9398671374,19.3996405408
5,20.9398442499,19.4025713783
6,20.9398221761,19.4058141478
7,20.9398004799,19.4087394219
8,20.5247979354,19.4068154888
9,20.4610152222,19.4056908248
10,20.4599556628,19.4068808431
11,20.4598534471,19.4105179049
12,20.4597931893,19.4167537699
13,20.4597762105,19.424372793
14,20.4597584249,19.4325077533
15,20.4597532099,19.4409947869
16,20.4598291914,19.4499263759
17,20.4598138721,19.4605182781
18,20.4599316893,19.4719930023
19,20.4599258842,19.48376833
20,20.2664155562,19.493712432
21,20.2601597596,19.5016583088
22,20.2598797923,19.5081774866
23,20.2598876449,19.5142566391
24,20.2599151515,19.5202952037
25,20.2599115087,19.5264160794
26,20.2599067556,19.5322362273
27,20.2599015506,19.5375451321
28,20.2598958432,19.54241599
29,20.2598896415,19.5469907272
30,20.2598829634,19.5513674898
31,20.2598906137,19.5555918292
32,20.6481292212,19.5521311775
33,20.6405781681,19.5488985107
34,20.6399011581,19.549818686
35,20.6398588469,19.5544096465
36,20.6399301339,19.5609478584
37,20.639928742,19.5682957604
38,20.6399264594,19.5747026722
39,20.6399247149,19.5793834182
40,20.6399252652,19.5809775984
41,20.6399243173,19.5806174407
42,20.6399216015,19.5795317104
43,20.6399164588,19.5780895067
44,20.3983041132,19.577512835
45,20.3904564772,19.5762370788
46,20.3898978379,19.5733245979
47,20.3898238282,19.5702671492
48,20.3898038971,19.5663270696
49,20.3898077937,19.5620558421
50,20.3898100661,19.5589646127
51,20.3897952661,19.5575439296
52,20.3898573516,19.5574574408
53,20.3898555755,19.5590365557
54,20.3898587322,19.5613735851
55,20.389861308,19.5639033311
56,20.4855376353,19.562705357
57,20.4896579484,19.560120853
58,20.4898609529,19.5545298779
59,20.4898520077,19.5494070886
60,20.4898556603,19.5433482627
61,20.4898604994,19.5370541187
62,20.4898630054,19.5314631635
63,20.4898636095,19.527615051
64,20.4898648313,19.5246833837
65,20.4898658731,19.5219592634
66,20.4898667123,19.5192447202
67,20.4898673654,19.516601169
68,20.4706106238,19.5148588248
69,20.4699010399,19.5142512766
70,20.469845052,19.5144632242
71,20.4698448602,19.5152021602
72,20.4698414401,19.516276298
73,20.4698375319,19.5176213667
74,20.4698371164,19.5186940312
75,20.4698383167,19.5192121144
76,20.4698397226,19.5192506235
77,20.4698416672,19.5189814031
78,20.46984379,19.518518865
79,20.4698461572,19.5179100693
80,20.8915548204,19.5177580279
81,20.8804765254,19.5174149947
82,20.8798903734,19.5170338584
83,20.8797814883,19.5169864616
84,20.8797797514,19.5170465974
85,20.8797804606,19.5171349352
86,20.8797785693,19.517519449
87,20.8797763171,19.5183178147
88,20.8797743268,19.5194500432
89,20.8797726029,19.5208070644
90,20.8797711192,19.5223083532
91,20.8797698506,19.5239201271
92,20.486692684,19.5239444756
93,20.3917222732,19.5238407778
94,20.3899614273,19.5234147329
95,20.3898590388,19.5225197233
96,20.3898759809,19.5212565633
97,20.3898806261,19.5197168648
98,20.3898855211,19.5177908568
99,20.3898566336,19.5154395256
100,20.3898608224,19.5127177655
101,20.38986715,19.5097185201
102,20.3898733221,19.5065254819
103,20.3898792139,19.5031633316
104,20.4759023567,19.499146953
105,20.4796659354,19.494179883
106,20.4798335837,19.4886858558
107,20.4799062854,19.4828400268
108,20.4799117393,19.4767862315
109,20.4799156045,19.4705732984
110,20.4799184382,19.4643513888
111,20.4798691899,19.4582055053
112,20.4798703631,19.4521240909
113,20.4797988002,19.4460495971
114,20.4798014968,19.4399369126
115,20.4798069886,19.4332517401
116,20.9389456194,19.4326573193
117,20.9197588588,19.4325618593
118,20.9200185194,19.4318432385
119,20.9198348245,19.4323344241
120,20.9198187028,19.4346843947
121,20.9198113078,19.4385956987
122,20.9198038258,19.4435142378
123,20.9197964682,19.4490508997
124,20.9197892145,19.4550290745
125,20.9197820315,19.4613920672
126,20.9197748888,19.4681157967
127,20.9198219704,19.4751825418
128,20.5214278413,19.4934829986
129,20.4201219497,19.5199909043
130,20.4210259032,19.5432557099
131,20.419915064,19.5606214025
132,20.419877363,19.5725621903
133,20.4198327103,19.5809647336
134,20.4198325223,19.5874680003
135,20.4198463166,19.5929210521
136,20.419847678,19.5976160938
137,20.4198486937,19.6016304271
138,20.41984962,19.6050060732
139,20.4198505142,19.6078016179
140,20.0951274366,19.6186534674
141,19.9799939833,19.6377119895
142,19.9798369632,19.6564643658
143,19.9798806954,19.672173268
144,19.9798146772,19.6844138564
145,19.9798144874,19.6958040772
146,19.9798160081,19.706277537
147,19.9798173708,19.7156833644
148,19.979818404,19.7257749351
149,19.9798191752,19.7355980208
150,19.9798197272,19.744525928
151,19.9798200933,19.7526179616
152,20.1039822307,19.765283398
153,20.1096755031,19.7801880868
154,20.1098391212,19.7918489096
155,20.1098135926,19.8016655399
156,20.1098076756,19.8099100649
157,20.1098584253,19.8168651946
158,20.1098586298,19.8228917552
159,20.1098571595,19.8282857671
160,20.1098558374,19.8346954137
161,20.1098547299,19.8409959027
162,20.1098538084,19.8464319278
163,20.1098530582,19.8509954559
164,20.2054487293,19.8495783279
165,20.209706356,19.845794835
166,20.2098211082,19.8435413551
167,20.2098516211,19.8432181105
168,20.2098516322,19.8438466235
169,20.2098515752,19.8446037446
170,20.2098516299,19.8451786965
171,20.2098517883,19.8455679211
172,20.2098520303,19.8458420524
173,20.2098523443,19.8460456051
174,20.2098527207,19.8461895477
175,20.2098531516,19.8462708331
176,20.408699268,19.8372959124
177,20.4193799356,19.8248931082
178,20.4197262814,19.8154418175
179,20.4197723676,19.8098371991
180,20.4197724596,19.8067693361
181,20.4197728957,19.8048757762
182,20.4197733136,19.8034837452
183,20.4197736505,19.8024211221
184,20.4197738987,19.8016894088
185,20.4197740586,19.8012925063
186,20.4197741359,19.8012112432
187,20.419774111,19.8014181218
188,20.801277472,19.7878626248
189,20.7998228604,19.7679758078
190,20.7998010244,19.7514145519
191,20.7997983793,19.7409840249
192,20.799801238,19.734871706
193,20.7998036842,19.7309290605
194,20.799805862,19.7279682374
195,20.7998077624,19.7256477296
196,20.7998092193,19.7239500936
197,20.7998110738,19.7228933825
198,20.7997676082,19.7224433043
199,20.7997693917,19.7225407103
200,20.4282194839,19.7160336105
201,20.3826272442,19.7038904011
202,20.3798876014,19.6920791884
203,20.3798811299,19.6818500283
204,20.3798962548,19.6727071482
205,20.3798922335,19.6639078967
206,20.3798984257,19.6551297725
207,20.3799037557,19.6463646223
208,20.3799082292,19.6376894519
209,20.3799119806,19.6291541086
210,20.3799151477,19.6207714502
211,20.3799178564,19.6125304304
212,20.10993063,19.6025670553
213,20.1002446148,19.5925633655
214,20.1002969948,19.5836182847
215,20.0998581749,19.5759316294
216,20.0998542332,19.5690351538
217,20.0998632815,19.5625193933
218,20.0998716652,19.5562074854
219,20.0998672058,19.5500738727
220,20.0998741489,19.5441336493
221,20.0998803054,19.5383949218
222,20.0998856636,19.532846164
223,20.0998902956,19.5274960112
224,19.9849966618,19.5218600416
225,19.980441864,19.5147781103
226,19.9798607647,19.5079531381
227,19.9798553969,19.5023943827
228,19.9798661916,19.4979527212
229,19.9798579396,19.4941870029
230,19.9798612019,19.4907881709
231,19.9798638416,19.4876567921
232,19.979866191,19.4847625707
233,19.9798680307,19.4820932046
234,19.9798696073,19.4812111249
235,19.9798707733,19.4808154728
236,19.7091426397,19.4779290706
237,19.7003382232,19.4751267179
238,19.6998481098,19.472363778
239,19.6997475132,19.4693703404
240,19.6998430701,19.4660408474
241,19.6998078611,19.4624575493
242,19.6998155213,19.4587500379
243,19.6998269674,19.4550085761
244,19.6997773617,19.4512743324
245,19.6997823067,19.4475605032
246,19.6997913246,19.4438710503
247,19.6997956481,19.4402088182
248,19.8624387815,19.4396118008
249,19.8693531523,19.4423876929
250,19.8699676207,19.44770373
251,19.8698729652,19.4543808235
252,19.8698544977,19.4617931825
253,19.8698483348,19.4697150488
254,19.8698407452,19.4780931239
255,19.8698458458,19.48691463
256,19.8698384411,19.4961588571
257,19.8698315011,19.5058074963
258,19.8698214017,19.5158702479
259,19.8698035335,19.5266342392
260,19.8314894402,19.5371123223
261,19.8298726764,19.5461727342
262,19.8298154849,19.5517574629
263,19.8298288101,19.5540678285
264,19.8298292679,19.5542924714
265,19.8298242069,19.5534338216
266,19.8298253753,19.5519839409
267,19.8298266101,19.5500908642
268,19.8298278293,19.5477755882
269,19.8298290276,19.5450649258
270,19.8298302043,19.5420046137
271,19.8297795253,19.5386336262
272,19.5766188245,19.5076791531
273,19.5107231471,19.5096715044
274,19.5098764359,19.5094106813
275,19.5098613205,19.50998734
276,19.5098742245,19.5098264756
277,19.5098724742,19.5099855305
278,19.5098699164,19.5099658191
279,19.5098687218,19.509526609
280,19.5098656653,19.5104273787
281,19.5098621011,19.5093834024
282,19.5098577671,19.5100792771
283,19.5098491932,19.5101648998
284,19.6970542866,19.5525534747
285,19.6998866268,19.6107233521
286,19.6998759445,19.6473720097
287,19.699875709,19.6627841437
288,19.6998529705,19.6687249003
289,19.6998441799,19.6725351721
290,19.6998694421,19.6765560728
291,19.6998627585,19.6804019804
292,19.6998840865,19.6837900823
293,19.6998767684,19.686690701
294,19.6998656319,19.6895367027
295,19.6998932917,19.6921427738
296,20.043076469,19.6894578106
297,20.0498817855,19.686795076
298,20.0497538201,19.6867127158
299,20.0498825577,19.6888946467
300,20.0498785273,19.6922365508
301,20.0498673293,19.6960230475
302,20.0498567654,19.7000502233
303,20.0498454744,19.7043171297
304,20.0498334145,19.7088304947
305,20.0498205202,19.713566144
306,20.0498090653,19.718083655
307,20.0497946592,19.7226591353
308,20.5004747689,19.7271676605
309,20.4898583822,19.7358904676
310,20.489816302,19.7478584445
311,20.4901271391,19.7609760525
312,20.4898480204,19.7741460206
313,20.4899242535,19.7873316812
314,20.4899179072,19.8006631476
315,20.489908673,19.8142303348
316,20.4898961086,19.8280206481
317,20.4898799291,19.8420991827
318,20.4898602072,19.8565037179
319,20.4898276913,19.8714960564
320,20.2039810812,19.8684015586
321,20.0999916545,19.8647102608
322,20.0998878828,19.8644644568
323,20.099836214,19.8659402981
324,20.0998654422,19.8673860811
325,20.0998660883,19.8682594131
326,20.0998661663,19.8686393863
327,20.0998657271,19.8687721545
328,20.0998668689,19.8684870774
329,20.0998657822,19.8681009277
330,20.0998623536,19.8681986554
331,20.0998601354,19.8685154296
332,19.9243311547,19.8711092113
333,19.9200822099,19.8758339383
334,19.919896812,19.8822167578
335,19.9198753227,19.8899445669
336,19.9198933914,19.8983106474
337,19.9199088665,19.9069391577
338,19.9199020361,19.9156839984
339,19.9198936008,19.9188566115
340,19.9198839134,19.9191049045
341,19.9199000087,19.9192037827
342,19.9199153539,19.9199086291
343,19.9199017825,19.9194713033
344,20.0254288934,19.9334859047
345,20.0297634565,19.9495740417
346,20.0298799894,19.9596183203
347,20.0299075566,19.9635458818
348,20.0299056041,19.9642329116
349,20.029903317,19.963923379
350,20.0298967484,19.9639311199
351,20.029890268,19.9641218946
352,20.0299075915,19.9646635514
353,20.0298998936,19.9656185316
354,20.0298874369,19.9674275707
355,20.0299207413,19.9696929878
356,19.9184918285,19.6503886699
357,19.7784728151,19.5293155964
358,19.6793597929,19.5295826218
359,19.5306862104,19.530014087
360,19.5299964416,19.5294168617
361,19.5299825625,19.5297959244
362,19.5299787757,19.5296227488
363,19.5299785413,19.5294336009
364,19.5299822639,19.5297881321
365,19.5299796655,19.5298363443
366,19.5299799745,19.5294800771
367,19.5299783512,19.5290673369
368,19.9047746732,19.6393043128
369,19.9080241059,19.7712264989
370,19.9004939239,19.856385321
371,19.8613391077,19.8590277299
372,19.8599874866,19.8594532821
373,19.8599617815,19.8593786104
374,19.8599658956,19.8588360034
375,19.8599637897,19.8591823357
376,19.8599494888,19.8586259701
377,19.8599664607,19.8598735402
378,19.8599529781,19.8598410961
379,19.8599598334,19.8592321877
380,19.8370754603,19.6816109431
381,19.6820709376,19.6792155302
382,19.6804550697,19.6789776396
383,19.6799862365,19.6790251576
384,19.6799583309,19.6787729821
385,19.6799936102,19.6793801441
386,19.6799472326,19.6795690914
387,19.679951777,19.6790966281
388,19.6799494143,19.6792370007
389,19.6799447015,19.6794052824
390,19.6799521902,19.6793079203
391,19.6799380723,19.6790640141
392,19.6280909712,19.5017182448
393,19.5021013161,19.499410201
394,19.5002310795,19.499602479
395,19.499977129,19.4996248981
396,19.499953208,19.4988904141
397,19.4999605074,19.4989659333
398,19.4999505794,19.4995476101
399,19.4999557493,19.4993532254
400,19.4999597468,19.4993372682
