,Unnamed: 0,z0,z1,z2,z3,z4,z5,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp5,sp,m,rh
7000,7000,20.9397238613,20.9398794369,21.516637648,20.9397962206,20.9397717195,20.9398703072,-1.99166666667,42.1666666667,3003.55247132,20.9398042025,19.3899210515,20.94,20.94,20.94,20.94,20.94,20.94,20.94,1.83581713012,25380.4475319
7001,7001,20.9396925414,20.9398662008,21.5535875859,20.9397631708,20.9397213351,20.9398792387,-1.95,46.0,3003.55247132,20.9397769177,19.3927103435,20.94,20.94,20.94,20.94,20.94,20.94,20.94,1.80039867251,24616.6210948
7002,7002,20.9396606196,20.9398536251,21.5901037546,20.939956674,20.9396597388,20.9398543417,-1.90833333333,59.1666666667,3003.55247132,20.9398654346,19.3953254498,20.94,20.94,20.94,20.94,20.94,20.94,20.94,1.76526805474,23866.9425113
7003,7003,20.9396254774,20.9398409851,21.6250495627,20.9399565805,20.939578603,20.9398194752,-1.86666666667,72.3333333333,3003.55247132,20.9398470607,19.3975369226,20.94,20.94,20.94,20.94,20.94,20.94,20.94,1.7292206441,23105.5140348
7004,7004,20.9395877056,20.9398282196,21.659691348,20.9399494935,20.9399131934,20.9397778142,-1.825,85.5,3003.55247132,20.9398671374,19.3996405408,20.94,20.94,20.94,20.94,20.94,20.94,20.94,1.69518576972,22394.4762492
7005,7005,20.9395464,20.939809643,21.6954857903,20.9399354455,20.9399086704,20.9397192506,-1.78333333333,98.6666666667,3003.55247132,20.9398442499,19.4025713783,20.94,20.94,20.94,20.94,20.94,20.94,20.94,1.64731865845,21405.0849881
7006,7006,20.93950301,20.9397950927,21.7326110136,20.9399251521,20.9398840149,20.9396614606,-1.74166666667,111.833333333,3003.55247132,20.9398221761,19.4058141478,20.94,20.94,20.94,20.94,20.94,20.94,20.94,1.61451495517,20737.3532891
7007,7007,20.9394616401,20.9397804638,21.7694063786,20.9399138848,20.9398601341,20.9396097224,-1.7,125.0,3003.55247132,20.9398004799,19.4087394219,20.94,20.94,20.94,20.94,20.94,20.94,20.94,1.58481793454,20138.6724881
7008,7008,20.5284236279,20.4981820134,21.6876397748,20.6439564591,20.5591799732,20.531655119,-1.60833333333,138.166666667,1987.09253128,20.5247979354,19.4068154888,20.46,20.46,20.46,20.46,20.46,20.46,20.46,0.390610011684,2596.86980304
7009,7009,20.4598523866,20.4600343094,21.5969307122,20.4620491218,20.4601015537,20.4599099712,-1.51666666667,151.333333333,1987.09253128,20.4610152222,19.4056908248,20.46,20.46,20.46,20.46,20.46,20.46,20.46,1.57633275766,20215.4406406
