,prediction,real
0,22.6915868961,
1,22.5402390881,22.6385920782
2,22.3839208609,22.4530490907
3,22.2593098607,22.304199126
4,22.1935150488,22.2237292851
5,22.1682175994,22.190436763
6,22.1572017311,22.1737795328
7,22.1475200649,22.1586696122
8,22.1376893283,22.1433375094
9,22.1296287551,22.1300124147
10,22.1243273231,22.1199116702
11,22.121664391,22.1128414945
12,22.1190019383,22.1096941289
13,22.1098738669,22.0999832122
14,22.1001593113,22.0896660927
15,22.0939925805,22.0834356273
16,22.0881612376,22.0776225081
17,22.0824021649,22.0718740545
18,22.0766558718,22.0661442374
19,22.0709649854,22.0604480027
20,22.0654158255,22.0549390394
21,22.05996929,22.0495373499
22,22.05448657,22.0440970783
23,22.049117884,22.0387480195
24,22.0313129267,22.0250471323
25,22.0166622656,22.0087565099
26,22.0067410931,21.9980938179
27,21.9990978196,21.9901322278
28,21.9920575444,21.9828299813
29,21.9848480971,21.9753383333
30,21.9775821152,21.9677936875
31,21.9704670468,21.9604081312
32,21.9635116255,21.9532143659
33,21.9567017281,21.9461818557
34,21.9499871276,21.9392495257
35,21.9433389329,21.932389957
36,21.9389337433,21.926861909
37,21.9338000105,21.9209661522
38,21.9298382268,21.9164671039
39,21.9260658983,21.912159286
40,21.9224333265,21.9079142002
41,21.9188889843,21.9037628701
42,21.9154146727,21.8997635223
43,21.9121409608,21.8959580797
44,21.9090422024,21.8922728731
45,21.9059595006,21.8887183543
46,21.9030591405,21.8853279973
47,21.9002483956,21.8820292837
48,21.8983179965,21.8787025656
49,21.8948361785,21.8740647118
50,21.8916821876,21.869974353
51,21.8886695736,21.8660263199
52,21.8857262026,21.8621651635
53,21.882852347,21.8584216881
54,21.8801039594,21.8548086034
55,21.8775023709,21.8512851512
56,21.8748857022,21.8478455501
57,21.8724167145,21.8445270927
58,21.8700048551,21.8412985969
59,21.8676772274,21.8381682035
60,21.8649619981,21.8356695818
61,21.8644833566,21.8352164212
62,21.8639554428,21.8346442939
63,21.863623765,21.8342810538
64,21.8633710075,21.8339880663
65,21.8631638054,21.8337218778
66,21.8629964836,21.8335120621
67,21.8628130677,21.8333327666
68,21.8627239081,21.8331975683
69,21.862612455,21.833075541
70,21.8625209115,21.8329858888
71,21.8624595542,21.8329045339
72,22.0909422519,22.0138371467
73,22.253875918,22.202241644
74,22.3426631626,22.3049890261
75,22.371114132,22.3375949221
76,22.3790713886,22.3462615081
77,22.3886567038,22.3567939977
78,22.402669458,22.3725669627
79,22.4173255687,22.3891301695
80,22.4299639581,22.4033924402
81,22.4405649946,22.4152341839
82,22.449850545,22.4255808748
83,22.4584941283,22.4352021123
84,22.5426168636,22.5040620119
85,22.6133167502,22.5812870344
86,22.6600060487,22.6323253932
87,22.6830959278,22.6579617838
88,22.6959163654,22.6725879786
89,22.7074983234,22.6858436972
90,22.7241187779,22.7020473466
91,22.740272973,22.719346288
92,22.7559789182,22.7361376738
93,22.7707311397,22.7518226075
94,22.78494734,22.7668795056
95,22.7991379285,22.7819087699
96,22.4777991952,22.5430019257
97,22.2767737389,22.3090487801
98,22.177867329,22.1917297161
99,22.1583470466,22.1672792533
100,22.1656662747,22.1742213558
101,22.1711887484,22.1790731201
102,22.1705415795,22.1776587016
103,22.169035194,22.1753009527
104,22.16894692,22.1746132343
105,22.1705010595,22.1758893203
106,22.1731121747,22.1783979729
107,22.1761602614,22.1814327139
108,22.1654045636,22.1757139518
109,22.1597592379,22.1705735686
110,22.1592190969,22.1697498056
111,22.161599949,22.1722191941
112,22.1652065644,22.1761502901
113,22.169313151,22.1806584393
114,22.1737146598,22.1851220384
115,22.178062129,22.1895142082
116,22.182555428,22.1940899708
117,22.1873800977,22.1990369451
118,22.1933607252,22.2053398464
119,22.1999264008,22.212314069
120,22.2079845709,22.2196432693
121,22.2175247946,22.2286288202
122,22.228320801,22.2395912615
123,22.2392421878,22.2509750604
124,22.2511930629,22.2635759036
125,22.2638183254,22.2769857922
126,22.2759712474,22.290431674
127,22.2879668516,22.3037459828
128,22.2998221645,22.3169281809
129,22.3117510297,22.3302219802
130,22.3235226578,22.3433524326
131,22.3351987844,22.3564146465
132,22.015924917,22.1189530272
133,21.8121868446,21.8805646111
134,21.7096262204,21.7602733103
135,21.6846284715,21.7305720691
136,21.6838487132,21.7291935316
137,21.6808782445,21.7252384399
138,21.6733779424,21.7159470729
139,21.6659280758,21.7067101825
