,z0,z1,z2,tout,s,i,t1,sp0,sp1,sp2,sp,m,rh
0,19.9999406115,19.9998438981,20.2917005278,-2.29166666667,0.0,777.065472814,19.9998897629,20.0,20.0,20.0,20.0,0.111973911212,1550.4123838
1,19.9999146948,19.9997789583,20.2753514469,-1.78333333333,0.0,777.065472814,19.9998432828,20.0,20.0,20.0,20.0,0.11166221707,1543.67276088
2,19.9998508603,19.9996138659,20.2431275006,-1.275,0.0,777.065472814,19.9997262622,20.0,20.0,20.0,20.0,0.111162035037,1532.78191903
3,19.9998415196,19.9995859489,20.2079994263,-0.766666666667,0.0,777.065472814,19.9997072262,20.0,20.0,20.0,20.0,0.110494216187,1518.30436632
4,19.9998331966,19.9995609278,20.1811808081,-0.258333333333,0.0,777.065472814,19.9996901989,20.0,20.0,20.0,20.0,0.109654533272,1500.16980933
5,19.9998229203,19.9995313444,20.1643647129,0.25,0.0,777.065472814,19.9996698419,20.0,20.0,20.0,20.0,0.108677645345,1479.16839579
6,19.999810332,19.9994961858,20.1549312079,0.758333333333,0.0,777.065472814,19.9996454556,20.0,20.0,20.0,20.0,0.107568607001,1455.44543557
7,19.9997952126,19.9994550016,20.1505169633,1.26666666667,0.0,777.065472814,19.9996166981,20.0,20.0,20.0,20.0,0.106338981668,1429.28917127
8,19.9997772766,19.999407213,20.1502061474,1.775,0.0,777.065472814,19.9995831281,20.0,20.0,20.0,20.0,0.104997222815,1400.92199238
9,19.9997561652,19.9993521135,20.1539520208,2.28333333333,0.0,777.065472814,19.9995442015,20.0,20.0,20.0,20.0,0.103550308996,1370.5358601
10,19.9997206107,19.9998687933,20.1618793164,2.79166666667,0.0,777.065472814,19.9997984023,20.0,20.0,20.0,20.0,0.101406729014,1325.93312654
11,19.9996893086,19.9998841799,20.1740039035,3.3,0.0,777.065472814,19.9997915921,20.0,20.0,20.0,20.0,0.0996953838967,1290.620135
12,20.1409929229,20.1404511224,20.1748165568,3.20833333333,0.0,777.065472814,20.1407109288,20.15,20.15,20.15,20.15,0.115619315907,1630.08697984
13,20.1492255236,20.1493619921,20.161398914,3.11666666667,0.0,777.065472814,20.149297211,20.15,20.15,20.15,20.15,0.0991981914464,1276.21183397
14,20.149777191,20.14944467,20.1502199871,3.025,0.0,777.065472814,20.1496989185,20.15,20.15,20.15,20.15,0.12632947529,1482.91055855
15,20.1497878082,20.1493980537,20.1499825405,2.93333333333,0.0,777.065472814,20.1496783241,20.15,20.15,20.15,20.15,0.137713338913,1520.45209551
16,20.1497885102,20.1493883237,20.1499754958,2.84166666667,0.0,777.065472814,20.1496807565,20.15,20.15,20.15,20.15,0.141123781842,1542.05456928
17,20.1497909235,20.1493875855,20.1499680734,2.75,0.0,777.065472814,20.1496942296,20.15,20.15,20.15,20.15,0.148811662213,1600.89880402
18,20.1497944719,20.1493900561,20.1499665771,2.65833333333,0.0,777.065472814,20.1497063415,20.15,20.15,20.15,20.15,0.154960902312,1654.5650833
19,20.1497988103,20.1493947874,20.1499605332,2.56666666667,0.0,777.065472814,20.149716132,20.15,20.15,20.15,20.15,0.160711029893,1709.54622674
20,20.1498037409,20.1494013326,20.1499479916,2.475,0.0,777.065472814,20.1497227755,20.15,20.15,20.15,20.15,0.166171582218,1765.74125876
21,20.1498091114,20.1494093492,20.1499625181,2.38333333333,0.0,777.065472814,20.149738805,20.15,20.15,20.15,20.15,0.171409871651,1823.04504473
22,20.1498147981,20.1494185567,20.1499436269,2.29166666667,0.0,777.065472814,20.1497415756,20.15,20.15,20.15,20.15,0.176404898987,1880.63540409
23,20.1498279217,20.1494481711,20.1499567318,2.2,0.0,777.065472814,20.1497640882,20.15,20.15,20.15,20.15,0.181891235868,1952.63848434
24,20.2995477101,20.2994536767,20.3034269399,2.10833333333,0.0,623.63281589,20.3016186973,20.31,20.31,20.31,20.31,0.273237237664,3427.31714972
25,20.3092764641,20.3089374773,20.3097309636,2.01666666667,0.0,623.63281589,20.3093653004,20.31,20.31,20.31,20.31,0.189370881343,2055.16581099
