,Unnamed: 0,z0,z1,z2,z3,z4,tout,s,i,t1,t2,t3,sp0,sp1,sp2,sp3,sp4,sp,m,rh
7000,7000,23.3999677376,23.3988879464,23.4000692988,23.3989227977,23.399648731,-1.99166666667,42.1666666667,25409.5684842,23.3997848318,23.7074591871,23.3998660835,23.4,23.4,23.4,23.4,23.4,23.4,5.94783066432,12099.5918034
7001,7001,23.3999690114,23.400323988,23.3988248947,23.3991102729,23.4013098332,-1.95,46.0,25409.5684842,23.4000081496,23.6934000574,23.4001142982,23.4,23.4,23.4,23.4,23.4,23.4,5.93700866588,12069.6905668
7002,7002,23.3999709978,23.4012845399,23.4016724741,23.3991943198,23.4000632789,-1.90833333333,59.1666666667,25409.5684842,23.4001562629,23.684264242,23.4001685124,23.4,23.4,23.4,23.4,23.4,23.4,5.92917940792,11860.6596508
7003,7003,23.3999734053,23.3999477299,23.3995227813,23.4007195532,23.3999512267,-1.86666666667,72.3333333333,25148.1466243,23.3999859229,23.6763868957,23.4001323905,23.4,23.4,23.4,23.4,23.4,23.4,5.92157236847,11678.3432783
7004,7004,23.3999759669,23.4003181293,23.3997098975,23.3993104218,23.4003532412,-1.825,85.5,25044.6965546,23.3999836128,23.6688602205,23.400247351,23.4,23.4,23.4,23.4,23.4,23.4,5.9159203073,11499.7996573
7005,7005,23.3999785714,23.3991226916,23.4007896212,23.4002255926,23.4005181597,-1.78333333333,98.6666666667,24886.7247643,23.4000374565,23.6617310172,23.4001404983,23.4,23.4,23.4,23.4,23.4,23.4,5.91042906618,11224.968053
7006,7006,23.3999811697,23.3999486782,23.3992095166,23.4000454907,23.3995554189,-1.74166666667,111.833333333,24521.852957,23.3998836429,23.6550694773,23.4000856737,23.4,23.4,23.4,23.4,23.4,23.4,5.90570394357,11056.3152575
7007,7007,23.3999837525,23.3988641453,23.4009344676,23.3995885949,23.4004533438,-1.7,125.0,24363.8811667,23.3999815006,23.6488143539,23.3998193522,23.4,23.4,23.4,23.4,23.4,23.4,5.90219456162,10934.9547811
7008,7008,23.5022684208,23.5045236931,23.5032714945,23.5040130635,23.4984489244,-1.60833333333,138.166666667,72525.2185516,23.502196778,23.638900312,23.5074416206,23.51,23.51,23.51,23.51,23.51,23.51,6.83837949995,8933.28438713
7009,7009,23.5092877173,23.5095483393,23.5091795009,23.5091872089,23.5086306581,-1.51666666667,151.333333333,72525.2185516,23.5092292454,23.6415583279,23.5097813328,23.51,23.51,23.51,23.51,23.51,23.51,8.04687964721,5855.02697332
7010,7010,23.5098667222,23.5102588166,23.5097621685,23.510191083,23.5098049999,-1.425,164.5,72525.2185516,23.5098971318,23.6518317813,23.5097768173,23.51,23.51,23.51,23.51,23.51,23.51,7.4648218284,7116.90344163
