,Unnamed: 0,z0,tout,s,i,t1,t2,sp0,m,rh
7000,7000,23.3998660835,-1.99166666667,42.1666666667,20024.374181,23.3998660835,23.3997848318,23.4,1.18103114901,0.0
7001,7001,23.4001142982,-1.95,46.0,20024.374181,23.4001142982,23.4000081496,23.4,1.18103114901,0.0
7002,7002,23.4001685124,-1.90833333333,59.1666666667,20024.374181,23.4001685124,23.4001562629,23.4,1.18103114901,0.0
7003,7003,23.4001323905,-1.86666666667,72.3333333333,20024.374181,23.4001323905,23.3999859229,23.4,1.18103114901,0.0
7004,7004,23.400247351,-1.825,85.5,20024.374181,23.400247351,23.3999836128,23.4,1.18103114901,0.0
7005,7005,23.4001404983,-1.78333333333,98.6666666667,20024.374181,23.4001404983,23.4000374565,23.4,1.18103114901,0.0
7006,7006,23.4000856737,-1.74166666667,111.833333333,20024.374181,23.4000856737,23.3998836429,23.4,1.18103114901,0.0
7007,7007,23.3998193522,-1.7,125.0,20024.374181,23.3998193522,23.3999815006,23.4,1.18103114901,0.0
7008,7008,23.5074416206,-1.60833333333,138.166666667,59626.7432539,23.5074416206,23.502196778,23.51,1.2893585423,0.0
7009,7009,23.5097813328,-1.51666666667,151.333333333,59626.7432539,23.5097813328,23.5092292454,23.51,2.11100378023,0.0
7010,7010,23.5097768173,-1.425,164.5,59626.7432539,23.5097768173,23.5098971318,23.51,1.74014299977,0.0
7011,7011,23.5098096041,-1.33333333333,177.666666667,59626.7432539,23.5098096041,23.5099458305,23.51,1.834355477,0.0
7012,7012,23.5097953912,-1.24166666667,190.833333333,59626.7432539,23.5097953912,23.5097853795,23.51,1.84826418435,0.0
7013,7013,23.5097882642,-1.15,204.0,59626.7432539,23.5097882642,23.5099506896,23.51,1.85820957764,0.0
7014,7014,23.509781856,-1.05833333333,219.166666667,59626.7432539,23.509781856,23.5100071602,23.51,1.8674100391,0.0
7015,7015,23.5097755935,-0.966666666667,234.333333333,59626.7432539,23.5097755935,23.509835931,23.51,1.87573003568,0.0
7016,7016,23.5097694678,-0.875,249.5,59626.7432539,23.5097694678,23.5098936844,23.51,1.88341026618,0.0
7017,7017,23.509763456,-0.783333333333,264.666666667,59626.7432539,23.509763456,23.5098570881,23.51,1.89054657699,0.0
7018,7018,23.509757553,-0.691666666667,279.833333333,59626.7432539,23.509757553,23.5098820373,23.51,1.89724777988,0.0
7019,7019,23.5097517509,-0.6,295.0,59626.7432539,23.5097517509,23.5098960945,23.51,1.9035723521,0.0
7020,7020,23.6475054594,-0.55,310.166666667,59626.7432539,23.6475054594,23.6403918636,23.65,1.18103114901,0.0
7021,7021,23.6497509864,-0.5,325.333333333,59626.7432539,23.6497509864,23.6491202178,23.65,2.13264183379,0.0
7022,7022,23.6496972168,-0.45,340.5,59626.7432539,23.6496972168,23.6498969487,23.65,1.64668250767,0.0
7023,7023,23.649759151,-0.4,355.666666667,59626.7432539,23.649759151,23.6498023666,23.65,1.75696515114,0.0
7024,7024,23.649741362,-0.35,370.833333333,59626.7432539,23.649741362,23.6498563457,23.65,1.76537878712,0.0
7025,7025,23.6497355355,-0.3,386.0,59626.7432539,23.6497355355,23.6498407466,23.65,1.77043012175,0.0
7026,7026,23.6497306034,-0.25,389.5,59626.7432539,23.6497306034,23.6498056622,23.65,1.77578736697,0.0
7027,7027,23.6497257146,-0.2,393.0,59626.7432539,23.6497257146,23.6497864988,23.65,1.78090040732,0.0
7028,7028,23.6497209226,-0.15,396.5,59626.7432539,23.6497209226,23.6498222635,23.65,1.78590967117,0.0
7029,7029,23.6497162066,-0.1,400.0,59626.7432539,23.6497162066,23.6498027828,23.65,1.79082074718,0.0
7030,7030,23.6497115645,-0.05,403.5,59626.7432539,23.6497115645,23.6497497295,23.65,1.79565188552,0.0
7031,7031,23.6497070192,0.0,407.0,59626.7432539,23.6497070192,23.6498233079,23.65,1.80040733583,0.0
7032,7032,23.3372998018,0.0916666666667,410.5,59626.7432539,23.3372998018,23.3449113884,23.33,3.07454628889,765.733585261
7033,7033,23.3298381,0.183333333333,414.0,59626.7432539,23.3298381,23.3300161659,23.33,1.34381344262,0.0
7034,7034,23.3297933762,0.275,417.5,59626.7432539,23.3297933762,23.3298770812,23.33,2.47849969804,0.0
7035,7035,23.3296179235,0.366666666667,421.0,59626.7432539,23.3296179235,23.3298379026,23.33,2.24346538795,0.0
7036,7036,23.3296444978,0.458333333333,424.5,59626.7432539,23.3296444978,23.3298291433,23.33,2.23730892805,0.0
7037,7037,23.329644621,0.55,428.0,59626.7432539,23.329644621,23.3297020579,23.33,2.24047472768,0.0
7038,7038,23.3296426183,0.641666666667,408.5,59626.7432539,23.3296426183,23.3297686274,23.33,2.24283740186,0.0
7039,7039,23.3296407061,0.733333333333,389.0,59626.7432539,23.3296407061,23.3298399234,23.33,2.24563830761,0.0
7040,7040,23.3296387291,0.825,369.5,59626.7432539,23.3296387291,23.3298185742,23.33,2.24856221642,0.0
7041,7041,23.3296367386,0.916666666667,350.0,59626.7432539,23.3296367386,23.3298146793,23.33,2.2515663293,0.0
7042,7042,23.329634756,1.00833333333,330.5,59626.7432539,23.329634756,23.3298210363,23.33,2.25463462127,0.0
7043,7043,23.3296327906,1.1,311.0,59626.7432539,23.3296327906,23.3297218187,23.33,2.25773906711,0.0
7044,7044,23.7012201874,1.1,291.5,59626.7432539,23.7012201874,23.7655496898,23.77,3.6262729702,832.74412891
7045,7045,23.7696719704,1.1,272.0,59626.7432539,23.7696719704,23.7700403147,23.77,2.43989012812,0.0
7046,7046,23.7695662314,1.1,252.5,59626.7432539,23.7695662314,23.7698360877,23.77,1.59493648858,0.0
7047,7047,23.7697089752,1.1,233.0,59626.7432539,23.7697089752,23.76989884,23.77,1.65127283205,0.0
7048,7048,23.7697009973,1.1,213.5,59626.7432539,23.7697009973,23.7697402816,23.77,1.71478956938,0.0
7049,7049,23.7696868654,1.1,194.0,59626.7432539,23.7696868654,23.7698403962,23.77,1.71964612818,0.0
7050,7050,23.7696828284,1.1,190.416666667,59626.7432539,23.7696828284,23.7697617334,23.77,1.72476697357,0.0
7051,7051,23.7696791197,1.1,186.833333333,59626.7432539,23.7696791197,23.7697201972,23.77,1.72960837531,0.0
7052,7052,23.7696755514,1.1,183.25,59626.7432539,23.7696755514,23.7698918097,23.77,1.73420571424,0.0
7053,7053,23.7696720892,1.1,179.666666667,59626.7432539,23.7696720892,23.769750841,23.77,1.73864848924,0.0
7054,7054,23.7696687042,1.1,176.083333333,59626.7432539,23.7696687042,23.7699393505,23.77,1.74287280961,0.0
7055,7055,23.7696653995,1.1,172.5,59626.7432539,23.7696653995,23.7697583008,23.77,1.74700658971,0.0
7056,7056,23.5587751214,1.1,168.916666667,49306.0004505,23.5587751214,23.5702864289,23.55,2.49767450354,0.0
7057,7057,23.5503114574,1.1,165.333333333,49306.0004505,23.5503114574,23.5513851146,23.55,1.18103114901,2451.10464313
7058,7058,23.5497957207,1.1,161.75,49306.0004505,23.5497957207,23.5499875286,23.55,1.75128478025,0.0
7059,7059,23.5496783668,1.1,158.166666667,49306.0004505,23.5496783668,23.5497925929,23.55,1.6050012319,0.0
7060,7060,23.5497020746,1.1,154.583333333,49306.0004505,23.5497020746,23.5498969827,23.55,1.59925442962,0.0
7061,7061,23.5497040357,1.1,151.0,49306.0004505,23.5497040357,23.5498398979,23.55,1.60044112544,0.0
7062,7062,23.5497040933,1.1,152.333333333,49306.0004505,23.5497040933,23.5498071555,23.55,1.60153743409,0.0
7063,7063,23.5497040993,1.1,153.666666667,49306.0004505,23.5497040993,23.5498534782,23.55,1.60304458175,0.0
7064,7064,23.5497040349,1.1,155.0,49306.0004505,23.5497040349,23.5497796643,23.55,1.60465801554,0.0
7065,7065,23.5501044355,1.1,156.333333333,49306.0004505,23.5501044355,23.5498482972,23.55,1.60639188572,0.0
7066,7066,23.5497144837,1.1,157.666666667,49306.0004505,23.5497144837,23.549789972,23.55,1.61106582937,0.0
7067,7067,23.5497035313,1.1,159.0,49306.0004505,23.5497035313,23.5497439218,23.55,1.6087224792,0.0
7068,7068,23.5304070053,1.15,160.333333333,59626.7432539,23.5304070053,23.5315141897,23.53,2.14904775897,0.0
7069,7069,23.5296324562,1.2,161.666666667,59626.7432539,23.5296324562,23.5299572506,23.53,2.02298085168,0.0
7070,7070,23.5296277374,1.25,163.0,59626.7432539,23.5296277374,23.529840029,23.53,2.09314561061,0.0
