,Unnamed: 0,tout,s,i,t1,t2,m,tret
0,0,-2.29166666667,0.0,0.0,23.4806042258,23.5014883126,46.1928732405,23.4878748822
1,1,-1.78333333333,0.0,0.0,23.4166977579,23.2991090572,33.7683740097,23.4573872417
2,2,-1.275,0.0,0.0,23.3258300436,23.2704363361,32.6582912186,23.4166977579
3,3,-0.766666666667,0.0,0.0,23.2464795202,23.2773109368,32.6582912186,23.3258300436
4,4,-0.258333333333,0.0,0.0,23.1919618888,23.288728814,32.7310697559,23.2464795202
5,5,0.25,0.0,0.0,23.1578645454,23.2932186808,32.7299857642,23.1919618888
6,6,0.758333333333,0.0,0.0,23.135141939,23.2911485267,32.7380887678,23.1578645454
7,7,1.26666666667,0.0,0.0,23.1173469551,23.2882091401,32.7450654872,23.135141939
8,8,1.775,0.0,0.0,23.1016565998,23.2853545738,32.7266120122,23.1173469551
9,9,2.28333333333,0.0,0.0,23.0873582238,23.2820964725,32.7203393349,23.1016565998
10,10,2.79166666667,0.0,0.0,23.0743835989,23.2796163978,32.7146066601,23.0873582238
11,11,3.3,0.0,0.0,23.0627638334,23.2766908687,32.6848677477,23.0743835989
12,12,3.20833333333,0.0,0.0,23.0530879673,23.4019983064,33.4932743369,23.0627638334
13,13,3.11666666667,0.0,0.0,23.0546155908,23.4185451923,32.6582912186,23.0530879673
14,14,3.025,0.0,0.0,23.061061286,23.4097773032,33.086345724,23.0546155908
15,15,2.93333333333,0.0,0.0,23.0647162989,23.4100406076,33.0226058373,23.061061286
16,16,2.84166666667,0.0,0.0,23.0643825688,23.4106490038,33.0358432952,23.0647162989
17,17,2.75,0.0,0.0,23.0615676541,23.4101042788,33.0476666681,23.0643825688
18,18,2.65833333333,0.0,0.0,23.0576426691,23.4103303363,33.0625168483,23.0615676541
19,19,2.56666666667,0.0,0.0,23.0533660807,23.4098419317,33.0802469721,23.0576426691
20,20,2.475,0.0,0.0,23.048929522,23.4100361808,33.099411146,23.0533660807
21,21,2.38333333333,0.0,0.0,23.0444747613,23.409635591,33.1190634851,23.048929522
22,22,2.29166666667,0.0,0.0,23.0399733873,23.4091459809,33.1390991817,23.0444747613
23,23,2.2,0.0,0.0,23.0353023293,23.4100108484,33.1597759696,23.0399733873
24,24,2.10833333333,0.0,0.0,23.030829416,23.571301495,34.0311538688,23.0353023293
25,25,2.01666666667,0.0,0.0,23.0379886731,23.5838897148,33.17399134,23.030829416
26,26,1.925,0.0,0.0,23.0487131952,23.5804593151,33.6419576731,23.0379886731
27,27,1.83333333333,0.0,0.0,23.0548952595,23.5802213744,33.5694158921,23.0487131952
28,28,1.74166666667,0.0,0.0,23.0554044471,23.5795116932,33.6018720027,23.0548952595
29,29,1.65,0.0,0.0,23.0521529981,23.5796654684,33.6241991386,23.0554044471
30,30,1.55833333333,0.0,0.0,23.0471303794,23.5805411491,33.6440812207,23.0521529981
31,31,1.46666666667,0.0,0.0,23.0414492994,23.5796256149,33.6659219322,23.0471303794
32,32,1.375,0.0,0.0,23.0353725782,23.5797460117,33.716839416,23.0414492994
33,33,1.28333333333,0.0,0.0,23.0289724222,23.5797416242,33.7251091046,23.0353725782
34,34,1.19166666667,0.0,0.0,23.0223454477,23.5799648998,33.7684863011,23.0289724222
35,35,1.1,0.0,0.0,23.0155582109,23.5799352958,33.7903114795,23.0223454477
36,36,1.1,0.0,0.0,23.0099641385,23.5231308409,33.4812940525,23.0155582109
37,37,1.1,0.0,0.0,23.0020761964,23.5199260211,33.789542745,23.0099641385
38,38,1.1,0.0,0.0,22.9944246337,23.5198809965,33.632396046,23.0020761964
39,39,1.1,0.0,0.0,22.9890885608,23.5202841897,33.6600132439,22.9944246337
40,40,1.1,0.0,0.0,22.9861067063,23.5195793036,33.6508684015,22.9890885608
41,41,1.1,0.0,0.0,22.984559178,23.5201611149,33.6396605564,22.9861067063
42,42,1.1,0.0,0.0,22.9838112932,23.5195752771,33.6408267308,22.984559178
43,43,1.1,0.0,0.0,22.9834174935,23.5197070692,33.6327779937,22.9838112932
44,44,1.1,0.0,0.0,22.9832614004,23.5198648533,33.632940656,22.9834174935
45,45,1.1,0.0,0.0,22.983297497,23.5196121082,33.623416505,22.9832614004
46,46,1.1,0.0,0.0,22.9834471005,23.5194954293,33.6094202482,22.983297497
47,47,1.1,0.0,0.0,22.9836912261,23.5201618838,33.608278157,22.9834471005
48,48,1.15,0.0,0.0,22.9828388902,23.6623586528,34.4054589746,22.9836912261
49,49,1.2,0.0,0.0,22.9901471052,23.6696779345,33.6456618032,22.9828388902
50,50,1.25,0.0,0.0,22.9988023963,23.6701027607,34.0420543945,22.9901471052
51,51,1.3,0.0,0.0,23.0028162581,23.6703585551,34.0088167057,22.9988023963
52,52,1.35,0.0,0.0,23.001548965,23.6696867468,34.0200354027,23.0028162581
53,53,1.4,0.0,0.0,22.9967251219,23.6702568261,34.0294452433,23.001548965
54,54,1.45,0.0,0.0,22.9902268213,23.6698945072,34.069489988,22.9967251219
55,55,1.5,0.0,0.0,22.9829727907,23.6698855952,34.0961705209,22.9902268213
56,56,1.55,0.0,0.0,22.9753125581,23.6701702753,34.1146633286,22.9829727907
57,57,1.6,0.0,0.0,22.9673945639,23.6695920691,34.1318874078,22.9753125581
58,58,1.65,0.0,0.0,22.9592734212,23.670372609,34.1753211953,22.9673945639
59,59,1.7,0.0,0.0,22.9510469725,23.6700030735,34.1776719721,22.9592734212
60,60,1.7,0.0,0.0,22.9462171925,23.6321674586,33.9362806554,22.9510469725
61,61,1.7,0.0,0.0,22.9432022949,23.6296554649,34.1119864943,22.9462171925
62,62,1.7,0.0,0.0,22.942742126,23.6304095502,33.9691796531,22.9432022949
63,63,1.7,0.0,0.0,22.9452831788,23.6299824134,33.9473769681,22.942742126
64,64,1.7,0.0,0.0,22.9501342889,23.6299216942,33.9174290343,22.9452831788
65,65,1.7,0.0,0.0,22.9564129123,23.6301273767,33.8748242654,22.9501342889
