,prediction,real
0,23.353452031,23.3308846264
1,23.3529688813,23.3117916718
2,23.3524562572,23.2951804708
3,23.3519218154,23.2800911625
4,23.3514003696,23.26610512
5,23.3508712532,23.2528609684
6,23.3503516684,23.2402235955
7,23.349852374,23.2304366924
8,23.3524013263,23.2423626269
9,23.356435496,23.2686555706
10,23.3625189974,23.3304273552
11,23.3717057632,23.3763327636
12,23.3791765104,23.4057830358
13,23.3871440269,23.4242016654
14,23.3950752564,23.436799143
15,23.4029959765,23.4467429841
16,23.4108954069,23.4553368342
17,23.4187639758,23.463020048
18,23.4265984759,23.4700083056
19,23.4344053565,23.4591879984
20,23.4423813481,23.4707273959
21,23.4524412386,23.481885497
22,23.4614574328,23.4885360058
23,23.4706423536,23.4903817864
24,23.4797694047,23.4889907829
25,23.4888342116,23.4858734921
26,23.4978367487,23.482015215
27,23.5067679447,23.4777888652
28,23.5156237207,23.4733189124
29,23.5244267707,23.4688346417
30,23.5332249823,23.4646808701
31,23.5420476632,23.5199469311
32,23.5476801792,23.4902630361
33,23.5489688998,23.4499724895
34,23.5539024201,23.4195554181
35,23.5578422382,23.404813438
36,23.5618582667,23.4010524831
37,23.5658742089,23.4020301639
38,23.569829921,23.404255911
39,23.573710727,23.4061966313
40,23.5774679605,23.4079772283
41,23.5811364881,23.4102857873
42,23.5847226961,23.4132282539
43,23.588181849,23.4214089148
44,23.5913644999,23.4248245558
45,23.5938008423,23.4278337006
46,23.5961921683,23.431280909
47,23.5983155809,23.4358151291
48,23.6003977418,23.4423706136
49,23.6024531874,23.4508399891
50,23.6044878036,23.4605562021
51,23.6065081094,23.4709543545
52,23.6085050654,23.4817242267
53,23.610483262,23.492642821
54,23.6124490752,23.5035706127
55,23.614391881,23.4900137073
56,23.6155122802,23.50633187
57,23.6201600123,23.5244615613
58,23.6231691717,23.5379496574
59,23.6265409974,23.5458507055
60,23.6298786496,23.5499475962
61,23.633189155,23.5521755907
62,23.6364711118,23.5536724269
63,23.6397293473,23.554767516
64,23.6429593194,23.5555252065
65,23.6461624094,23.5560359777
66,23.6493530786,23.5564290642
67,23.6525148692,23.5935358017
68,23.6530414288,23.5682532747
69,23.6498614135,23.5265145746
70,23.6494232752,23.4946159362
71,23.6483327871,23.4784891544
72,23.6472683603,23.4730020377
73,23.6462201881,23.4720861952
74,23.6451855616,23.4725354853
75,23.6441691437,23.4733986656
76,23.6431764278,23.474629246
77,23.6421961848,23.4761990307
78,23.6412381893,23.4780687123
79,23.6402995793,23.4662735133
80,23.6412166059,23.5122408773
81,23.647285031,23.5713293859
82,23.6526837462,23.6120992267
83,23.6575840717,23.6360789015
84,23.6627164335,23.6502327089
85,23.6677923674,23.6600206573
86,23.6728314621,23.6682106577
87,23.6778377849,23.6757543948
88,23.6827919899,23.6827574798
89,23.687714407,23.6893444987
90,23.6925965943,23.6955985093
91,23.6974386854,23.678577051
92,23.7026671441,23.7095325821
93,23.7124424269,23.7416175263
94,23.7200879343,23.7647592758
95,23.7281660781,23.7782750825
96,23.7361682625,23.7855396224
97,23.7440976375,23.7897310314
98,23.7519580292,23.7927464364
99,23.7597466075,23.7952297164
100,23.7674730445,23.7973103154
101,23.7751244831,23.799002363
102,23.7827101005,23.8004135897
103,23.7902243969,23.831450794
104,23.7963782435,23.8060490322
105,23.7978488805,23.7647450208
106,23.801479048,23.7311165075
107,23.8046172709,23.7108802694
108,23.8077065231,23.7001135073
109,23.8107634742,23.6938347424
110,23.8137997171,23.6892061351
111,23.8168096163,23.6851477436
112,23.819796814,23.6814645406
113,23.8227558374,23.6780875992
114,23.8256843056,23.6749155715
115,23.82859435,23.6497790898
116,23.8307201931,23.6381565931
117,23.8340387603,23.646571647
118,23.8380686276,23.6719874242
119,23.8428522769,23.6964172795
120,23.8470600723,23.716351498
121,23.8513482708,23.7329212527
122,23.8555820889,23.7477591386
123,23.8597666455,23.7619690481
124,23.8639016988,23.7760343619
125,23.8679889991,23.7900510968
126,23.8720195068,23.8039938466
127,23.8760077146,23.8122848102
128,23.8789103662,23.8119028256
129,23.8812373717,23.8049524097
130,23.8831268757,23.7948009683
131,23.8847115416,23.7839538614
132,23.8861000128,23.7736690651
133,23.8873624522,23.7643003896
134,23.8885299006,23.7557300121
135,23.8895934952,23.7476045658
136,23.8905866646,23.7397857899
137,23.8915143288,23.7321910159
138,23.8923821453,23.7247583246
139,23.8931925778,23.7192964255
140,23.8938572619,23.7158662934
141,23.8944686523,23.7141640024
142,23.8950361934,23.7136941747
143,23.8955471312,23.7139436869
144,23.8960239995,23.7146790887
145,23.8964673418,23.7157641643
146,23.8968792709,23.7171047573
147,23.8972684704,23.7186601293
148,23.8976311656,23.7203657963
149,23.8979648088,23.7221565696
150,23.8982735593,23.7240118092
151,23.8985603795,23.7366398111
152,23.8952403576,23.7098956089
153,23.8883455275,23.666848911
154,23.8820089351,23.6335248215
155,23.8767193428,23.6179129237
156,23.87199173,23.6098512936
157,23.866747918,23.604224614
158,23.8617101012,23.5988416429
159,23.8567130735,23.5933657905
160,23.851756668,23.5879683755
161,23.846838273,23.5827606814
162,23.8419561383,23.5777381755
163,23.8371276124,23.5712695688
164,23.8343237526,23.5743705265
165,23.8319089754,23.582012454
166,23.8296866391,23.5884969201
167,23.8275647154,23.5917331976
168,23.8254949577,23.592095502
169,23.8234541324,23.5906176887
170,23.8214355493,23.5881206627
171,23.8194399813,23.5850723714
172,23.8174609869,23.5816683328
173,23.8154979139,23.5780056755
174,23.8135319184,23.5740776795
175,23.8115820763,23.5937501901
176,23.8061922269,23.5654749627
177,23.7961224304,23.5163006809
178,23.78679545,23.4792663374
179,23.7788517189,23.4651285167
180,23.7717458196,23.4608866349
181,23.7639233317,23.4597769398
182,23.7563922644,23.4589059456
183,23.7489294181,23.4578809388
184,23.7415253024,23.456947051
185,23.7341938539,23.4563334675
186,23.7269263318,23.4560167504
187,23.719731092,23.4711632461
188,23.7123262747,23.4589400474
189,23.7002286813,23.4353732856
190,23.689804394,23.4189034912
191,23.6799223189,23.4114785003
192,23.669714981,23.4102806459
193,23.6596593901,23.4119955167
194,23.6496822084,23.4147968496
195,23.6397887818,23.4181039398
196,23.6299834668,23.4218414302
197,23.6202643717,23.4259808956
198,23.6106370179,23.4304846236
199,23.6010788517,23.4390596014
200,23.5913121511,23.4210533444
201,23.5766155426,23.3909669534
202,23.5645794727,23.3644139044
203,23.5521325876,23.3457678864
204,23.5397898361,23.3329798518
205,23.5275621709,23.3231131495
206,23.5154594961,23.3143722315
207,23.5034671827,23.3059542158
208,23.4915788384,23.297634193
209,23.4798136155,23.2894983681
210,23.4681701515,23.2815755265
211,23.4566353005,23.2811720736
212,23.4490295474,23.2988714795
213,23.4423492198,23.321773636
214,23.4364379499,23.3415709488
215,23.4309835848,23.355782006
216,23.4257845075,23.3649496074
217,23.42072684,23.37039528
218,23.4157818411,23.3734252633
219,23.4109266089,23.3749281478
220,23.4061517395,23.3754351281
221,23.4014270893,23.3751591129
222,23.3967610589,23.3742406642
223,23.3921519095,23.3915424476
224,23.3842148653,23.3580491158
225,23.3703108904,23.3042925918
226,23.3576399061,23.2662841594
227,23.3478583228,23.2489176137
228,23.3373685366,23.2431062032
229,23.3268441629,23.2412335392
230,23.3165318923,23.2399022943
231,23.306328707,23.2385292228
232,23.2962114732,23.2372550634
233,23.2861982842,23.2363109297
234,23.2762830684,23.2356961065
235,23.266464856,23.2329845835
236,23.2588734294,23.2432810873
237,23.2522291398,23.2605983481
238,23.246190801,23.2771437391
239,23.240508269,23.2893621085
240,23.2350435821,23.2971173463
241,23.2296987349,23.3014786989
242,23.2244546955,23.30368633
243,23.2192826505,23.3045464055
244,23.214184334,23.304495428
245,23.2091565226,23.3038929473
246,23.2041718353,23.3027723615
247,23.1992303955,23.3050586705
248,23.1957963235,23.3178080603
249,23.1924898378,23.3359805012
250,23.1892116803,23.3546264702
251,23.1859628196,23.372055818
252,23.1827444984,23.3884912263
253,23.1795461251,23.4044986297
254,23.1763720957,23.4204712209
255,23.1732227359,23.4365836394
256,23.1700971887,23.4528688149
257,23.166980646,23.4692375754
258,23.163871751,23.485653435
259,23.1607843982,23.4977484102
260,23.1556940338,23.4886366214
261,23.1492258632,23.4684869099
262,23.1430786054,23.4488196201
263,23.1372964405,23.4329814297
264,23.1313881747,23.4203216307
265,23.1255751255,23.4092422843
266,23.1198235169,23.3987166656
267,23.1141218764,23.3883091848
268,23.1084904751,23.3780235443
269,23.1029287772,23.3679166029
270,23.0974223419,23.3579257225
271,23.0919660688,23.3609517444
272,23.0857417226,23.3326491884
273,23.0770849363,23.3079666654
274,23.069753107,23.2960627357
275,23.062165547,23.293516973
276,23.0544476701,23.2953657289
277,23.046864886,23.298718374
278,23.0393470162,23.3025499761
279,23.0318973523,23.3067584342
280,23.024508676,23.3113550449
281,23.0172002121,23.3163875387
282,23.0099599005,23.3217539438
283,23.0027787143,23.3230097703
284,22.9979493692,23.3335883035
285,22.9942992541,23.349180055
286,22.9914537765,23.365003955
287,22.9895761752,23.3742650006
288,22.9873605687,23.3760337368
289,22.9852454041,23.3724655776
290,22.9832284714,23.3658445966
291,22.9812600407,23.3576473212
292,22.9793276083,23.3485496843
293,22.9774350247,23.3388679149
294,22.9755774543,23.3288527688
295,22.9737644556,23.3311642221
296,22.977031867,23.3785838235
297,22.9845921057,23.4308103969
298,22.9918370356,23.4653484525
299,22.9986721455,23.4843829575
300,23.0056864556,23.4946827229
301,23.0126711518,23.5012997143
302,23.0196302874,23.5065687875
303,23.0265539387,23.5111624459
304,23.0334411467,23.5152531898
305,23.0402969486,23.5189575525
306,23.0471148987,23.5223730173
307,23.0538884445,23.5238893258
308,23.0607741496,23.53769057
309,23.0686058697,23.5550981686
310,23.0759290942,23.5720842083
311,23.08331242,23.587176875
312,23.090645514,23.6006161224
313,23.0979243233,23.6131262602
314,23.1051534114,23.6252228313
315,23.1123258056,23.6370806956
316,23.1194438121,23.6487358974
317,23.1265061639,23.6602036652
318,23.1335192296,23.6715592587
319,23.1404890232,23.6666393412
320,23.150217687,23.6937534711
321,23.1632691474,23.758184495
322,23.1787106228,23.8059442024
323,23.1921554284,23.8333094029
324,23.2060636985,23.8468311229
325,23.2198342148,23.8533352684
326,23.2334844013,23.8567350506
327,23.2470107009,23.8586428048
328,23.2604067722,23.8595546589
329,23.2736783386,23.8597387573
330,23.28682819,23.8594169965
331,23.299852897,23.8945513703
332,23.3077043884,23.8534887068
333,23.3095875322,23.7972046649
334,23.3165370145,23.7566328426
335,23.3221531102,23.7375514533
336,23.3277940327,23.732894258
337,23.3333841925,23.7349885515
338,23.3389237367,23.7395592673
339,23.3444185009,23.745089144
340,23.349871885,23.7512257968
341,23.3552838826,23.7578740466
342,23.3606577982,23.76493376
343,23.365988195,23.755853551
344,23.3707566419,23.7733287084
345,23.3797519189,23.7952131408
346,23.3872934321,23.8094368012
347,23.394950763,23.8142893989
348,23.4026057204,23.8127026032
349,23.4101945646,23.8077703966
350,23.4177262145,23.8013477072
351,23.4252017295,23.7942265801
352,23.432608805,23.7864854153
353,23.4399648475,23.7782480774
354,23.4472644227,23.7698405381
355,23.4545079352,23.7525204453
356,23.4631223875,23.7820778325
357,23.4758023293,23.8161258002
358,23.4865272773,23.8424598949
359,23.4976222055,23.8591689767
360,23.5086328553,23.8696226256
361,23.5195597572,23.877166476
362,23.5304002685,23.8836229415
363,23.541149543,23.8896536087
364,23.5518124379,23.8953933539
365,23.5623864743,23.9008739685
366,23.5728707417,23.9061897358
367,23.5832674685,23.9210706586
368,23.592986622,23.908042087
369,23.6002471008,23.8868344838
370,23.6085323015,23.8678199861
371,23.6165133764,23.8545494306
372,23.6244167911,23.84587918
373,23.6322500643,23.8397188983
374,23.6400005929,23.8345955691
375,23.6476737725,23.8299542119
376,23.6552722798,23.8256514604
377,23.6627976625,23.8216818941
378,23.6702480047,23.8180039992
379,23.6776299354,23.83491378
380,23.683995057,23.8155080925
381,23.6866608168,23.7870100695
382,23.690950178,23.7664466647
383,23.6948303809,23.7573904209
384,23.6986594892,23.7561922205
385,23.7024389835,23.7586353947
386,23.706184145,23.7623977169
387,23.7098910342,23.7666307706
388,23.7135533673,23.771106542
389,23.7171832188,23.7758339915
390,23.7207742823,23.7807613746
391,23.7243311585,23.7918364659
392,23.7239936521,23.7552335941
393,23.7205245098,23.7074901545
394,23.7195569921,23.674448312
395,23.7178926821,23.6592688337
396,23.7162489245,23.655084613
397,23.7146162469,23.6553302905
398,23.7129940674,23.6567668873
399,23.7113901259,23.65858223
400,23.709805423,23.6606986192
401,23.7082385445,23.6631185901
402,23.706695093,23.6658380973
403,23.7051709948,23.661957722
404,23.7019614649,23.6820773711
405,23.7024646466,23.7147686458
