,t4,t5
0,23.4001795125,21.3511058559
1,23.4002043491,21.3333833511
2,23.4003805279,21.3220873637
3,23.3997147199,21.3113197224
4,23.4001756297,21.3014851299
5,23.3998298271,21.2942309816
6,23.3999916157,21.2900301702
7,23.399837516,21.2885764232
8,23.5039608406,21.2919008461
9,23.5094221819,21.3244456106
10,23.5097522607,21.3504815912
11,23.5096857846,21.3676327133
12,23.5104316602,21.3832046844
13,23.5098375437,21.4018641687
14,23.5099767235,21.4244689088
15,23.5099269069,21.4505600571
16,23.5099410351,21.4791543357
17,23.5100715544,21.5095479975
18,23.5097621348,21.5413866174
19,23.5101133163,21.5745270745
20,23.6423599487,21.6019582125
21,23.6494850623,21.6551194126
22,23.6497329676,21.698756479
23,23.6507464208,21.730339621
24,23.6502193505,21.7574321248
25,23.6503281369,21.7848746358
26,23.6499815952,21.8135933251
27,23.6507321087,21.8427000107
28,23.6497211806,21.8714544196
29,23.6508568701,21.8993251424
30,23.6501662589,21.9264292084
31,23.6504233673,21.9526559076
32,23.3398976646,22.0850976948
33,23.3301778375,22.0939733588
34,23.3296442758,22.0780026819
35,23.3300041338,22.0702195567
36,23.3298955215,22.0818687215
37,23.329805309,22.1061328489
38,23.3298964969,22.1332704163
39,23.3299359685,22.1584841258
40,23.3298187545,22.1801766088
41,23.3297577553,22.1991266861
42,23.3296956394,22.2160267418
43,23.3298602191,22.2308427907
44,23.7628528103,22.2716338112
45,23.7697205871,22.3634437725
46,23.7706944773,22.4142583745
47,23.7708094952,22.4293819585
48,23.770368568,22.4338676492
49,23.7704754718,22.4407411777
50,23.7701038527,22.4511024715
51,23.7704638809,22.4620813427
52,23.7703600316,22.4718642318
53,23.7696824902,22.4802127161
54,23.7707060005,22.4875915384
55,23.7704611243,22.494725041
56,23.5641951739,22.5294550869
57,23.5511686201,22.5113845118
58,23.550039813,22.4687181498
59,23.5508901652,22.4334294199
60,23.5501185043,22.4133649002
61,23.5505639899,22.4024561797
62,23.5506370789,22.3940040552
63,23.5504237323,22.3849963312
64,23.5504901043,22.3753945987
65,23.5506491079,22.3660413508
66,23.5503616033,22.3574956336
67,23.5498703148,22.3498489362
68,23.5309250509,22.3578421615
69,23.530140252,22.3621450931
70,23.5297363597,22.3639851509
71,23.5300287131,22.3644613771
72,23.5300007346,22.3652722151
73,23.5299647512,22.3671437407
74,23.5298924932,22.3699616564
75,23.5299797128,22.3732590867
76,23.5298915707,22.376598311
