,z0,z1,z2,z3,z4,tout,s,i,t1,t2,sp0,sp1,sp2,sp3,sp4,sp,m,rh
0,23.762192852,23.7655238816,23.7685748274,23.7603025524,23.7711759669,-2.29166666667,0.0,10247.0590484,23.7639439429,21.5508905461,23.75,23.75,23.75,23.75,23.75,23.75,4.9475065844,46453.8226521
1,23.7503379417,23.7504475369,23.7501241484,23.7532233533,23.7509208986,-1.78333333333,0.0,10247.0590484,23.7507082707,21.5084293109,23.75,23.75,23.75,23.75,23.75,23.75,5.08963223492,73343.7381213
2,23.7505123705,23.7509571111,23.7505960128,23.7506351311,23.7492725536,-1.275,0.0,10247.0590484,23.7504416278,21.4625656891,23.75,23.75,23.75,23.75,23.75,23.75,5.02338409998,60976.236538
3,23.7504600176,23.7484166098,23.7483968624,23.7480664957,23.7514438796,-0.766666666667,0.0,10247.0590484,23.7499351812,21.430408643,23.75,23.75,23.75,23.75,23.75,23.75,5.04221091423,63607.4672408
4,23.7503918778,23.7498515957,23.747238815,23.7491211609,23.7475169847,-0.258333333333,0.0,10247.0590484,23.7496115763,21.4122578364,23.75,23.75,23.75,23.75,23.75,23.75,5.04547901966,64031.8221564
5,23.7495114582,23.7509593865,23.7519806567,23.7486850987,23.7487904583,0.25,0.0,10247.0590484,23.7497164069,21.4022841172,23.75,23.75,23.75,23.75,23.75,23.75,5.04572676859,64165.4383525
6,23.7504545263,23.7500254148,23.747506201,23.7493511832,23.7502431988,0.758333333333,0.0,10247.0590484,23.7500068039,21.3966381889,23.75,23.75,23.75,23.75,23.75,23.75,5.04727738969,64358.0913087
7,23.7500517452,23.7484710121,23.7500407213,23.7497976905,23.7493793408,1.26666666667,0.0,10247.0590484,23.7497993821,21.3942753382,23.75,23.75,23.75,23.75,23.75,23.75,5.04689801775,64430.6252069
8,23.7494480005,23.7507323049,23.7474305551,23.7472040999,23.7476458564,1.775,0.0,10247.0590484,23.7489641936,21.3954211928,23.75,23.75,23.75,23.75,23.75,23.75,5.04649992527,64479.6836413
9,23.7497699049,23.748833343,23.7513095381,23.7490820317,23.7472270647,2.28333333333,0.0,10247.0590484,23.7494768544,21.4003565972,23.75,23.75,23.75,23.75,23.75,23.75,5.04710483494,64607.5535967
10,23.7497985205,23.7503979968,23.7511043678,23.7507685131,23.7469960991,2.79166666667,0.0,10247.0590484,23.7497740733,21.4090072929,23.75,23.75,23.75,23.75,23.75,23.75,5.04377439545,64445.9088634
11,23.7502632699,23.7501906168,23.7513447977,23.7477384925,23.7495595522,3.3,0.0,10247.0590484,23.7500237727,21.4211811043,23.75,23.75,23.75,23.75,23.75,23.75,5.0415783759,64410.2352189
12,23.9304179329,23.9269454791,23.9240268246,23.9270698934,23.9210512854,3.20833333333,0.0,10247.0590484,23.9281255739,21.4420945605,23.94,23.94,23.94,23.94,23.94,23.94,5.1469903584,81602.8688676
13,23.9399652581,23.9389656679,23.9382794178,23.9389384794,23.9356883426,3.11666666667,0.0,10247.0590484,23.9391492386,21.4809058882,23.94,23.94,23.94,23.94,23.94,23.94,5.04844870983,62529.9216027
14,23.9388330187,23.9394915685,23.9416634973,23.9409374687,23.9401131129,3.025,0.0,10247.0590484,23.9395236103,21.5240545756,23.94,23.94,23.94,23.94,23.94,23.94,5.09764518242,71885.3545628
15,23.9393442503,23.9393994213,23.9391696856,23.9416198411,23.9404675011,2.93333333333,0.0,10247.0590484,23.9397031511,21.5589381491,23.94,23.94,23.94,23.94,23.94,23.94,5.08888589053,70312.3608096
16,23.93941211,23.9397759378,23.9416882056,23.9406916844,23.9372900389,2.84166666667,0.0,10247.0590484,23.9395687192,21.5849937385,23.94,23.94,23.94,23.94,23.94,23.94,5.08958937218,70245.2536149
17,23.9388033233,23.9393054831,23.9427862206,23.9377547842,23.9403042741,2.75,0.0,10247.0590484,23.9392578528,21.6061024263,23.94,23.94,23.94,23.94,23.94,23.94,5.09161432415,70358.3499507
