,prediction,real
0,21.3427607617,21.3333833511
1,21.335026488,21.3220873637
2,21.3284798578,21.3113197224
3,21.3230597674,21.3014851299
4,21.3187653749,21.2942309816
5,21.3155385074,21.2900301702
6,21.3133617511,21.2885764232
7,21.312193793,21.2919008461
8,21.315233685,21.3244456106
9,21.3179398885,21.3504815912
10,21.3231436346,21.3676327133
11,21.3292705373,21.3832046844
12,21.3363166151,21.4018641687
13,21.344214157,21.4244689088
14,21.3530362742,21.4505600571
15,21.3626963546,21.4791543357
16,21.3731790857,21.5095479975
17,21.3844705303,21.5413866174
18,21.3965436627,21.5745270745
19,21.4093935341,21.6019582125
20,21.4273563562,21.6551194126
21,21.4443706499,21.698756479
22,21.463681255,21.730339621
23,21.4835310305,21.7574321248
24,21.5038578749,21.7848746358
25,21.5246661402,21.8135933251
26,21.5451890335,21.8427000107
27,21.5654677803,21.8714544196
28,21.5854575523,21.8993251424
29,21.6052308208,21.9264292084
30,21.6247399926,21.9526559076
31,21.6440212157,22.0850976948
32,21.6402032849,22.0939733588
33,21.6504565842,22.0780026819
34,21.6543509781,22.0702195567
35,21.6609298225,22.0818687215
36,21.6676002458,22.1061328489
37,21.6744465728,22.1332704163
38,21.6801919753,22.1584841258
39,21.6848990952,22.1801766088
40,21.6887625617,22.1991266861
41,21.6917022128,22.2160267418
42,21.6937315969,22.2308427907
43,21.6948988792,22.2716338112
44,21.7015211138,22.3634437725
45,21.7098163018,22.4142583745
46,21.7232935822,22.4293819585
47,21.7351297392,22.4338676492
48,21.7453581998,22.4407411777
49,21.7540441182,22.4511024715
50,21.7622279374,22.4620813427
51,21.769946635,22.4718642318
52,21.7772005977,22.4802127161
53,21.7839869426,22.4875915384
54,21.7903703568,22.494725041
55,21.7963254687,22.5294550869
56,21.7900206795,22.5113845118
57,21.7890271894,22.4687181498
58,21.7878035635,22.4334294199
59,21.7864155157,22.4133649002
60,21.7848199288,22.4024561797
61,21.7830592235,22.3940040552
62,21.7814386593,22.3849963312
63,21.7799454761,22.3753945987
64,21.7785840974,22.3660413508
65,21.777353262,22.3574956336
66,21.776235753,22.3498489362
