,prediction,real
0,22.7922290465,
1,22.7974330564,22.7905976542
2,22.7948038842,22.7908270324
3,22.7958786804,22.7912537309
4,22.7966422055,22.7918839227
5,22.7976826607,22.7927661697
6,22.798828134,22.7937856562
7,22.8000353646,22.7948236182
8,22.8012701687,22.7959237048
9,22.8025550877,22.7970878371
10,22.8053440948,22.7997989243
11,22.8076604454,22.8020422641
12,22.8222473605,22.8191603796
13,22.8182385453,22.8195180489
14,22.8195665355,22.8186486365
15,22.8185171537,22.8179586201
16,22.8176978247,22.8172266516
17,22.8169702099,22.8165103025
18,22.816088824,22.8156960706
19,22.8152704252,22.8148849883
20,22.8143487454,22.8140077692
21,22.8135980426,22.813251467
22,22.8126447057,22.8123604156
23,22.8102221083,22.8099220596
24,22.8112492999,22.8114163942
25,22.8091185936,22.8102509262
26,22.8083821815,22.8090674571
27,22.8071416488,22.8079180053
28,22.8060342256,22.8068027849
29,22.8047731727,22.8055890744
30,22.8034668248,22.8042908829
31,22.8020947239,22.8029473825
32,22.8009658872,22.8017864407
33,22.7996800708,22.8005509582
34,22.7983508095,22.7992336469
35,22.7972182677,22.7980745131
36,22.8008791296,22.8025685033
37,22.7993478525,22.8024329553
38,22.7998139991,22.8021798802
39,22.7993738823,22.801877164
40,22.798973706,22.801501096
41,22.7986766289,22.8011878319
42,22.7981853103,22.8007368283
43,22.7980684534,22.8005641202
44,22.7975651199,22.8001455426
45,22.797517473,22.8000100735
46,22.7970468743,22.7996241915
47,22.7967210101,22.7992640602
48,22.8014033215,22.8047593826
49,22.7995897624,22.8044533106
50,22.7994072457,22.8034723689
51,22.7986672614,22.8027572659
52,22.7977546818,22.8018768442
53,22.7971148651,22.8011666253
54,22.7961634252,22.8002409935
55,22.7955350305,22.7995175377
56,22.7946915796,22.7986924511
57,22.793893769,22.7978584108
58,22.7931438308,22.7970666372
59,22.7925879345,22.7964548679
60,22.8030017514,22.8087042628
61,22.8006962856,22.8096724187
62,22.802620704,22.8099875588
63,22.8027875011,22.810425159
64,22.802810607,22.8105747164
65,22.8033931401,22.8110921572
66,22.8037480215,22.8115446778
67,22.8040459183,22.8118762334
68,22.80442027,22.8122598294
69,22.8049283873,22.8127817572
70,22.8051037571,22.813041176
71,22.8056171476,22.8135156382
72,22.8024771965,22.808722403
73,22.8091486696,22.8130367126
74,22.8105395905,22.815648101
75,22.8117025748,22.8164672389
76,22.8117381576,22.8164087519
77,22.8112550655,22.8158965918
78,22.8109627092,22.8155085744
79,22.8104743609,22.8150223102
80,22.8100942323,22.8145926988
81,22.8095437533,22.8140447445
82,22.8092577024,22.8136765672
83,22.8087665805,22.8131921766
84,22.7955101652,22.7980006251
85,22.7983552484,22.7968622814
86,22.7958962454,22.7964425655
87,22.7960589592,22.7962356523
88,22.7959568845,22.7961065167
89,22.7959249777,22.7960488486
90,22.7984505467,22.7974666587
91,22.8004655215,22.7991883773
92,22.8024064802,22.800778193
93,22.8045356232,22.8025763005
94,22.8069514121,22.8047567206
95,22.8097823536,22.807382502
96,22.7959623648,22.790310938
97,22.802707176,22.7915681229
98,22.8029133606,22.7941776605
99,22.8069162154,22.7974941668
100,22.8110245115,22.8013187781
101,22.8150686492,22.8052224568
102,22.8185115293,22.8091291946
103,22.8222833198,22.8132144258
104,22.8253694385,22.8166706212
105,22.8280931139,22.8196838173
106,22.8308237115,22.8226395342
107,22.8332009008,22.8252623943
108,22.8456002703,22.8394627901
109,22.8470453753,22.844200187
110,22.8492543223,22.8449929605
111,22.8534769494,22.8496905456
112,22.8580532532,22.8543955703
113,22.8620657376,22.8585674504
114,22.8666569789,22.8630487048
115,22.8710529396,22.8673420268
116,22.8754062997,22.8715373573
117,22.8796533832,22.8756723366
118,22.8840912871,22.8799729334
119,22.8888523363,22.8846440893
120,22.9288618788,22.9210545895
121,22.6918392472,22.6550335513
122,22.704031434,22.6951344969
123,22.7457270466,22.7280418476
124,22.7646068792,22.7494366849
125,22.7742916075,22.7588701205
126,22.7778753541,22.7625622889
127,22.7834745646,22.7680037112
128,22.7892490186,22.7739788398
129,22.7948850939,22.7796359213
130,22.8002359984,22.7849878872
131,22.805328035,22.7899773436
132,22.8551329054,22.8362868011
133,22.8620693822,22.8522130743
134,22.8681105696,22.8535780583
135,22.8716712444,22.8578878199
136,22.8755234373,22.8616406354
137,22.8793773727,22.8654287538
138,22.8830623334,22.8691285791
139,22.8870260947,22.8729558189
140,22.8901829825,22.8761697906
141,22.8940156263,22.8798262822
142,22.8972344384,22.8831251998
143,22.9002888202,22.8861497312
144,22.8783431985,22.865929654
145,22.8800326968,22.8628035561
146,22.8822629046,22.8674689403
147,22.8864331333,22.8713648792
148,22.8923162065,22.8772099192
149,22.8989812691,22.8840819547
150,22.9053170243,22.8905959146
151,22.9130800607,22.8984134312
152,22.9217172355,22.9072977504
153,22.9312188155,22.9169640886
154,22.9417887649,22.9276713518
155,22.9602932744,22.9469125366
156,23.0157905377,22.9988368601
157,23.0355861159,23.0239230188
158,23.0493960227,23.0381945661
159,23.0621021422,23.0508751696
160,23.0747106466,23.063567359
161,23.0877873486,23.076754706
162,23.1016149006,23.0907252707
163,23.1159915392,23.1052704625
164,23.1308896099,23.1203413875
165,23.148230381,23.1381015774
166,23.1638452271,23.1537949228
167,23.1796538679,23.1697571703
168,23.3623425472,23.3577527908
169,23.259326009,23.2548697726
170,23.2261504536,23.2214206607
171,23.2331596476,23.2288651396
172,23.2274002132,23.2231222811
173,23.2295395015,23.2253828049
174,23.2340690781,23.2300941322
175,23.2391995182,23.2353602007
176,23.2446063228,23.2408696767
177,23.249973821,23.2463208135
178,23.2535061502,23.2498868555
179,23.2625997685,23.2592836405
180,23.4812143152,23.4809019156
181,23.4821752259,23.4799623984
182,23.4885486744,23.4802385931
183,23.4869610557,23.4798761652
184,23.4870443667,23.4798938083
185,23.4871004485,23.4800060549
186,23.4867394282,23.480009036
187,23.486299028,23.4798634237
188,23.4863897112,23.4802026749
189,23.4859021327,23.4800979407
190,23.4858326286,23.4802683177
191,23.4849601909,23.4797813551
