,z0,tout,s,i,t1,t2,sp0,m,rh
0,22.8956027694,-2.29166666667,0.0,8075.34156938,22.8956027694,22.7913545047,23.75,0.0,0.0
1,22.8949264219,-1.78333333333,0.0,8075.34156938,22.8949264219,22.7905976542,23.75,0.0,0.0
2,22.8942486526,-1.275,0.0,8075.34156938,22.8942486526,22.7908270324,23.75,0.0,0.0
3,22.8935698116,-0.766666666667,0.0,8075.34156938,22.8935698116,22.7912537309,23.75,0.0,0.0
4,22.8928900761,-0.258333333333,0.0,8075.34156938,22.8928900761,22.7918839227,23.75,0.0,0.0
5,22.8922101273,0.25,0.0,8075.34156938,22.8922101273,22.7927661697,23.75,0.0,0.0
6,22.8915300783,0.758333333333,0.0,8075.34156938,22.8915300783,22.7937856562,23.75,0.0,0.0
7,22.8908499442,1.26666666667,0.0,8075.34156938,22.8908499442,22.7948236182,23.75,0.0,0.0
8,22.8901701166,1.775,0.0,8075.34156938,22.8901701166,22.7959237048,23.75,0.0,0.0
9,22.8894912137,2.28333333333,0.0,8075.34156938,22.8894912137,22.7970878371,23.75,0.0,0.0
10,22.88881394,2.79166666667,0.0,8075.34156938,22.88881394,22.7997989243,23.75,0.0,0.0
11,22.8881389526,3.3,0.0,8075.34156938,22.8881389526,22.8020422641,23.75,0.0,0.0
12,22.8874674889,3.20833333333,0.0,8075.34156938,22.8874674889,22.8191603796,23.94,0.0,0.0
13,22.886800267,3.11666666667,0.0,8075.34156938,22.886800267,22.8195180489,23.94,0.0,0.0
14,22.8861375689,3.025,0.0,8075.34156938,22.8861375689,22.8186486365,23.94,0.0,0.0
15,22.8854795807,2.93333333333,0.0,8075.34156938,22.8854795807,22.8179586201,23.94,0.0,0.0
16,22.8848265607,2.84166666667,0.0,8075.34156938,22.8848265607,22.8172266516,23.94,0.0,0.0
17,22.8841786637,2.75,0.0,8075.34156938,22.8841786637,22.8165103025,23.94,0.0,0.0
18,22.883535819,2.65833333333,0.0,8075.34156938,22.883535819,22.8156960706,23.94,0.0,0.0
19,22.8828976968,2.56666666667,0.0,8075.34156938,22.8828976968,22.8148849883,23.94,0.0,0.0
20,22.882263822,2.475,0.0,8075.34156938,22.882263822,22.8140077692,23.94,0.0,0.0
21,22.8816336543,2.38333333333,0.0,8075.34156938,22.8816336543,22.813251467,23.94,0.0,0.0
22,22.8810084462,2.29166666667,0.0,8075.34156938,22.8810084462,22.8123604156,23.94,0.0,0.0
23,22.8803855796,2.2,0.0,8075.34156938,22.8803855796,22.8099220596,23.94,0.0,0.0
24,22.8797655779,2.10833333333,0.0,8075.34156938,22.8797655779,22.8114163942,23.98,0.0,0.0
25,22.8791483504,2.01666666667,0.0,8075.34156938,22.8791483504,22.8102509262,23.98,0.0,0.0
26,22.8785329245,1.925,0.0,8075.34156938,22.8785329245,22.8090674571,23.98,0.0,0.0
27,22.8779186669,1.83333333333,0.0,8075.34156938,22.8779186669,22.8079180053,23.98,0.0,0.0
28,22.8773054237,1.74166666667,0.0,8075.34156938,22.8773054237,22.8068027849,23.98,0.0,0.0
29,22.8766932458,1.65,0.0,8075.34156938,22.8766932458,22.8055890744,23.98,0.0,0.0
30,22.8760821928,1.55833333333,0.0,8075.34156938,22.8760821928,22.8042908829,23.98,0.0,0.0
31,22.8754722391,1.46666666667,0.0,8075.34156938,22.8754722391,22.8029473825,23.98,0.0,0.0
32,22.8748633038,1.375,0.0,8075.34156938,22.8748633038,22.8017864407,23.98,0.0,0.0
33,22.8742552646,1.28333333333,0.0,8075.34156938,22.8742552646,22.8005509582,23.98,0.0,0.0
34,22.873648,1.19166666667,0.0,8075.34156938,22.873648,22.7992336469,23.98,0.0,0.0
35,22.8730413863,1.1,0.0,8075.34156938,22.8730413863,22.7980745131,23.98,0.0,0.0
36,22.8724352523,1.1,0.0,8075.34156938,22.8724352523,22.8025685033,24.04,0.0,0.0
37,22.871829482,1.1,0.0,8075.34156938,22.871829482,22.8024329553,24.04,0.0,0.0
38,22.8712240693,1.1,0.0,8075.34156938,22.8712240693,22.8021798802,24.04,0.0,0.0
39,22.87061915,1.1,0.0,8075.34156938,22.87061915,22.801877164,24.04,0.0,0.0
40,22.8700149921,1.1,0.0,8075.34156938,22.8700149921,22.801501096,24.04,0.0,0.0
41,22.8694118736,1.1,0.0,8075.34156938,22.8694118736,22.8011878319,24.04,0.0,0.0
42,22.868810008,1.1,0.0,8075.34156938,22.868810008,22.8007368283,24.04,0.0,0.0
43,22.8682095024,1.1,0.0,8075.34156938,22.8682095024,22.8005641202,24.04,0.0,0.0
44,22.8676103911,1.1,0.0,8075.34156938,22.8676103911,22.8001455426,24.04,0.0,0.0
45,22.8670126532,1.1,0.0,8075.34156938,22.8670126532,22.8000100735,24.04,0.0,0.0
46,22.8664162541,1.1,0.0,8075.34156938,22.8664162541,22.7996241915,24.04,0.0,0.0
47,22.8658211478,1.1,0.0,8075.34156938,22.8658211478,22.7992640602,24.04,0.0,0.0
48,22.865227321,1.15,0.0,8075.34156938,22.865227321,22.8047593826,24.11,0.0,0.0
49,22.864634747,1.2,0.0,8075.34156938,22.864634747,22.8044533106,24.11,0.0,0.0
50,22.8640434381,1.25,0.0,8075.34156938,22.8640434381,22.8034723689,24.11,0.0,0.0
51,22.8634535278,1.3,0.0,8075.34156938,22.8634535278,22.8027572659,24.11,0.0,0.0
52,22.8628652818,1.35,0.0,8075.34156938,22.8628652818,22.8018768442,24.11,0.0,0.0
53,22.8622789765,1.4,0.0,8075.34156938,22.8622789765,22.8011666253,24.11,0.0,0.0
54,22.8616948072,1.45,0.0,8075.34156938,22.8616948072,22.8002409935,24.11,0.0,0.0
55,22.8611128511,1.5,0.0,8075.34156938,22.8611128511,22.7995175377,24.11,0.0,0.0
56,22.8605331007,1.55,0.0,8075.34156938,22.8605331007,22.7986924511,24.11,0.0,0.0
57,22.8599554949,1.6,0.0,8075.34156938,22.8599554949,22.7978584108,24.11,0.0,0.0
58,22.8593799576,1.65,0.0,8075.34156938,22.8593799576,22.7970666372,24.11,0.0,0.0
59,22.8588064091,1.7,0.0,8075.34156938,22.8588064091,22.7964548679,24.11,0.0,0.0
60,22.8582348226,1.7,0.0,8075.34156938,22.8582348226,22.8087042628,24.25,0.0,0.0
61,22.8576635135,1.7,0.0,8075.34156938,22.8576635135,22.8096724187,24.25,0.0,0.0
62,22.8570944801,1.7,0.0,8075.34156938,22.8570944801,22.8099875588,24.25,0.0,0.0
63,22.8565288302,1.7,0.0,8075.34156938,22.8565288302,22.810425159,24.25,0.0,0.0
64,22.8559664941,1.7,0.0,8075.34156938,22.8559664941,22.8105747164,24.25,0.0,0.0
65,22.8554074074,1.7,0.0,8075.34156938,22.8554074074,22.8110921572,24.25,0.0,0.0
