,prediction,real
0,23.4135447415,23.3988248947
1,23.4084382573,23.4016724741
2,23.4100917771,23.3995227813
3,23.4102130599,23.3997098975
4,23.4090825559,23.4007896212
5,23.4101116888,23.3992095166
6,23.4091870855,23.4009344676
7,23.4094628939,23.5032714945
8,23.5580135652,23.5091795009
9,23.5054274349,23.5097621685
10,23.5251602909,23.5101826471
11,23.517879754,23.5085870689
12,23.5201560321,23.5107009096
13,23.5198685949,23.5116766617
14,23.5199670894,23.5104328863
15,23.5193999889,23.5116823562
16,23.5194859042,23.5103060573
17,23.519311019,23.5097398302
18,23.5199419707,23.5112416196
19,23.5190223912,23.6406962289
20,23.7045520531,23.6506063706
21,23.6387532804,23.6514396029
22,23.6631795534,23.6499325266
23,23.6534782114,23.6500087492
24,23.6575360647,23.6504425104
25,23.6556675987,23.6500622838
26,23.6562112489,23.6502429487
27,23.6557706527,23.6506185886
28,23.656169473,23.6503797119
29,23.656010086,23.6489692455
30,23.6563427495,23.6506914882
31,23.6561437742,23.3393513235
32,23.2293632553,23.3309824848
33,23.3852017763,23.3314192916
34,23.3276988375,23.3314736053
35,23.3488096585,23.3308234729
36,23.3413166305,23.3291764857
37,23.3433238262,23.3296716602
38,23.3432125131,23.3311661352
39,23.3433685517,23.3310532986
40,23.3432089574,23.3313346287
41,23.343117293,23.3307017082
42,23.3436267619,23.3296292874
43,23.3428306478,23.7606152212
44,23.9293157019,23.7717850935
45,23.7164747687,23.7705001405
46,23.7954175808,23.7713472886
47,23.7663721656,23.7698613402
48,23.7764172513,23.770112285
49,23.7735984357,23.7691510064
50,23.7741586118,23.7692037533
51,23.7741619406,23.771614947
52,23.7746036064,23.7707622638
53,23.7739133325,23.7722870182
54,23.7741648577,23.7699489767
55,23.7740914997,23.5660213428
56,23.482185057,23.5533843591
57,23.5860828435,23.551880387
58,23.5474356679,23.5499270837
59,23.5617511308,23.5513206774
60,23.5569818517,23.5500704127
61,23.5583743726,23.5492753904
62,23.5581033177,23.5515108843
63,23.5575976508,23.5499430927
64,23.557838746,23.5494105026
65,23.5582566917,23.5494261638
66,23.5579401128,23.5491053149
67,23.5575811133,23.5320749762
68,23.5326223612,23.5306860867
69,23.5418977164,23.5316823093
70,23.5388109471,23.5319765837
71,23.5395787596,23.5294403008
72,23.538872843,23.5317373725
73,23.5394841243,23.5310597625
74,23.5389500337,23.53077454
75,23.539006208,23.5294031385
76,23.5396757968,23.5297012589
77,23.5393051615,23.5306006859
78,23.539204724,23.5309571653
79,23.5392257628,23.7338334921
80,23.8297970257,23.7476213761
81,23.726071296,23.7512083158
82,23.7659345006,23.7523315544
83,23.7515796659,23.7500455945
84,23.7564812819,23.7490931722
85,23.7540995099,23.7493157432
86,23.7551283293,23.7497162696
87,23.7547603426,23.7497545626
88,23.7557732407,23.7493738282
89,23.7554763423,23.7523253596
90,23.7551672808,23.7522353917
91,23.754994803,23.2818323818
92,23.1190435532,23.2707390634
93,23.3473582996,23.2715775235
94,23.2625193046,23.2706117826
95,23.2935129879,23.2712623977
96,23.2820610128,23.2715881516
97,23.2872726002,23.2705533749
98,23.2850136032,23.2706544498
99,23.2858790345,23.2706379789
100,23.2858920655,23.269657967
101,23.2855334935,23.2697193465
102,23.285758717,23.2714806791
103,23.2857494656,23.326922645
104,23.3652650134,23.3294708508
105,23.3365460979,23.3296398067
106,23.3472152037,23.3317159453
107,23.3436350078,23.3290881853
108,23.3454862618,23.3318323874
109,23.344582108,23.3313467229
110,23.3452059856,23.3310904721
111,23.3446655535,23.3298485285
112,23.3450643158,23.3305666541
113,23.3445453182,23.3303219608
114,23.3446828403,23.3314534835
115,23.3453136084,23.2659063808
116,23.2477621171,23.2613126945
117,23.2825681165,23.259950321
118,23.2694829383,23.2589741075
119,23.2744334635,23.2592914905
120,23.2731444234,23.2612160777
121,23.2732470152,23.2614372069
122,23.2732809315,23.2591812967
123,23.2736191494,23.2620558719
124,23.2736828605,23.2593708865
125,23.273735366,23.2599968905
126,23.2734898496,23.2589105524
127,23.2729143225,23.4936682238
128,23.6021504192,23.5088975177
129,23.4848299503,23.5118170137
130,23.5287682922,23.50993894
131,23.5131590286,23.5096898384
132,23.5183119788,23.5120426362
133,23.5163311088,23.5100660079
134,23.5175369152,23.5102736511
135,23.5171433496,23.5103632166
136,23.5178315052,23.5113041629
137,23.5171871381,23.5107734904
138,23.5170241383,23.5108353208
139,23.5165667695,23.5372280659
140,23.5568964494,23.5407267009
141,23.5423807176,23.5394321009
142,23.5476358304,23.5399875061
143,23.5466043232,23.5382705017
144,23.5461074255,23.5407549591
145,23.5462389071,23.5386422611
146,23.5467545579,23.5394154715
147,23.5467579675,23.5414343271
148,23.5466321821,23.5397255661
149,23.5465388557,23.5388159552
150,23.5460508606,23.5385222546
151,23.5464183414,23.7611127315
152,23.8629535779,23.7783853529
153,23.7508611234,23.7788294968
154,23.7915750789,23.7818012139
155,23.7763063142,23.7800665099
156,23.7822818909,23.7806093709
157,23.7803908754,23.7818642312
158,23.7809291199,23.7819367734
159,23.7817360372,23.7804896919
160,23.7809072574,23.7805324539
161,23.7811402058,23.7780681777
162,23.7813350347,23.7790205941
163,23.7810242266,23.3891471106
164,23.2521154769,23.380060384
165,23.440719802,23.3789593195
166,23.3708035693,23.3806879604
167,23.3961411633,23.3805972287
168,23.3873117988,23.3800953298
169,23.3901790791,23.3808074396
170,23.3895409014,23.3802045674
171,23.3895155317,23.3801445545
172,23.3900202626,23.3789292294
173,23.3891681204,23.3815472209
174,23.3895006188,23.3782575846
175,23.3894777618,23.2604132864
176,23.2173550266,23.2515777401
177,23.2788821294,23.2509138638
178,23.2559037653,23.2495877411
179,23.2642215336,23.2499775705
180,23.2606216015,23.2504319541
181,23.2619032264,23.2499091034
182,23.2616912398,23.251162109
183,23.2619405024,23.2498700711
184,23.2613267358,23.2497075825
185,23.2617288419,23.2500812686
186,23.2612923703,23.250101076
187,23.2617818438,23.5261985381
188,23.6572225069,23.5495084422
189,23.5171657988,23.5492771455
190,23.5693732162,23.5517602421
191,23.5501295233,23.5503337667
192,23.5577909305,23.5509486976
193,23.5544474801,23.5494439765
194,23.5550713115,23.5484380032
195,23.5550039281,23.5495085462
196,23.5557282814,23.5500168784
197,23.5552317054,23.5487001091
198,23.5548956891,23.5482544275
199,23.5562567737,23.2725989201
200,23.1586325011,23.2501356531
201,23.3005647207,23.2490983379
202,23.2475696031,23.2484212484
203,23.2671197532,23.2496544778
204,23.2593892516,23.2489407678
205,23.2626037134,23.2501099167
206,23.2612971183,23.2497984592
207,23.2613932619,23.2516225452
208,23.261344444,23.2520051986
209,23.2617586219,23.2492375221
210,23.261510985,23.2491271991
211,23.2610330845,23.6499726216
212,23.8082466203,23.660161718
213,23.6091641901,23.6595268234
214,23.68207426,23.6599126928
215,23.6564228366,23.6617847353
216,23.6654109538,23.6596006605
217,23.6624404111,23.6604735421
218,23.663136038,23.6587025315
219,23.6633105959,23.6600646483
220,23.6630012987,23.6582965664
221,23.6635473565,23.6592894322
222,23.6630207642,23.6612837317
223,23.6631185141,23.9821771617
224,24.1035587503,23.9915794464
225,23.9428217475,23.9907918717
226,24.0023485549,23.9909789205
227,23.9805148586,23.9894636353
228,23.9888623642,23.9900356844
229,23.9856749596,23.99017053
230,23.9860217915,23.9919159382
231,23.9863210076,23.9885430989
232,23.9860136777,23.9894601608
233,23.9866963007,23.9907256603
234,23.986428453,23.9892395465
235,23.9862734125,24.203799566
236,24.291031368,24.2199490769
237,24.1816666332,24.2208740849
238,24.2224990943,24.2190353507
239,24.2084638113,24.2197769477
240,24.2132136138,24.2194576318
241,24.2111275409,24.2193078091
242,24.2119940738,24.2201120815
243,24.2116215121,24.2183599654
244,24.2116896161,24.2197726509
245,24.211272274,24.2195209976
246,24.2118354562,24.2186085965
247,24.2118951105,24.2110449121
248,24.197698462,24.2096475228
249,24.2029202795,24.2117233082
250,24.2013617877,24.2098240877
251,24.2019285866,24.2092855038
252,24.2019878462,24.209388183
253,24.2016028073,24.2089145121
254,24.2015763576,24.2111891434
255,24.2018689781,24.2098041834
256,24.2015991776,24.2102098814
257,24.2016672041,24.2080657297
258,24.2017701973,24.2083197566
259,24.2013571636,23.9229317871
260,23.7918030021,23.9016918596
261,23.9378164334,23.9000311361
262,23.8834760837,23.9008825591
263,23.9036488435,23.8999137362
264,23.8958707568,23.8994243194
265,23.8986325535,23.9010057362
266,23.8976351989,23.9002260024
267,23.8984292721,23.9001030641
268,23.897759618,23.8981450031
269,23.8978143363,23.897784044
270,23.8988794045,23.9003489686
271,23.8974489957,23.4210816078
272,23.2517628936,23.4081127541
273,23.4805047288,23.409975386
274,23.3959058223,23.408677079
275,23.427139366,23.4090783749
276,23.4154938363,23.4095167818
277,23.4200545212,23.4115498168
278,23.4182598892,23.4100077086
279,23.4190912141,23.4097873055
280,23.4190183373,23.4081748271
281,23.4184611985,23.4096032881
282,23.4187013846,23.4095193505
283,23.4183788322,23.4558703279
284,23.485737534,23.4579709535
285,23.4615492768,23.4607042343
286,23.4704753706,23.4596366866
287,23.4672746322,23.4611755186
288,23.4685033847,23.4608234572
289,23.4679642417,23.4588624355
290,23.4678969443,23.4595174433
291,23.4674997303,23.4582706867
292,23.4683997593,23.4586907073
293,23.4683605552,23.4596243132
294,23.4675283573,23.4595278
295,23.4677893016,23.6641286971
296,23.7630431165,23.679437769
297,23.6580362263,23.6788663896
298,23.6967388287,23.6803223641
299,23.6829301945,23.6793920326
300,23.6879315093,23.6800447119
301,23.6856968768,23.6813235108
302,23.6872134705,23.6797393805
303,23.6858814231,23.6817131972
304,23.6865500913,23.6802841602
305,23.6858857271,23.6791663805
306,23.6857793939,23.6810264002
307,23.6862945805,23.2893115672
308,23.1560848074,23.2789857918
309,23.3453617891,23.2808273661
310,23.2753185529,23.2806836329
311,23.3013217234,23.2804392587
312,23.2915959001,23.2804344122
313,23.2949086749,23.2787025056
314,23.2938394847,23.2810773946
315,23.2941676441,23.2814006152
316,23.293765244,23.2808800019
317,23.2938702418,23.279271047
318,23.2940795861,23.2804002649
319,23.2937435422,23.3833796459
320,23.4399861788,23.389495851
321,23.3871551118,23.3913715432
322,23.4072121505,23.3914192178
323,23.3993185709,23.3902834664
324,23.40203183,23.3895231978
325,23.4014265144,23.3911397388
326,23.4015669937,23.3911836873
327,23.4015559271,23.3899466624
328,23.4015613085,23.3904806603
329,23.4014173335,23.3918036046
330,23.4015946226,23.3905953576
331,23.4014091918,23.4365215062
332,23.4676467124,23.4405912289
333,23.4438711432,23.4413627859
334,23.4532414519,23.4411426152
335,23.4493306422,23.4412216435
336,23.450769871,23.4403211252
337,23.4501247078,23.4417575543
338,23.4503727475,23.4402749544
339,23.4500745728,23.4402159189
340,23.4502203913,23.4398337079
341,23.4500636907,23.4402383188
342,23.4502681857,23.4398677321
343,23.4501575649,23.5418397912
344,23.5943417883,23.5492060854
345,23.542890339,23.5498779518
346,23.5621483489,23.5500133783
347,23.5552769256,23.5507138651
348,23.5576510233,23.5488511689
349,23.5565707309,23.5493334495
350,23.5568886708,23.5507198165
351,23.5570300734,23.5515977883
352,23.55662802,23.5498484095
353,23.5566003173,23.5495467733
354,23.557201737,23.5505785993
355,23.5565657509,23.9505666315
356,24.1037652382,23.9593451251
357,23.9052727002,23.9587963992
358,23.9782438347,23.9592023721
359,23.9520657014,23.9612217881
360,23.9614064699,23.9593843281
361,23.9577477458,23.9613476258
362,23.9596723067,23.9617354853
363,23.9584958284,23.9611693383
364,23.9588568347,23.9607194459
365,23.958528038,23.9605375591
366,23.9585698607,23.9602882989
367,23.9586632737,24.2290230231
368,24.3420435542,24.2485232335
369,24.2051455139,24.2499373245
370,24.2555782836,24.2518503423
371,24.2374268441,24.251285239
372,24.2440225451,24.25105463
373,24.2415972377,24.2509401639
374,24.2427919515,24.2499138045
375,24.2417919861,24.2514243999
376,24.2423768989,24.2485512923
377,24.2418494777,24.250089009
378,24.2424282328,24.2501545644
379,24.2423849101,23.8031259723
380,23.6327344495,23.7900500436
381,23.8516411601,23.789700383
382,23.7710392695,23.7897815548
383,23.8003827756,23.7911226511
384,23.789684735,23.7901120712
385,23.7933878637,23.7889164614
386,23.7928575956,23.7901881571
387,23.7930825191,23.7888693947
388,23.7928579694,23.7891269562
389,23.7929782956,23.7889574462
390,23.792924031,23.7911930659
391,23.7928255211,24.2298236054
392,24.3921266741,24.2407838969
393,24.174470665,24.2397857526
394,24.2546140763,24.2404416694
395,24.225212226,24.2403315574
396,24.2363526383,24.2414428024
397,24.2326064141,24.2402847148
398,24.2341873506,24.2393811694
399,24.2332858646,24.2401383894
400,24.234202269,24.2404001477
401,24.2337876372,24.239047456
402,24.2340739807,24.2420354642
403,24.2335800335,24.3508044481
404,24.3884827447,24.3611921017
405,24.3330654715,24.3593437658
406,24.3539935586,24.3592528265
407,24.3455994429,24.3616896422
408,24.3484943401,24.3620766831
409,24.3484046501,24.3590008541
410,24.3486941614,24.35971325
411,24.3481074644,24.3607191162
412,24.3486953212,24.3594605345
413,24.3485563909,24.3619932797
414,24.3486175263,24.3614434861
415,24.3484878978,24.2386660109
416,24.1747482229,24.2318144038
417,24.2375987379,24.2302387913
418,24.2141725516,24.2287425955
419,24.2222332564,24.2313032463
420,24.2197790484,24.230558086
421,24.2201135593,24.2307161336
422,24.2208921561,24.2306428288
423,24.2197583405,24.2294046479
424,24.219922049,24.2301219219
425,24.2199645587,24.2309201015
426,24.2207074981,24.2305480877
427,24.2204967495,24.1481495542
428,24.1011517447,24.1407387198
429,24.1439842057,24.1410070998
430,24.1281242223,24.1405984535
431,24.133910766,24.1404737715
432,24.1316415433,24.1387042305
433,24.1324875341,24.1407746854
434,24.1321074414,24.1394593709
435,24.1318149465,24.1405965808
