,prediction,real
0,21.5050546322,
1,21.5237459464,21.5195874861
2,21.5280549106,21.5230195479
3,21.5285593976,21.5267273685
4,21.5339942278,21.5309043132
5,21.5402921221,21.535614706
6,21.5468619489,21.5408231578
7,21.5521843038,21.5464772139
8,21.5575006795,21.5525468082
9,21.5621650333,21.5590163472
10,21.5772571787,21.5720221475
11,21.5887459415,21.5836311543
12,21.6013791965,21.5867970833
13,21.5879301357,21.5849736044
14,21.584307028,21.5823961277
15,21.5804236625,21.5802170661
16,21.5814200852,21.5780656783
17,21.5773351964,21.5756482286
18,21.5773480145,21.5729972604
19,21.5732993442,21.5702171713
20,21.5714253694,21.5673535315
21,21.5647320554,21.5644117526
22,21.5602618773,21.5614051394
23,21.5559029189,21.5520358729
24,21.5502833001,21.5437487295
25,21.538657013,21.5384573574
26,21.5322298223,21.5342973702
27,21.5333325523,21.5299702703
28,21.5241308186,21.5253776717
29,21.5212320361,21.520745333
30,21.5153238201,21.5161555821
31,21.5137601269,21.5115788053
32,21.5032186942,21.506984485
33,21.5021667205,21.5023684943
34,21.4976971314,21.4977362351
35,21.4904646141,21.4930905681
36,21.4896034649,21.4905715647
37,21.4875737418,21.4895891097
38,21.4867461091,21.4889673006
39,21.4844412293,21.4882706902
40,21.4873369549,21.4875661154
41,21.4857178236,21.4869212854
42,21.483649644,21.4863422406
43,21.4822686917,21.4858137124
44,21.4856880547,21.485321959
45,21.4819493386,21.4848621359
46,21.4797523214,21.4844299255
47,21.4794386242,21.4840241788
48,21.48519095,21.4821686537
49,21.4772430141,21.4793930919
50,21.4728104604,21.4765112322
51,21.4731362415,21.4737734613
52,21.4659708464,21.4711119675
53,21.4654317218,21.4684589759
54,21.4656241825,21.465811264
55,21.4608604293,21.4631843144
56,21.4565729479,21.4605842657
57,21.4570268835,21.4580098191
58,21.4535569811,21.455459306
59,21.4529480796,21.45293248
60,21.4545716677,21.4531775105
61,21.4483450812,21.4552842959
62,21.4521124239,21.4577502582
63,21.454635746,21.4600810661
64,21.4587172649,21.4623755082
65,21.456955364,21.4647456465
66,21.4593065183,21.4671911232
67,21.4633492377,21.4696792691
68,21.467743958,21.4721956072
69,21.4709545838,21.4747403921
70,21.4716442119,21.4773154082
71,21.4745331936,21.4799201523
