,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,t6,t7,sp0,m,rh
0,0,-2.29166666667,0.0,7252.22431484,23.0956428828,23.7657471049,23.76960586,23.7604573812,21.5166627507,22.9131278245,22.8956027694,23.75,9.21265353455,52490.199461
1,1,-1.78333333333,0.0,7252.22431484,23.0954112406,23.7512283737,23.7537598934,23.7501210181,21.5195874861,22.9030204343,22.8949264219,23.75,9.21265353455,52491.5575858
2,2,-1.275,0.0,7252.22431484,23.0947304171,23.7506439768,23.7511795581,23.7497142082,21.5230195479,22.8930718615,22.8942486526,23.75,9.21265353455,52491.6535364
3,3,-0.766666666667,0.0,7252.22431484,23.0940990689,23.7502981708,23.7498488282,23.7512486129,21.5267273685,22.8862885394,22.8935698116,23.75,9.21265353455,52491.6062077
4,4,-0.258333333333,0.0,7252.22431484,23.0936685347,23.7486895528,23.7508446899,23.7504522128,21.5309043132,22.882074094,22.8928900761,23.75,9.21265353455,52491.561772
5,5,0.25,0.0,7252.22431484,23.0933522303,23.7499607575,23.7496419328,23.7501378688,21.535614706,22.8790643885,22.8922101273,23.75,9.21265353455,52491.606517
6,6,0.758333333333,0.0,7252.22431484,23.0930329317,23.751626057,23.7485762002,23.7500145866,21.5408231578,22.876489767,22.8915300783,23.75,9.21265353455,52491.7491159
7,7,1.26666666667,0.0,7252.22431484,23.0926527747,23.7499008269,23.7500747489,23.7499276381,21.5464772139,22.8741621378,22.8908499442,23.75,9.21265353455,52491.9757307
8,8,1.775,0.0,7252.22431484,23.0922083987,23.7489575445,23.7505878258,23.7502069458,21.5525468082,22.8720941138,22.8901701166,23.75,9.21265353455,52492.257034
9,9,2.28333333333,0.0,7252.22431484,23.0917140586,23.7492763113,23.7490308974,23.7512488488,21.5590163472,22.8703144743,22.8894912137,23.75,9.21265353455,52492.5905588
10,10,2.79166666667,0.0,7252.22431484,23.0911786423,23.7505192041,23.7497359623,23.7506885803,21.5720221475,22.8688243003,22.88881394,23.75,9.21265353455,52492.9831284
11,11,3.3,0.0,7252.22431484,23.0906024146,23.7502345006,23.7477532052,23.7508146256,21.5836311543,22.8680061675,22.8881389526,23.75,9.21265353455,52493.4394625
12,12,3.20833333333,0.0,7252.22431484,23.0901181909,23.9262326144,23.9282054335,23.9311962374,21.5867970833,22.8678061459,22.8874674889,23.94,9.21265353455,52493.3466075
13,13,3.11666666667,0.0,7252.22431484,23.0897186272,23.93935301,23.9399981491,23.9394265888,21.5849736044,22.8718891193,22.886800267,23.94,9.21265353455,52493.4582542
14,14,3.025,0.0,7252.22431484,23.0893632074,23.9384577471,23.9397838623,23.9396980096,21.5823961277,22.8755020121,22.8861375689,23.94,9.21265353455,52493.5817718
15,15,2.93333333333,0.0,7252.22431484,23.0890346551,23.9387208819,23.9399670084,23.9405207817,21.5802170661,22.8763604656,22.8854795807,23.94,9.21265353455,52493.6866857
16,16,2.84166666667,0.0,7252.22431484,23.0887318872,23.9388401232,23.9402438765,23.9390691175,21.5780656783,22.8752743032,22.8848265607,23.94,9.21265353455,52493.7644611
17,17,2.75,0.0,7252.22431484,23.0884526574,23.9402232018,23.938730834,23.9401152896,21.5756482286,22.8735416897,22.8841786637,23.94,9.21265353455,52493.8218791
18,18,2.65833333333,0.0,7252.22431484,23.0881893614,23.939060002,23.9408470462,23.9386044993,21.5729972604,22.8718067113,22.883535819,23.94,9.21265353455,52493.8668413
19,19,2.56666666667,0.0,7252.22431484,23.0879334237,23.9380719899,23.9419652433,23.9389465751,21.5702171713,22.8701373662,22.8828976968,23.94,9.21265353455,52493.902222
20,20,2.475,0.0,7252.22431484,23.0876792134,23.9389969121,23.9397576371,23.9386671637,21.5673535315,22.8684624817,22.882263822,23.94,9.21265353455,52493.9275636
21,21,2.38333333333,0.0,7252.22431484,23.087424463,23.9396478526,23.9405695451,23.9405147514,21.5644117526,22.8667327963,22.8816336543,23.94,9.21265353455,52493.9422452
22,22,2.29166666667,0.0,7252.22431484,23.0871698767,23.9387338829,23.9405511077,23.94096329,21.5614051394,22.8650144787,22.8810084462,23.94,9.21265353455,52493.9466427
23,23,2.2,0.0,7252.22431484,23.0869138922,23.9383214039,23.9403326715,23.9385458295,21.5520358729,22.8632611402,22.8803855796,23.94,9.21265353455,52493.941701
24,24,2.10833333333,0.0,7252.22431484,23.0866577279,23.9781129839,23.9772868088,23.976799332,21.5437487295,22.8608210998,22.8797655779,23.98,9.21265353455,52493.926678
25,25,2.01666666667,0.0,7252.22431484,23.086401567,23.9791568962,23.9810512305,23.9799280893,21.5384573574,22.8587697432,22.8791483504,23.98,9.21265353455,52493.9041825
26,26,1.925,0.0,7252.22431484,23.0861466755,23.9794741009,23.9781391432,23.9810188601,21.5342973702,22.856701873,22.8785329245,23.98,9.21265353455,52493.8743144
27,27,1.83333333333,0.0,7252.22431484,23.0858952688,23.9805980816,23.9797802654,23.9787357117,21.5299702703,22.8543465514,22.8779186669,23.98,9.21265353455,52493.8373116
28,28,1.74166666667,0.0,7252.22431484,23.0856480033,23.9816113661,23.9803701482,23.9810592642,21.5253776717,22.8517681342,22.8773054237,23.98,9.21265353455,52493.7936308
29,29,1.65,0.0,7252.22431484,23.0854035971,23.9818266519,23.9817607307,23.9802814752,21.520745333,22.8491138593,22.8766932458,23.98,9.21265353455,52493.7437756
30,30,1.55833333333,0.0,7252.22431484,23.0851601973,23.9811970308,23.9798330121,23.9807259101,21.5161555821,22.8464309851,22.8760821928,23.98,9.21265353455,52493.6881969
31,31,1.46666666667,0.0,7252.22431484,23.0849164269,23.9799664531,23.979007494,23.9790400429,21.5115788053,22.8437062342,22.8754722391,23.98,9.21265353455,52493.6272818
32,32,1.375,0.0,7252.22431484,23.0846715326,23.9783663785,23.9811245809,23.9814063819,21.506984485,22.8409310663,22.8748633038,23.98,9.21265353455,52493.5613848
33,33,1.28333333333,0.0,7252.22431484,23.0844251262,23.980242554,23.9801542225,23.9801487039,21.5023684943,22.838169427,22.8742552646,23.98,9.21265353455,52493.4908446
34,34,1.19166666667,0.0,7252.22431484,23.0841770887,23.9789757711,23.9795576288,23.9797698528,21.4977362351,22.8354181618,22.873648,23.98,9.21265353455,52493.4159889
35,35,1.1,0.0,7252.22431484,23.0839274765,23.9790783347,23.9812959259,23.9809601123,21.4930905681,22.832640856,22.8730413863,23.98,9.21265353455,52493.3371162
36,36,1.1,0.0,7252.22431484,23.0836626992,24.0355301477,24.0358399996,24.0387392489,21.4905715647,22.8306204512,22.8724352523,24.04,9.21265353455,52493.3166592
37,37,1.1,0.0,7252.22431484,23.083384655,24.0392789481,24.0395121173,24.0400485091,21.4895891097,22.8308562931,22.871829482,24.04,9.21265353455,52493.2745425
38,38,1.1,0.0,7252.22431484,23.0831032597,24.0413284908,24.0392571113,24.0405971895,21.4889673006,22.8317086741,22.8712240693,24.04,9.21265353455,52493.2275607
39,39,1.1,0.0,7252.22431484,23.0828244032,24.0418334365,24.0394318083,24.0414527698,21.4882706902,22.8321466672,22.87061915,24.04,9.21265353455,52493.1924592
40,40,1.1,0.0,7252.22431484,23.0825528135,24.0413315988,24.0407086795,24.0396834202,21.4875661154,22.832131867,22.8700149921,24.04,9.21265353455,52493.1397955
41,41,1.1,0.0,7252.22431484,23.0822803605,24.0403233208,24.0423860313,24.0399126434,21.4869212854,22.8319283548,22.8694118736,24.04,9.21265353455,52493.1278427
42,42,1.1,0.0,7252.22431484,23.0820037319,24.0391091884,24.0390891935,24.0403340674,21.4863422406,22.8317313935,22.868810008,24.04,9.21265353455,52493.1093033
43,43,1.1,0.0,7252.22431484,23.0817248076,24.0413583515,24.0401904723,24.0412223829,21.4858137124,22.8315468443,22.8682095024,24.04,9.21265353455,52493.0807765
44,44,1.1,0.0,7252.22431484,23.081444742,24.0407321217,24.038882204,24.0392817679,21.485321959,22.8314267695,22.8676103911,24.04,9.21265353455,52493.051916
45,45,1.1,0.0,7252.22431484,23.0811636054,24.0415132021,24.0417670561,24.0409670243,21.4848621359,22.8313017596,22.8670126532,24.04,9.21265353455,52493.0216541
46,46,1.1,0.0,7252.22431484,23.0808800071,24.0391528886,24.0411631308,24.0412639101,21.4844299255,22.8312201627,22.8664162541,24.04,9.21265353455,52492.9962872
47,47,1.1,0.0,7252.22431484,23.0805935855,24.0388173025,24.0392320765,24.0411488452,21.4840241788,22.8311263602,22.8658211478,24.04,9.21265353455,52492.970306
48,48,1.15,0.0,7252.22431484,23.0803059835,24.1053732998,24.1038598304,24.1061093504,21.4821686537,22.8300570233,22.865227321,24.11,9.21265353455,52492.9367305
49,49,1.2,0.0,7252.22431484,23.0800159595,24.1111073243,24.1114738464,24.1097740153,21.4793930919,22.8296051774,22.864634747,24.11,9.21265353455,52492.9162803
