,prediction,real
0,23.4116176825,23.4001142982
1,23.4233954566,23.4001685124
2,23.432744034,23.4001323905
3,23.4441003437,23.400247351
4,23.4547454109,23.4001404983
5,23.4651436564,23.4000856737
6,23.4759936118,23.3998193522
7,23.4859097258,23.5074416206
8,23.4975022888,23.5097813328
9,23.5122432868,23.5097768173
10,23.5224267042,23.5098096041
11,23.5330548946,23.5097953912
12,23.5447697386,23.5097882642
13,23.5551450884,23.509781856
14,23.5647943245,23.5097755935
15,23.575258347,23.5097694678
16,23.5847625028,23.509763456
17,23.594821946,23.509757553
18,23.6053045,23.5097517509
19,23.6144945949,23.6475054594
20,23.6250221181,23.6497509864
21,23.6367345496,23.6496972168
22,23.6426172308,23.649759151
23,23.6502306139,23.649741362
24,23.6579121898,23.6497355355
25,23.6651117022,23.6497306034
26,23.6724453831,23.6497257146
27,23.6795006663,23.6497209226
28,23.6863046021,23.6497162066
29,23.6931766987,23.6497115645
30,23.7009572165,23.6497070192
31,23.7075002231,23.3372998018
32,23.7183062867,23.3298381
33,23.7201638311,23.3297933762
34,23.7332780398,23.3296179235
35,23.7437889197,23.3296444978
36,23.7545023001,23.329644621
37,23.765880317,23.3296426183
38,23.7769364749,23.3296407061
39,23.7868864291,23.3296387291
40,23.7966986236,23.3296367386
41,23.8061234501,23.329634756
42,23.8159572309,23.3296327906
43,23.8261414547,23.7012201874
44,23.858193184,23.7696719704
45,23.8675917374,23.7695662314
46,23.8691476613,23.7697089752
47,23.8706107504,23.7697009973
48,23.8735075866,23.7696868654
49,23.8764222896,23.7696828284
50,23.8796928664,23.7696791197
51,23.8832156482,23.7696755514
52,23.8852990165,23.7696720892
53,23.8879478142,23.7696687042
54,23.889140026,23.7696653995
55,23.8920933256,23.5587751214
56,23.889816026,23.5503114574
57,23.8889546767,23.5497957207
58,23.8923515923,23.5496783668
59,23.8954702052,23.5497020746
60,23.897747776,23.5497040357
61,23.9005349057,23.5497040933
62,23.9038992993,23.5497040993
63,23.9056531949,23.5497040349
64,23.9084049241,23.5501044355
65,23.9113974734,23.5497144837
66,23.9145077387,23.5497035313
67,23.9175257502,23.5304070053
68,23.922726601,23.5296324562
69,23.927727837,23.5296277374
70,23.9331017483,23.5303929
71,23.9379107075,23.5296399623
72,23.9441735497,23.5296116274
73,23.9488975926,23.5303891973
74,23.9539534969,23.5296346666
75,23.9588897127,23.529606283
76,23.9649338166,23.5296051708
77,23.9706074108,23.5296029431
78,23.9755281964,23.5296013935
79,23.9804670622,23.7457725802
80,23.9893895192,23.7496067412
81,23.99901873,23.7495203716
82,23.9987574877,23.7496624632
83,23.9995182596,23.7496331317
84,24.0011362636,23.749628571
85,24.0033583651,23.7496259889
86,24.0053236033,23.7496233636
87,24.0073087958,23.749620863
88,24.0098476562,23.7496184344
89,24.012669766,23.7496160696
90,24.0131786384,23.7496137631
91,24.0135969831,23.3159509555
92,24.0227670559,23.2698103635
93,24.0211148459,23.2697225165
94,24.0320386454,23.2702421406
95,24.0414568453,23.2695388219
96,24.0498407928,23.270281042
97,24.0579151064,23.2695540882
98,24.0664786783,23.2695258858
99,24.0747511515,23.2695288665
100,24.0830236744,23.269530838
101,24.0916704724,23.2695333015
102,24.1002510215,23.2695356156
103,24.107224082,23.32742777
104,24.1143132636,23.3295157012
105,24.1231849427,23.3295371294
106,24.1296717797,23.3295776429
107,24.1353272422,23.3295773519
108,24.1424648512,23.3295818834
109,24.1476243426,23.3295869082
110,24.1531406807,23.32959185
111,24.1582581805,23.3295967173
112,24.1642356315,23.3296015056
113,24.1696006685,23.3296062182
114,24.1752152067,23.329610852
115,24.1804895878,23.2616373902
116,24.1781955804,23.2601579361
117,24.1739438594,23.2598178658
118,24.1730788629,23.2597773425
119,24.1726515663,23.2597882754
120,24.1719105278,23.2597919786
121,24.1699027418,23.2597951751
122,24.1678304818,23.2597981561
123,24.1669307862,23.2598009542
124,24.1645323686,23.2598035988
125,24.1639214593,23.259806121
126,24.1625774882,23.2598085359
127,24.1614127135,23.5051985585
128,24.1729441127,23.5097247913
129,24.172996644,23.5098922049
130,24.1692122079,23.5099688981
131,24.1672305816,23.5102770223
132,24.1646061502,23.5103181615
133,24.1607728242,23.5103428159
134,24.1584793097,23.5101189429
135,24.1561607133,23.5105018504
136,24.1543396141,23.5104654883
137,24.151404737,23.5103895089
138,24.1488157223,23.5101861594
139,24.1456418361,23.5397240729
140,24.1459068077,23.5402085061
141,24.1435898244,23.5402385212
142,24.1418392532,23.5402874751
143,24.1401759621,23.5398838228
144,24.1390756104,23.540162532
145,24.1362398252,23.5398467576
146,24.135378309,23.5404768929
147,24.1339035452,23.5401670072
148,24.1309965283,23.5401350627
149,24.1295447034,23.5403589172
150,24.1283105319,23.540145387
151,24.1271814397,23.7754505159
152,24.1412904257,23.780194936
153,24.1405918257,23.7803016173
154,24.1393096982,23.7803587863
155,24.1354438634,23.7799649137
156,24.1332972887,23.7797807049
157,24.1310068991,23.7801689876
158,24.127966724,23.7803590133
159,24.1255864173,23.7799233555
160,24.1237595591,23.780363726
161,24.1217047855,23.7801395707
162,24.121615172,23.7805613912
163,24.1206160677,23.38816856
164,24.1274612339,23.3803942397
165,24.1261153519,23.3800505629
166,24.1251592524,23.3803593596
167,24.1231084021,23.379769914
168,24.1218938925,23.3801726484
169,24.1204264419,23.3798298543
170,24.1185378683,23.3800785862
171,24.1170014752,23.3799191944
172,24.1164337124,23.3801369333
173,24.1159846332,23.380308576
174,24.1135667156,23.380123913
175,24.1140410847,23.4791961384
176,24.092909436,23.6148669218
177,24.0800430069,23.7341290603
178,24.0677277062,23.8153204376
179,24.0568608444,23.8626862298
180,24.0459090052,23.8883554445
181,24.0343595652,23.9024571258
182,24.0232729421,23.9107799691
183,24.0121701493,23.9159558414
184,24.00202186,23.9190839541
185,23.9913773704,23.9207208518
186,23.9809214193,23.921261932
187,23.9709734539,23.9176295265
188,23.9800328771,23.9117721353
189,23.9702046429,23.906009682
190,23.9608603067,23.9012320847
191,23.9499643346,23.8973719221
192,23.9405896173,23.8940755078
193,23.930608891,23.8910553725
194,23.9207525958,23.8881626209
195,23.9121978968,23.8853404968
196,23.9030495987,23.8825705365
197,23.8942529221,23.8798435869
198,23.8859190999,23.8771511358
199,23.8788757982,23.8684467672
200,23.8515189515,23.8577408421
201,23.8440368853,23.8484693572
202,23.837593622,23.841528459
203,23.8316191089,23.8363950254
204,23.8246728532,23.832305207
205,23.8184768847,23.8287219073
206,23.8116570001,23.8253763619
207,23.8050117827,23.8221639781
208,23.7971682706,23.8190468972
209,23.7890742254,23.8160047595
210,23.7834492749,23.8130203517
211,23.7775244313,23.8119142619
212,23.7784879073,23.8096317859
213,23.7714123144,23.8063045185
214,23.7641819521,23.8027111686
215,23.7577636599,23.799301977
216,23.7504527428,23.7961745892
217,23.7445851377,23.7932566011
218,23.7378442093,23.7904847035
219,23.7323190748,23.7877982643
220,23.7259361284,23.7851534506
221,23.7210916351,23.7825314458
222,23.7158473768,23.7799279448
223,23.7089014101,23.7789464834
224,23.7078094602,23.7769002125
225,23.7002236961,23.7739091466
226,23.6935259861,23.770692709
227,23.6867415448,23.7676459084
228,23.6812316389,23.7648481783
229,23.6747704819,23.7622356912
230,23.6681185899,23.7597296581
231,23.6611222671,23.7572824681
232,23.6563055299,23.75487436
233,23.6509505153,23.7524988253
234,23.6449249728,23.7501531326
235,23.6402796238,23.7478579776
236,23.6493440524,23.7455755365
237,23.6437826449,23.7432997411
238,23.6374003197,23.7410417984
239,23.6329727853,23.7388087746
240,23.6279649453,23.7366035854
241,23.6225648553,23.734426351
242,23.6179646212,23.7322759445
243,23.6125173084,23.730150612
244,23.6086175763,23.728048576
245,23.6031198084,23.7259680315
246,23.5982895967,23.7239281049
247,23.593644389,23.721902242
248,23.5871801352,23.7198785829
249,23.5827003025,23.7178632072
250,23.5766381604,23.7158622961
251,23.5719169684,23.7138778049
252,23.567377656,23.7119090883
253,23.5629602536,23.7099547109
254,23.5586204015,23.7080136012
255,23.5531949401,23.7060850412
256,23.5484299707,23.704168693
257,23.5436684227,23.7022642759
258,23.540746006,23.7003664648
259,23.5372099733,23.7021439841
260,23.5139031749,23.7057580704
261,23.5088994177,23.7088992816
262,23.5054159049,23.7107053105
263,23.5015250554,23.7113255743
264,23.4979705463,23.7111920157
265,23.4948462752,23.7106462036
266,23.4911519836,23.709872706
267,23.4878786266,23.7089522895
268,23.4850038745,23.7079337653
269,23.4833254183,23.7068225483
270,23.4819888607,23.7056442033
271,23.4785372431,23.4140016918
272,23.4879139589,23.4104205281
273,23.4986846236,23.40979457
274,23.5082158728,23.4098036399
275,23.5179739616,23.4098554526
276,23.5273771038,23.4100435078
277,23.5362885232,23.4105097837
278,23.5445186654,23.4104902165
279,23.5528924185,23.410463674
280,23.5619612886,23.4100324052
281,23.571064451,23.4097827796
282,23.5797062155,23.4100637396
283,23.5879418976,23.4590731828
284,23.598777137,23.4600926926
285,23.6068651893,23.4599761202
286,23.612664544,23.4602471462
287,23.6195821149,23.46014458
288,23.6247563345,23.4598745681
289,23.6308503417,23.4600701931
290,23.6376152861,23.4600829929
291,23.643476657,23.4598988825
292,23.6506302534,23.4600441783
293,23.6572207038,23.4598883709
294,23.6625305456,23.4603104718
295,23.66796974,23.675555398
296,23.6814621419,23.679801574
297,23.6913117156,23.6799162643
298,23.6938636996,23.67994241
299,23.6969904949,23.6799313665
300,23.7007146972,23.679925757
301,23.7037653154,23.679920559
302,23.7064369705,23.6799155238
303,23.7103149716,23.6799105476
304,23.712883734,23.6799055949
305,23.7161404465,23.6799006286
306,23.720006026,23.6798955543
307,23.722874329,23.2901753548
308,23.7363001152,23.279853978
309,23.7362752776,23.2799249252
310,23.7474022394,23.279850997
311,23.7559322434,23.2798616123
312,23.7644604231,23.2798581961
313,23.7724896243,23.2798537991
314,23.7816806354,23.279849529
315,23.7892559224,23.279845347
316,23.7960668199,23.2798412469
317,23.8030641714,23.2798372255
318,23.8115779975,23.2798332828
319,23.8187165502,23.38706184
320,23.8262238498,23.3897692178
321,23.8353507448,23.3898083333
322,23.8393340806,23.38983814
323,23.8437843141,23.3898303311
324,23.8489636983,23.3898276259
325,23.8549529029,23.3898253804
326,23.859641863,23.3898232054
327,23.8643954491,23.3898211029
328,23.869925613,23.3898190647
329,23.874732969,23.3898170886
330,23.8789483308,23.389815173
331,23.8836825893,23.4383571117
332,23.8885920374,23.439791071
333,23.893779588,23.4398137867
334,23.8971594591,23.4398312899
335,23.900647049,23.4398312132
336,23.9041609099,23.4398334566
337,23.9079855677,23.4398359448
338,23.910886056,23.4398384934
339,23.9143325746,23.4398411028
340,23.9178729523,23.4398437676
341,23.9214488404,23.4398464882
342,23.9250897238,23.4398207828
343,23.9289374005,23.5478946992
344,23.9320643129,23.5497560668
345,23.9347323909,23.549860591
346,23.9331756386,23.5498427162
347,23.9319951896,23.5498381989
348,23.9305364228,23.5498337344
349,23.9302221668,23.5498294467
350,23.9295850022,23.5498253642
351,23.9283592537,23.5498214924
352,23.9262834802,23.5498178201
353,23.9252030446,23.5498143328
354,23.9246577437,23.549811024
355,23.9235854923,23.8878078143
356,23.9531403329,23.9596337702
357,23.9565312056,23.9598140616
358,23.9530419743,23.95980106
359,23.9500030058,23.9597751544
360,23.9458290795,23.9597575914
361,23.9429909589,23.9597410434
362,23.9394747587,23.9597256585
363,23.9354848584,23.9597111709
364,23.9318934109,23.9596973728
365,23.9282915568,23.9596841434
366,23.9247776159,23.9596714014
367,23.9218064659,24.2442175734
368,23.9331985487,24.2493653617
369,23.9356318183,24.2500113124
370,23.9285738609,24.250123707
371,23.9208325273,24.2501146304
372,23.9141475643,24.2496917134
373,23.9073720511,24.249672318
374,23.9011253362,24.2496610036
375,23.8952031611,24.250062888
376,23.8889677436,24.2500614952
377,23.8842090824,24.2496404819
378,23.8792054726,24.2496231851
379,23.8743838219,23.8013965677
380,23.8785902005,23.7905611451
381,23.8730890603,23.7894719674
382,23.877367792,23.7895354448
383,23.8781829261,23.7895371625
384,23.8780944605,23.7895358863
385,23.8783930658,23.7895339272
386,23.8798165708,23.7903342833
387,23.8805043529,23.7895532921
388,23.881844136,23.7895308441
389,23.8830011883,23.7895280151
390,23.8843083707,23.7895269585
391,23.8838844388,24.1388612981
392,23.9104930448,24.2394686676
393,23.9100844108,24.2396609339
394,23.9053613027,24.2396802638
395,23.8988374369,24.2396499795
396,23.8933567268,24.2396384179
397,23.887383818,24.2396276773
398,23.8828668315,24.2400347555
399,23.8784770656,24.2400352412
400,23.8739675722,24.2396101154
401,23.8692408316,24.2400110412
402,23.8655431698,24.239593883
403,23.8603289504,24.3583146267
404,23.8661226275,24.360542327
405,23.8626855489,24.3602858606
406,23.8609711122,24.3603313192
407,23.8585330171,24.3601727881
408,23.8544603875,24.3607158668
409,23.8505988847,24.3604022157
410,23.8492086994,24.3606481502
411,23.8472119958,24.3602979446
412,23.8446475908,24.3608032569
413,23.8430214885,24.3601967466
414,23.8399580751,24.3602865404
415,23.8368837786,24.2325439753
416,23.8282780026,24.2304170307
417,23.8273415268,24.2308817556
418,23.8271862459,24.2302463786
419,23.827524311,24.2302613451
420,23.8266634453,24.2305713537
421,23.8256914713,24.2307573542
422,23.8257726508,24.2301797412
423,23.8253199695,24.2299801994
424,23.8250778189,24.2308063644
425,23.8245068539,24.2302881162
426,23.824404619,24.2303790323
427,23.8245811019,24.1417952676
428,23.8176832599,24.1405652186
429,23.8175103085,24.1401279368
430,23.817488665,24.140276514
431,23.8176347482,24.1401273702
432,23.8172824322,24.1406161683
433,23.818318097,24.140363334
434,23.8181843513,24.1399547013
435,23.8184333012,24.1405777426
436,23.8183787197,24.140046027
437,23.8179714199,24.139822126
438,23.818661032,24.1403081183
439,23.8182437143,24.248295727
440,23.8710022874,24.4492063231
441,23.8687520166,24.4501890513
442,23.8662287092,24.4503260352
443,23.863420695,24.4501271842
444,23.8610725766,24.450111339
445,23.8584824884,24.4501169751
446,23.8559815905,24.4500475378
447,23.8532487666,24.4502083427
448,23.8512721621,24.449988213
449,23.8492194265,24.4502055356
450,23.8473555716,24.4502481982
451,23.8450710983,24.4303268607
452,23.8424010299,24.43015223
453,23.8404667674,24.4301038468
454,23.8381354853,24.4302447428
455,23.8362195535,24.4301857784
456,23.8345633483,24.4301793035
457,23.832514957,24.4299234035
458,23.8304324389,24.4300721734
459,23.8284288673,24.4301031864
460,23.8265417363,24.4300474547
461,23.8242391736,24.4299994289
462,23.8222009528,24.4301418692
463,23.8205176127,24.369605877
464,23.7967079394,24.288214879
465,23.783285792,24.2212745685
466,23.773496099,24.1777578785
467,23.7623450924,24.1520871085
468,23.7510334393,24.1364201053
469,23.7416352711,24.12551844
470,23.7307263841,24.1169206253
471,23.7210556852,24.1097167473
472,23.7107906865,24.1035765174
473,23.7022974503,24.0982936156
474,23.6925196652,24.0936659571
475,23.6838751184,24.0861387418
476,23.6690624758,24.0772663128
477,23.6608298459,24.0691093843
478,23.6523916194,24.0624097811
479,23.6429016191,24.0569818325
480,23.6352789957,24.0523890691
481,23.6267992539,24.0482877319
482,23.6198066164,24.0444879637
483,23.6125645824,24.0409013626
484,23.6067515607,24.0374855429
485,23.6003641366,24.0342126574
486,23.5924383587,24.0310599307
487,23.5859427163,24.0219931651
488,23.5777974004,24.0109970418
489,23.5710809672,24.001483258
490,23.5653547239,23.9943422049
491,23.5592495931,23.9890534949
492,23.5526100983,23.9848457875
493,23.5458095089,23.9811859157
494,23.539365022,23.9778408392
495,23.5337892272,23.9746703688
496,23.5281944714,23.9716452716
497,23.5216832276,23.9687443104
498,23.5153095305,23.9659052113
499,23.5105225804,23.9631347478
500,23.5012874642,23.9604050954
501,23.4950770512,23.9577308145
502,23.4896002381,23.9551120913
503,23.4855376034,23.9525308219
504,23.4800995689,23.9499728855
505,23.4742298181,23.9474318977
506,23.4691478921,23.94490641
507,23.4653712468,23.9423963983
508,23.4607684022,23.9399019784
509,23.4554421686,23.9374228207
510,23.4494633451,23.9349585343
511,23.4458462854,23.9325085805
512,23.4361705884,23.9300390673
513,23.4323923388,23.927563994
514,23.4281626199,23.9251049929
515,23.423820493,23.922692278
516,23.4201561403,23.9203183872
517,23.4159222384,23.9179600335
518,23.4114980927,23.9156035767
519,23.4084490694,23.9132460187
520,23.4053402745,23.9108894297
521,23.4024183136,23.9085364683
522,23.3988747463,23.9061890147
523,23.3959268689,23.903822258
524,23.3854411282,23.9014355777
525,23.3813533974,23.8990559549
526,23.3791447888,23.8966960708
527,23.3764568442,23.8943532744
528,23.3740323947,23.8920148241
529,23.3702406707,23.8896844362
530,23.36628748,23.887363669
531,23.3641703631,23.8850497911
532,23.3616601125,23.8827408365
533,23.3594447996,23.8804362437
534,23.3567729872,23.8781363896
535,23.3552001307,23.8758419475
536,23.3530056951,23.873577313
537,23.3497266786,23.871338577
538,23.3477944203,23.8691083538
539,23.3449504029,23.8668769238
540,23.3421397925,23.8646431066
541,23.3404146444,23.8623777663
542,23.3372390167,23.860120432
543,23.3346969729,23.8578906572
544,23.3320071556,23.8556793591
545,23.3293610015,23.8534758573
546,23.3281679856,23.8512756052
547,23.3265156907,23.8527135468
548,23.3345617168,23.8559736604
549,23.3319541753,23.8587771557
550,23.3286807939,23.8602707222
551,23.325483748,23.8606105657
552,23.3234175419,23.8602236836
553,23.3208605824,23.859443255
554,23.3182399959,23.8584493842
555,23.3157669252,23.8573215817
556,23.3125719826,23.8560949985
557,23.3106282063,23.8547909109
558,23.3092609071,23.8534266088
559,23.306851566,24.1146893005
560,23.3229539327,24.1200563826
561,23.3332876223,24.1199723231
562,23.3428933697,24.1198274258
563,23.3506806534,24.1198458292
564,23.3599655776,24.1201587677
565,23.3678268539,24.1206753778
566,23.3766381251,24.1202903918
567,23.3860948767,24.120508586
568,23.3942602321,24.120205022
569,23.402369367,24.1205690989
570,23.4103155095,24.1203139379
571,23.4177241413,23.8272569145
572,23.4086355851,23.8204089073
573,23.4141986386,23.8199278482
574,23.4207699642,23.820332954
575,23.42846146,23.8200415701
576,23.4361754937,23.8199293488
577,23.4434052367,23.8199496837
578,23.4492882603,23.8199223689
579,23.4554846115,23.8204785694
580,23.4619457505,23.8197308755
581,23.4693009992,23.820413569
582,23.4754582877,23.8203984692
583,23.4813306728,23.8004254384
584,23.4855446284,23.7998842274
585,23.4906688004,23.7998425673
586,23.4963893045,23.799822272
587,23.5021685875,23.7998009729
588,23.5084407976,23.7997803742
589,23.5129292568,23.7997601389
590,23.517254784,23.7997469293
591,23.5215999932,23.7997331562
592,23.526167673,23.7997198173
593,23.531039939,23.7997070786
594,23.5352555161,23.799694992
595,23.5411328097,23.8191717364
596,23.5461540069,23.8196467672
597,23.5507865328,23.819666007
598,23.5553175964,23.8196535725
599,23.5607512693,23.8196442727
600,23.5648634171,23.8196355524
601,23.5684356469,23.8196273522
602,23.5730557117,23.8196196144
603,23.5769012944,23.8196123259
604,23.5814197577,23.8196054649
605,23.5850345837,23.8195990076
606,23.5891064413,23.819592937
607,23.5927399216,24.0160824394
608,23.6040896302,24.0193514059
609,23.6127528673,24.0200707825
610,23.6132786527,24.0196147859
611,23.6153177958,24.0195965416
612,23.6169295851,24.0200110165
613,23.6186249678,24.0195904085
614,23.6207860769,24.0195735716
615,23.6217345668,24.0195658736
616,23.6240849349,24.0195592837
617,23.6250662307,24.0195528264
618,23.6265094088,24.0203894065
619,23.627480343,24.1278866176
620,23.6321293123,24.1294349308
621,23.636788551,24.1295917466
622,23.6363004696,24.1295627341
623,23.6373500134,24.1295559855
