,Unnamed: 0,tout,s,i,t1,t2,m,tret
7000,7000,-1.99166666667,42.1666666667,0.0,23.353875178,23.7252699084,32.6582912186,23.3818701443
7001,7001,-1.95,46.0,0.0,23.3308846264,23.7216131064,32.6582912186,23.353875178
7002,7002,-1.90833333333,59.1666666667,0.0,23.3117916718,23.7192306476,32.6582912186,23.3308846264
7003,7003,-1.86666666667,72.3333333333,0.0,23.2951804708,23.7172261025,32.6582912186,23.3117916718
7004,7004,-1.825,85.5,0.0,23.2800911625,23.7170080579,32.6582912186,23.2951804708
7005,7005,-1.78333333333,98.6666666667,0.0,23.26610512,23.7157295047,32.6582912186,23.2800911625
7006,7006,-1.74166666667,111.833333333,0.0,23.2528609684,23.7153356011,32.6582912186,23.26610512
7007,7007,-1.7,125.0,0.0,23.2402235955,23.7155036782,32.6582912186,23.2528609684
7008,7008,-1.60833333333,138.166666667,0.0,23.2304366924,23.8719942575,32.6582912186,23.2402235955
7009,7009,-1.51666666667,151.333333333,0.0,23.2423626269,23.949533429,32.6582912186,23.2343302484
7010,7010,-1.425,164.5,0.0,23.2686555706,24.0492922429,33.8588915316,23.2465014494
7011,7011,-1.33333333333,177.666666667,0.0,23.3304273552,24.1242424586,47.3840206797,23.2686555706
7012,7012,-1.24166666667,190.833333333,0.0,23.3763327636,24.0896015239,39.8428659116,23.3304273552
7013,7013,-1.15,204.0,0.0,23.4057830358,24.1026415363,42.3509904518,23.3763327636
7014,7014,-1.05833333333,219.166666667,0.0,23.4242016654,24.1032450719,42.5826569733,23.4057830358
7015,7015,-0.966666666667,234.333333333,0.0,23.436799143,24.1049983224,42.8389393632,23.4242016654
7016,7016,-0.875,249.5,0.0,23.4467429841,24.106258371,43.0844348578,23.436799143
7017,7017,-0.783333333333,264.666666667,0.0,23.4553368342,24.107176196,43.3045972239,23.4467429841
7018,7018,-0.691666666667,279.833333333,0.0,23.463020048,24.1079917258,43.5121703746,23.4553368342
7019,7019,-0.6,295.0,0.0,23.4700083056,24.1091589614,43.7137769874,23.463020048
7020,7020,-0.55,310.166666667,0.0,23.4591879984,24.1668545892,36.8475797016,23.4700083056
7021,7021,-0.5,325.333333333,0.0,23.4707273959,24.2186744232,46.0440576522,23.4591879984
7022,7022,-0.45,340.5,0.0,23.481885497,24.1991113701,41.6154763757,23.4707273959
7023,7023,-0.4,355.666666667,0.0,23.4885360058,24.2047162688,42.8299199162,23.481885497
7024,7024,-0.35,370.833333333,0.0,23.4903817864,24.205572295,42.994161503,23.4885360058
7025,7025,-0.3,386.0,0.0,23.4889907829,24.2062101267,43.1518049294,23.4903817864
7026,7026,-0.25,389.5,0.0,23.4858734921,24.2072415806,43.2943755509,23.4889907829
7027,7027,-0.2,393.0,0.0,23.482015215,24.207755807,43.4385444258,23.4858734921
7028,7028,-0.15,396.5,0.0,23.4777888652,24.2081051777,43.5690379861,23.482015215
7029,7029,-0.1,400.0,0.0,23.4733189124,24.2096270734,43.6926241747,23.4777888652
7030,7030,-0.05,403.5,0.0,23.4688346417,24.2135596185,43.821250654,23.4733189124
7031,7031,0.0,407.0,0.0,23.4646808701,24.2190977146,43.9355897709,23.4688346417
7032,7032,0.0916666666667,410.5,0.0,23.5199469311,23.9474059962,61.0159976033,23.4929605233
7033,7033,0.183333333333,414.0,0.0,23.4902630361,23.8840912183,36.7863592225,23.5186536857
7034,7034,0.275,417.5,0.0,23.4499724895,23.9451283247,56.3211685582,23.4902630361
7035,7035,0.366666666667,421.0,0.0,23.4195554181,23.9325375447,50.7668828564,23.4499724895
7036,7036,0.458333333333,424.5,0.0,23.404813438,23.9341954403,51.4038117498,23.4195554181
7037,7037,0.55,428.0,0.0,23.4010524831,23.9346254048,51.6321541374,23.404813438
7038,7038,0.641666666667,408.5,0.0,23.4020301639,23.9346053901,51.5543954737,23.4010524831
7039,7039,0.733333333333,389.0,0.0,23.404255911,23.9342402733,51.4077453146,23.4020301639
7040,7040,0.825,369.5,0.0,23.4061966313,23.9332258658,50.9684911335,23.404255911
7041,7041,0.916666666667,350.0,0.0,23.4079772283,23.9326802926,50.7218305598,23.4061966313
7042,7042,1.00833333333,330.5,0.0,23.4102857873,23.9309501214,50.6987184441,23.4079772283
7043,7043,1.1,311.0,0.0,23.4132282539,23.9263351584,50.7554992915,23.4102857873
7044,7044,1.1,291.5,0.0,23.4214089148,23.8993049487,53.1115724241,23.4132282539
7045,7045,1.1,272.0,0.0,23.4248245558,23.8803008157,50.4971173814,23.4214089148
7046,7046,1.1,252.5,0.0,23.4278337006,23.8707286607,51.9178212393,23.4248245558
7047,7047,1.1,233.0,0.0,23.431280909,23.8606082984,51.6549012892,23.4278337006
7048,7048,1.1,213.5,0.0,23.4358151291,23.8600446695,51.6977513776,23.431280909
7049,7049,1.1,194.0,0.0,23.4423706136,23.8602753985,51.7302052862,23.4358151291
