,b0,b1,b2,b3,b4,b5
0,27.1599617748,36.3897573707,40.5238531325,41.3849046346,39.1682964039,-0.18301495732
1,27.1599658372,36.3897515387,40.5238611512,41.3849025141,39.1682481803,-0.183060731525
2,27.1599853662,36.3895196287,40.5238432228,41.3848179792,39.1681644099,-0.183161693347
3,27.1598584561,36.389495272,40.5238252758,41.3847781327,39.1680812485,-0.183261915947
4,27.1598779851,36.3892622821,40.523825019,41.3847159473,39.1680037642,-0.183355247353
5,27.159751075,36.3890287397,40.5238971139,41.384653744,39.1679267572,-0.183447999509
6,27.1596241648,36.3890027029,40.5238090492,41.3845387474,39.1678519812,-0.183538043352
7,27.1596436939,36.3889860531,40.5237545262,41.3844765528,39.1677808083,-0.183623713648
8,27.2872882654,36.5610820465,40.7140878766,41.5776442548,39.3585869589,-0.180209444672
9,27.2873050464,36.5607473198,40.7151381106,41.5784197285,39.36210708,-0.175914548066
10,27.2873218274,36.5608788589,40.7145796574,41.5779364979,39.3603897821,-0.177977130861
11,27.2873386084,36.5607990208,40.714739566,41.5780519734,39.3608425616,-0.177405549452
12,27.2873553894,36.5607124251,40.7144480459,41.5780042823,39.3608562945,-0.177366907851
13,27.2873721704,36.5606479337,40.7144802113,41.5777994233,39.3608708646,-0.177327250032
14,27.2873922657,36.5605967393,40.7145114522,41.5777183199,39.3608702782,-0.177308569849
15,27.287412361,36.5605508176,40.7145287002,41.5776905652,39.3608595657,-0.177302181308
16,27.2874324563,36.5604897874,40.7145766629,41.5776631895,39.3608442324,-0.177301401761
17,27.2874525516,36.5604338924,40.714595326,41.5776361872,39.3608259529,-0.177304198436
18,27.2874726469,36.5603762911,40.7146145236,41.5775550848,39.3608000242,-0.177316280169
19,27.2874927422,36.5603168921,40.7146500165,41.5775558362,39.3607739179,-0.177328577472
20,27.4458000364,36.7742055331,40.9518961509,41.819962877,39.5873887166,-0.181669840219
21,27.4458224218,36.773721766,40.9531864515,41.8210108128,39.5916178199,-0.176534627
22,27.4458448071,36.7738943225,40.9525495478,41.8201693605,39.5893982045,-0.179227238374
23,27.4458671925,36.7737851802,40.9523555489,41.8202623053,39.5898872692,-0.178631898554
24,27.4458895778,36.773745216,40.9523630921,41.8202155006,39.5898455275,-0.178680881982
25,27.4458816162,36.773695703,40.9523572095,41.820143734,39.5898234715,-0.178581796124
26,27.445859814,36.7736822068,40.9523915074,41.8201454147,39.5898377455,-0.17844603821
27,27.4458405463,36.773693215,40.9524111958,41.8201741589,39.5898507905,-0.178322142442
28,27.4458221144,36.773704197,40.9524311346,41.8201491967,39.5898638387,-0.178201662497
29,27.4458044789,36.7737313593,40.9524513039,41.8201512219,39.5898712757,-0.178091252849
30,27.4457875145,36.7737422503,40.9524717283,41.8201533571,39.5898793556,-0.177982808378
31,27.445771185,36.7737691425,40.9524923966,41.8201828627,39.5898868032,-0.177877729781
32,27.0838478454,36.283911648,40.4106289487,41.2639767832,39.0663417847,-0.173943257008
33,27.0839352603,36.2857131586,40.4073895374,41.2637678808,39.0629268398,-0.178609065675
34,27.0837501152,36.2852799391,40.4088878579,41.2649342419,39.0674262299,-0.172352315613
35,27.0837930684,36.2854488254,40.4085238348,41.264547171,39.0660026685,-0.174218513258
36,27.0837736992,36.2854675268,40.4085577441,41.2646080004,39.0660388581,-0.174057771145
37,27.0837587482,36.2854953283,40.4085702798,41.2645738846,39.0660046434,-0.17400056846
38,27.0837360729,36.2855324491,40.4085937821,41.2646941854,39.0660732426,-0.173913247029
39,27.0837217908,36.2855846458,40.4086273617,41.2647530939,39.0661539224,-0.173845604346
40,27.0837353615,36.2856587316,40.4086411755,41.2648428001,39.0662278754,-0.173900094744
41,27.0837324218,36.2857067561,40.4086552238,41.2649018656,39.0663119253,-0.173874772053
42,27.0837273473,36.2857381504,40.4086891724,41.2649918961,39.0663954865,-0.173841307496
43,27.083723721,36.2857760104,40.4086932069,41.2650508201,39.0664752367,-0.173818394382
44,27.5818897922,36.9581462731,41.1590417784,42.0272491548,39.797786116,-0.1751561408
45,27.5812034795,36.9569139943,41.1584076829,42.030308102,39.7916560204,-0.17199954971
46,27.5812865672,36.9575724035,41.1564507813,42.0288274445,39.7852065189,-0.18027537224
47,27.5812542528,36.9573516359,41.1570461624,42.0294981034,39.7873079748,-0.177699351933
48,27.5812219384,36.9573823332,41.1570938727,42.0295439509,39.7873293649,-0.177648234661
49,27.581189624,36.9573740727,41.1571454204,42.0296791283,39.7874505014,-0.177476039436
50,27.5811836859,36.9573824594,41.1571828128,42.0296935814,39.78749418,-0.177418397776
51,27.5811777478,36.9573666075,41.1572118522,42.0297362948,39.7875380796,-0.177360487942
52,27.5811718097,36.9573810321,41.1572410484,42.029750752,39.7875788832,-0.177306336089
53,27.5811658715,36.9573712623,41.1573857065,42.0297935548,39.7876153794,-0.17725741285
54,27.5811599334,36.957373566,41.1574069372,42.0298080222,39.7876531665,-0.177206922619
55,27.5811539953,36.9573698317,41.1574464223,42.0298509355,39.7876906894,-0.177156752979
56,27.331335782,36.6198957061,40.7834490491,41.648011642,39.4279494882,-0.172475962107
57,27.3313298439,36.6205801351,40.7814075207,41.6463734315,39.4217339338,-0.180016136331
58,27.3313239058,36.6202324263,40.7823121114,41.6472133648,39.4247855756,-0.176307256544
59,27.3313179677,36.6203284256,40.7820611429,41.6470182929,39.4240976924,-0.177137626428
60,27.3313120295,36.6203358664,40.7820482097,41.647005954,39.4240870304,-0.177145946532
61,27.3313060914,36.6203438769,40.7820172573,41.6469922226,39.4240941761,-0.177132650582
62,27.331308301,36.6203569875,40.7820160618,41.6469868358,39.4240770312,-0.177155181959
63,27.3313105105,36.6203583726,40.7819978842,41.646981464,39.42406428,-0.177172379926
64,27.33131272,36.6203597568,40.7820136931,41.6469760944,39.4240568317,-0.17718314092
65,27.3313149296,36.62037282,40.7819870336,41.6469707051,39.4240461726,-0.177197799392
66,27.3313171391,36.6203742064,40.7819943164,41.6469653302,39.424038463,-0.177208877533
67,27.3313193486,36.6203755912,40.7819931319,41.646959959,39.4240353166,-0.17721441675
68,27.3097855273,36.5911521287,40.7492621137,41.6132059433,39.3952669677,-0.174458824106
69,27.3097849888,36.5912236848,40.7490650748,41.6129727653,39.3945808976,-0.175272086777
70,27.3097844503,36.5911737505,40.7491736225,41.6131088297,39.394892711,-0.174874061329
71,27.3097839118,36.5911995578,40.7491646032,41.6130616103,39.3948255196,-0.174936093637
72,27.3097833732,36.5911751446,40.7491561683,41.6130758206,39.3948276592,-0.174913968033
73,27.3097828347,36.5911881909,40.7491770694,41.6130900101,39.3948325449,-0.174888508999
74,27.3097712485,36.5911755673,40.7491646863,41.6131007336,39.3948639473,-0.174822263245
75,27.3097596623,36.5911754136,40.7491621357,41.6131114615,39.3948939099,-0.174757765273
76,27.3097480761,36.5911752416,40.7491497846,41.6130918221,39.3949277766,-0.17468852825
77,27.30973649,36.5911750622,40.7491374468,41.6131025471,39.394958716,-0.174622844524
78,27.3097249038,36.5911686737,40.7491153895,41.6130981259,39.3949868346,-0.174560584923
79,27.3097133176,36.5911746573,40.7491128464,41.6130937468,39.3950189401,-0.174493485752
80,27.5584379076,36.9273165201,41.1219635398,41.994017855,39.7512288867,-0.181188666586
81,27.5584290695,36.9266298639,41.1243071055,41.9957798749,39.757837499,-0.173159874692
82,27.5584202313,36.9269707548,41.1232700584,41.9948782717,39.7544160962,-0.177306090234
83,27.5584113932,36.927492775,41.1235142581,41.9951049882,39.755282717,-0.176247256852
84,27.5584025551,36.9274880101,41.1235089225,41.9950964517,39.755313053,-0.176203553818
85,27.558393717,36.9274824274,41.123496089,41.9951180383,39.7553661716,-0.176132196032
86,27.5583910931,36.9274866497,41.1235151393,41.9950963623,39.7553952962,-0.17609480067
87,27.5583884693,36.9274791328,41.1235165576,41.9951308075,39.7554254115,-0.176056202696
88,27.5583858455,36.927477485,41.1235179705,41.9951091422,39.7554529611,-0.176020719036
89,27.5583832217,36.9274817028,41.1235193834,41.9951435792,39.7554778243,-0.175988496391
90,27.5583805979,36.9274741842,41.1235385241,41.9951219261,39.7555053654,-0.17595302302
91,27.558377974,36.9274725378,41.123522215,41.9951563596,39.7555285788,-0.175922802943
92,27.0155841195,36.1954626084,40.3110147144,41.1605032995,38.9693337308,-0.171352242125
93,27.0156770304,36.1954881488,40.3055963209,41.160441215,38.9657101906,-0.176595348127
