,t41,t42,t43,t44,t45,t5
0,23.400961663,23.3993404627,23.4011346634,23.4002628864,23.399958946,23.4203722207
1,23.4000309833,23.3997581136,23.4005278501,23.3983758797,23.3999598,23.3980972103
2,23.3997035382,23.3981276741,23.3996437684,23.3994236309,23.3999609636,23.3816019934
3,23.3998411491,23.3980114259,23.3998878691,23.3994047286,23.3999624533,23.367267931
4,23.3993237379,23.3987171682,23.399299303,23.3994190942,23.3999641277,23.353781535
5,23.3996718341,23.3990757499,23.4008748905,23.400642443,23.3999659217,23.3408567403
6,23.400619759,23.3997578151,23.3988268289,23.4000905727,23.3999677833,23.3284769585
7,23.3998994961,23.399177373,23.4011027344,23.3993652649,23.399969685,23.3165997764
8,23.5037025349,23.4994385644,23.5059444594,23.5005893832,23.5042912346,23.3093189564
9,23.5098554635,23.5100464116,23.5101303164,23.509001561,23.509535118,23.3229031577
10,23.5103944136,23.5102442778,23.5099327525,23.5105372199,23.5098811943,23.3398339301
11,23.5097107935,23.5096485217,23.5103724012,23.5086517975,23.5098777235,23.3515619938
12,23.5099178807,23.5100435809,23.5109118107,23.5106915895,23.5098603724,23.3574580253
13,23.5106804823,23.5094334259,23.5105053978,23.5087945703,23.5098472597,23.3601026959
14,23.5101443994,23.5089593589,23.509819387,23.5104802179,23.5098374995,23.3616131993
15,23.510166119,23.510605121,23.5108982918,23.5124133293,23.50982951,23.3629682487
16,23.5093181748,23.5097175267,23.5101238631,23.5118896979,23.5098222614,23.3644454689
17,23.5110984192,23.5085159672,23.5097003191,23.5086593836,23.5098153217,23.36595839
18,23.5110046753,23.5085116985,23.5108297192,23.5116573502,23.5098086371,23.3674380365
19,23.5106086077,23.5094238609,23.5111062056,23.5106715495,23.5098021638,23.3689770639
20,23.6429123805,23.6400512466,23.6451392007,23.6365459705,23.6430801664,23.3644659562
21,23.6491364829,23.650899949,23.6509417585,23.6490931546,23.6493338473,23.3805752602
22,23.6502132978,23.6514696528,23.6508073957,23.6523456941,23.6497558859,23.3974151421
23,23.6494447138,23.6493722185,23.6515227103,23.6520835876,23.6497819765,23.406819255
24,23.6499727825,23.6497653797,23.6508749411,23.6492425171,23.649773988,23.4086504768
25,23.6498605132,23.6508102791,23.6513371165,23.6500951169,23.649768476,23.4062146453
26,23.6498444024,23.6515538036,23.6506935653,23.6522628001,23.649762687,23.4021755009
27,23.6498353919,23.6516257267,23.649887033,23.6493859426,23.6497573435,23.397728974
28,23.6498281079,23.6497153749,23.6496648056,23.6488978031,23.6497522374,23.3931210679
29,23.649821953,23.6509966098,23.6499957266,23.6503642631,23.6497472976,23.3883734572
30,23.6498167957,23.6503904196,23.6505249171,23.6520822873,23.6497424737,23.3835824671
31,23.6498124648,23.650672651,23.6509451925,23.6492227009,23.6497377494,23.3788037478
32,23.3411380974,23.3387216277,23.334245905,23.3398410316,23.3420709056,23.3822525371
33,23.3299307347,23.3288828258,23.3301416846,23.3301251759,23.3298522503,23.3386875876
34,23.3298473409,23.3302229334,23.3310283174,23.330309243,23.3297504025,23.2873160089
35,23.3297783852,23.330465688,23.3311125739,23.3312716439,23.3297004579,23.2540943914
36,23.3297931335,23.3307773013,23.3303362433,23.3287371812,23.3297121277,23.2400443232
37,23.3297981499,23.3316620454,23.3302281352,23.3312897139,23.3297131797,23.2365076891
38,23.3298078372,23.3306164456,23.3310469443,23.3303404879,23.3297124587,23.2365652597
39,23.3298174109,23.330879556,23.33070464,23.3305792518,23.3297113514,23.2372707563
40,23.3298295754,23.3307393574,23.3300457145,23.3289823383,23.3297089409,23.2380374789
41,23.3298371901,23.3311393517,23.3305725865,23.3296087914,23.329707944,23.2389984036
42,23.3298419934,23.3299449636,23.3299171203,23.3292757454,23.3297065145,23.2402981583
43,23.3298458733,23.3307191723,23.3308678782,23.3305534398,23.3297050543,23.241860433
44,23.7627038011,23.76018794,23.7639917051,23.7585249345,23.7790787899,23.2674639084
45,23.769721382,23.7703444862,23.7706281895,23.7719499683,23.7714756975,23.3501305166
46,23.7703411393,23.7723645941,23.7714679183,23.7723531122,23.7697855903,23.4120789868
47,23.770627518,23.7696525074,23.7712336755,23.7688312708,23.7697580114,23.4483713083
48,23.7705415101,23.7685921483,23.7705321505,23.7696357185,23.7697244147,23.4687302558
49,23.7702422987,23.7689228066,23.770822958,23.7691279035,23.7697126149,23.4827269913
50,23.7702851388,23.7722055898,23.7708504784,23.7703571888,23.7697031678,23.4949699187
51,23.7703823224,23.7696953609,23.7706121108,23.7703540768,23.7696965309,23.5067956207
52,23.7710961915,23.7704759001,23.7701133473,23.7716290042,23.7696919144,23.5182188716
53,23.7704476549,23.7701018274,23.7703888279,23.7709817724,23.7696884611,23.529261308
54,23.7702049131,23.7704570924,23.771196387,23.7712564861,23.7696855324,23.539807347
55,23.7701714114,23.770720889,23.7700077035,23.7696100009,23.769682806,23.5499869553
56,23.5625189076,23.5684115934,23.5590167469,23.571464169,23.5667117111,23.5634218025
57,23.5512590774,23.5543142546,23.5514919831,23.5528683796,23.5505030906,23.5410390955
58,23.5496697805,23.5509279489,23.5513669443,23.5524276933,23.5497905316,23.5066673494
59,23.5506427239,23.5493056128,23.5514770288,23.5513185392,23.5497158197,23.4804987382
60,23.5495161176,23.5488497916,23.5504804115,23.550637568,23.5497227803,23.4663468098
61,23.5504035783,23.5487567161,23.5506699665,23.5513969441,23.5497234942,23.4599191438
62,23.5511385085,23.5506733825,23.5503853529,23.5515731124,23.5497228767,23.4566743481
63,23.5505388745,23.5510411551,23.5513140994,23.5510112232,23.5497220447,23.4542876893
64,23.5494222077,23.5487320736,23.5499379163,23.5504155218,23.5497211725,23.4520858918
65,23.5502668667,23.5490800833,23.5506131947,23.5503319461,23.5497203435,23.4499834565
66,23.5512426317,23.5497465967,23.5510891714,23.5509693174,23.5497195962,23.4480795204
67,23.5514554474,23.5489905111,23.5509167074,23.5523150417,23.5497188089,23.4463918825
68,23.5306133836,23.5317282324,23.5313090654,23.5302867461,23.5310902034,23.4473585528
69,23.5301826939,23.5324833037,23.5309810198,23.5308387481,23.5297602421,23.4463312152
70,23.5298250117,23.5288709108,23.5309790632,23.5287048916,23.5296713112,23.4448209723
71,23.5303285165,23.5316722277,23.5300050722,23.5296421284,23.5296552953,23.4440588393
72,23.5294555288,23.5294518202,23.5308913684,23.5311974734,23.5296519425,23.4443312749
73,23.5309992167,23.5308700243,23.5307539415,23.5313222884,23.5296502059,23.4452723874
74,23.5306944779,23.5309557282,23.5310727385,23.5305104614,23.529649278,23.4465419465
75,23.531387173,23.5304297797,23.5307299574,23.5286434132,23.5296485795,23.4479146653
76,23.5313046154,23.5304340647,23.5303590741,23.5299078444,23.529647794,23.4493048543
77,23.5307019963,23.5310739075,23.5302480585,23.5304992641,23.5296468825,23.4507360884
78,23.5298563728,23.5295885212,23.5315132522,23.5303502379,23.5296459932,23.4522134594
79,23.5301960425,23.5298758933,23.5315819671,23.5299491235,23.5296451043,23.4537019684
80,23.7381697634,23.73067041,23.7429457942,23.7319255384,23.7404435789,23.4524559229
81,23.7489991443,23.7501602063,23.7505754434,23.7479098587,23.7490250294,23.4864434255
82,23.7502095425,23.7517635407,23.7511884324,23.7489764483,23.749589997,23.5231529008
83,23.7503064423,23.7520040837,23.7507985537,23.7493593819,23.7496657718,23.5491050738
84,23.7506764431,23.7516255622,23.750341715,23.7506465206,23.7496582033,23.5639051683
85,23.749436164,23.7500250169,23.7512698242,23.7495494083,23.7496581614,23.5721875321
86,23.7509903871,23.7507296319,23.7506956004,23.7512638463,23.7496580825,23.5778632861
87,23.7505519255,23.7503326302,23.7498911307,23.7498079692,23.7496578914,23.582863329
88,23.7512326671,23.7492478373,23.749900903,23.7510035153,23.7496575617,23.5876115964
89,23.7509458658,23.75056812,23.7507788225,23.7492820221,23.7496572088,23.5921245429
90,23.7512760211,23.7504735762,23.7498422232,23.7504924972,23.749656819,23.5963896563
91,23.7505027788,23.7493149921,23.7508464798,23.7489147195,23.7496563891,23.6004614603
92,23.2817877242,23.283892003,23.2798930397,23.2836868731,23.3113582083,23.5954364149
93,23.2708976442,23.2701393867,23.2714375327,23.2711565919,23.2698867463,23.5318426195
94,23.2705829721,23.2689424534,23.2707416215,23.2700313255,23.2696988541,23.4521127325
95,23.2697134711,23.2723098726,23.2707958322,23.2691529756,23.2696019416,23.3984589562
96,23.2702405589,23.2709899621,23.2711704481,23.2687007453,23.2696278601,23.3734200027
97,23.2706442274,23.2697025897,23.271104239,23.271067568,23.2696415874,23.3641422944
98,23.2695842738,23.2706543687,23.2710817513,23.2699070507,23.2696509448,23.3601036542
99,23.2712291222,23.2691911821,23.2713714415,23.271879193,23.2696569944,23.356875816
100,23.2700182517,23.27042313,23.2714274234,23.27219093,23.2696608152,23.3537691072
101,23.2703140465,23.2698407208,23.2705011331,23.2695419163,23.2696635033,23.3510122274
102,23.2696957084,23.2701114447,23.2701761232,23.2720808422,23.2696658469,23.3486535952
103,23.2695830943,23.2702955705,23.2708848208,23.2705074015,23.2696680382,23.3466434877
104,23.3280574814,23.3256666928,23.3285790256,23.3245112474,23.3255596707,23.3450787302
105,23.3302044824,23.3299446509,23.3311106589,23.3280708631,23.3293820024,23.3507103232
106,23.329533224,23.3294952965,23.3304039041,23.3311296656,23.3296584311,23.3573058953
107,23.3301048229,23.3286205826,23.3307418645,23.3305557715,23.3296924502,23.360384106
108,23.3306331319,23.3295200167,23.3304749209,23.3307273794,23.3296940365,23.3599320253
109,23.3302427969,23.3297834252,23.3303801053,23.3297286656,23.329696914,23.3575662477
110,23.3303499606,23.3319375534,23.3297760832,23.3303750922,23.3297003208,23.3545099386
111,23.331421549,23.3321816849,23.3303487792,23.3297531959,23.3297039955,23.3513040943
112,23.3294319934,23.3289021401,23.3297796108,23.3289645191,23.3297076516,23.3480518103
113,23.3299787596,23.3323326939,23.3310454041,23.3292967801,23.329711255,23.3446826937
114,23.3296234947,23.3312537071,23.3299094631,23.3292976783,23.3297148022,23.3413028273
115,23.3306259796,23.3297874627,23.3312334118,23.330449821,23.3297182408,23.3378744644
116,23.2644084993,23.2669033571,23.2640280914,23.2686001952,23.2640412005,23.3378859263
117,23.2599306362,23.2598736384,23.2610719335,23.2622727273,23.2600119511,23.3341500545
118,23.2593018563,23.258647547,23.2612979127,23.2584194829,23.259832952,23.3305620483
119,23.2610567884,23.2606528097,23.2601163638,23.2605094678,23.2598234251,23.3308525929
120,23.2606208516,23.2624334518,23.2612961528,23.2591049111,23.2598318797,23.3350298739
121,23.2591400794,23.2625271057,23.2609430001,23.2620855384,23.2598365409,23.3414700287
122,23.2607758235,23.2614222792,23.2613598084,23.2617794204,23.2598397005,23.34884535
123,23.2601553283,23.2601226573,23.260343153,23.2590059069,23.2598422111,23.3565187451
124,23.2596799048,23.2593487131,23.2611185005,23.2600519799,23.2598444705,23.3642191356
125,23.2591937411,23.2593359919,23.2613537855,23.2589486217,23.2598466033,23.3719848056
126,23.2607903916,23.2600711618,23.2597376843,23.2607965268,23.2598486549,23.3798398409
127,23.2606483318,23.2614586905,23.2606262096,23.2602118936,23.2598506089,23.3878280923
128,23.4974455,23.4919367532,23.5016440312,23.4895689295,23.5042712695,23.3988802206
129,23.507989433,23.506558101,23.5107093027,23.5062654046,23.5096052389,23.4296090617
130,23.5105178597,23.5110177373,23.5097176939,23.5104431113,23.5098728977,23.4586906497
131,23.5091454296,23.5123397789,23.5099130509,23.509669955,23.509905285,23.4763782776
132,23.5103884717,23.5115275545,23.5111894636,23.5105823628,23.5099028369,23.4833316525
133,23.5100509307,23.5111615878,23.5097814719,23.5104356268,23.5099048482,23.4838965572
134,23.5094587996,23.5085992204,23.5105138464,23.5108820339,23.509906802,23.4814863126
135,23.5099681907,23.5101471499,23.5098521753,23.5093770699,23.5099087272,23.4777387483
136,23.5098765277,23.5107608776,23.5102022042,23.5086325907,23.5099106548,23.4732305494
137,23.510278991,23.511140274,23.5100887621,23.5100930753,23.5099125655,23.4681452948
138,23.509935105,23.5123861234,23.5100663914,23.509910953,23.5099144529,23.4626210267
139,23.5102141703,23.5111280744,23.5106013152,23.5101326142,23.5099163125,23.4567583697
140,23.538199812,23.5373747574,23.5393148009,23.5358458797,23.5389341811,23.4520659711
