,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
0,-2.29166666667,0.0,910.609053019,23.7642965252,23.7678228913,23.771124491,23.7595531813,23.4767133444,23.75,4.66452626089,0.0
1,-1.78333333333,0.0,910.609053019,23.7505095626,23.7515860924,23.7500004418,23.7500262726,23.446061795,23.75,4.66452626089,122452.93573
2,-1.275,0.0,910.609053019,23.7516762022,23.7510665514,23.7518262303,23.7500130747,23.4026938249,23.75,4.66452626089,32113.2520747
3,-0.766666666667,0.0,910.609053019,23.750734942,23.7482756122,23.7483494709,23.7499808835,23.3638137116,23.75,4.66452626089,50410.0228658
4,-0.258333333333,0.0,910.609053019,23.7491585892,23.74949534,23.7523162661,23.7499114901,23.334470658,23.75,4.66452626089,51689.9468285
5,0.25,0.0,910.609053019,23.7512072076,23.7516604212,23.7490758948,23.7499703623,23.3129475863,23.75,4.66452626089,52113.332811
6,0.758333333333,0.0,910.609053019,23.7488869515,23.7494671295,23.7518942188,23.7495714076,23.2960276638,23.75,4.66452626089,52113.6432358
7,1.26666666667,0.0,910.609053019,23.749444283,23.7505863197,23.7492722949,23.7499229546,23.2815460693,23.75,4.66452626089,52956.9543772
8,1.775,0.0,910.609053019,23.7478305397,23.7510097066,23.7507097641,23.7502352695,23.2686085559,23.75,4.66452626089,52956.9342952
9,2.28333333333,0.0,910.609053019,23.7492502831,23.7493389382,23.7475981744,23.7499468676,23.2569724924,23.75,4.66452626089,52957.4455813
10,2.79166666667,0.0,910.609053019,23.7495942041,23.7470827537,23.7497989443,23.749749244,23.2464996784,23.75,4.66452626089,53377.0320489
11,3.3,0.0,910.609053019,23.749591681,23.7498176792,23.7490376156,23.7500664269,23.2371419715,23.75,4.66452626089,53795.9279433
12,3.20833333333,0.0,910.609053019,23.9270065369,23.9253175127,23.9220946653,23.9347269941,23.2305439959,23.94,4.66452626089,164710.013986
13,3.11666666667,0.0,910.609053019,23.9387294755,23.9376620033,23.9385394395,23.9399698689,23.2391261945,23.94,4.66452626089,21345.2849299
14,3.025,0.0,910.609053019,23.9402871068,23.9403303283,23.9422801001,23.9399077503,23.2531012505,23.94,4.66452626089,90368.0462271
15,2.93333333333,0.0,910.609053019,23.9382495794,23.9419705367,23.9394004904,23.940215856,23.2632981238,23.94,4.66452626089,76153.3604209
16,2.84166666667,0.0,910.609053019,23.9412585707,23.941487766,23.9423308745,23.9398474164,23.2677333908,23.94,4.66452626089,75078.7319503
17,2.75,0.0,910.609053019,23.938045564,23.9378922403,23.9407071993,23.9398704138,23.2681920807,23.94,4.66452626089,75437.3783025
18,2.65833333333,0.0,910.609053019,23.9407038329,23.9385385257,23.9383569787,23.9402827105,23.2665600113,23.94,4.66452626089,75437.4975467
19,2.56666666667,0.0,910.609053019,23.9399439699,23.9381856915,23.9424249388,23.9396001728,23.2640865836,23.94,4.66452626089,74719.2027626
20,2.475,0.0,910.609053019,23.9389718651,23.9406541315,23.9406907668,23.9396674512,23.2612814019,23.94,4.66452626089,75437.4066014
21,2.38333333333,0.0,910.609053019,23.9384087837,23.9403953585,23.9413871053,23.9402943469,23.2582587695,23.94,4.66452626089,75437.6668551
22,2.29166666667,0.0,910.609053019,23.9399824171,23.9421702688,23.9403908869,23.9397706464,23.2551227497,23.94,4.66452626089,74719.1183729
23,2.2,0.0,910.609053019,23.939621538,23.9412279182,23.9388947252,23.9398599224,23.2518507944,23.94,4.66452626089,75437.5223647
24,2.10833333333,0.0,910.609053019,23.9778529545,23.9779467018,23.9751714452,23.9786601203,23.2482026096,23.98,4.66452626089,97889.3282685
