,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
7000,7000,-1.99166666667,42.1666666667,2258.03159577,23.400961663,23.3993404627,23.4002628864,23.399958946,23.4203722207,23.4,4.66452626089,0.0
7001,7001,-1.95,46.0,2258.03159577,23.4000309833,23.3997581136,23.3983758797,23.3999598,23.3980972103,23.4,4.66452626089,0.0
7002,7002,-1.90833333333,59.1666666667,2258.03159577,23.3997035382,23.3981276741,23.3994236309,23.3999609636,23.3816019934,23.4,4.66452626089,0.0
7003,7003,-1.86666666667,72.3333333333,2100.05980543,23.3998411491,23.3980114259,23.3994047286,23.3999624533,23.367267931,23.4,4.66452626089,0.0
7004,7004,-1.825,85.5,2100.05980543,23.3993237379,23.3987171682,23.3994190942,23.3999641277,23.353781535,23.4,4.66452626089,0.0
7005,7005,-1.78333333333,98.6666666667,1942.0880151,23.3996718341,23.3990757499,23.400642443,23.3999659217,23.3408567403,23.4,4.66452626089,0.0
7006,7006,-1.74166666667,111.833333333,1784.11622477,23.400619759,23.3997578151,23.4000905727,23.3999677833,23.3284769585,23.4,4.66452626089,0.0
7007,7007,-1.7,125.0,1784.11622477,23.3998994961,23.399177373,23.3993652649,23.399969685,23.3165997764,23.4,4.66452626089,0.0
7008,7008,-1.60833333333,138.166666667,5302.01309183,23.5037025349,23.4994385644,23.5005893832,23.5042912346,23.3093189564,23.51,4.66452626089,0.0
7009,7009,-1.51666666667,151.333333333,5302.01309183,23.5098554635,23.5100464116,23.509001561,23.509535118,23.3229031577,23.51,4.66452626089,0.0
7010,7010,-1.425,164.5,5302.01309183,23.5103944136,23.5102442778,23.5105372199,23.5098811943,23.3398339301,23.51,4.66452626089,0.0
7011,7011,-1.33333333333,177.666666667,5302.01309183,23.5097107935,23.5096485217,23.5086517975,23.5098777235,23.3515619938,23.51,4.66452626089,0.0
7012,7012,-1.24166666667,190.833333333,5302.01309183,23.5099178807,23.5100435809,23.5106915895,23.5098603724,23.3574580253,23.51,4.66452626089,0.0
7013,7013,-1.15,204.0,5302.01309183,23.5106804823,23.5094334259,23.5087945703,23.5098472597,23.3601026959,23.51,4.66452626089,0.0
7014,7014,-1.05833333333,219.166666667,5302.01309183,23.5101443994,23.5089593589,23.5104802179,23.5098374995,23.3616131993,23.51,4.66452626089,0.0
7015,7015,-0.966666666667,234.333333333,5302.01309183,23.510166119,23.510605121,23.5124133293,23.50982951,23.3629682487,23.51,4.66452626089,0.0
7016,7016,-0.875,249.5,5302.01309183,23.5093181748,23.5097175267,23.5118896979,23.5098222614,23.3644454689,23.51,4.66452626089,0.0
7017,7017,-0.783333333333,264.666666667,5302.01309183,23.5110984192,23.5085159672,23.5086593836,23.5098153217,23.36595839,23.51,4.66452626089,0.0
7018,7018,-0.691666666667,279.833333333,5302.01309183,23.5110046753,23.5085116985,23.5116573502,23.5098086371,23.3674380365,23.51,4.66452626089,0.0
7019,7019,-0.6,295.0,5302.01309183,23.5106086077,23.5094238609,23.5106715495,23.5098021638,23.3689770639,23.51,4.66452626089,0.0
7020,7020,-0.55,310.166666667,5302.01309183,23.6429123805,23.6400512466,23.6365459705,23.6430801664,23.3644659562,23.65,4.66452626089,0.0
7021,7021,-0.5,325.333333333,5302.01309183,23.6491364829,23.650899949,23.6490931546,23.6493338473,23.3805752602,23.65,4.66452626089,0.0
7022,7022,-0.45,340.5,5302.01309183,23.6502132978,23.6514696528,23.6523456941,23.6497558859,23.3974151421,23.65,4.66452626089,0.0
7023,7023,-0.4,355.666666667,5302.01309183,23.6494447138,23.6493722185,23.6520835876,23.6497819765,23.406819255,23.65,4.66452626089,0.0
7024,7024,-0.35,370.833333333,5302.01309183,23.6499727825,23.6497653797,23.6492425171,23.649773988,23.4086504768,23.65,4.66452626089,0.0
7025,7025,-0.3,386.0,5302.01309183,23.6498605132,23.6508102791,23.6500951169,23.649768476,23.4062146453,23.65,5.00333088575,0.0
7026,7026,-0.25,389.5,5302.01309183,23.6498444024,23.6515538036,23.6522628001,23.649762687,23.4021755009,23.65,5.28081040591,0.0
7027,7027,-0.2,393.0,5302.01309183,23.6498353919,23.6516257267,23.6493859426,23.6497573435,23.397728974,23.65,5.52999500523,0.0
7028,7028,-0.15,396.5,5302.01309183,23.6498281079,23.6497153749,23.6488978031,23.6497522374,23.3931210679,23.65,5.76984880964,0.0
7029,7029,-0.1,400.0,5302.01309183,23.649821953,23.6509966098,23.6503642631,23.6497472976,23.3883734572,23.65,6.00081014099,0.0
7030,7030,-0.05,403.5,5302.01309183,23.6498167957,23.6503904196,23.6520822873,23.6497424737,23.3835824671,23.65,6.22428047063,0.0
7031,7031,0.0,407.0,5302.01309183,23.6498124648,23.650672651,23.6492227009,23.6497377494,23.3788037478,23.65,6.44066108752,0.0
7032,7032,0.0916666666667,410.5,5302.01309183,23.3411380974,23.3387216277,23.3398410316,23.3420709056,23.3822525371,23.33,7.89229773103,0.0
7033,7033,0.183333333333,414.0,5302.01309183,23.3299307347,23.3288828258,23.3301251759,23.3298522503,23.3386875876,23.33,6.92487343367,0.0
7034,7034,0.275,417.5,5302.01309183,23.3298473409,23.3302229334,23.330309243,23.3297504025,23.2873160089,23.33,9.00040340407,0.0
7035,7035,0.366666666667,421.0,5302.01309183,23.3297783852,23.330465688,23.3312716439,23.3297004579,23.2540943914,23.33,8.52936488125,0.0
