,prediction,real
0,23.7499090796,
1,23.750580281,23.7515860924
2,23.7537187672,23.7510665514
3,23.751494781,23.7482756122
4,23.7528784173,23.74949534
5,23.7534484635,23.7516604212
6,23.7515105269,23.7494671295
7,23.7542393992,23.7505863197
8,23.7530359877,23.7510097066
9,23.7542022025,23.7493389382
10,23.7528998128,23.7470827537
11,23.7533657379,23.7498176792
12,23.9424778192,23.9253175127
13,23.9379709767,23.9376620033
14,23.9375135042,23.9403303283
15,23.9375791258,23.9419705367
16,23.9380091959,23.941487766
17,23.9367684438,23.9378922403
18,23.9361239282,23.9385385257
19,23.9370005041,23.9381856915
20,23.93680514,23.9406541315
21,23.9370707415,23.9403953585
22,23.938431121,23.9421702688
23,23.9384077824,23.9412279182
24,23.9769739096,23.9779467018
25,23.976562486,23.9803003723
26,23.9762320969,23.9799518039
27,23.9766461124,23.9804996619
28,23.9769495587,23.9822830916
29,23.9747177422,23.9784071768
30,23.9783573095,23.9799383734
31,23.976464183,23.978274011
32,23.9786927664,23.9812962523
33,23.9759534348,23.9798734803
34,23.9780141009,23.9823004878
35,23.9753596141,23.9802336678
36,24.0381554435,24.0349376006
37,24.0375924911,24.042320289
38,24.0336139388,24.0392403153
39,24.0341855802,24.0403383366
40,24.0337472453,24.0402352497
41,24.035539515,24.0407888439
42,24.0345752773,24.0376631299
43,24.0356437144,24.0411780403
44,24.0366102787,24.0425752258
45,24.0339576343,24.0378037019
46,24.0360798736,24.0396446906
47,24.0365242249,24.0402098527
48,24.1038642725,24.1035240158
49,24.1020199481,24.1100868183
50,24.1009716402,24.1076297387
51,24.1043850799,24.1105506574
52,24.1055144231,24.110925785
53,24.104694713,24.1108418465
54,24.1036828487,24.1122121659
55,24.10476416,24.1089741826
56,24.1041284125,24.1121453617
57,24.104651593,24.1124998826
58,24.1052473895,24.112029213
59,24.1042094308,24.1099862881
60,24.2433909885,24.2369320268
61,24.24197054,24.2510731331
62,24.2400251368,24.2479155118
63,24.2388925265,24.2496498248
64,24.2388236451,24.2519671697
65,24.2389854367,24.249959285
66,24.2408137783,24.2494071451
67,24.2406753954,24.2525254434
68,24.2398175979,24.2520441692
69,24.2413346375,24.2520060257
70,24.239133193,24.2485422656
71,24.2395160427,24.2499472944
72,24.1383989329,24.155012584
73,24.1419501685,24.1506808694
74,24.1414435159,24.1480537308
75,24.1432965028,24.1493958274
76,24.1426604838,24.1481257975
77,24.1402554483,24.1477993066
78,24.1415588401,24.1503054859
79,24.140908031,24.149660803
80,24.1422786486,24.149735652
81,24.1419130079,24.1499441282
82,24.142865668,24.1496970069
83,24.1432848138,24.1525132296
84,23.973377267,23.9913589681
85,23.9785111905,23.9823055948
86,23.9767369579,23.9799146422
87,23.9760510777,23.9791644979
88,23.9792113564,23.9821564169
