,prediction,real
0,23.4094028849,23.3999598
1,23.4194617722,23.3999609636
2,23.4302648932,23.3999624533
3,23.4400960983,23.3999641277
4,23.4505110715,23.3999659217
5,23.4581789688,23.3999677833
6,23.467894107,23.399969685
7,23.4741419577,23.5042912346
8,23.4986565126,23.509535118
9,23.5190520718,23.5098811943
10,23.5372264948,23.5098777235
11,23.5547073,23.5098603724
12,23.5709219053,23.5098472597
13,23.5866034388,23.5098374995
14,23.6029566197,23.50982951
15,23.6174746098,23.5098222614
16,23.6327458256,23.5098153217
17,23.6469278307,23.5098086371
18,23.6592449784,23.5098021638
19,23.6708721097,23.6430801664
20,23.6885564876,23.6493338473
21,23.7011504402,23.6497558859
22,23.7111632165,23.6497819765
23,23.7204470628,23.649773988
24,23.7298561338,23.649768476
25,23.7384396958,23.649762687
26,23.7478222065,23.6497573435
27,23.7577615777,23.6497522374
28,23.7674144642,23.6497472976
29,23.7764555854,23.6497424737
30,23.7844758325,23.6497377494
31,23.7914109697,23.3420709056
32,23.7917838245,23.3298522503
33,23.7972605761,23.3297504025
34,23.8057117199,23.3297004579
35,23.8122577625,23.3297121277
36,23.8194379806,23.3297131797
37,23.8267125421,23.3297124587
38,23.8324728208,23.3297113514
39,23.8386135418,23.3297089409
40,23.8453808525,23.329707944
41,23.8513292613,23.3297065145
42,23.857916939,23.3297050543
43,23.8631861585,23.7790787899
44,23.8884803026,23.7714756975
45,23.8968830416,23.7697855903
46,23.8976225705,23.7697580114
47,23.9003146499,23.7697244147
48,23.9040004346,23.7697126149
49,23.9074527839,23.7697031678
50,23.9112187396,23.7696965309
51,23.915003613,23.7696919144
52,23.9193053003,23.7696884611
53,23.9233421574,23.7696855324
54,23.9263495612,23.769682806
55,23.9309019133,23.5667117111
56,23.9221289185,23.5505030906
57,23.9198404539,23.5497905316
58,23.9210069871,23.5497158197
59,23.9205192627,23.5497227803
60,23.9217306622,23.5497234942
61,23.9222846376,23.5497228767
62,23.9230640184,23.5497220447
63,23.9227414727,23.5497211725
64,23.9245328703,23.5497203435
65,23.9249708591,23.5497195962
66,23.9244151912,23.5497188089
67,23.9240483106,23.5310902034
68,23.9276562039,23.5297602421
69,23.9311827022,23.5296713112
70,23.9345405656,23.5296552953
71,23.9391728989,23.5296519425
72,23.9426742571,23.5296502059
73,23.945741045,23.529649278
74,23.9483623296,23.5296485795
75,23.9509233607,23.529647794
76,23.9540715593,23.5296468825
77,23.9576473862,23.5296459932
78,23.9595694057,23.5296451043
79,23.9612185823,23.7404435789
80,23.9719773272,23.7490250294
81,23.9769706411,23.749589997
82,23.9774092256,23.7496657718
83,23.9793803757,23.7496582033
84,23.9819218339,23.7496581614
85,23.9834606346,23.7496580825
86,23.9853400182,23.7496578914
87,23.988361026,23.7496575617
88,23.991009014,23.7496572088
89,23.9925004244,23.749656819
90,23.9952284931,23.7496563891
91,23.9966009242,23.3113582083
92,23.9843764719,23.2698867463
93,23.9827673507,23.2696988541
94,23.9874921871,23.2696019416
95,23.9907872421,23.2696278601
96,23.9928568182,23.2696415874
97,23.9947587255,23.2696509448
98,23.9970361327,23.2696569944
99,23.9981243195,23.2696608152
100,23.9997203624,23.2696635033
101,24.0021576103,23.2696658469
102,24.0054139504,23.2696680382
103,24.0075071018,23.3255596707
104,24.0110706169,23.3293820024
105,24.0127108165,23.3296584311
106,24.014814805,23.3296924502
107,24.0162657436,23.3296940365
108,24.0179173912,23.329696914
109,24.0197576083,23.3297003208
110,24.0225616556,23.3297039955
111,24.0239879794,23.3297076516
112,24.0266130716,23.329711255
113,24.0274845924,23.3297148022
114,24.0299427393,23.3297182408
115,24.0299921842,23.2640412005
116,24.0172488591,23.2600119511
117,24.0075603104,23.259832952
118,23.9988137233,23.2598234251
119,23.9913153229,23.2598318797
120,23.9826518227,23.2598365409
121,23.9756171047,23.2598397005
122,23.9674408539,23.2598422111
123,23.9609061986,23.2598444705
124,23.9537366957,23.2598466033
125,23.9466256983,23.2598486549
126,23.9415673703,23.2598506089
127,23.9356112261,23.5042712695
128,23.9442184378,23.5096052389
129,23.9373626371,23.5098728977
130,23.9279533984,23.509905285
131,23.9202423583,23.5099028369
132,23.9105156151,23.5099048482
133,23.9031876551,23.509906802
134,23.895122899,23.5099087272
135,23.888061776,23.5099106548
136,23.880774025,23.5099125655
137,23.8738474397,23.5099144529
138,23.8674083711,23.5099163125
139,23.8602025216,23.5389341811
140,23.8545589087,23.5398815875
141,23.8479628589,23.5399159758
142,23.8419188322,23.5399194293
143,23.8359865134,23.5399199341
144,23.8294681475,23.5399207644
145,23.8226190212,23.5399215315
146,23.8151687289,23.5399222392
147,23.8093207229,23.5399228779
148,23.8050890405,23.5399234789
149,23.8019667145,23.539924059
150,23.7968695435,23.5399245941
151,23.7912080967,23.7743896431
152,23.814895683,23.7796989624
153,23.8105176164,23.7800707946
154,23.8037942399,23.779947638
155,23.7995830931,23.7799416713
156,23.7927425161,23.7799412222
157,23.7888070746,23.7799411094
158,23.7842315026,23.7799411962
159,23.7783465802,23.7799414253
160,23.7726890282,23.7799417694
161,23.769916905,23.7799421661
162,23.7647437526,23.7799426209
163,23.7604092171,23.3925920178
164,23.7624207603,23.3803174105
165,23.7630747399,23.3799538636
166,23.7616507578,23.3799332945
167,23.7569191492,23.3799386512
168,23.752803175,23.3799401646
169,23.7506803093,23.3799413525
170,23.745609969,23.379942395
171,23.7439216364,23.3799433334
172,23.7410937903,23.3799441777
173,23.7385421433,23.3799449312
174,23.734893612,23.3799456033
175,23.7308502183,23.2564481058
176,23.7228102779,23.2501420789
177,23.7175102606,23.2499592042
178,23.715894491,23.2499497117
179,23.7121122469,23.2499522197
180,23.7068056159,23.2499535742
181,23.7031089372,23.2499546312
182,23.6996277877,23.2499555298
183,23.6962909293,23.2499563333
184,23.6913166348,23.2499570734
185,23.6889862941,23.249957765
186,23.6861059069,23.2499584162
187,23.6842668813,23.5425522951
188,23.7212781297,23.5496291229
189,23.7206562799,23.5502778665
190,23.7172905488,23.5499770547
191,23.7116965232,23.5499673865
192,23.7054026276,23.5499665973
193,23.7010987828,23.549966131
194,23.6968747111,23.5499658001
195,23.6928823013,23.5499655661
196,23.6875969372,23.5499654031
197,23.6834621798,23.5499652889
198,23.6787448175,23.5499652095
199,23.6752882922,23.2685467504
200,23.6600646517,23.2505384729
201,23.660861935,23.2499914925
202,23.6589337807,23.2499722832
203,23.6569491586,23.2499767868
204,23.6557993755,23.2499802058
205,23.6536530488,23.2499832414
206,23.6517700651,23.2499860859
207,23.6488961845,23.2499888086
208,23.6460800404,23.2499914366
209,23.6437606139,23.2499939817
210,23.6416601718,23.2499964514
211,23.6385167482,23.5394092774
212,23.7184073413,23.6599062341
213,23.7152245339,23.6602942576
214,23.7118161515,23.6599239938
215,23.712355764,23.6601396633
216,23.7085755565,23.6600062716
217,23.7063751166,23.659729178
218,23.7045472501,23.6599546069
219,23.7018013597,23.6599008355
220,23.6993045107,23.6599921345
221,23.7001244924,23.6600321337
222,23.6997389287,23.6602871457
223,23.696824688,23.8761884096
224,23.7742557124,23.9898265754
225,23.7744490188,23.989812817
226,23.7767004306,23.9896302081
227,23.7839862913,23.9903238068
228,23.7879292671,23.9904808686
229,23.7924604365,23.9898980914
230,23.7966300159,23.9901021622
231,23.7988578119,23.9896768674
232,23.8023210241,23.9904413881
233,23.8062171483,23.9898901712
234,23.8097817464,23.9900601678
235,23.8122444323,24.2141309366
236,23.8524008408,24.2200487364
237,23.8489929811,24.2203600599
238,23.8556799597,24.219789104
239,23.8612768374,24.2202236128
240,23.8667027526,24.2204770778
241,23.8718053899,24.2195904032
242,23.8779833887,24.2197586732
243,23.884577948,24.2197123372
244,23.8879859853,24.2196234272
245,23.8918540372,24.2197669904
246,23.8960919539,24.2201886713
247,23.8990900655,24.2097694584
248,23.9028527785,24.2099318829
249,23.906805854,24.2103544056
250,23.9096910833,24.2099156786
251,23.9119289549,24.2097305863
252,23.9159983141,24.2099232031
253,23.9191222713,24.2103258418
254,23.9224700986,24.209580737
255,23.9254161045,24.2095765298
256,23.9284400705,24.2102026707
257,23.9322319472,24.2097923444
258,23.9342898106,24.2100538803
259,23.9376226284,23.9143140065
260,23.9140983836,23.9005522691
261,23.9249140883,23.9003791914
262,23.9184766552,23.8996733186
263,23.9144158492,23.9000892253
264,23.9111171905,23.8998834372
265,23.9075205476,23.9003459004
266,23.9059811262,23.9000529039
267,23.9010257102,23.8997659285
268,23.8963771093,23.9001272491
269,23.892968654,23.8997206493
270,23.8902386737,23.9001566066
271,23.886548984,23.4345584753
272,23.8820430455,23.4101566956
273,23.8868338078,23.4100168364
274,23.878061596,23.4100123309
275,23.8673387811,23.4100077568
276,23.8587059846,23.4100054649
277,23.8508494432,23.4100036187
278,23.8414333218,23.4100020102
279,23.8342308087,23.4100005651
280,23.8251925126,23.4099992427
281,23.8193773867,23.4099980165
282,23.8104675803,23.4099968714
283,23.8030797816,23.4587195783
284,23.8005484001,23.4599519516
285,23.797355224,23.4599961274
286,23.7931782691,23.4599941221
287,23.7887818998,23.4599926387
288,23.7826536652,23.4599913366
289,23.7778239839,23.4599904461
290,23.7731558139,23.4599898562
291,23.7681045397,23.4599895116
292,23.764867052,23.4599893297
293,23.7612764452,23.4599892874
294,23.7560651736,23.4599893718
295,23.7501564575,23.6730715163
296,23.766820999,23.6794831301
297,23.7777740636,23.6799373285
298,23.7859884394,23.6799245902
299,23.7934293203,23.6799108621
300,23.8005834366,23.6798989688
301,23.8061239469,23.6798904646
302,23.813011572,23.6798839239
303,23.8214697484,23.6798784503
304,23.8273221614,23.6798735839
305,23.8329535444,23.6798690595
306,23.8390152413,23.6798648868
307,23.8448194448,23.2952736171
308,23.8393768076,23.2799220167
309,23.8436160991,23.2798481513
310,23.8520707371,23.2798536969
311,23.8590152639,23.279853423
312,23.8647257748,23.2798500656
313,23.8698269299,23.2798462102
314,23.8763982892,23.2798425816
315,23.8822839739,23.2798393266
316,23.8869534745,23.2798362922
317,23.8925419511,23.2798334008
318,23.8965949452,23.2798306071
319,23.9019417128,23.3838361797
320,23.9116730043,23.3894025913
321,23.9164865862,23.3898011417
322,23.9194154152,23.3898265755
323,23.9237706952,23.3898248853
324,23.9263613949,23.3898231937
325,23.9305075958,23.3898216734
326,23.9330488186,23.3898203356
327,23.9364244995,23.3898190997
328,23.9395543873,23.3898179073
329,23.942960599,23.3898167977
330,23.9460516799,23.3898157446
331,23.9487396586,23.4368474704
332,23.9523482486,23.4396255604
333,23.9555691559,23.4398157801
334,23.9569732564,23.4398305757
335,23.9585322807,23.4398326943
336,23.9600112118,23.4398349825
337,23.962121397,23.4398376289
338,23.9634545953,23.4398405692
339,23.9658272008,23.4398436604
340,23.9678040855,23.4398467888
341,23.9695152626,23.4398499848
342,23.9718567412,23.4398532372
343,23.9745513523,23.545027585
344,23.977345782,23.5495648952
345,23.9777587312,23.5498569384
346,23.9757704897,23.549872984
347,23.9739912853,23.5498733224
348,23.9714835944,23.549872363
349,23.9692725216,23.5498707228
350,23.9663447581,23.5498688875
351,23.9648217848,23.5498670956
352,23.96408684,23.5498653409
353,23.9622797649,23.5498636602
354,23.9593553654,23.5498620813
355,23.9571066081,23.9572025632
356,23.9778500434,23.9597749514
357,23.9831622961,23.9598710416
358,23.9822839481,23.9598568946
359,23.9838016348,23.9598454228
360,23.983996723,23.9598382168
361,23.9851371954,23.9598341006
362,23.9848109281,23.9598321837
363,23.9864330876,23.9598315909
364,23.9875345996,23.9598316088
365,23.9879178788,23.9598319352
366,23.9899307922,23.959832553
367,23.9904202445,24.2430870582
368,24.0062043751,24.2493597717
369,24.0095822054,24.2498369958
370,24.0089746737,24.2498410894
371,24.0087587389,24.2498429922
372,24.0096438637,24.2498444642
373,24.0097895614,24.2498459614
374,24.0104560171,24.24984751
375,24.0104794355,24.2498490837
376,24.0101742218,24.2498506636
377,24.0099115451,24.2498523391
378,24.0106525253,24.2498540067
379,24.0110457135,23.8092606811
380,23.9975429229,23.7899385309
381,23.9959911368,23.7898587465
382,23.9998494547,23.7898615942
383,24.0024148527,23.7898519438
384,24.0029851707,23.7898399143
385,24.005301539,23.7898300939
386,24.0065204993,23.7898226037
387,24.0077376106,23.7898165673
388,24.0091312886,23.7898111171
389,24.0101751331,23.7898058221
390,24.0109398754,23.7898006099
391,24.0113253799,24.1520111442
392,24.0491559793,24.2395409839
393,24.0520379255,24.2398346655
394,24.0513901934,24.2398516354
395,24.0510527555,24.2398378198
396,24.0501798941,24.2398267537
397,24.0492567267,24.2398198195
398,24.0497226049,24.239815729
399,24.0514516136,24.2398133925
400,24.0508066052,24.2398119404
401,24.0521253769,24.2397685648
402,24.0530363136,24.2397436715
403,24.0544147026,24.3576181172
404,24.0564456853,24.3597645948
405,24.0484530548,24.3598801189
406,24.0384447001,24.3598805184
407,24.0304978532,24.3598748035
408,24.0216430469,24.3598699994
409,24.0148246502,24.3598650291
410,24.0082197917,24.3598600009
411,23.9997643179,24.3598550495
412,23.9926571563,24.3598500939
413,23.9863945215,24.3598452081
414,23.9803624787,24.3598403196
415,23.9748301404,24.2344661549
416,23.9586078975,24.2302128693
417,23.9567546373,24.2298720093
418,23.9481942309,24.2299950243
419,23.9404058735,24.2301941074
420,23.9336691266,24.2303044848
421,23.9282360462,24.230405616
422,23.920644137,24.2301997852
423,23.9153969721,24.2297333983
424,23.9104575745,24.230110092
425,23.90432864,24.2298986925
426,23.899644251,24.2297611436
427,23.8948837819,24.1428181874
428,23.8842368833,24.1405193275
