,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
0,-2.29166666667,0.0,0.0,23.4767133444,23.7642965252,23.7678228913,23.7590636084,23.771124491,23.7595531813,40.6166308572,23.4791992109
1,-1.78333333333,0.0,0.0,23.446061795,23.7505095626,23.7515860924,23.752917065,23.7500004418,23.7500262726,34.040070757,23.4767133444
2,-1.275,0.0,0.0,23.4026938249,23.7516762022,23.7510665514,23.7489085601,23.7518262303,23.7500130747,33.3454903529,23.446061795
3,-0.766666666667,0.0,0.0,23.3638137116,23.750734942,23.7482756122,23.7504260659,23.7483494709,23.7499808835,33.5305007557,23.4026938249
4,-0.258333333333,0.0,0.0,23.334470658,23.7491585892,23.74949534,23.7494585845,23.7523162661,23.7499114901,33.5200753565,23.3638137116
5,0.25,0.0,0.0,23.3129475863,23.7512072076,23.7516604212,23.749674271,23.7490758948,23.7499703623,33.5338185407,23.334470658
6,0.758333333333,0.0,0.0,23.2960276638,23.7488869515,23.7494671295,23.7510156965,23.7518942188,23.7495714076,33.5241694715,23.3129475863
7,1.26666666667,0.0,0.0,23.2815460693,23.749444283,23.7505863197,23.7484712754,23.7492722949,23.7499229546,33.5084851607,23.2960276638
8,1.775,0.0,0.0,23.2686085559,23.7478305397,23.7510097066,23.7500113061,23.7507097641,23.7502352695,33.5128945062,23.2815460693
9,2.28333333333,0.0,0.0,23.2569724924,23.7492502831,23.7493389382,23.7480256796,23.7475981744,23.7499468676,33.4770541864,23.2686085559
10,2.79166666667,0.0,0.0,23.2464996784,23.7495942041,23.7470827537,23.7485786819,23.7497989443,23.749749244,33.4719601368,23.2569724924
11,3.3,0.0,0.0,23.2371419715,23.749591681,23.7498176792,23.749148354,23.7490376156,23.7500664269,33.434853763,23.2464996784
12,3.20833333333,0.0,0.0,23.2305439959,23.9270065369,23.9253175127,23.9293065429,23.9220946653,23.9347269941,34.4340604149,23.2371419715
13,3.11666666667,0.0,0.0,23.2391261945,23.9387294755,23.9376620033,23.9385022483,23.9385394395,23.9399698689,33.434731539,23.2305439959
14,3.025,0.0,0.0,23.2531012505,23.9402871068,23.9403303283,23.9402857558,23.9422801001,23.9399077503,33.938527825,23.2391261945
15,2.93333333333,0.0,0.0,23.2632981238,23.9382495794,23.9419705367,23.9408361329,23.9394004904,23.940215856,33.8398858301,23.2531012505
16,2.84166666667,0.0,0.0,23.2677333908,23.9412585707,23.941487766,23.9401080444,23.9423308745,23.9398474164,33.845297482,23.2632981238
17,2.75,0.0,0.0,23.2681920807,23.938045564,23.9378922403,23.9401259959,23.9407071993,23.9398704138,33.8606681525,23.2677333908
18,2.65833333333,0.0,0.0,23.2665600113,23.9407038329,23.9385385257,23.9410845882,23.9383569787,23.9402827105,33.8698165984,23.2681920807
19,2.56666666667,0.0,0.0,23.2640865836,23.9399439699,23.9381856915,23.9399828807,23.9424249388,23.9396001728,33.8776111319,23.2665600113
20,2.475,0.0,0.0,23.2612814019,23.9389718651,23.9406541315,23.9412200163,23.9406907668,23.9396674512,33.9001769552,23.2640865836
21,2.38333333333,0.0,0.0,23.2582587695,23.9384087837,23.9403953585,23.9408409229,23.9413871053,23.9402943469,33.9031176852,23.2612814019
22,2.29166666667,0.0,0.0,23.2551227497,23.9399824171,23.9421702688,23.9400243607,23.9403908869,23.9397706464,33.9242389151,23.2582587695
23,2.2,0.0,0.0,23.2518507944,23.939621538,23.9412279182,23.9396922522,23.9388947252,23.9398599224,33.9418475148,23.2551227497
24,2.10833333333,0.0,0.0,23.2482026096,23.9778529545,23.9779467018,23.9789366859,23.9751714452,23.9786601203,34.180757696,23.2518507944
25,2.01666666667,0.0,0.0,23.2466432963,23.9786295761,23.9803003723,23.9802239001,23.9773842848,23.9799860442,33.984087132,23.2482026096
26,1.925,0.0,0.0,23.2453723591,23.9806553707,23.9799518039,23.9804953685,23.9776469632,23.9799509192,34.1228310088,23.2466432963
27,1.83333333333,0.0,0.0,23.2427723368,23.9810434004,23.9804996619,23.980261188,23.9791931672,23.9802381984,34.124218667,23.2453723591
28,1.74166666667,0.0,0.0,23.238706085,23.9810440808,23.9822830916,23.9806530744,23.9790261114,23.979694256,34.1523103589,23.2427723368
29,1.65,0.0,0.0,23.2336301001,23.981554527,23.9784071768,23.9816159109,23.9797661479,23.9799553516,34.1765231769,23.238706085
30,1.55833333333,0.0,0.0,23.2279937762,23.9789604725,23.9799383734,23.9782514203,23.9824423802,23.9795266496,34.2001814125,23.2336301001
31,1.46666666667,0.0,0.0,23.2220873183,23.9792938653,23.978274011,23.9797146095,23.9789931013,23.9798655961,34.2501999159,23.2279937762
32,1.375,0.0,0.0,23.2159644854,23.9812897706,23.9812962523,23.9784377198,23.9827101258,23.9794280135,34.2595463611,23.2220873183
33,1.28333333333,0.0,0.0,23.2098171107,23.9795732401,23.9798734803,23.9809741727,23.9829137389,23.9797024973,34.3025786808,23.2159644854
34,1.19166666667,0.0,0.0,23.2035960075,23.9794805427,23.9823004878,23.9796884422,23.9819092604,23.9803732999,34.3124591848,23.2098171107
35,1.1,0.0,0.0,23.1973454137,23.9802704265,23.9802336678,23.9818309059,23.9823610464,23.9797964053,34.3578999679,23.2035960075
36,1.1,0.0,0.0,23.1933697711,24.0371145539,24.0349376006,24.0350096584,24.0328707943,24.0383896952,34.6533162616,23.1973454137
37,1.1,0.0,0.0,23.1957701967,24.038255032,24.042320289,24.0383719918,24.038122009,24.0400855554,34.3489666675,23.1933697711
38,1.1,0.0,0.0,23.2010790984,24.0386797139,24.0392403153,24.0416322112,24.039191322,24.0404529136,34.4793745639,23.1957701967
39,1.1,0.0,0.0,23.2058384969,24.0403639448,24.0403383366,24.0413889107,24.0379914533,24.0398112111,34.4216618261,23.2010790984
40,1.1,0.0,0.0,23.2091448895,24.039629958,24.0402352497,24.041827139,24.0382147668,24.0401544897,34.4186435792,23.2058384969
41,1.1,0.0,0.0,23.2114162909,24.0414436703,24.0407888439,24.0400116544,24.04056543,24.0399990494,34.4013305705,23.2091448895
42,1.1,0.0,0.0,23.2132848692,24.03842174,24.0376631299,24.0398788527,24.040629702,24.0394691407,34.4016276789,23.2114162909
43,1.1,0.0,0.0,23.2149359306,24.0404616777,24.0411780403,24.0400591093,24.0407832068,24.0400593207,34.3851657405,23.2132848692
44,1.1,0.0,0.0,23.2166147542,24.0390258668,24.0425752258,24.0395353285,24.0390244421,24.040058314,34.373786033,23.2149359306
45,1.1,0.0,0.0,23.2183009374,24.039335771,24.0378037019,24.0405816378,24.0384245437,24.0395578806,34.3662925703,23.2166147542
46,1.1,0.0,0.0,23.2198958369,24.0380968745,24.0396446906,24.0389791431,24.0400617431,24.0401008991,34.3475441939,23.2183009374
47,1.1,0.0,0.0,23.2215145692,24.039845379,24.0402098527,24.0386565711,24.0396941182,24.0400256243,34.3492553426,23.2198958369
48,1.15,0.0,0.0,23.221666534,24.107319272,24.1035240158,24.1070858339,24.1036175048,24.1083664969,34.7515929828,23.2215145692
49,1.2,0.0,0.0,23.2241137376,24.1106665355,24.1100868183,24.1115119426,24.1118726278,24.1102773349,34.3880517977,23.221666534
50,1.25,0.0,0.0,23.2261717938,24.1112671047,24.1076297387,24.1117867643,24.1083126374,24.1097669594,34.5991890333,23.2241137376
51,1.3,0.0,0.0,23.2252288542,24.1090724336,24.1105506574,24.1091893798,24.1092651364,24.1097555652,34.5872348092,23.2261717938
