,tout,s,i,t1,t2,m,tret
0,-2.29166666667,0.0,0.0,21.5508905461,23.7639439429,4.9475065844,21.5718187512
1,-1.78333333333,0.0,0.0,21.5084293109,23.7507082707,5.08963223492,21.5508905461
2,-1.275,0.0,0.0,21.4625656891,23.7504416278,5.02338409998,21.5084293109
3,-0.766666666667,0.0,0.0,21.430408643,23.7499351812,5.04221091423,21.4625656891
4,-0.258333333333,0.0,0.0,21.4122578364,23.7496115763,5.04547901966,21.430408643
5,0.25,0.0,0.0,21.4022841172,23.7497164069,5.04572676859,21.4122578364
6,0.758333333333,0.0,0.0,21.3966381889,23.7500068039,5.04727738969,21.4022841172
7,1.26666666667,0.0,0.0,21.3942753382,23.7497993821,5.04689801775,21.3966381889
8,1.775,0.0,0.0,21.3954211928,23.7489641936,5.04649992527,21.3942753382
9,2.28333333333,0.0,0.0,21.4003565972,23.7494768544,5.04710483494,21.3954211928
10,2.79166666667,0.0,0.0,21.4090072929,23.7497740733,5.04377439545,21.4003565972
11,3.3,0.0,0.0,21.4211811043,23.7500237727,5.0415783759,21.4090072929
12,3.20833333333,0.0,0.0,21.4420945605,23.9281255739,5.1469903584,21.4211811043
13,3.11666666667,0.0,0.0,21.4809058882,23.9391492386,5.04844870983,21.4420945605
14,3.025,0.0,0.0,21.5240545756,23.9395236103,5.09764518242,21.4809058882
15,2.93333333333,0.0,0.0,21.5589381491,23.9397031511,5.08888589053,21.5240545756
16,2.84166666667,0.0,0.0,21.5849937385,23.9395687192,5.08958937218,21.5589381491
17,2.75,0.0,0.0,21.6061024263,23.9392578528,5.09161432415,21.5849937385
18,2.65833333333,0.0,0.0,21.6250029776,23.9403864098,5.09447875788,21.6061024263
19,2.56666666667,0.0,0.0,21.6423878,23.9395177156,5.09442279326,21.6250029776
20,2.475,0.0,0.0,21.6578883788,23.9401800584,5.09672516126,21.6423878
21,2.38333333333,0.0,0.0,21.6712950921,23.9395063603,5.09700792443,21.6578883788
22,2.29166666667,0.0,0.0,21.6825524137,23.9393650431,5.09970412569,21.6712950921
23,2.2,0.0,0.0,21.6920027397,23.9398237836,5.10343236866,21.6825524137
24,2.10833333333,0.0,0.0,21.7002387441,23.9768729055,5.12733879416,21.6920027397
25,2.01666666667,0.0,0.0,21.7095364202,23.9799270011,5.10978218216,21.7002387441
26,1.925,0.0,0.0,21.7176832214,23.9800896455,5.12223394649,21.7095364202
27,1.83333333333,0.0,0.0,21.7225888347,23.9801803321,5.12418737993,21.7176832214
28,1.74166666667,0.0,0.0,21.724409067,23.979177396,5.12716874116,21.7225888347
29,1.65,0.0,0.0,21.7240968697,23.9801682744,5.13131276955,21.724409067
30,1.55833333333,0.0,0.0,21.7226019124,23.9805862207,5.13447272456,21.7240968697
31,1.46666666667,0.0,0.0,21.7202151486,23.9796476707,5.13730899472,21.7226019124
32,1.375,0.0,0.0,21.7168078079,23.9799105405,5.14023906059,21.7202151486
33,1.28333333333,0.0,0.0,21.7126853259,23.979614918,5.14641433616,21.7168078079
34,1.19166666667,0.0,0.0,21.7076924319,23.9797386103,5.14741306519,21.7126853259
35,1.1,0.0,0.0,21.7020872596,23.9812651059,5.15267454708,21.7076924319
36,1.1,0.0,0.0,21.6994949909,24.0372452045,5.18272402865,21.7020872596
37,1.1,0.0,0.0,21.7036092489,24.0392825541,5.15216581532,21.6994949909
38,1.1,0.0,0.0,21.7094863595,24.0408102851,5.16604339254,21.7036092489
39,1.1,0.0,0.0,21.7129539873,24.0400902357,5.1595501155,21.7094863595
40,1.1,0.0,0.0,21.71386186,24.0398804368,5.15984921917,21.7129539873
41,1.1,0.0,0.0,21.7135528235,24.0393721911,5.15790859705,21.71386186
42,1.1,0.0,0.0,21.7129831098,24.0401186674,5.1549645487,21.7135528235
43,1.1,0.0,0.0,21.7128069248,24.0403560404,5.1550461382,21.7129831098
44,1.1,0.0,0.0,21.7129170071,24.0403130179,5.15316888736,21.7128069248
45,1.1,0.0,0.0,21.7130349654,24.0405678888,5.15035292324,21.7129170071
46,1.1,0.0,0.0,21.713277078,24.0404370345,5.1505290388,21.7130349654
47,1.1,0.0,0.0,21.7135753865,24.0409622198,5.148700861,21.713277078
48,1.15,0.0,0.0,21.71472938,24.1062984927,5.20903960484,21.7135753865
49,1.2,0.0,0.0,21.7186770454,24.10986968,5.15891610783,21.71472938
50,1.25,0.0,0.0,21.7224283258,24.1095095931,5.18807416988,21.7186770454
51,1.3,0.0,0.0,21.7225888795,24.1104320514,5.19010429791,21.7224283258
52,1.35,0.0,0.0,21.7195043784,24.1106911447,5.19383701259,21.7225888795
53,1.4,0.0,0.0,21.7150160834,24.1101525086,5.20258048236,21.7195043784
54,1.45,0.0,0.0,21.7101854625,24.1096518481,5.21064477258,21.7150160834
55,1.5,0.0,0.0,21.7053557605,24.1099657211,5.21805359967,21.7101854625
56,1.55,0.0,0.0,21.7007887979,24.1104681926,5.22823248542,21.7053557605
57,1.6,0.0,0.0,21.6962305124,24.1099302012,5.23339631869,21.7007887979
58,1.65,0.0,0.0,21.6916572089,24.1091865848,5.24267982793,21.6962305124
59,1.7,0.0,0.0,21.6870343105,24.1100690313,5.2507454829,21.6916572089
60,1.7,0.0,0.0,21.6953169165,24.2409999985,5.41196736771,21.6870343105
61,1.7,0.0,0.0,21.7151137345,24.2494718097,5.23455064971,21.6953169165
62,1.7,0.0,0.0,21.7396195545,24.2508147609,5.29315843815,21.7151137345
63,1.7,0.0,0.0,21.758805538,24.2501197426,5.26614507452,21.7396195545
64,1.7,0.0,0.0,21.7719858326,24.2507612361,5.25806950371,21.758805538
65,1.7,0.0,0.0,21.7819540938,24.2495489047,5.2423558923,21.7719858326
66,1.7,0.0,0.0,21.7910706562,24.2497584772,5.23050106728,21.7819540938
67,1.7,0.0,0.0,21.8006302031,24.2500478766,5.22282298192,21.7910706562
68,1.7,0.0,0.0,21.8102162907,24.2496616541,5.20650542759,21.8006302031
69,1.7,0.0,0.0,21.8197966751,24.2489246609,5.19843609099,21.8102162907
70,1.7,0.0,0.0,21.8291723069,24.2488588263,5.18737475019,21.8197966751
71,1.7,0.0,0.0,21.8382983279,24.2493904892,5.17483840733,21.8291723069
72,1.74166666667,0.0,0.0,21.8403225272,24.1557205324,5.10696565155,21.8382983279
73,1.78333333333,0.0,0.0,21.83101912,24.1501716847,5.17693362149,21.8403225272
74,1.825,0.0,0.0,21.8172963198,24.1501319351,5.13766504223,21.83101912
75,1.86666666667,0.0,0.0,21.8070198041,24.1509608178,5.14646660272,21.8172963198
76,1.90833333333,0.0,0.0,21.8012423167,24.1486386742,5.15029945983,21.8070198041
77,1.95,0.0,0.0,21.7977782885,24.1502081033,5.15986420049,21.8012423167
78,1.99166666667,0.0,0.0,21.7947980044,24.1495676265,5.16136700363,21.7977782885
79,2.03333333333,0.0,0.0,21.7916549272,24.1497482672,5.16751738389,21.7947980044
80,2.075,0.0,0.0,21.7885416449,24.1503807988,5.17441298648,21.7916549272
81,2.11666666667,0.0,0.0,21.7855246814,24.1501362318,5.17773411211,21.7885416449
82,2.15833333333,0.0,0.0,21.7826932389,24.1497827704,5.18443252001,21.7855246814
83,2.2,0.0,0.0,21.7798581968,24.1505216604,5.1877530989,21.7826932389
84,2.2,0.0,0.0,21.773357455,23.9894939178,5.06548246347,21.7798581968
85,2.2,0.0,0.0,21.7559350818,23.9807185911,5.1723370326,21.773357455
86,2.2,0.0,0.0,21.7366896089,23.9797782773,5.10610351534,21.7559350818
87,2.2,0.0,0.0,21.7252434698,23.9810480539,5.11039609136,21.7366896089
88,2.2,0.0,0.0,21.7220120466,23.9802212681,5.10856434278,21.7252434698
89,2.2,0.0,0.0,21.7226858326,23.9797185805,5.10387320251,21.7220120466
90,2.2,94.25,0.0,21.7240737719,23.980607908,5.0977342428,21.7226858326
91,2.2,133.5,0.0,21.7257256559,23.9803467344,5.09167670527,21.7240737719
92,2.2,172.75,0.0,21.7281194711,23.979700253,5.08617904969,21.7257256559
93,2.2,212.0,0.0,21.7317226113,23.9796327739,5.08137149221,21.7281194711
94,2.2,251.25,0.0,21.7367250919,23.979894586,5.07515041933,21.7317226113
95,2.2,290.5,0.0,21.7432771431,23.9810647588,5.07022090196,21.7367250919
96,2.2,329.75,0.0,21.7405086118,23.7728837541,4.9553796763,21.7432771431
97,2.2,369.0,0.0,21.7148248175,23.7611922252,5.07990605021,21.7405086118
98,2.2,408.25,0.0,21.6833111636,23.7604824101,5.02714811543,21.7148248175
99,2.2,447.5,0.0,21.6623555798,23.7598274425,5.04420547655,21.6833111636
100,2.2,486.75,0.0,21.653403012,23.7610213244,5.05004805515,21.6623555798
101,2.2,526.0,0.0,21.6518854805,23.7607521633,5.0550109993,21.653403012
102,2.2,533.25,0.0,21.6539275044,23.7603257541,5.06042950938,21.6518854805
103,2.2,540.5,0.0,21.658027017,23.7598854813,5.06428216873,21.6539275044
104,2.2,547.75,0.0,21.6641578318,23.759773997,5.07023538803,21.658027017
105,2.2,555.0,0.0,21.6724473534,23.7608127406,5.07676039837,21.6641578318
106,2.2,562.25,0.0,21.6826077818,23.7600745233,5.07918325806,21.6724473534
107,2.2,569.5,0.0,21.6941575916,23.761111588,5.08492421982,21.6826077818
108,2.2,576.75,0.0,21.7123665553,23.8817499072,5.1539668162,21.6941575916
109,2.2,584.0,0.0,21.744981882,23.8893639903,5.08543389668,21.7123665553
110,2.2,591.25,0.0,21.7822559245,23.8902294444,5.11715243501,21.744981882
111,2.2,598.5,0.0,21.8151675375,23.8899271233,5.10862504728,21.7822559245
112,2.2,605.75,0.0,21.8429756503,23.8898756323,5.10723993986,21.8151675375
113,2.2,613.0,0.0,21.8684860499,23.8901690741,5.10866134494,21.8429756503
114,2.2,633.666666667,0.0,21.8936375327,23.8907619072,5.10568409951,21.8684860499
115,2.2,654.333333333,0.0,21.9193066979,23.890456108,5.10816090772,21.8936375327
116,2.2,675.0,0.0,21.9452668611,23.8907650256,5.10841804534,21.9193066979
117,2.2,695.666666667,0.0,21.9713318736,23.8909821344,5.10913015776,21.9452668611
118,2.2,716.333333333,0.0,21.9973208535,23.8904033003,5.10686020291,21.9713318736
119,2.2,737.0,0.0,22.0233717945,23.8911022272,5.10903541951,21.9973208535
120,2.25,757.666666667,0.0,22.1223795402,23.4716595061,6.87882297765,22.0670630734
121,2.3,778.333333333,0.0,22.120458658,23.4592691055,5.26551519165,22.1340047281
122,2.35,799.0,0.0,22.0836485838,23.4598885442,5.45949103393,22.120458658
123,2.4,819.666666667,0.0,22.0701975827,23.4598294437,5.52571865463,22.0836485838
124,2.45,840.333333333,0.0,22.0891778897,23.4601346234,5.59799836085,22.0701975827
125,2.5,861.0,0.0,22.126919435,23.4599136849,5.68366746254,22.0891778897
126,2.55,862.583333333,0.0,22.1695204866,23.4599319444,5.74256276923,22.126919435
127,2.6,864.166666667,0.0,22.2109409967,23.460027692,5.78989512097,22.1695204866
128,2.65,865.75,0.0,22.2507427267,23.459639181,5.83796806168,22.2109409967
129,2.7,867.333333333,0.0,22.2898053186,23.4604223626,5.88531962862,22.2507427267
130,2.75,868.916666667,0.0,22.3285806184,23.4597295686,5.92742406758,22.2898053186
131,2.8,870.5,0.0,22.3668197841,23.4598998539,5.97233655255,22.3285806184
132,2.84166666667,872.083333333,0.0,22.4010190796,23.54340797,5.94537880558,22.3668197841
133,2.88333333333,873.666666667,0.0,22.4444837356,23.5492828377,6.02102923727,22.4010190796
134,2.925,875.25,0.0,22.4887172845,23.549892318,6.04061402444,22.4444837356
135,2.96666666667,876.833333333,0.0,22.5273433182,23.5499780638,6.07828563257,22.4887172845
136,3.00833333333,878.416666667,0.0,22.5597589889,23.5499783124,6.10928106588,22.5273433182
137,3.05,880.0,0.0,22.5880454442,23.5500374199,6.14100079692,22.5597589889
138,3.09166666667,883.75,0.0,22.6141220611,23.5498293536,6.17504437515,22.5880454442
139,3.13333333333,887.5,0.0,22.6387477292,23.5499728585,6.20741205436,22.6141220611
140,3.175,891.25,0.0,22.6618628245,23.5502401492,6.23456662164,22.6387477292
141,3.21666666667,895.0,0.0,22.6831388526,23.5504128684,6.26382919197,22.6618628245
142,3.25833333333,898.75,0.0,22.703254358,23.5502309478,6.29184384817,22.6831388526
143,3.3,902.5,0.0,22.7227571379,23.5502748033,6.32070758761,22.703254358
144,3.39166666667,906.25,0.0,22.7428444575,23.5044587347,6.38164862699,22.7227571379
145,3.48333333333,910.0,0.0,22.755891059,23.5011247785,6.39373170354,22.7428444575
146,3.575,913.75,0.0,22.766795946,23.5001035901,6.42430056232,22.755891059
