,Unnamed: 0,tout,s,i,t1,t2,m,tret
7000,7000,-1.99166666667,42.1666666667,0.0,21.3511058559,23.4001795125,4.90549364321,21.3917340112
7001,7001,-1.95,46.0,0.0,21.3333833511,23.4002043491,4.90549364321,21.3511058559
7002,7002,-1.90833333333,59.1666666667,0.0,21.3220873637,23.4003805279,4.90549364321,21.3333833511
7003,7003,-1.86666666667,72.3333333333,0.0,21.3113197224,23.3997147199,4.90549364321,21.3220873637
7004,7004,-1.825,85.5,0.0,21.3014851299,23.4001756297,4.90549364321,21.3113197224
7005,7005,-1.78333333333,98.6666666667,0.0,21.2942309816,23.3998298271,4.90549364321,21.3014851299
7006,7006,-1.74166666667,111.833333333,0.0,21.2900301702,23.3999916157,4.90549364321,21.2942309816
7007,7007,-1.7,125.0,0.0,21.2885764232,23.399837516,4.90549364321,21.2900301702
7008,7008,-1.60833333333,138.166666667,0.0,21.2919008461,23.5039608406,4.90549364321,21.2885764232
7009,7009,-1.51666666667,151.333333333,0.0,21.3244456106,23.5094221819,5.1873182674,21.2919008461
7010,7010,-1.425,164.5,0.0,21.3504815912,23.5097522607,4.90549364321,21.3244456106
7011,7011,-1.33333333333,177.666666667,0.0,21.3676327133,23.5096857846,4.90549364321,21.3504815912
7012,7012,-1.24166666667,190.833333333,0.0,21.3832046844,23.5104316602,4.90549364321,21.3676327133
7013,7013,-1.15,204.0,0.0,21.4018641687,23.5098375437,4.90549364321,21.3832046844
7014,7014,-1.05833333333,219.166666667,0.0,21.4244689088,23.5099767235,4.91485213999,21.4018641687
7015,7015,-0.966666666667,234.333333333,0.0,21.4505600571,23.5099269069,4.93423547929,21.4244689088
7016,7016,-0.875,249.5,0.0,21.4791543357,23.5099410351,4.95204925678,21.4505600571
7017,7017,-0.783333333333,264.666666667,0.0,21.5095479975,23.5100715544,4.96841601049,21.4791543357
7018,7018,-0.691666666667,279.833333333,0.0,21.5413866174,23.5097621348,4.98276862439,21.5095479975
7019,7019,-0.6,295.0,0.0,21.5745270745,23.5101133163,4.99726702366,21.5413866174
7020,7020,-0.55,310.166666667,0.0,21.6019582125,23.6423599487,4.90549364321,21.5745270745
