,b0,b1,b2,b3,b4,b5
0,35.02539442,35.5567914539,32.7318085504,32.2618041494,31.7540061183,-0.0434487390232
1,35.0253907934,35.556776076,32.7317972833,32.2617963841,31.7540001377,-0.0431008457253
2,35.0254183744,35.5564907395,32.7317763481,32.2617844205,31.753980931,-0.0421639979763
3,35.0253486668,35.55644975,32.7317554136,32.2617724585,31.7539468087,-0.0412271502274
4,35.0253730874,35.5561619992,32.7317344763,32.2617604948,31.7539350355,-0.0402903024783
5,35.0252973139,35.555893702,32.7317681074,32.2617485305,31.7539009375,-0.0393534547293
6,35.0252214579,35.5558500443,32.7316037608,32.2616582432,31.753881707,-0.0384166069804
7,35.025254603,35.5558055506,32.7315920013,32.2616462781,31.7538550428,-0.0374797592314
8,35.1890761365,35.7242823619,32.8858917501,32.4121856696,31.9032305841,-0.0364157099329
9,35.1889046484,35.7236324025,32.8863717996,32.4124846406,31.9024246663,-0.0371348552235
10,35.1889886231,35.7238333878,32.886114002,32.4123421913,31.9028045528,-0.0342876113361
11,35.1889683102,35.7236939259,32.8861670938,32.4123840458,31.902697577,-0.0332235620376
12,35.188948713,35.7235245092,32.8857624652,32.4123892121,31.90264862,-0.0321595127392
13,35.1889317865,35.723404233,32.8857608341,32.4121662024,31.9025956398,-0.0310954634408
14,35.1889325276,35.7233261643,32.8857575823,32.4121583846,31.9025424809,-0.0299644238212
15,35.1889186561,35.7232029182,32.8857620495,32.4121506195,31.9024818387,-0.0288968145885
16,35.1889173439,35.723090783,32.8857523419,32.4121552712,31.9024229374,-0.0278192742359
17,35.1888703196,35.7229906302,32.8857503665,32.412147617,31.9023656411,-0.0267325781007
18,35.1888658003,35.7228566839,32.8857488473,32.4121525645,31.9023105788,-0.0256331378585
19,35.1888493719,35.7227663622,32.885747804,32.4121324636,31.9022553548,-0.0245346200469
20,35.394665554,35.9319730532,33.0770350127,32.6009210402,32.0887252765,-0.0228696879662
21,35.3944473294,35.9311724053,33.0775868834,32.6012444694,32.0878239762,-0.0238365325353
22,35.3945528858,35.9314578826,33.0772989517,32.6008518268,32.0883056818,-0.0207011829013
23,35.3945247551,35.931284145,33.0769359613,32.6008629337,32.0882020609,-0.0196169303688
24,35.3945142718,35.9312064561,33.0769186368,32.600873143,32.0881534299,-0.0185326778364
25,35.3945043482,35.9311269898,33.0769157257,32.6008590765,32.0881223269,-0.0174484253039
26,35.3944658311,35.9311131333,33.0769033542,32.6008747216,32.0880958057,-0.0171003658353
27,35.394433026,35.9311163764,33.0769200824,32.6008536409,32.0880812068,-0.0167523063667
28,35.3943956196,35.931153768,33.0769224272,32.6008817397,32.0880544521,-0.0164042468981
29,35.3943643251,35.9311909569,33.0769248846,32.6008605621,32.0880459633,-0.0160561874295
30,35.3943338953,35.9312110971,33.076927456,32.600876502,32.0880128004,-0.0157081279609
31,35.394300217,35.9312479874,33.076930141,32.6008676798,32.0880044712,-0.0153600684923
32,34.923287907,35.4524931534,32.6383309119,32.1688471083,31.6607388501,-0.0314251630005
33,34.9242551047,35.454512223,32.6383398286,32.1685528152,31.6633152601,-0.0144519469727
34,34.9235237351,35.4536418909,32.639059754,32.1690195084,31.6618801982,-0.0217975498884
35,34.9236260406,35.4539462167,32.6388687254,32.1688876377,31.6623073398,-0.0185597161759
36,34.9235422352,35.4539459127,32.6388886126,32.1688948957,31.662270071,-0.0183173415827
37,34.9234663941,35.4540014102,32.6388882671,32.1688939596,31.6622484065,-0.0179711352041
38,34.9234143164,35.4540725606,32.6389020808,32.1688963566,31.6622594269,-0.0188611923856
39,34.9233932083,35.4541589688,32.6389160153,32.1689058765,31.6622668009,-0.0197144398215
40,34.9234750045,35.4542766695,32.6389299209,32.1689012786,31.6622758789,-0.0203665418987
41,34.9234943978,35.4543737396,32.6389440129,32.1689109297,31.6622827043,-0.0211475770684
42,34.9235058307,35.4544194377,32.6389630651,32.1689064237,31.6622890728,-0.0219460271865
43,34.9235223618,35.4544799516,32.6389722151,32.168908982,31.6622966703,-0.0227279824682
44,35.5695497166,36.1124134362,33.2399905946,32.7622412911,32.2461535025,-0.031299298114
45,35.5696966823,36.110117296,33.242091432,32.7633433611,32.2458871388,-0.0290450503885
46,35.5700497748,36.1112915616,33.2412110263,32.7627854116,32.2477043549,-0.0223109339791
47,35.5699342353,36.1109782993,33.2414877351,32.7629660056,32.2474532789,-0.0235414281001
48,35.5699324042,36.110973576,33.2415324734,32.7629939706,32.2474696461,-0.0247719222212
49,35.5699117476,36.1109687291,33.2415774999,32.7630155962,32.2474915756,-0.0260024163422
50,35.5699071261,36.1109629537,33.2416063456,32.7630301199,32.2474909557,-0.0262285327833
51,35.5699071719,36.1109571803,33.2416184959,32.7630317263,32.2474903009,-0.0264546492243
52,35.5698976566,36.1109514081,33.2416391955,32.7630528064,32.2474896092,-0.0266807656654
53,35.5698881229,36.1109456366,33.2417299872,32.7630609301,32.2474888783,-0.0269068821064
54,35.5698832403,36.1109531232,33.2417425952,32.7630625356,32.2474939474,-0.0271329985475
55,35.5698690007,36.110934094,33.2417642205,32.7630772178,32.2474872883,-0.0273591149885
56,35.2457576561,35.7807129314,32.9399990062,32.4657995281,31.9531234772,-0.0344615929119
57,35.2461019733,35.7819025642,32.9390614455,32.4652024188,31.9548365117,-0.0278113478706
58,35.2459331418,35.7813645613,32.9394528856,32.4654633628,31.954339033,-0.0280374643117
59,35.2459647931,35.7814786971,32.9393494791,32.4654252562,31.9544476675,-0.0282635807527
60,35.2459572859,35.7815122962,32.9393444984,32.4654137361,31.9544470809,-0.0284896971938
61,35.2459586096,35.7815065116,32.9393309337,32.4654022707,31.9544634297,-0.0287158136348
62,35.2459639082,35.7815347534,32.9393295555,32.4654016727,31.9544559195,-0.0286316772847
63,35.2459514014,35.7815499005,32.9393281774,32.4654076064,31.9544540333,-0.0285475409345
64,35.2459567,35.7815520492,32.9393182134,32.4654004766,31.9544521472,-0.0284634045843
65,35.2459619985,35.7815671644,32.939325421,32.4653998786,31.954450261,-0.0283792682342
66,35.2459695375,35.7815693129,32.9393240429,32.4654123575,31.9544483748,-0.028295131884
67,35.2459725956,35.7815714612,32.9393140793,32.4653986827,31.9544408329,-0.0282109955339
68,35.2172492105,35.7529961888,32.9131553744,32.4390983869,31.9281919171,-0.0312716318002
69,35.2172663686,35.753110295,32.9130649645,32.4390192729,31.9283992255,-0.0298118971097
70,35.2172386222,35.7530257006,32.9131043429,32.439067616,31.9282714408,-0.0302637168736
71,35.2172258618,35.7530537988,32.9130939,32.4390455209,31.9282782059,-0.02994799109
72,35.2172105065,35.7530257167,32.9130937031,32.439051666,31.9282609945,-0.0297690404586
73,35.2172001049,35.7530254558,32.9130934932,32.4390578164,31.9282423944,-0.0295980117945
74,35.2171607346,35.7530144505,32.9130902792,32.4390459655,31.9282345114,-0.029840327477
75,35.2171312527,35.7530311546,32.9130870671,32.4390481204,31.928227163,-0.0300795928298
76,35.2170992734,35.7529924233,32.9130838599,32.4390292891,31.9282184022,-0.0303269159156
77,35.217067276,35.7530091296,32.9130707475,32.43903843,31.9282106459,-0.0305685083261
78,35.2170401167,35.7530119264,32.9130675345,32.4390126209,31.9282039107,-0.0308042760357
79,35.2170032204,35.7530009076,32.913054471,32.4390147507,31.9281957458,-0.0310481997907
80,35.5404032032,36.0818682631,33.2136944432,32.7356564884,32.2214692852,-0.028535576644
81,35.5400356687,36.0807754419,33.2150016187,32.7362286845,32.2199358578,-0.0339210687829
82,35.5401937783,36.0813296778,33.2145528879,32.7359307916,32.2209489661,-0.0292086674453
83,35.5401368869,36.081840069,33.2146651085,32.736000551,32.220801863,-0.0297400701877
84,35.5401201298,36.0818316299,33.2146616718,32.7360028635,32.2208079663,-0.0300848376596
85,35.5401033125,36.0818100365,33.2146761071,32.7359922264,32.2207974524,-0.03052439934
86,35.5401014071,36.0818204432,33.2146688446,32.7360059857,32.2207920637,-0.0306678282282
87,35.5400907365,36.0818178831,33.2146882637,32.7359936232,32.2207848529,-0.0308216516695
88,35.5400931833,36.0817894985,33.2146809901,32.7360074078,32.2207785024,-0.0309705677197
89,35.5400825316,36.0818127922,33.2146915306,32.7360081149,32.2207731001,-0.0311140744541
90,35.5400805996,36.081810237,33.2147021132,32.7359957498,32.2207667325,-0.031263088041
91,35.5400743093,36.081781856,33.2146948007,32.7360095326,32.2207619074,-0.0314033020463
92,34.8342111043,35.3664824037,32.5605526407,32.0876798378,31.5804492196,-0.0514238318459
93,34.8351937655,35.3667686067,32.5567564684,32.0874798561,31.5837928872,-0.0308055963913
94,34.8347890883,35.3654244998,32.5577841905,32.088178448,31.5817197794,-0.0410395249251
95,34.8348700843,35.3657943935,32.5575193705,32.0879712223,31.5823005599,-0.0376872592972
96,34.8348527914,35.3657873405,32.557503697,32.0879671514,31.5823067036,-0.0376130365698
