,t41,t42,t43,t44,t45,t5
0,23.4009094832,23.3979057712,23.4006233731,23.400714838,23.4002582217,21.3511058559
1,23.4010108676,23.4003491191,23.4006298205,23.4007032792,23.3999107528,21.3333833511
2,23.3989814716,23.3992475153,23.4001395976,23.3999225447,23.4008900866,21.3220873637
3,23.3996775807,23.4007444353,23.3994396145,23.3991173195,23.3997043563,21.3113197224
4,23.3998762612,23.4007602013,23.3989526017,23.3987152237,23.4005466,21.3014851299
5,23.3997030499,23.400517688,23.3985447519,23.3988686548,23.400075802,21.2942309816
6,23.3984959098,23.4010039644,23.4001929431,23.4001334666,23.400027879,21.2900301702
7,23.3986749357,23.3984804496,23.4001729473,23.4011577513,23.3999544568,21.2885764232
8,23.5025543616,23.4997580932,23.5044474363,23.5009109385,23.5053124401,21.2919008461
9,23.5096264796,23.5075877252,23.5104469895,23.5082829415,23.5097182222,21.3244456106
10,23.5104889907,23.5085359038,23.5102175128,23.5108815059,23.5095599866,21.3504815912
11,23.5094264718,23.5094301391,23.5098254104,23.5107726315,23.5095552241,21.3676327133
12,23.510191186,23.5112081248,23.510322934,23.5104878423,23.5103554009,21.3832046844
13,23.5091606642,23.5091627228,23.5106185994,23.509130196,23.5100791565,21.4018641687
14,23.5111822761,23.5100725219,23.5111429098,23.5085433096,23.5098800622,21.4244689088
15,23.5093317683,23.5102489637,23.5100522207,23.510475415,23.5098608389,21.4505600571
16,23.5104432027,23.5095047786,23.5104478611,23.5100212421,23.5098511088,21.4791543357
17,23.5093233573,23.5111113896,23.5113649058,23.5102721014,23.5098425538,21.5095479975
18,23.5101639814,23.5091523124,23.5115826134,23.5082436404,23.5098346367,21.5413866174
19,23.5090759165,23.5101151401,23.5105946297,23.5123654984,23.5098271501,21.5745270745
20,23.6428422415,23.6407485729,23.6433084028,23.6368230048,23.6433992438,21.6019582125
21,23.6498257593,23.6483900262,23.6499173265,23.649902643,23.6494707174,21.6551194126
22,23.6503095917,23.6511015715,23.6501245275,23.6488467834,23.6495412618,21.698756479
23,23.6509626944,23.6515548117,23.6499954809,23.6515071318,23.6505453561,21.730339621
24,23.6505147228,23.6500201711,23.6506643939,23.6508227696,23.6500394233,21.7574321248
25,23.6495666434,23.6494661802,23.6494955459,23.6517925348,23.6504236475,21.7848746358
26,23.6493695418,23.6516739293,23.6518078233,23.64832831,23.6498915348,21.8135933251
27,23.6508631399,23.6508234644,23.6518678752,23.6524835962,23.6502440038,21.8427000107
