,prediction,real
0,23.4121502556,23.4006298205
1,23.4167469549,23.4001395976
2,23.4172874948,23.3994396145
3,23.4191001315,23.3989526017
4,23.4191736272,23.3985447519
5,23.4194090383,23.4001929431
6,23.4190643954,23.4001729473
7,23.417696015,23.5044474363
8,23.4982986609,23.5104469895
9,23.5202117202,23.5102175128
10,23.5261035308,23.5098254104
11,23.5283231787,23.510322934
12,23.5287981323,23.5106185994
13,23.5288932731,23.5111429098
14,23.5296309936,23.5100522207
15,23.5292600196,23.5104478611
16,23.5290650875,23.5113649058
17,23.5295421998,23.5115826134
18,23.5297379723,23.5105946297
19,23.5286902405,23.6433084028
20,23.6283300643,23.6499173265
21,23.6527549515,23.6501245275
22,23.6612099957,23.6499954809
23,23.6619191896,23.6506643939
24,23.6621832382,23.6494955459
25,23.6614595496,23.6518078233
26,23.6637077148,23.6518678752
27,23.6623578356,23.6508507114
28,23.6635260182,23.6503088772
29,23.6626574653,23.650543722
30,23.6630359946,23.6511566253
31,23.661644911,23.3346442883
32,23.4408833259,23.3302618131
33,23.3821705107,23.3293255644
34,23.3650535697,23.3315686651
35,23.3603116789,23.3311516246
36,23.358134288,23.3296615332
37,23.3572276289,23.3293768905
38,23.3567413667,23.3303991216
39,23.3575546586,23.3310776371
40,23.3571388964,23.3314558849
41,23.3579981008,23.3305581576
42,23.3577641045,23.330849224
43,23.3571897888,23.763131883
44,23.6552429169,23.7711026494
45,23.7424248675,23.7718468042
46,23.7673220396,23.7705379634
47,23.7753572278,23.7704619766
48,23.7780586271,23.7711276931
49,23.7792815019,23.7700182388
50,23.780067975,23.7705207158
51,23.7790844989,23.7715056499
52,23.7786960802,23.7705154219
53,23.7791848743,23.7701975902
54,23.778927748,23.7695740371
55,23.7790539527,23.5597475726
56,23.6213747905,23.5511552108
57,23.5829123532,23.5497319557
58,23.5715605039,23.5502979242
59,23.5673454088,23.5499095985
60,23.5680859434,23.550630046
61,23.5666483869,23.5508748176
62,23.5652931782,23.5502974825
63,23.5662916727,23.5516572874
64,23.5668426,23.5513045723
65,23.5666794301,23.5500788712
66,23.5674276419,23.5514758597
67,23.5670771913,23.5317479681
68,23.5548050098,23.5295635378
69,23.5512988963,23.5297720843
70,23.5503761955,23.5307632125
71,23.5500366321,23.5314831423
72,23.5490577383,23.5316608655
73,23.5490936116,23.5317393355
74,23.5487153898,23.5312357345
75,23.5505728968,23.52962712
76,23.5494558435,23.5298026142
77,23.5497502177,23.5295130076
78,23.5496953605,23.5300919636
79,23.5497354175,23.7398484917
80,23.7027586377,23.7495566859
81,23.7446976118,23.7508061856
82,23.7548714158,23.7499708862
83,23.7587183251,23.7514003694
84,23.7611436743,23.7506988277
85,23.760568513,23.7520399727
86,23.7610336317,23.7505207232
87,23.7610284998,23.7511675462
88,23.7602257935,23.7515248329
89,23.7611282747,23.7498583658
90,23.7612067167,23.750940071
91,23.7600913195,23.280983478
92,23.4225297951,23.2704075559
93,23.3353188307,23.2703935186
94,23.3115791406,23.2701849079
95,23.3054540405,23.2710584388
96,23.3038928205,23.2701060347
97,23.3029318556,23.2715487316
98,23.3022731447,23.2715622735
99,23.3026428484,23.269821339
100,23.3025047746,23.2716232284
101,23.3016698463,23.2710699094
102,23.3019880692,23.270922163
103,23.3022525524,23.3285213528
104,23.3440234495,23.3316925225
105,23.3556140301,23.3315802631
106,23.3591970623,23.32974423
107,23.3597196884,23.3303040966
108,23.3584604557,23.330086928
109,23.3601866098,23.3315213934
110,23.3602472486,23.3315636956
111,23.3604659257,23.3315130157
112,23.3604438571,23.3309089266
113,23.3600633611,23.3308440607
114,23.3599963795,23.3302418204
115,23.3595579098,23.2641896442
116,23.3067725819,23.2610076249
117,23.2939296753,23.2619989478
118,23.2892023947,23.2602154249
119,23.2864957182,23.2605934847
120,23.2868984585,23.2597209242
121,23.286098327,23.2602213194
122,23.2867961531,23.2593990104
123,23.2873682789,23.2605636082
124,23.287453814,23.2609774477
125,23.2855874446,23.2614684247
126,23.2856225877,23.2608250374
127,23.2847510023,23.4997578016
128,23.4598041652,23.5106465334
129,23.5044514011,23.509169558
130,23.5176512895,23.5113095892
131,23.5220779014,23.509840697
132,23.5247263244,23.5098251324
133,23.5240769232,23.5109427228
134,23.5250447636,23.5090804923
135,23.5238891508,23.509424329
136,23.5241014661,23.5111214339
137,23.5233224721,23.5097964799
138,23.5235075698,23.5104747488
139,23.5235680418,23.5393852697
140,23.5436834114,23.5396780322
141,23.5505417352,23.5403262436
142,23.5507550253,23.5415094574
143,23.5512863858,23.5393789561
144,23.5520578595,23.5389324205
145,23.552428443,23.5394977433
146,23.5529793549,23.5398104661
147,23.5526962183,23.5395020449
148,23.551759608,23.5415790908
149,23.552870494,23.5410640356
150,23.5539573394,23.5390474309
151,23.5531781059,23.7700123509
152,23.7226249219,23.7792347148
153,23.7633946568,23.7797916281
154,23.7757198347,23.781287009
155,23.7791730187,23.7788632978
156,23.7792184979,23.7790490674
157,23.7810003249,23.7799455272
158,23.7816165345,23.7795846636
159,23.7823292571,23.7798764298
160,23.7831533084,23.7816073636
161,23.7831967846,23.7800934509
162,23.7823327988,23.7806685751
163,23.7832427988,23.3853613052
164,23.5060785909,23.3795937257
165,23.4317409982,23.3804403124
166,23.409767312,23.3799400282
167,23.4031313046,23.3805140615
168,23.4011730017,23.3812457253
169,23.4007730358,23.3815958985
170,23.3989915478,23.3788482745
171,23.3983821361,23.3787429484
172,23.399483817,23.3805087009
173,23.3991111427,23.3797237591
174,23.39898445,23.3810738254
175,23.398702045,23.2554595919
176,23.3077908265,23.250252962
177,23.2815169715,23.2505446745
178,23.2761202461,23.2506778978
179,23.2746012806,23.2498898982
180,23.2729201495,23.2490706329
181,23.2732256825,23.248868501
182,23.2719017895,23.2493722426
183,23.272376724,23.2504121039
184,23.2714091965,23.2496296547
185,23.2724420132,23.2510938975
186,23.2716792682,23.2496190569
187,23.2724806517,23.5345908123
188,23.4862655328,23.5494009578
189,23.5382777739,23.5491067013
190,23.5523458468,23.5494118354
191,23.5570096106,23.5509498564
192,23.5587477091,23.5512680918
193,23.5607832587,23.5494421867
194,23.5604094819,23.5497323068
195,23.5610391251,23.5494335242
196,23.5601730215,23.5508069881
197,23.5610863618,23.5506080649
198,23.5595487873,23.55159349
199,23.56052669,23.2633934628
200,23.3499938219,23.250761635
201,23.2953827329,23.2500175448
202,23.2792158661,23.2486995719
203,23.2740128969,23.2495494236
204,23.272802114,23.2496220639
205,23.2734617231,23.2500628159
206,23.2734913212,23.2494341322
207,23.2721187474,23.2496690729
208,23.2717280777,23.2493295114
209,23.2715373626,23.2499936057
210,23.2724776985,23.2500529996
211,23.2730406076,23.6511987162
212,23.552031859,23.6594041746
213,23.6318832939,23.659703995
214,23.6554870528,23.6589904102
215,23.6627324458,23.6602618708
216,23.6652726071,23.6592100092
217,23.6653046854,23.6616246603
218,23.6674857146,23.6614736417
219,23.6661466175,23.6604751636
220,23.6653813561,23.6601384544
221,23.6664049029,23.6604239503
