,prediction,real
0,23.7478329168,
1,23.7530390728,23.7509208986
2,23.7530755718,23.7492725536
3,23.7511501835,23.7514438796
4,23.7526057074,23.7475169847
5,23.7532702698,23.7487904583
6,23.7520171161,23.7502431988
7,23.751945404,23.7493793408
8,23.752917263,23.7476458564
9,23.7523778724,23.7472270647
10,23.7532799601,23.7469960991
11,23.751650989,23.7495595522
12,23.940064178,23.9210512854
13,23.9373214955,23.9356883426
14,23.9377450593,23.9401131129
15,23.9374095064,23.9404675011
16,23.9378567037,23.9372900389
17,23.9369480037,23.9403042741
18,23.9366076229,23.9416857387
19,23.9368333926,23.9375753533
20,23.936627385,23.938430601
21,23.9380393628,23.9378716488
22,23.9364192966,23.9415409182
23,23.9375478075,23.9374181695
24,23.9774293675,23.9753213834
25,23.9762719532,23.9801190868
26,23.9753266294,23.9792266051
27,23.9760391174,23.9817806827
28,23.9767467861,23.9786715392
29,23.9743938515,23.9794638892
30,23.9752787044,23.9793476646
31,23.9761716831,23.9795117758
32,23.9745878217,23.9807738442
33,23.9754085655,23.9827997621
34,23.9746392744,23.9810520723
35,23.9745684235,23.9828328395
36,24.0351505848,24.0348300466
37,24.0347551129,24.0398792594
38,24.0328785164,24.0426405578
39,24.0323367377,24.0395990669
40,24.0325115273,24.0412622344
41,24.0346202434,24.0391736609
42,24.0339726003,24.0375901447
43,24.0329918752,24.0390287291
44,24.034266943,24.0427742874
45,24.0336944779,24.0398436001
46,24.0336381583,24.0406472452
47,24.0334813473,24.0413796565
48,24.1022560071,24.1063530176
49,24.1017680424,24.1074647726
50,24.1015535174,24.1118286317
51,24.1026572719,24.1096766054
52,24.1024237303,24.1127840807
53,24.1030170937,24.1110959159
54,24.1039176545,24.1078960886
55,24.1010555968,24.1095462816
56,24.1010873066,24.1095599072
57,24.1015628584,24.1085116764
58,24.1019989887,24.1078323621
59,24.1006507797,24.107805041
60,24.2399646397,24.238605513
61,24.2385389974,24.2507959441
62,24.2385329118,24.2512928229
63,24.2366150317,24.2522133841
64,24.23731369,24.2520756876
65,24.239754064,24.2487609457
66,24.2373990777,24.2491596536
67,24.239385532,24.2480066856
68,24.2387744116,24.2494051372
69,24.238903129,24.2477558202
70,24.2390133603,24.2481770897
71,24.237179569,24.2524710277
72,24.1377803923,24.158344595
73,24.1408285465,24.1490569185
74,24.140500808,24.1506754015
75,24.1405647481,24.1528015367
76,24.1413637679,24.1484442719
77,24.1408858491,24.1496787247
78,24.141861857,24.1525955665
79,24.1404545984,24.1501109871
80,24.1405792619,24.1491694487
81,24.1399294535,24.1527000714
82,24.1412324885,24.152318617
83,24.1384829636,24.1528892244
84,23.9706657062,23.9959949398
85,23.9732477837,23.9791641724
86,23.9760195522,23.9787567633
87,23.9750185752,23.98207038
88,23.9756071643,23.9805509396
89,23.9753287598,23.982551067
90,23.9753017408,23.9827033144
91,23.9747644501,23.9823281247
92,23.9761865361,23.979040604
93,23.9759812254,23.9805662925
94,23.9756618198,23.9800264804
95,23.9746419911,23.9827794641
96,23.7560448385,23.7801984953
97,23.7605717998,23.762185816
98,23.7610060333,23.7614219464
99,23.7619925176,23.7609153948
100,23.7609659674,23.7629580807
101,23.7605245024,23.7606797599
102,23.7610597928,23.7625860158
103,23.7620850137,23.7574332106
104,23.7607927326,23.7583834824
105,23.7600223539,23.7621024117
106,23.7610008693,23.7610040403
107,23.7603981954,23.7625979027
108,23.891294117,23.8764623524
109,23.8879917696,23.8916664093
110,23.8877081928,23.890662413
111,23.8884901857,23.8890736323
112,23.8872429666,23.8917532941
113,23.8882550062,23.8884489421
114,23.8870844226,23.8912776633
115,23.8872462022,23.8877394269
116,23.8866783988,23.8895887798
117,23.887123772,23.8890032291
118,23.8862978958,23.8892864609
119,23.8867872639,23.890209206
120,23.4657183364,23.4723507902
121,23.4693711783,23.4592066745
122,23.4693246545,23.4606292787
123,23.4692066231,23.4593774294
124,23.4694249758,23.4580665012
125,23.4687137609,23.4580053638
126,23.4693931714,23.4581681475
127,23.4692380682,23.4578736598
128,23.4690635386,23.4598746388
129,23.4687763305,23.4587312367
130,23.4686243459,23.4613226682
131,23.4690632106,23.4581386389
132,23.5552144911,23.5424742653
133,23.5564026396,23.5498228408
134,23.5557217706,23.5512828202
135,23.556321195,23.547741123
136,23.556465498,23.5495915239
