,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,sp0,m,rh
7000,7000,-1.99166666667,42.1666666667,1455.12960757,23.400714838,23.4009094832,23.4006233731,23.4002582217,21.3511058559,23.4,0.54206364807,6168.40138266
7001,7001,-1.95,46.0,1455.12960757,23.4007032792,23.4010108676,23.4006298205,23.3999107528,21.3333833511,23.4,0.54206364807,6168.42054
7002,7002,-1.90833333333,59.1666666667,1455.12960757,23.3999225447,23.3989814716,23.4001395976,23.4008900866,21.3220873637,23.4,0.54206364807,6168.44744201
7003,7003,-1.86666666667,72.3333333333,1455.12960757,23.3991173195,23.3996775807,23.3994396145,23.3997043563,21.3113197224,23.4,0.54206364807,6168.47092534
7004,7004,-1.825,85.5,1455.12960757,23.3987152237,23.3998762612,23.3989526017,23.4005466,21.3014851299,23.4,0.54206364807,6168.49833744
7005,7005,-1.78333333333,98.6666666667,1455.12960757,23.3988686548,23.3997030499,23.3985447519,23.400075802,21.2942309816,23.4,0.54206364807,6168.52672526
7006,7006,-1.74166666667,111.833333333,1351.67953794,23.4001334666,23.3984959098,23.4001929431,23.400027879,21.2900301702,23.4,0.54206364807,6191.44189266
7007,7007,-1.7,125.0,1351.67953794,23.4011577513,23.3986749357,23.4001729473,23.3999544568,21.2885764232,23.4,0.54206364807,6191.47223185
7008,7008,-1.60833333333,138.166666667,4022.60115966,23.5009109385,23.5025543616,23.5044474363,23.5053124401,21.2919008461,23.51,0.54206364807,5717.56525914
7009,7009,-1.51666666667,151.333333333,4022.60115966,23.5082829415,23.5096264796,23.5104469895,23.5097182222,21.3244456106,23.51,0.54206364807,5016.56913873
7010,7010,-1.425,164.5,4022.60115966,23.5108815059,23.5104889907,23.5102175128,23.5095599866,21.3504815912,23.51,0.54206364807,5288.13763496
7011,7011,-1.33333333333,177.666666667,4022.60115966,23.5107726315,23.5094264718,23.5098254104,23.5095552241,21.3676327133,23.51,0.54206364807,5153.6365777
7012,7012,-1.24166666667,190.833333333,4022.60115966,23.5104878423,23.510191186,23.510322934,23.5103554009,21.3832046844,23.51,0.54206364807,5099.96924359
7013,7013,-1.15,204.0,3712.25095077,23.509130196,23.5091606642,23.5106185994,23.5100791565,21.4018641687,23.51,0.54206364807,5099.9949604
7014,7014,-1.05833333333,219.166666667,3712.25095077,23.5085433096,23.5111822761,23.5111429098,23.5098800622,21.4244689088,23.51,0.54206364807,5072.9546012
7015,7015,-0.966666666667,234.333333333,3712.25095077,23.510475415,23.5093317683,23.5100522207,23.5098608389,21.4505600571,23.51,0.54206364807,5045.79791927
