,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
0,-2.29166666667,0.0,0.0,21.5508905461,23.7655238816,23.7685748274,23.7603025524,23.7711759669,23.762192852,4.9475065844,21.5718187512
1,-1.78333333333,0.0,0.0,21.5084293109,23.7504475369,23.7501241484,23.7532233533,23.7509208986,23.7503379417,5.08963223492,21.5508905461
2,-1.275,0.0,0.0,21.4625656891,23.7509571111,23.7505960128,23.7506351311,23.7492725536,23.7505123705,5.02338409998,21.5084293109
3,-0.766666666667,0.0,0.0,21.430408643,23.7484166098,23.7483968624,23.7480664957,23.7514438796,23.7504600176,5.04221091423,21.4625656891
4,-0.258333333333,0.0,0.0,21.4122578364,23.7498515957,23.747238815,23.7491211609,23.7475169847,23.7503918778,5.04547901966,21.430408643
5,0.25,0.0,0.0,21.4022841172,23.7509593865,23.7519806567,23.7486850987,23.7487904583,23.7495114582,5.04572676859,21.4122578364
6,0.758333333333,0.0,0.0,21.3966381889,23.7500254148,23.747506201,23.7493511832,23.7502431988,23.7504545263,5.04727738969,21.4022841172
7,1.26666666667,0.0,0.0,21.3942753382,23.7484710121,23.7500407213,23.7497976905,23.7493793408,23.7500517452,5.04689801775,21.3966381889
8,1.775,0.0,0.0,21.3954211928,23.7507323049,23.7474305551,23.7472040999,23.7476458564,23.7494480005,5.04649992527,21.3942753382
9,2.28333333333,0.0,0.0,21.4003565972,23.748833343,23.7513095381,23.7490820317,23.7472270647,23.7497699049,5.04710483494,21.3954211928
10,2.79166666667,0.0,0.0,21.4090072929,23.7503979968,23.7511043678,23.7507685131,23.7469960991,23.7497985205,5.04377439545,21.4003565972
11,3.3,0.0,0.0,21.4211811043,23.7501906168,23.7513447977,23.7477384925,23.7495595522,23.7502632699,5.0415783759,21.4090072929
12,3.20833333333,0.0,0.0,21.4420945605,23.9269454791,23.9240268246,23.9270698934,23.9210512854,23.9304179329,5.1469903584,21.4211811043
13,3.11666666667,0.0,0.0,21.4809058882,23.9389656679,23.9382794178,23.9389384794,23.9356883426,23.9399652581,5.04844870983,21.4420945605
14,3.025,0.0,0.0,21.5240545756,23.9394915685,23.9416634973,23.9409374687,23.9401131129,23.9388330187,5.09764518242,21.4809058882
15,2.93333333333,0.0,0.0,21.5589381491,23.9393994213,23.9391696856,23.9416198411,23.9404675011,23.9393442503,5.08888589053,21.5240545756
16,2.84166666667,0.0,0.0,21.5849937385,23.9397759378,23.9416882056,23.9406916844,23.9372900389,23.93941211,5.08958937218,21.5589381491
17,2.75,0.0,0.0,21.6061024263,23.9393054831,23.9427862206,23.9377547842,23.9403042741,23.9388033233,5.09161432415,21.5849937385
18,2.65833333333,0.0,0.0,21.6250029776,23.941520862,23.9390163995,23.9393133939,23.9416857387,23.9403800882,5.09447875788,21.6061024263
19,2.56666666667,0.0,0.0,21.6423878,23.9391234408,23.9393729839,23.9394592994,23.9375753533,23.939960887,5.09442279326,21.6250029776
20,2.475,0.0,0.0,21.6578883788,23.9390175084,23.9382654884,23.9419837801,23.938430601,23.9406349297,5.09672516126,21.6423878
21,2.38333333333,0.0,0.0,21.6712950921,23.93970334,23.940657184,23.9417176406,23.9378716488,23.9391782129,5.09700792443,21.6578883788
22,2.29166666667,0.0,0.0,21.6825524137,23.9393396441,23.9399971389,23.9378937888,23.9415409182,23.9391602658,5.09970412569,21.6712950921
23,2.2,0.0,0.0,21.6920027397,23.9419048286,23.941914758,23.9381522263,23.9374181695,23.9399149555,5.10343236866,21.6825524137
24,2.10833333333,0.0,0.0,21.7002387441,23.9790092806,23.9756339672,23.9762140839,23.9753213834,23.9771243867,5.12733879416,21.6920027397
25,2.01666666667,0.0,0.0,21.7095364202,23.9809022976,23.9797446962,23.980450173,23.9801190868,23.9796636024,5.10978218216,21.7002387441
26,1.925,0.0,0.0,21.7176832214,23.9795966254,23.9792588737,23.9803679916,23.9792266051,23.9803954974,5.12223394649,21.7095364202
27,1.83333333333,0.0,0.0,21.7225888347,23.9818518631,23.9779941263,23.9803992677,23.9817806827,23.979915989,5.12418737993,21.7176832214
28,1.74166666667,0.0,0.0,21.724409067,23.9812295893,23.9784017417,23.9790517908,23.9786715392,23.9790802384,5.12716874116,21.7225888347
29,1.65,0.0,0.0,21.7240968697,23.9789153089,23.9801888998,23.9787925116,23.9794638892,23.9807649983,5.13131276955,21.724409067
30,1.55833333333,0.0,0.0,21.7226019124,23.9804678619,23.9822612112,23.9799519772,23.9793476646,23.9806972363,5.13447272456,21.7240968697
31,1.46666666667,0.0,0.0,21.7202151486,23.9789744893,23.9804926836,23.9816386753,23.9795117758,23.9792533707,5.13730899472,21.7226019124
32,1.375,0.0,0.0,21.7168078079,23.9792145705,23.9817650007,23.9776913463,23.9807738442,23.9800316072,5.14023906059,21.7202151486
33,1.28333333333,0.0,0.0,21.7126853259,23.9796067248,23.9776074193,23.9799415887,23.9827997621,23.9792874386,5.14641433616,21.7168078079
34,1.19166666667,0.0,0.0,21.7076924319,23.9786478598,23.9795753979,23.9786977678,23.9810520723,23.979916215,5.14741306519,21.7126853259
35,1.1,0.0,0.0,21.7020872596,23.9798043464,23.9805120474,23.9823280386,23.9828328395,23.9811173221,5.15267454708,21.7076924319
36,1.1,0.0,0.0,21.6994949909,24.0388449009,24.0366265614,24.0358851868,24.0348300466,24.0378048028,5.18272402865,21.7020872596
37,1.1,0.0,0.0,21.7036092489,24.0413257982,24.0422031309,24.037212085,24.0398792594,24.0388258704,5.15216581532,21.6994949909
38,1.1,0.0,0.0,21.7094863595,24.0399515738,24.0413930724,24.0401159602,24.0426405578,24.04067834,5.16604339254,21.7036092489
39,1.1,0.0,0.0,21.7129539873,24.0383144285,24.0398486,24.038315518,24.0395990669,24.0408685551,5.1595501155,21.7094863595
40,1.1,0.0,0.0,21.71386186,24.0382582546,24.0415511108,24.0378123963,24.0412622344,24.0400690776,5.15984921917,21.7129539873
41,1.1,0.0,0.0,21.7135528235,24.0395009787,24.0394290287,24.0404385619,24.0391736609,24.0391577708,5.15790859705,21.71386186
42,1.1,0.0,0.0,21.7129831098,24.0412293432,24.0383186098,24.0392210195,24.0375901447,24.0408504116,5.1549645487,21.7135528235
43,1.1,0.0,0.0,21.7128069248,24.0395787708,24.0405384197,24.0390427809,24.0390287291,24.0409606094,5.1550461382,21.7129831098
44,1.1,0.0,0.0,21.7129170071,24.0409879185,24.0384116323,24.0416063259,24.0427742874,24.0397894914,5.15316888736,21.7128069248
45,1.1,0.0,0.0,21.7130349654,24.0407881473,24.0403611143,24.0401964795,24.0398436001,24.0407691181,5.15035292324,21.7129170071
46,1.1,0.0,0.0,21.713277078,24.0401864139,24.0423211125,24.0398756334,24.0406472452,24.0402672925,5.1505290388,21.7130349654
47,1.1,0.0,0.0,21.7135753865,24.0404012739,24.0382956242,24.042364264,24.0413796565,24.0410989846,5.148700861,21.713277078
48,1.15,0.0,0.0,21.71472938,24.1056089502,24.1037021749,24.1053026723,24.1063530176,24.1070163542,5.20903960484,21.7135753865
49,1.2,0.0,0.0,21.7186770454,24.1104886401,24.1075330553,24.1086755021,24.1074647726,24.1108029092,5.15891610783,21.71472938
50,1.25,0.0,0.0,21.7224283258,24.1098292554,24.109932914,24.1078297684,24.1118286317,24.1093379542,5.18807416988,21.7186770454
51,1.3,0.0,0.0,21.7225888795,24.1103196034,24.1118166755,24.1124715106,24.1096766054,24.1099378477,5.19010429791,21.7224283258
52,1.35,0.0,0.0,21.7195043784,24.1112922627,24.1099891682,24.1125406081,24.1127840807,24.1099291328,5.19383701259,21.7225888795
53,1.4,0.0,0.0,21.7150160834,24.1115963478,24.1106627874,24.1114292574,24.1110959159,24.1093900929,5.20258048236,21.7195043784
54,1.45,0.0,0.0,21.7101854625,24.1111763724,24.1124713839,24.111719999,24.1078960886,24.1088304179,5.21064477258,21.7150160834
55,1.5,0.0,0.0,21.7053557605,24.1104629849,24.1076682672,24.1079490703,24.1095462816,24.1107455235,5.21805359967,21.7101854625
56,1.55,0.0,0.0,21.7007887979,24.1097628378,24.1079638136,24.1106315955,24.1095599072,24.1110971724,5.22823248542,21.7053557605
57,1.6,0.0,0.0,21.6962305124,24.1091094326,24.1107168275,24.1099429266,24.1085116764,24.1102025745,5.23339631869,21.7007887979
58,1.65,0.0,0.0,21.6916572089,24.1085071923,24.1125720241,24.1086892168,24.1078323621,24.109140698,5.24267982793,21.6962305124
59,1.7,0.0,0.0,21.6870343105,24.1079238146,24.1128497866,24.1089597317,24.107805041,24.1106732141,5.2507454829,21.6916572089
60,1.7,0.0,0.0,21.6953169165,24.2412306346,24.2379335242,24.2385149345,24.238605513,24.242479457,5.41196736771,21.6870343105
61,1.7,0.0,0.0,21.7151137345,24.2494344518,24.2494052853,24.2504496384,24.2507959441,24.249036391,5.23455064971,21.6953169165
62,1.7,0.0,0.0,21.7396195545,24.252304571,24.2483789298,24.2520954761,24.2512928229,24.2505345288,5.29315843815,21.7151137345
63,1.7,0.0,0.0,21.758805538,24.2488824834,24.2497685041,24.2487742901,24.2522133841,24.250322987,5.26614507452,21.7396195545
64,1.7,0.0,0.0,21.7719858326,24.2502663278,24.2523830759,24.2501485497,24.2520756876,24.2505039363,5.25806950371,21.758805538
65,1.7,0.0,0.0,21.7819540938,24.2520886857,24.2472889493,24.251062863,24.2487609457,24.2492559268,5.2423558923,21.7719858326
66,1.7,0.0,0.0,21.7910706562,24.2484547076,24.2514492731,24.2490889163,24.2491596536,24.2499795375,5.23050106728,21.7819540938
67,1.7,0.0,0.0,21.8006302031,24.2521273173,24.2509851472,24.2504858717,24.2480066856,24.249816438,5.22282298192,21.7910706562
68,1.7,0.0,0.0,21.8102162907,24.2497450218,24.2519738271,24.2504716729,24.2494051372,24.2491670697,5.20650542759,21.8006302031
69,1.7,0.0,0.0,21.8197966751,24.2501203851,24.251676133,24.2475691082,24.2477558202,24.2488005588,5.19843609099,21.8102162907
70,1.7,0.0,0.0,21.8291723069,24.2503381198,24.2485123946,24.2483655041,24.2481770897,24.2488913582,5.18737475019,21.8197966751
71,1.7,0.0,0.0,21.8382983279,24.2484788332,24.2494250029,24.2479526945,24.2524710277,24.2492853604,5.17483840733,21.8291723069
72,1.74166666667,0.0,0.0,21.8403225272,24.1541866298,24.1574599555,24.1545893921,24.158344595,24.1554487034,5.10696565155,21.8382983279
73,1.78333333333,0.0,0.0,21.83101912,24.1497823086,24.1504569284,24.1508503216,24.1490569185,24.1502506075,5.17693362149,21.8403225272
74,1.825,0.0,0.0,21.8172963198,24.1483925641,24.1526620092,24.1508758873,24.1506754015,24.1497803648,5.13766504223,21.83101912
75,1.86666666667,0.0,0.0,21.8070198041,24.1513286338,24.1501853852,24.1512210946,24.1528015367,24.1506383437,5.14646660272,21.8172963198
76,1.90833333333,0.0,0.0,21.8012423167,24.1494095186,24.1480236889,24.1478629302,24.1484442719,24.1488002739,5.15029945983,21.8070198041
77,1.95,0.0,0.0,21.7977782885,24.1508564753,24.1497106417,24.1499126216,24.1496787247,24.150332982,5.15986420049,21.8012423167
78,1.99166666667,0.0,0.0,21.7947980044,24.1518264787,24.147967588,24.149941689,24.1525955665,24.1488239312,5.16136700363,21.7977782885
79,2.03333333333,0.0,0.0,21.7916549272,24.1504434395,24.1475253995,24.148452228,24.1501109871,24.1501745902,5.16751738389,21.7947980044
80,2.075,0.0,0.0,21.7885416449,24.150608015,24.1505451855,24.1497998061,24.1491694487,24.1506543869,5.17441298648,21.7916549272
81,2.11666666667,0.0,0.0,21.7855246814,24.1501476649,24.1495558276,24.1485880099,24.1527000714,24.1500858397,5.17773411211,21.7885416449
82,2.15833333333,0.0,0.0,21.7826932389,24.1512812087,24.1494412006,24.1493460675,24.152318617,24.1492210099,5.18443252001,21.7855246814
83,2.2,0.0,0.0,21.7798581968,24.1482388765,24.1525864047,24.1477266365,24.1528892244,24.150752992,5.1877530989,21.7826932389
84,2.2,0.0,0.0,21.773357455,23.9870819812,23.9933225629,23.988388693,23.9959949398,23.9883327502,5.06548246347,21.7798581968
85,2.2,0.0,0.0,21.7559350818,23.9785167514,23.9819952933,23.9782913983,23.9791641724,23.9816677987,5.1723370326,21.773357455
86,2.2,0.0,0.0,21.7366896089,23.9807858305,23.9794237745,23.9796378359,23.9787567633,23.9798791078,5.10610351534,21.7559350818
87,2.2,0.0,0.0,21.7252434698,23.9821798491,23.9803631882,23.9796706507,23.98207038,23.9810509396,5.11039609136,21.7366896089
88,2.2,0.0,0.0,21.7220120466,23.97859267,23.982583042,23.9821951833,23.9805509396,23.9796885281,5.10856434278,21.7252434698
89,2.2,0.0,0.0,21.7226858326,23.9784073515,23.9817392733,23.980382964,23.982551067,23.9789903997,5.10387320251,21.7220120466
90,2.2,94.25,0.0,21.7240737719,23.9805486916,23.9827360407,23.9803021168,23.9827033144,23.9799760361,5.0977342428,21.7226858326
91,2.2,133.5,0.0,21.7257256559,23.9790300497,23.9817403138,23.980187634,23.9823281247,23.9800219452,5.09167670527,21.7240737719
92,2.2,172.75,0.0,21.7281194711,23.980543118,23.9819365736,23.9792548544,23.979040604,23.9794228947,5.08617904969,21.7257256559
93,2.2,212.0,0.0,21.7317226113,23.9795336764,23.9815170494,23.9801754156,23.9805662925,23.9790962678,5.08137149221,21.7281194711
94,2.2,251.25,0.0,21.7367250919,23.9792869344,23.9821307013,23.9802599051,23.9800264804,23.9795623685,5.07515041933,21.7317226113
95,2.2,290.5,0.0,21.7432771431,23.9818631649,23.9822509682,23.9784438392,23.9827794641,23.9809153782,5.07022090196,21.7367250919
