,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
7000,7000,-1.99166666667,42.1666666667,0.0,21.3511058559,23.4009094832,23.3979057712,23.4006233731,23.400714838,23.4002582217,4.90549364321,21.3917340112
7001,7001,-1.95,46.0,0.0,21.3333833511,23.4010108676,23.4003491191,23.4006298205,23.4007032792,23.3999107528,4.90549364321,21.3511058559
7002,7002,-1.90833333333,59.1666666667,0.0,21.3220873637,23.3989814716,23.3992475153,23.4001395976,23.3999225447,23.4008900866,4.90549364321,21.3333833511
7003,7003,-1.86666666667,72.3333333333,0.0,21.3113197224,23.3996775807,23.4007444353,23.3994396145,23.3991173195,23.3997043563,4.90549364321,21.3220873637
7004,7004,-1.825,85.5,0.0,21.3014851299,23.3998762612,23.4007602013,23.3989526017,23.3987152237,23.4005466,4.90549364321,21.3113197224
7005,7005,-1.78333333333,98.6666666667,0.0,21.2942309816,23.3997030499,23.400517688,23.3985447519,23.3988686548,23.400075802,4.90549364321,21.3014851299
7006,7006,-1.74166666667,111.833333333,0.0,21.2900301702,23.3984959098,23.4010039644,23.4001929431,23.4001334666,23.400027879,4.90549364321,21.2942309816
7007,7007,-1.7,125.0,0.0,21.2885764232,23.3986749357,23.3984804496,23.4001729473,23.4011577513,23.3999544568,4.90549364321,21.2900301702
7008,7008,-1.60833333333,138.166666667,0.0,21.2919008461,23.5025543616,23.4997580932,23.5044474363,23.5009109385,23.5053124401,4.90549364321,21.2885764232
7009,7009,-1.51666666667,151.333333333,0.0,21.3244456106,23.5096264796,23.5075877252,23.5104469895,23.5082829415,23.5097182222,5.1873182674,21.2919008461
7010,7010,-1.425,164.5,0.0,21.3504815912,23.5104889907,23.5085359038,23.5102175128,23.5108815059,23.5095599866,4.90549364321,21.3244456106
7011,7011,-1.33333333333,177.666666667,0.0,21.3676327133,23.5094264718,23.5094301391,23.5098254104,23.5107726315,23.5095552241,4.90549364321,21.3504815912
7012,7012,-1.24166666667,190.833333333,0.0,21.3832046844,23.510191186,23.5112081248,23.510322934,23.5104878423,23.5103554009,4.90549364321,21.3676327133
7013,7013,-1.15,204.0,0.0,21.4018641687,23.5091606642,23.5091627228,23.5106185994,23.509130196,23.5100791565,4.90549364321,21.3832046844
