,tout,q,qt,c,PLRs,PLR,hourindex
0,17.1833333333,181508.561766,385038.636477,65156.4018319,0.0657745820953,0.13952926054,0
1,17.1666666667,164629.770183,336063.023808,60166.2384746,0.0596580912157,0.121781610375,0
2,17.15,180513.119203,376531.271028,64286.0940165,0.0654138563097,0.136446384439,0
3,17.1333333333,162388.647877,331367.652006,59687.2251037,0.058845959371,0.12008011423,0
4,17.1166666667,164459.689521,323518.405949,58892.3849321,0.0595964578451,0.117235725656,0
5,17.1,161086.330506,314856.576017,58015.1994461,0.0583740291215,0.114096875133,0
6,17.0833333333,180862.909157,358049.229789,62387.5569773,0.0655406122477,0.129748912282,0
7,17.0666666667,161444.136415,306255.359749,57288.9716062,0.0585036898598,0.110979989627,0
8,17.05,165536.147734,311272.271494,57648.6963895,0.0599865418631,0.112798004547,0
9,17.0333333333,188356.985062,365069.228115,63086.3162845,0.0682562952219,0.132292800304,0
10,17.0166666667,159945.323728,297452.47641,57032.9183379,0.0579605541686,0.107790024552,0
11,17.0,178590.849309,325893.597349,59117.9731375,0.0647172693402,0.118096441097,0
12,16.975,153741.802292,270899.946462,56965.3755328,0.0557125388355,0.0981679905061,1
13,16.95,162429.572809,286467.803529,57125.1483109,0.0588607896371,0.103809428479,1
14,16.925,150653.523331,264799.453629,56941.4309111,0.0545934166516,0.0959573103993,1
15,16.9,201343.982001,365813.487198,64914.6492913,0.0729624880761,0.132562502899,1
16,16.875,148033.811143,259793.980645,56931.7171972,0.0536440924284,0.0941434406263,1
17,16.85,171693.08612,306797.353862,57903.95962,0.0622176765566,0.111176395989,1
18,16.825,145420.308036,248742.434651,56900.7856752,0.0526970182355,0.0901386112554,1
19,16.8,145327.691621,247759.398088,56893.447374,0.0526634561491,0.0897823811224,1
20,16.775,145786.985614,246666.087198,56885.9586627,0.0528298938649,0.0893861900765,1
21,16.75,163850.323028,284251.978139,56973.1589114,0.0593756372619,0.103006463662,1
22,16.725,143889.273666,240586.306442,56868.4093836,0.0521422061377,0.0871830155565,1
23,16.7,140259.875407,233972.45554,56850.1593481,0.0508269946049,0.0847863061404,1
24,16.675,155438.119843,263536.443465,56918.7107132,0.0563272458053,0.0954996241893,2
25,16.65,136939.877044,225434.084318,56826.5674188,0.0496239025702,0.0816921942515,2
26,16.625,136776.260968,223270.759394,56818.6645581,0.0495646118189,0.0809082544115,2
27,16.6,141855.728544,233099.766874,56839.5783279,0.0514052955522,0.0844700635798,2
28,16.575,135757.821214,218734.882221,56803.4592041,0.0491955523731,0.0792645554998,2
29,16.55,131028.592261,210478.613899,56781.362652,0.0474817871657,0.0762726712973,2
30,16.525,137608.902085,220400.30268,56803.0813278,0.0498663420565,0.0798680660648,2
31,16.5,146630.296492,239432.838332,56848.031878,0.053135490582,0.0867650248999,2
32,16.475,131023.076075,205017.480473,56766.0617686,0.0474797882251,0.0742936805249,2
33,16.45,126633.1465,197308.187313,56745.7173369,0.045888977409,0.0715000077034,2
34,16.425,145328.155999,235756.162178,56836.2995655,0.0526636244293,0.0854326809315,2
35,16.4,128952.992909,197742.877827,56745.4918751,0.0467296370815,0.071657529677,2
36,16.375,124825.469509,192749.190164,56731.6795671,0.0452339163064,0.0698479306371,3
37,16.35,120561.966505,187413.356201,56716.2882504,0.0436889196095,0.0679143455454,3
38,16.325,121979.541369,191540.454238,56723.7877738,0.0442026165578,0.0694099121788,3
39,16.3,117945.268042,186511.945902,56710.0717614,0.0427406874923,0.0675876949172,3
40,16.275,118712.919157,189548.658305,56716.0396172,0.0430188668285,0.0686881305511,3
41,16.25,125251.343356,204279.914499,56751.0772984,0.0453882433202,0.0740264033604,3
42,16.225,118189.982223,191618.055989,56721.3379566,0.0428293663557,0.0694380332916,3
43,16.2,116733.334291,191261.078082,56720.3846173,0.0423015102146,0.0693086726022,3
44,16.175,111403.589756,183965.437358,56702.32559,0.0403701317934,0.066664898033,3
45,16.15,112118.867306,186627.603699,56707.749282,0.0406293321391,0.0676296066772,3
46,16.125,109005.380766,184438.954483,56701.7541345,0.0395010753007,0.066836489889,3
47,16.1,109828.711601,186669.30056,56706.58418,0.0397994317037,0.0676447166728,3
48,16.1,107961.878002,183022.038105,56697.5361877,0.0391229335891,0.066323031561,4
49,16.1,110420.280335,187542.082082,56708.0556262,0.0400138027828,0.0679609928823,4
50,16.1,108363.337029,184204.077021,56699.9958012,0.0392684132262,0.066751375629,4
51,16.1,109910.796532,187082.480419,56706.7975129,0.0398291774191,0.0677944436735,4
52,16.1,107865.228428,183406.147647,56697.9403323,0.0390879099775,0.0664622241389,4
53,16.1,122639.247704,215940.627733,56776.6116407,0.0444416791569,0.0782519811097,4
54,16.1,107478.853075,182366.638477,56698.1594554,0.0389478963213,0.0660855296148,4
55,16.1,110213.033058,186759.437592,56708.3939891,0.0399387010745,0.0676773802869,4
56,16.1,108157.874218,183684.670049,56700.2847636,0.039193958168,0.066563154334,4
57,16.1,109438.314292,186064.890437,56705.3216647,0.0396579605818,0.0674256921659,4
58,16.1,118639.192101,205686.722457,56752.5951241,0.0429921498173,0.0745361986264,4
59,16.1,109925.429734,186413.232691,56707.5332683,0.0398344801592,0.0675519234907,4
60,16.1,111189.766152,191194.433681,56719.0193698,0.0402926469735,0.0692845221843,5
61,16.1,107478.917596,187766.766894,56710.5275141,0.0389479197024,0.0680424135573,5
62,16.1,118543.817195,215880.741843,56778.4297136,0.0429575881167,0.0782302798225,5
63,16.1,107838.857635,196621.477352,56733.947062,0.0390783538011,0.0712511596035,5
64,16.1,107634.005326,196797.042915,56734.8352341,0.0390041199749,0.071314780578,5
65,16.1,115059.403597,214821.701599,56778.770942,0.0416949157333,0.0778465076812,5
66,16.1,107478.669672,203462.280103,56752.7243835,0.0389478298604,0.0737301112176,5
67,16.1,108960.124842,209553.319483,56767.8737742,0.0394846755813,0.0759373656072,5
68,16.1,110203.587883,214642.908235,56780.9084678,0.0399352783575,0.0777817170248,5
69,16.1,107574.367339,212455.383325,56776.6587131,0.0389825085221,0.0769890076596,5
70,16.1,128365.562425,266553.16744,56908.454847,0.0465167656104,0.096592816471,5
71,16.1,107478.706074,218418.369378,56797.4017203,0.0389478430517,0.0791498584309,5
72,16.1,107478.444849,217078.861484,56795.033164,0.0389477483895,0.0786644511801,6
73,16.1,107478.541906,216887.148708,56793.877124,0.0389477835606,0.0785949788228,6
74,16.1,108740.947441,219765.262847,56800.0469912,0.0394052506669,0.0796379420465,6
75,16.1,123821.083798,259357.595575,56895.924443,0.0448699497267,0.0939853045841,6
76,16.1,109922.430659,221860.929564,56808.470037,0.0398333933624,0.0803973640879,6
77,16.1,121590.509041,250544.540986,56877.869004,0.0440616400744,0.0907916536789,6
