,prediction,real
0,2186.77383927,2176.55108422
1,2186.77383927,2176.55108422
2,2186.77383927,2176.55108422
3,2186.77383927,2176.55108422
4,2186.77383927,2176.55108422
5,2186.77383927,2176.55108422
6,2186.77383927,2176.55108422
7,2186.77383927,2176.55108422
8,2186.77383927,2176.55108422
9,2186.77383927,2176.55108422
10,2186.77383927,2176.55108422
11,2186.77383927,2176.55108422
12,2186.77383927,2176.55108422
13,2186.77383927,2176.55108422
14,2186.77383927,2176.55108422
15,2186.77383927,2176.55108422
16,2186.77383927,2176.55108422
17,2186.77383927,2176.55108422
18,2186.77383927,2176.55108422
19,2186.77383927,2176.55108422
20,2186.77383927,2176.55108422
21,2186.77383927,2176.55108422
22,2186.77383927,2176.55108422
23,2186.77383927,2176.55108422
24,2186.77383927,2176.55108422
25,2186.77383927,2176.55108422
26,2186.77383927,2176.55108422
27,2186.77383927,2176.55108422
28,2186.77383927,2176.55108422
29,2186.77383927,2176.55108422
30,2186.77383927,2176.55108422
31,2186.77383927,2176.55108422
32,2186.77383927,2176.55108422
33,2186.77383927,2176.55108422
34,2186.77383927,2176.55108422
35,2186.77383927,2176.55108422
36,2186.77383927,2176.55108422
37,2186.77383927,2176.55108422
38,2186.77383927,2176.55108422
39,2186.77383927,2176.55108422
40,2186.77383927,2176.55108422
41,2186.77383927,2176.55108422
42,2186.77383927,2176.55108422
43,2186.77383927,2176.55108422
44,2186.77383927,2176.55108422
45,2186.77383927,2176.55108422
46,2186.77383927,2176.55108422
47,2186.77383927,2176.55108422
48,2186.77383927,2176.55108422
49,2186.77383927,2176.55108422
50,2186.77383927,2176.55108422
51,2186.77383927,2176.55108422
52,2186.77383927,2176.55108422
53,2186.77383927,2176.55108422
54,2186.77383927,2176.55108422
55,2186.77383927,2176.55108422
56,2186.77383927,2176.55108422
57,2186.77383927,2176.55108422
58,2186.77383927,2176.55108422
59,2186.77383927,2176.55108422
60,2447.14897859,2513.75694093
61,2186.77383927,2176.55108422
62,2186.77383927,2176.55108422
63,2186.77383927,2176.55108422
64,2186.77383927,2176.55108422
65,2186.77383927,2176.55108422
66,2186.77383927,2176.55108422
67,2186.77383927,2176.55108422
68,2186.77383927,2176.55108422
69,2186.77383927,2176.55108422
70,2186.77383927,2176.55108422
71,2186.77383927,2176.55108422
